Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Wil Crowe","PHI","AA",30,3,3,7,11,9,0,0,0,1,,36,165,41,30,28,5,15,0,1,1,1,27,"19800"
"CD Pelham","OAK","AA",30,3,4,3.4322038336548673,41,0,0,0,0,1,,39.1,168,36,20,15,3,15,2,4,4,0,47,"19820"
"Nick Raquet","STL","AA",29,8,1,0.7714285714285715,25,0,0,0,5,1,,35,142,29,6,3,0,6,0,3,3,0,38,"20333"
"Antonio Santos","CHC","AA",28,3,5,2.122270883769798,20,15,0,0,0,1,,76.1,301,44,20,18,1,33,1,5,2,3,64,"20383"
"Tommy Romero","CHC","AA",27,3,1,2,7,5,0,0,0,0,,36,141,23,8,8,2,12,0,0,1,0,29,"23465"
"Kelvin Caceres","LAA","AA",25,0,4,5.5,30,0,0,0,0,1,,36,179,49,30,22,2,27,0,5,7,0,42,"24681"
"Garrett Hill","SEA","AA",29,1,3,4.0393705640622315,10,10,0,0,0,0,,42.1,195,32,23,19,1,34,1,5,0,0,37,"25097"
"Amos Willingham","ATL","AA",26,1,1,5.076923076923077,22,3,0,0,0,1,,39,174,42,28,22,7,12,0,1,1,1,45,"26128"
"Sam Aldegheri","LAA","AA",23,8,8,3.71688282225906,23,23,0,0,0,0,,128.1,554,116,58,53,12,58,0,8,12,0,110,"26443"
"Rolddy Munoz","ATL","AA",25,2,2,2.113043758630339,25,1,0,0,6,1,,38.1,166,28,11,9,4,23,0,4,2,0,34,"27407"
"John McMillon","PHI","AA",27,0,3,5.046728252271384,32,0,0,0,1,3,,35.2,160,27,24,20,7,22,0,2,4,3,42,"27942"
"McCade Brown","COL","AA",24,4,2,3.13953488372093,11,11,0,0,0,0,,43,170,31,16,15,4,15,0,1,3,1,57,"30004"
"Pierson Ohl","MIN","AA",25,4,1,2.076923076923077,13,2,0,0,1,0,,39,152,31,10,9,2,4,0,0,1,1,46,"30179"
"Jake Palisch","CHW","AA",26,8,3,2.142857142857143,29,13,0,0,0,0,,105,416,86,35,25,5,26,0,1,1,0,67,"31598"
"Troy Melton","DET","AA",24,2,1,3.230769230769231,10,10,0,0,0,0,,39,164,40,17,14,1,11,0,0,4,0,45,"31807"
"Cam Schlittler","NYY","AA",24,4,5,2.3773584905660377,10,9,0,0,0,0,,53,212,47,19,14,1,17,0,0,0,0,64,"32095"
"Jonah Tong","NYM","AA",22,8,5,1.588235294117647,20,20,0,0,0,0,,102,397,50,20,18,2,44,0,2,4,1,162,"32157"
"Luis Morales","OAK","AA",22,3,1,2.9763783103616444,8,8,0,0,0,0,,42.1,167,28,15,14,3,15,0,0,5,0,53,"32227"
"Mitch Farris","LAA","AA",24,3,8,4.267241379310345,23,22,1,0,0,0,,116,507,115,64,55,10,55,0,3,8,0,142,"33628"
"Connelly Early","BOS","AA",23,7,2,2.5116282634828453,15,12,0,0,0,1,,71.2,297,52,24,20,3,29,0,6,2,0,96,"33666"
"Philip Abner","ARI","AA",23,3,1,4.211009763806511,34,0,0,0,1,3,,36.1,148,35,24,17,5,7,1,2,0,0,42,"33821"
"Jonathan Pintaro","NYM","AA",27,0,2,3.401575211841879,11,11,0,0,0,0,,42.1,171,32,17,16,4,15,0,4,1,0,57,"33980"
"Chase Burns","CIN","AA",22,6,1,1.2857142857142858,8,8,1,1,0,0,,42,151,26,7,6,3,4,0,0,0,0,55,"35333"
"Trey Yesavage","TOR","AA",21,1,1,4.5,8,7,0,0,0,0,,30,121,21,15,15,3,11,0,0,2,0,46,"35456"
"Brian Moran","ATL","AA",36,1,1,3.107914010237441,17,3,0,0,1,0,,46.1,176,36,18,16,2,10,0,1,2,0,42,"9646"
"Chris Kachmar","CHC","AA",28,3,5,4.2760186900168975,15,15,0,0,0,0,,73.2,311,67,36,35,8,29,0,3,2,1,73,"sa1170503"
"Ryan Anderson","NYY","AA",26,3,1,4.137097283283023,33,0,0,0,2,2,,41.1,176,34,20,19,3,18,0,2,4,1,34,"sa1172845"
"Luis Pacheco","NYY","AA",26,3,1,5.818964751807278,35,0,0,0,0,1,,38.2,171,40,28,25,5,16,0,1,3,3,37,"sa3002678"
"Gerardo Carrillo","TEX","AA",26,2,3,3.6906478871569615,40,0,0,0,7,1,,46.1,198,38,22,19,2,19,1,4,4,0,53,"sa3002790"
"Yovanny Cruz","BOS","AA",25,2,4,3.033708125228721,34,0,0,0,6,3,,59.1,255,34,24,20,5,44,1,6,5,1,72,"sa3002951"
"Luis Palacios","MIA","AA",24,4,3,2.8285714285714287,27,7,0,0,1,1,,70,290,56,29,22,5,27,0,5,3,2,58,"sa3003021"
"Dylan File","SEA","AA",29,8,4,4.739361894459903,27,23,0,0,0,1,,125.1,539,129,67,66,9,35,0,6,2,1,98,"sa3004197"
"Anderson Bido","HOU","AA",26,1,4,5.020100887440505,41,1,0,0,1,2,,66.1,299,63,46,37,12,36,0,4,3,3,40,"sa3004204"
"Jorge Benitez","LAD","AA",26,2,2,4.304347826086956,37,0,0,0,1,2,,46,207,29,26,22,2,34,0,13,5,4,41,"sa3004462"
"Osvaldo Berrios","STL","AA",25,4,3,3.7384619772646364,28,4,0,0,4,1,,43.1,183,35,22,18,6,15,0,1,2,0,48,"sa3004702"
