Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Johnny Barbato","TOR","AA",28,3,4,4.350711215102297,17,13,0,0,0,0,,70.1,310,72,46,34,5,25,0,8,7,0,67,"11440"
"Akeel Morris","SFG","AA",28,6,0,3.6666666666666665,10,10,0,0,0,0,,54,218,49,23,22,8,11,0,0,3,1,65,"12185"
"Tyler Olson","BOS","AA",31,4,1,2.6129032258064515,31,0,0,0,1,1,,31,139,25,13,9,3,13,2,7,0,0,37,"14741"
"Aaron Blair","SFG","AA",29,0,3,4.45631133978558,9,9,0,0,0,0,,34.1,155,30,22,17,4,20,1,8,3,0,23,"14934"
"Brandon Leibrandt","MIA","AA",28,2,3,6.606383648972171,7,7,0,0,0,0,,31.1,142,39,27,23,4,14,0,4,2,0,21,"16135"
"A.J. Ladwig","DET","AA",28,6,7,4.796052872309076,21,21,0,0,0,0,,101.1,424,101,56,54,23,18,0,4,2,0,82,"16266"
"Carlos Sanabria","KCR","AA",24,3,0,2.6129032258064515,20,0,0,0,2,1,,31,130,14,10,9,4,18,0,5,3,0,30,"16634"
"Montana DuRapau","OAK","AA",29,4,1,3.9754604948510006,37,0,0,0,9,3,,54.1,214,44,24,24,4,16,2,2,0,0,40,"16768"
"Jose Cuas","KCR","AA",27,3,1,1.9484539147530648,22,0,0,0,3,0,,32.1,133,31,11,7,1,7,0,2,0,0,32,"17701"
"Enmanuel De Jesus","BOS","AA",24,5,2,3.9661016949152543,21,8,0,0,1,0,,59,270,66,33,26,2,26,0,4,2,0,71,"18554"
"Pedro Avila","SDP","AA",24,1,4,4.643312553193164,23,10,0,0,2,0,,52.1,226,47,29,27,4,21,0,7,5,0,58,"18864"
"Nick Hernandez","HOU","AA",26,3,1,1.6666666666666667,32,1,0,0,6,1,,54,218,28,15,10,5,28,1,3,2,0,68,"19281"
"Cody Sedlock","BAL","AA",26,5,3,4.595744307843122,17,12,0,0,1,1,,62.2,285,62,33,32,10,30,0,3,5,0,67,"19357"
"Lucas Erceg","MIL","AA",26,2,6,5.286712722595564,22,13,0,0,0,0,,47.2,213,38,35,28,5,35,0,4,8,0,45,"19360"
"Tanner Tully","CLE","AA",26,6,3,2.675675675675676,17,12,0,0,1,0,,74,320,81,26,22,6,18,0,5,4,0,64,"19518"
"Alan Rangel","ATL","AA",23,3,2,4.5,7,7,0,0,0,0,,34,132,28,17,17,3,5,0,0,1,0,41,"19524"
"Cam Vieaux","PIT","AA",27,5,1,3.6818181818181817,17,5,0,0,0,2,,44,186,35,21,18,5,16,0,3,4,0,44,"19529"
"Guillo Zuniga","LAD","AA",22,7,2,3.0566042135856506,25,0,0,0,2,2,,35.1,145,25,16,12,5,13,1,2,4,0,49,"19588"
"Caleb Boushley","SDP","AA",27,2,3,3.7850461892035385,8,8,0,0,0,0,,35.2,157,42,16,15,5,9,0,2,1,0,36,"19736"
"Gerson Garabito","SFG","AA",25,3,3,4.295454545454546,14,6,0,0,0,0,,44,190,47,23,21,3,15,1,1,4,1,44,"19835"
"Bryan Hudson","CHC","AA",24,6,3,3.1280484894498044,31,0,0,0,0,4,,54.2,219,38,25,19,2,22,0,4,6,0,51,"19924"
"Jhon Romero","WSN","AA",26,2,4,2.8321675299619096,33,0,0,0,2,3,,47.2,199,45,17,15,5,10,1,3,2,0,58,"19940"
"Joey Wentz","DET","AA",23,0,4,3.712500354051624,13,13,0,0,0,0,,53.1,233,41,25,22,7,33,0,1,2,1,58,"19962"
"Calvin Faucher","TBR","AA",25,1,1,6.113206447168306,21,0,0,0,2,0,,35.1,168,41,29,24,6,24,0,1,4,0,46,"20116"
"Adam Oller","NYM","AA",26,5,3,4.026315789473684,15,15,0,0,0,0,,76,321,66,39,34,8,29,0,2,2,0,95,"20132"
"Mike Baumann","BAL","AA",25,3,2,4.887930391518114,10,10,0,0,0,0,,38.2,162,29,26,21,6,18,0,1,3,0,39,"20206"
"Zach Muckenhirn","CHW","AA",26,3,1,1.770491581839692,30,0,0,0,1,0,,40.2,166,30,8,8,3,19,0,0,4,0,42,"20209"
"Zach Logue","TOR","AA",25,3,1,4.542055427044246,7,7,0,0,0,0,,35.2,142,33,18,18,6,7,0,1,0,1,51,"20231"
"Daysbel Hernandez","ATL","AA",24,3,1,2.7551016118416904,26,0,0,0,3,2,,32.2,135,23,12,10,3,16,0,1,4,0,46,"20271"
"Jhonathan Diaz","LAA","AA",24,5,3,3.9836065573770494,13,9,1,0,0,0,,61,251,50,27,27,5,12,0,13,3,0,78,"20298"
"Erich Uelmen","CHC","AA",25,2,7,4.521531760699515,19,11,0,0,2,1,,69.2,310,64,38,35,9,31,0,14,6,0,64,"20323"
"Kyle Dohy","PHI","AA",24,4,0,2.1696431527332787,26,0,0,0,2,1,,37.1,151,17,9,9,2,16,0,6,7,0,56,"20334"
"Jovani Moran","MIN","AA",24,2,1,1.9115041666616028,20,0,0,0,2,0,,37.2,139,14,8,8,3,14,0,0,1,0,64,"20422"
"Bryan Sammons","MIN","AA",26,3,4,6.443181259573047,14,12,0,0,0,0,,58.2,254,51,43,42,13,29,0,5,5,0,67,"20462"
"Denyi Reyes","BOS","AA",24,4,2,4.213872460701786,20,5,0,0,0,0,,57.2,247,64,30,27,10,10,0,4,2,0,63,"20526"
"Kutter Crawford","BOS","AA",25,3,2,3.302158635877281,10,10,1,0,0,0,,46.1,172,33,17,17,7,5,0,0,0,0,64,"20531"
"Jackson Tetreault","WSN","AA",25,5,3,3.7409641992926725,10,10,0,0,0,0,,55.1,240,56,25,23,8,19,0,2,2,0,43,"20565"
"Anderson Severino","CHW","AA",26,1,2,3.126315475632971,27,0,0,0,4,1,,31.2,135,19,14,11,0,25,0,2,7,0,33,"20582"
"Elvis Luciano","TOR","AA",21,0,1,3.1621621621621623,12,12,0,0,0,0,,37,157,35,16,13,4,18,0,0,5,0,34,"20632"
