Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Caleb Thielbar","DET","AA",31,3,0,1.4210526315789473,27,0,0,0,0,2,,38,144,28,7,6,1,3,0,0,1,0,40,"10078"
"Roman Mendez","WSN","AA",27,6,4,3.6666666666666665,44,0,0,0,11,0,,54,228,46,27,22,8,20,1,1,5,0,59,"10307"
"Scott Copeland","NYM","AA",30,6,4,3.6302523335851036,14,14,0,0,0,0,,79.1,338,83,34,32,5,29,1,4,3,0,67,"10706"
"Mickey Jannis","NYM","AA",30,10,6,3.604215199082157,24,23,1,0,0,0,,142.1,608,157,65,57,12,36,1,5,8,1,114,"11071"
"Logan Darnell","WSN","AA",29,8,6,3.914201536840092,24,19,0,0,0,0,,112.2,477,123,53,49,14,24,0,2,1,0,82,"11261"
"Sean Nolin","COL","AA",28,2,2,4.2396699561341284,29,3,0,0,0,1,,40.1,176,42,20,19,4,15,0,2,2,1,45,"11341"
"Zach Lee","TBR","AA",26,8,1,2.310810810810811,13,12,1,1,0,0,,74,307,72,23,19,4,20,0,1,2,0,59,"11468"
"Williams Perez","SEA","AA",27,6,1,2.278481012658228,13,13,1,0,0,0,,79,319,69,25,20,5,13,0,3,2,0,68,"11592"
"Nick Tepesch","DET","AA",29,1,2,5.6250001915863646,14,8,0,0,1,0,,56,250,67,38,35,6,20,0,2,3,0,34,"11716"
"Enderson Franco","ATL","AA",25,6,9,3.9477809934117882,28,20,2,0,1,0,,127.2,548,125,65,56,14,42,3,7,6,2,130,"11896"
"Taylor Hill","SFG","AA",29,0,8,5.39999946840353,14,10,0,0,0,0,,51.2,235,66,38,31,10,11,0,3,1,0,37,"12515"
"Erik Johnson","SDP","AA",28,3,3,2.8421049778481557,19,0,0,0,0,2,,31.2,132,27,12,10,4,9,0,0,1,0,33,"12520"
"Nick Ramirez","MIL","AA",28,8,0,1.7608693826852277,19,0,0,0,1,3,,30.2,122,17,9,6,2,13,1,1,2,0,33,"12575"
"Ryne Harper","MIN","AA",29,1,2,2.5384615384615383,24,0,0,0,6,1,,39,154,35,18,11,0,5,1,1,3,0,51,"12680"
"Michael Kelly","BAL","AA",25,1,5,9.1065096979545,25,8,0,0,1,1,,56.1,291,55,60,57,8,66,0,6,13,0,55,"12791"
"Jayson Aquino","BAL","AA",25,3,4,5.586206161734987,8,8,0,0,0,0,,38.2,173,46,26,24,1,14,0,3,0,0,27,"13150"
"Jordan Weems","BOS","AA",25,4,3,4.0393705640622315,34,0,0,0,5,2,,42.1,192,44,28,19,3,22,1,3,4,0,45,"13190"
"Brandon Brennan","CHW","AA",26,4,3,3.100478921622525,40,1,0,0,1,0,,69.2,285,54,28,24,4,21,0,2,9,0,70,"13527"
"Alejandro Chacin","CIN","AA",25,1,2,5.5,27,0,0,0,6,2,,36,168,38,24,22,7,21,3,1,2,0,50,"13530"
"Dietrich Enns","MIN","AA",27,4,5,4.005494169675876,11,9,0,0,0,0,,60.2,247,60,28,27,4,13,0,0,3,0,61,"13932"
"Cesar Vargas","WSN","AA",26,1,1,4.363636363636363,7,6,0,0,0,0,,33,149,37,21,16,4,15,0,1,1,0,32,"14099"
"Branden Kline","BAL","AA",26,4,4,1.8,32,0,0,0,15,1,,45,181,32,15,9,3,15,2,1,0,0,48,"14101"
"Chris Mazza","SEA","AA",28,1,0,1.890000180244463,6,4,0,0,0,0,,33.1,128,23,9,7,3,6,0,2,1,0,25,"14151"
