Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Andrew Bellatti","NYY","AA",27,30.2,0.31521739,0.617021276,0.173913043,0.315217391,0.510869565,0.234042553,0.085106382,0.49473684,0.22105263,0.28421053,0.13645621,171,320,491,"10657"
"Mickey Jannis","NYM","AA",31,119,0.33241758,1.446280991,0.170868347,0.490196078,0.338935574,0.272727272,0.016528925,0.4739726,0.23561644,0.29041096,0.10531972,621,1240,1861,"11071"
"Aaron Barrett","WSN","AA",31,52.1,0.25581395,1.522727272,0.159090909,0.507575757,0.333333333,0.227272727,0.136363636,0.44029851,0.2238806,0.3358209,0.12907117,315,514,829,"11243"
"Zach Lee","NYM","AA",27,47.1,0.24637681,1.09090909,0.166666666,0.434782608,0.398550724,0.218181818,0.054545454,0.46099291,0.19148936,0.34751773,0.10555556,231,489,720,"11468"
"Williams Perez","STL","AA",28,67.1,0.35828877,2.208333333,0.206185567,0.546391752,0.24742268,0.125,0.208333333,0.42639594,0.25888325,0.31472081,0.07540395,427,687,1114,"11592"
"Jason Garcia","TBR","AA",26,49.2,0.35403727,1.352941176,0.26380368,0.423312883,0.312883435,0.137254901,0.058823529,0.44848485,0.22424242,0.32727273,0.10371319,299,482,781,"12143"
"Logan Verrett","OAK","AA",29,34.1,0.28571429,1.387096774,0.221052631,0.452631578,0.326315789,0.161290322,0.129032258,0.46315789,0.2,0.33684211,0.15268817,139,326,465,"12905"
"Mauricio Cabrera","CHW","AA",25,48,0.40322581,1.461538461,0.213114754,0.467213114,0.319672131,0.307692307,0.051282051,0.421875,0.21875,0.359375,0.10646388,462,590,1052,"12975"
"Jordan Weems","BOS","AA",26,44,0.34821429,0.734693877,0.220183486,0.330275229,0.449541284,0.122448979,0.020408163,0.4159292,0.27433628,0.30973451,0.14060606,343,482,825,"13190"
"Damien Magnifico","ARI","AA",28,41.2,0.40740741,1.25,0.235849056,0.424528301,0.339622641,0.194444444,0.027777777,0.37614679,0.23853211,0.3853211,0.14489004,253,520,773,"13395"
"Joel Payamps","ARI","AA",25,40.2,0.32478632,1.628571428,0.213675213,0.487179487,0.299145299,0.085714285,0.057142857,0.50847458,0.20338983,0.28813559,0.10474632,185,426,611,"14332"
"Robinson Leyer","BOS","AA",26,34,0.35555556,0.864864864,0.233333333,0.355555555,0.411111111,0.297297297,0,0.47777778,0.24444444,0.27777778,0.13302752,251,403,654,"14399"
"Yunior Marte","KCR","AA",24,34,0.24137931,1.09375,0.202380952,0.416666666,0.38095238,0.40625,0.03125,0.43820225,0.28089888,0.28089888,0.11567164,192,344,536,"14416"
"Konner Wade","BOS","AA",27,95.1,0.28571429,1.099099099,0.212837837,0.412162162,0.375,0.171171171,0.045045045,0.48160535,0.23745819,0.28093645,0.10468521,451,915,1366,"14655"
"Jonathan Aro","ATL","AA",28,44.1,0.29496403,0.909090909,0.21641791,0.373134328,0.410447761,0.236363636,0.036363636,0.45070423,0.22535211,0.32394366,0.09365079,198,432,630,"14699"
"Brady Lail","NYY","AA",25,31,0.27868852,1.125,0.15,0.45,0.4,0.083333333,0.041666666,0.5483871,0.25806452,0.19354839,0.18589744,161,307,468,"14707"
"Sam Moll","SFG","AA",27,38.1,0.31067961,2.375,0.138297872,0.606382978,0.255319148,0.125,0,0.52,0.19,0.29,0.1328125,253,387,640,"14874"
"Jason Hursh","ATL","AA",27,47,0.27027027,1.608695652,0.172413793,0.510344827,0.317241379,0.173913043,0.02173913,0.48322148,0.20805369,0.30872483,0.07965861,259,444,703,"14914"
"Kyle McGowin","WSN","AA",27,32.1,0.26315789,0.939393939,0.179487179,0.397435897,0.423076923,0.242424242,0.06060606,0.46153846,0.21794872,0.32051282,0.17241379,157,307,464,"15071"
"Collin Wiles","TEX","AA",25,31,0.27956989,0.909090909,0.142857142,0.408163265,0.448979591,0.113636363,0.113636363,0.48979592,0.29591837,0.21428571,0.09108159,181,346,527,"15106"
"Ashton Goudeau","COL","AA",26,78.1,0.29015544,1.231884057,0.202072538,0.440414507,0.357512953,0.130434782,0.057971014,0.45685279,0.20304569,0.34010152,0.13928274,382,817,1199,"15139"
"Kevin McGowan","WSN","AA",27,38,0.25242718,0.481481481,0.238095238,0.247619047,0.514285714,0.333333333,0.074074074,0.48598131,0.23364486,0.28037383,0.13804714,219,375,594,"15215"
"Kyle Lloyd","SDP","AA",28,110,0.31528662,1.585858585,0.221884498,0.477203647,0.300911854,0.161616161,0.202020202,0.57057057,0.23123123,0.1981982,0.15613826,602,1076,1678,"15378"
"Hunter Harvey","BAL","AA",24,59,0.31612903,1.064516129,0.238095238,0.392857142,0.369047619,0.193548387,0.225806451,0.41420118,0.22485207,0.36094675,0.09949749,354,641,995,"15507"
"Ronald Herrera","TEX","AA",24,61.2,0.32682927,0.891304347,0.183098591,0.384976525,0.431924882,0.217391304,0.130434782,0.46543779,0.22580645,0.30875576,0.10216718,324,645,969,"15688"
"Rob Kaminsky","CLE","AA",24,31.1,0.24390244,2.25,0.197530864,0.555555555,0.24691358,0.15,0.1,0.4,0.22352941,0.37647059,0.11827957,177,288,465,"15792"
"Devin Williams","MIL","AA",24,53.1,0.27927928,1.388888888,0.203703703,0.462962962,0.333333333,0.25,0.083333333,0.47368421,0.21052632,0.31578947,0.13670614,360,569,929,"15816"
"Brett Graves","MIA","AA",26,45,0.23076923,0.844444444,0.194174757,0.368932038,0.436893203,0.2,0.066666666,0.34259259,0.30555556,0.35185185,0.13852243,299,459,758,"16218"
"Tejay Antone","CIN","AA",25,74.2,0.2744186,2.29090909,0.154205607,0.588785046,0.257009345,0.181818181,0.072727272,0.46788991,0.23853211,0.29357798,0.084172,406,687,1093,"16233"
"Sam Clay","MIN","AA",26,46.2,0.34375,5.529411764,0.090163934,0.770491803,0.139344262,0.058823529,0,0.45669291,0.21259843,0.33070866,0.12760055,259,462,721,"16279"
"Victor Gonzalez","LAD","AA",23,48.1,0.31428571,1.714285714,0.179856115,0.517985611,0.302158273,0.261904761,0.095238095,0.41666667,0.25,0.33333333,0.10143043,274,495,769,"16408"
"Blake Taylor","NYM","AA",23,39,0.23958333,1.393939393,0.131868131,0.505494505,0.362637362,0.09090909,0.06060606,0.37113402,0.20618557,0.42268041,0.13278689,194,416,610,"16418"
"Conner Greene","KCR","AA",24,97,0.31141869,1.207547169,0.190311418,0.442906574,0.366782006,0.150943396,0.103773584,0.49,0.20666667,0.30333333,0.10789149,593,1029,1622,"16455"
"Roel Ramirez","STL","AA",24,72.1,0.36082474,1.253731343,0.24120603,0.422110552,0.336683417,0.328358208,0.089552238,0.435,0.205,0.36,0.14213625,433,756,1189,"16470"
"Bryan Abreu","HOU","AA",22,76.2,0.30857143,1.203125,0.212290502,0.430167597,0.357541899,0.25,0.09375,0.4198895,0.29281768,0.28729282,0.14151625,553,832,1385,"16609"
"Carlos Sanabria","HOU","AA",22,55,0.2601626,0.978260869,0.266129032,0.362903225,0.370967741,0.108695652,0.086956521,0.43307087,0.29133858,0.27559055,0.15943491,375,616,991,"16634"
"Vinny Nittoli","TOR","AA",28,42.2,0.26829268,1.020408163,0.168067226,0.420168067,0.411764705,0.204081632,0.081632653,0.44354839,0.24193548,0.31451613,0.12166667,187,413,600,"16754"
"Greg Mahle","LAA","AA",26,44.2,0.30405405,1.016129032,0.161073825,0.422818791,0.416107382,0.258064516,0.048387096,0.42207792,0.18831169,0.38961039,0.11587302,188,442,630,"16877"
"Grant Holmes","OAK","AA",23,81.2,0.28054299,1.727272727,0.2,0.506666666,0.293333333,0.227272727,0.136363636,0.40174672,0.23144105,0.36681223,0.09451946,444,815,1259,"16944"
"Tanner Banks","CHW","AA",27,123.1,0.30434783,1.204225352,0.209595959,0.431818181,0.358585858,0.176056338,0.084507042,0.42716049,0.2691358,0.3037037,0.10121012,562,1256,1818,"16990"
"Joe Palumbo","TEX","AA",24,53.2,0.30894309,1.085106382,0.216,0.408,0.376,0.212765957,0.106382978,0.375,0.1953125,0.4296875,0.12758997,332,585,917,"17035"
"Domingo Acevedo","NYY","AA",25,35,0.18181818,0.58,0.150537634,0.311827956,0.537634408,0.28,0.14,0.56382979,0.15957447,0.27659574,0.19238477,154,345,499,"17092"
"Justus Sheffield","SEA","AA",23,78,0.29292929,1.279411764,0.225,0.435,0.34,0.205882352,0.058823529,0.44278607,0.31840796,0.23880597,0.13533152,359,742,1101,"17285"
"Emmanuel Ramirez","SDP","AA",24,84.2,0.27467811,0.828571428,0.196652719,0.364016736,0.439330543,0.209523809,0.095238095,0.39506173,0.30864198,0.2962963,0.1203125,450,830,1280,"17304"
"Justin Steele","CHC","AA",23,38.2,0.40384615,1.097560975,0.173076923,0.432692307,0.394230769,0.243902439,0.073170731,0.43396226,0.25471698,0.31132075,0.11173184,261,455,716,"17312"
"Merandy Gonzalez","STL","AA",23,40.2,0.3828125,1.885714285,0.234848484,0.5,0.265151515,0.257142857,0.142857142,0.37593985,0.26315789,0.36090226,0.08047337,336,509,845,"17313"
"Jonathan Hernandez","TEX","AA",22,96,0.33085502,1.580246913,0.24,0.465454545,0.294545454,0.160493827,0.135802469,0.46071429,0.25714286,0.28214286,0.14341591,580,954,1534,"17464"
"Albert Abreu","NYY","AA",23,96.2,0.33571429,1.125,0.216312056,0.414893617,0.368794326,0.153846153,0.086538461,0.45993031,0.2195122,0.32055749,0.12114153,657,1060,1717,"17485"
"Spenser Watkins","DET","AA",26,42.1,0.2992126,1.063829787,0.253846153,0.384615384,0.361538461,0.191489361,0.063829787,0.48854962,0.23664122,0.27480916,0.10493827,232,416,648,"17489"
"Jorge Guzman","MIA","AA",23,138.2,0.24127907,0.646067415,0.162857142,0.328571428,0.508571428,0.275280898,0.073033707,0.47619048,0.20168067,0.32212885,0.12951264,863,1353,2216,"17505"
"Ricardo Sanchez","SEA","AA",22,146,0.34669811,2.028301886,0.248243559,0.50351288,0.248243559,0.188679245,0.094339622,0.43908046,0.21609195,0.34482759,0.10466638,799,1494,2293,"17581"
"Marcos Diplan","MIN","AA",22,68.2,0.28409091,0.935897435,0.17032967,0.401098901,0.428571428,0.166666666,0.089743589,0.42076503,0.26775956,0.31147541,0.13317573,514,755,1269,"17583"
"Jordan Yamamoto","MIA","AA",23,65.1,0.2754491,1.147058823,0.14619883,0.45614035,0.397660818,0.205882352,0.102941176,0.43103448,0.24712644,0.32183908,0.1018936,427,682,1109,"17585"
"Cristian Javier","HOU","AA",22,74,0.1969697,0.575757575,0.212121212,0.287878787,0.5,0.318181818,0.075757575,0.4379562,0.2919708,0.27007299,0.15765423,516,797,1313,"17606"
"Pedro Araujo","BAL","AA",25,39.2,0.19387755,0.641509433,0.121212121,0.343434343,0.535353535,0.226415094,0.132075471,0.52380952,0.25714286,0.21904762,0.13333333,256,419,675,"17697"
"Nabil Crismatt","SEA","AA",24,83.2,0.24056604,1.260273972,0.228971962,0.429906542,0.341121495,0.219178082,0.08219178,0.44036697,0.2293578,0.33027523,0.12928082,350,818,1168,"17732"
"Dillon Tate","BAL","AA",25,33.2,0.26086957,1.382352941,0.147368421,0.494736842,0.357894736,0.235294117,0.117647058,0.45833333,0.25,0.29166667,0.12260536,172,350,522,"17796"
"Garrett Cleavinger","PHI","AA",25,51.2,0.28846154,1.15,0.156862745,0.450980392,0.392156862,0.2,0.05,0.38679245,0.25471698,0.35849057,0.16139241,366,582,948,"17897"
"Cody Ponce","PIT","AA",25,44.1,0.30088496,1.875,0.178571428,0.535714285,0.285714285,0.15625,0.0625,0.46017699,0.2300885,0.30973451,0.13323983,259,454,713,"17920"
"Adonis Rosa","NYY","AA",24,43,0.304,0.87755102,0.264,0.344,0.392,0.183673469,0.061224489,0.4609375,0.2421875,0.296875,0.11954993,256,455,711,"17942"
"Tyler Jay","CIN","AA",25,60.2,0.37988827,1.660714285,0.167597765,0.519553072,0.312849162,0.089285714,0.035714285,0.37569061,0.28176796,0.34254144,0.13340122,353,629,982,"17952"
"Brock Burke","TEX","AA",22,45.1,0.27118644,1.685714285,0.189655172,0.508620689,0.301724137,0.171428571,0.057142857,0.47107438,0.20661157,0.32231405,0.11292719,230,443,673,"17968"
"Logan Webb","SFG","AA",22,41.1,0.33050847,2.303030303,0.060344827,0.655172413,0.284482758,0.121212121,0.06060606,0.47058824,0.22689076,0.30252101,0.12459547,207,411,618,"17995"
"Anthony Misiewicz","SEA","AA",24,35.2,0.36,1.454545454,0.164948453,0.49484536,0.340206185,0.09090909,0,0.32323232,0.36363636,0.31313131,0.14471243,178,361,539,"18152"
"James Naile","OAK","AA",26,125,0.34210526,1.773109243,0.212410501,0.503579952,0.284009546,0.134453781,0.100840336,0.44083527,0.25058005,0.30858469,0.06561546,697,1269,1966,"18186"
"Art Warren","SEA","AA",26,31.2,0.30136986,4,0.246575342,0.602739726,0.150684931,0.363636363,0.09090909,0.37837838,0.22972973,0.39189189,0.13953488,206,310,516,"18251"
"Zac Grotz","SEA","AA",26,57.1,0.3115942,3.375,0.25,0.578571428,0.171428571,0.125,0.166666666,0.43661972,0.19014085,0.37323944,0.13686534,285,621,906,"18256"
"Taylor Guilbeau","WSN","AA",26,35,0.30952381,3.5,0.231707317,0.597560975,0.170731707,0.142857142,0.071428571,0.46511628,0.19767442,0.3372093,0.11703959,215,366,581,"18306"
"Pedro Payano","TEX","AA",24,42.2,0.27,1,0.145631067,0.427184466,0.427184466,0.181818181,0.068181818,0.40776699,0.23300971,0.3592233,0.13135593,270,438,708,"18313"
"Brandon Waddell","PIT","AA",25,36.1,0.30526316,1.285714285,0.111111111,0.5,0.388888888,0.142857142,0,0.45833333,0.20833333,0.33333333,0.13221601,200,337,537,"18347"
"Scott Effross","CHC","AA",25,33.2,0.30508475,1.567567567,0.194915254,0.491525423,0.313559322,0.162162162,0.081081081,0.4214876,0.2892562,0.2892562,0.09306931,152,353,505,"18384"
"Jose Urquidy","HOU","AA",24,33,0.30232558,1.285714285,0.255813953,0.418604651,0.325581395,0.178571428,0.071428571,0.46590909,0.25,0.28409091,0.1614786,164,350,514,"18413"
"Tyler Cyr","SFG","AA",26,48.1,0.27272727,1.787878787,0.192982456,0.517543859,0.289473684,0.242424242,0.03030303,0.42975207,0.23140496,0.33884298,0.14199759,313,518,831,"18421"
"Danny Young","TOR","AA",25,40.1,0.24770642,2.129032258,0.110091743,0.605504587,0.284403669,0.161290322,0.064516129,0.48672566,0.23893805,0.27433628,0.13521545,271,402,673,"18439"
"Shea Spitzbarth","LAD","AA",24,44,0.27272727,1.375,0.208333333,0.458333333,0.333333333,0.28125,0.03125,0.46,0.24,0.3,0.11413748,289,482,771,"18475"
"Sam Hentges","CLE","AA",22,128.2,0.35492228,0.854430379,0.242894056,0.348837209,0.408268733,0.310126582,0.069620253,0.40703518,0.2638191,0.32914573,0.11718408,881,1406,2287,"18548"
"Hector Perez","TOR","AA",23,121.1,0.34870317,1.014492753,0.212464589,0.396600566,0.390934844,0.166666666,0.065217391,0.41690141,0.27323944,0.30985915,0.11977454,862,1267,2129,"18592"
"Cody Poteet","MIA","AA",24,84,0.25210084,1.558441558,0.175732217,0.50209205,0.322175732,0.077922077,0.038961038,0.44813278,0.21161826,0.34024896,0.10490694,405,777,1182,"18769"
"Tommy Nance","CHC","AA",28,46.2,0.32258065,1.357142857,0.161016949,0.483050847,0.355932203,0.238095238,0.047619047,0.46774194,0.23387097,0.2983871,0.13090418,281,460,741,"19178"
"Robert Dugger","MIA","AA",23,70.2,0.27567568,1.20289855,0.164835164,0.456043956,0.379120879,0.231884057,0.086956521,0.42408377,0.22513089,0.35078534,0.1255687,385,714,1099,"19191"
"Conner Menez","SFG","AA",24,59.2,0.23703704,0.822580645,0.175182481,0.372262773,0.452554744,0.14516129,0.080645161,0.44055944,0.28671329,0.27272727,0.14130435,319,601,920,"19199"
