Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
"Daniel Camarena","SDP","AA",30,69.2,6.976077573650681,2.06698594774835,3.375,1.1626795956084468,0.17252396,0.05111821,0.12140575,0.30479452,1.5071772535665051,0.34934498,0.57494867,6.20095784324505,4.726323250363433,1.4746345928816167,4.918496340610487,"14467"
"Scott Blewett","ATL","AA",27,72.2,9.412845354391026,3.5917436220702594,2.62068966,0.8669725984307524,0.24675325,0.09415584,0.1525974,0.21376812,1.211009343839781,0.26943005,0.66502463,4.211009763806511,4.060766548247933,0.15024321555857778,4.482392376429708,"16427"
"Lake Bachar","SDP","AA",28,60.1,10.292818547270425,3.729282082344357,2.76,0.5966851331750972,0.2749004,0.09960159,0.17529881,0.23214286,1.2762432015134022,0.31788079,0.77656676,2.685083099287937,3.60995734132605,-0.9248742420381131,4.317469527373212,"19222"
"Alan Rangel","ATL","AA",25,112,10.285714285714286,3.294642857142857,3.12195122,1.2857142857142858,0.26556017,0.08506224,0.18049793,0.23744292,1.2946428571428572,0.29931973,0.68471338,4.660714285714286,4.329115104675293,0.33159918103899244,4.361989716946015,"19524"
"Sterling Sharp","BOS","AA",28,85.2,6.828794585207285,3.8871599946564546,1.75675676,1.2607005388074988,0.17015707,0.09685864,0.07329843,0.27859238,1.540856214098054,0.31439394,0.71308725,5.35797728993187,5.0149018720248115,0.3430754179070581,4.946416953625203,"19671"
"Parker Dunshee","SFG","AA",28,45.2,10.839414851121571,4.335765940448629,2.5,0.7883210800815688,0.27227723,0.10891089,0.16336634,0.20467836,1.2481750434624839,0.27678571,0.7781457,2.5620435102650987,4.042025326897472,-1.4799818166323737,4.547132489841441,"20018"
"Ty Tice","ATL","AA",26,31,13.935483870967742,4.064516129032258,3.42857143,0.5806451612903226,0.33103448,0.09655172,0.23448276,0.26923077,1.5806451612903225,0.4125,0.6779661,5.225806451612903,2.772663491772067,2.453142959840836,3.0040840714689225,"20177"
"Isaac Mattson","MIN","AA",27,32.1,11.690723488518389,6.680413422010508,1.75,0.8350516777513135,0.30215827,0.17266187,0.1294964,0.13513514,1.2061857567518972,0.18181818,0.72164948,3.6185572702556916,4.899016033241155,-1.2804587629854636,5.181059434249023,"20385"
"Peter Solomon","ARI","AA",26,36.2,9.327271433428479,2.454545114060126,3.8,1.4727270684360756,0.24516129,0.06451613,0.18064516,0.25,1.25454528051962,0.3,0.64766839,4.172726693902214,4.647375598623752,-0.47464890472153787,4.340455653089233,"20476"
"Tyler Phillips","PHI","AA",25,82.1,8.744939811486606,3.279352429307478,2.66666667,1.311740971722991,0.22922636,0.08595989,0.14326648,0.26498423,1.3846154701520461,0.32,0.68548387,5.028340391604799,4.393011030508125,0.6353293610966739,3.620415225847572,"20629"
"Jose Espada","SDP","AA",26,64,11.953125,4.640625,2.57575758,0.703125,0.32319392,0.12547529,0.19771863,0.20434783,1.25,0.3,0.73972603,2.8125,3.599080276489258,-0.786580276489258,3.9174104693112897,"21131"
"Jonathan Bermudez","MIA","AA",27,94.1,10.399293846928025,3.720848257157734,2.79487179,1.3356891179540584,0.26585366,0.09512195,0.17073171,0.25068871,1.378091947095457,0.32083333,0.74324324,4.579505547271057,4.692189369637008,-0.11268382236595098,4.7221552685573505,"21241"
"Grant Wolfram","TEX","AA",26,49,12.306122448979592,2.5714285714285716,4.78571429,0.7346938775510204,0.35828877,0.07486631,0.28342246,0.15789474,0.8367346938775511,0.23,0.82887701,2.020408163265306,2.99895272546885,-0.978544562203544,3.236540267570895,"21623"
"Kyle Tyler","SEA","AA",26,135,9.2,3.8666666666666667,2.37931034,1,0.22294023,0.09369952,0.12924071,0.28186715,1.5925925925925926,0.35148515,0.63636364,5.6,4.470608054267036,1.129391945732964,4.40593140522639,"22092"
"Ryan Miller","BOS","AA",27,60.1,9.994475980682877,2.8342543825817113,3.52631579,1.1933702663501944,0.25769231,0.07307692,0.18461538,0.26582278,1.3591161366766102,0.33950617,0.7486631,4.027624648931906,3.9220109488689694,0.10561370006293647,4.064549820255387,"22187"
"Tobias Myers","MIL","AA",24,137.2,10.983051659022124,2.9418888372380687,3.73333333,1.9612592248253793,0.28668942,0.07679181,0.20989761,0.24067164,1.2639226115541333,0.29289941,0.68613139,5.033898677051806,5.0609554078766905,-0.027056730824884134,3.9377909034442973,"22191"
"Sean Reynolds","MIA","AA",25,30.2,10.858694526558905,4.695651687160607,2.3125,0.29347823044753796,0.28461538,0.12307692,0.16153846,0.1875,1.2065216140621005,0.27027027,0.71808511,2.3478258435803037,3.3508542587716525,-1.0030284151913489,4.214753158761698,"22253"
"Owen White","TEX","AA",23,56.1,7.668639745645895,3.674556544788658,2.08695652,0.7988166401714474,0.21145374,0.10132159,0.11013216,0.20100503,1.1183432962400264,0.23972603,0.75409836,3.5147932167543687,4.633658763802296,-1.118865547047927,4.885093885816937,"22273"
"Matt Sauer","NYY","AA",24,68.1,10.931708130754286,3.819512479420172,2.86206897,1.4487805956421342,0.29537367,0.10320285,0.19217082,0.196,1.141463499596833,0.24358974,0.82043344,3.424390498790499,4.299992374746951,-0.8756018759564523,3.7072322857081423,"22284"
"Angel De Jesus","DET","AA",26,36.1,11.14679055125253,4.954129133890013,2.25,1.7339451968615047,0.28125,0.125,0.15625,0.22302158,1.403669921268837,0.27586207,0.66350711,4.211009763806511,5.037070191090175,-0.8260604272836636,4.002558489130641,"22323"
"Raymond Burgos","SFG","AA",24,37.1,8.919644072347923,3.6160719212221313,2.46666667,0.48214292282961746,0.24342105,0.09868421,0.14473684,0.20588235,1.1517858712040863,0.26804124,0.72815534,2.1696431527332787,3.2756020545959474,-1.1059589018626688,3.855202019894544,"22370"
"Michel Otanez","ARI","AA",25,33,15,5.7272727272727275,2.61904762,0.5454545454545454,0.36184211,0.13815789,0.22368421,0.23622047,1.5454545454545454,0.4,0.651341,5.454545454545454,3.4201030037619855,2.0344424507834686,3.6670500624360463,"22533"
"Keider Montero","DET","AA",22,69.1,11.8125008665599,4.024038756740185,2.93548387,0.9086539128122999,0.29641694,0.1009772,0.19543974,0.26545455,1.5000001100393523,0.37288136,0.67226891,4.932692669552486,3.3477174445016855,1.5849752250508002,3.5967907502457233,"22630"
