Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"R.J. Alaniz","DET","AA",26,2,1,2.097087689310861,23,2,0,0,3,3,,34.1,143,29,13,8,3,8,1,2,5,0,36,"10819"
"Mickey Jannis","NYM","AA",29,8,7,3.60490478203401,21,21,2,1,0,0,,122.1,498,115,56,49,10,38,0,4,7,0,83,"11071"
"Casey Sadler","PIT","AA",26,2,3,3.910345239083677,10,6,1,0,0,0,,48.1,195,49,21,21,5,3,0,1,0,1,40,"11209"
"Logan Darnell","TBR","AA",28,5,3,3.9776791133443443,12,12,0,0,0,0,,74.2,330,94,41,33,11,16,0,3,7,0,54,"11261"
"Jesse Biddle","ATL","AA",25,2,4,2.8993285621460205,27,0,0,0,2,3,,49.2,210,48,22,16,3,16,0,1,0,0,53,"11437"
"Deck McGuire","CIN","AA",28,9,9,2.7857142857142856,28,27,0,0,0,0,,168,670,125,58,52,13,57,0,4,5,2,170,"11596"
"Mike Kickham","MIA","AA",28,5,7,3.3287672972361575,18,17,2,1,0,0,,97.1,395,88,36,36,9,16,0,4,5,1,86,"11618"
"Myles Jaye","DET","AA",25,1,7,4.289719932037063,14,14,1,1,0,0,,71.1,318,77,41,34,8,23,0,6,6,0,73,"11769"
"Scott Snodgress","CHW","AA",27,0,2,4.864864864864865,23,4,0,0,1,0,,37,170,35,22,20,2,25,3,1,3,1,46,"12020"
"Scott McGough","BAL","AA",27,1,3,1.9484539147530648,27,0,0,0,13,3,,32.1,138,34,14,7,2,8,0,1,1,0,36,"12056"
"Jason Garcia","BAL","AA",24,6,4,5.256637523052757,38,0,0,0,0,1,,75.1,350,85,47,44,6,40,0,5,9,0,74,"12143"
"Domingo Tapia","CIN","AA",25,4,6,4.028226302143995,35,9,0,0,1,4,,82.2,361,93,37,37,8,25,0,4,2,0,81,"12178"
"Matt Tracy","MIN","AA",28,3,4,4.042781078545153,13,9,0,0,0,0,,62.1,262,63,34,28,6,22,0,2,0,0,53,"12240"
"Taylor Hill","WSN","AA",28,4,6,5.278846153846154,18,17,1,0,0,0,,104,455,120,72,61,16,27,0,7,4,0,49,"12515"
"Nick Ramirez","MIL","AA",27,7,4,1.3670886075949367,48,0,0,0,3,5,,79,312,56,19,12,4,24,1,2,3,0,56,"12575"
