Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Jordan Jones","CLE","AA",25,63,0.18055556,0.657894736,0.1,0.357142857,0.542857142,0.263157894,0.092105263,0.45033113,0.25165563,0.29801325,0.12583413,434,615,1049,"sa3009984"
"Gabriel Ponce","TOR","AA",24,45.1,0.33944954,0.692307692,0.2,0.327272727,0.472727272,0.192307692,0.076923076,0.42477876,0.22123894,0.3539823,0.15539739,312,531,843,"sa3009985"
"Zach Hart","CLE","AA",26,30.2,0.28571429,0.833333333,0.153846153,0.384615384,0.461538461,0.238095238,0.142857142,0.47916667,0.16666667,0.35416667,0.09339775,238,383,621,"sa3009997"
"Garvin Alston","WSN","AA",26,58.2,0.34594595,1.149253731,0.229946524,0.411764705,0.35828877,0.19402985,0.074626865,0.46596859,0.20418848,0.32984293,0.09418838,405,593,998,"sa3010238"
"Connor Van Scoyoc","COL","AA",23,41.2,0.32258065,1.386363636,0.1796875,0.4765625,0.34375,0.181818181,0.159090909,0.48091603,0.22900763,0.29007634,0.08345324,251,444,695,"sa3010243"
"Seth Mayberry","SDP","AA",23,41,0.34285714,1,0.188679245,0.405660377,0.405660377,0.279069767,0.116279069,0.41284404,0.19266055,0.39449541,0.12972292,308,486,794,"sa3010244"
"Austin Roberts","MIA","AA",24,41,0.28571429,1.657142857,0.198275862,0.5,0.301724137,0.314285714,0.171428571,0.49152542,0.22881356,0.27966102,0.13505747,272,424,696,"sa3010254"
"Triston Polley","TEX","AA",26,52.2,0.33974359,2.457142857,0.224358974,0.551282051,0.224358974,0.171428571,0.142857142,0.44099379,0.22360248,0.33540373,0.139748,323,550,873,"sa3010258"
"Andrew Bash","TOR","AA",26,40.2,0.3125,0.843137254,0.153153153,0.387387387,0.459459459,0.156862745,0.039215686,0.42608696,0.31304348,0.26086957,0.10472542,310,473,783,"sa3010259"
"Logan Gragg","STL","AA",24,106.2,0.31629393,1.016666666,0.259938837,0.373088685,0.366972477,0.233333333,0.183333333,0.48955224,0.25671642,0.25373134,0.11838516,683,1150,1833,"sa3010306"
"John Matthews","TEX","AA",25,44.2,0.328125,1.326086956,0.176923076,0.469230769,0.353846153,0.130434782,0.086956521,0.47727273,0.25757576,0.26515152,0.10383747,374,512,886,"sa3010311"
"Jason Blanchard","SDP","AA",26,36.2,0.39814815,1.838709677,0.185185185,0.527777777,0.287037037,0.129032258,0.193548387,0.36842105,0.27192982,0.35964912,0.12990528,277,462,739,"sa3010313"
"Jake Walkinshaw","OAK","AA",26,33.1,0.28846154,1.470588235,0.236363636,0.454545454,0.309090909,0.147058823,0.205882352,0.52252252,0.18918919,0.28828829,0.06998158,201,342,543,"sa3010317"
"Zach Vennaro","MIL","AA",27,41.2,0.32743363,3.636363636,0.072727272,0.727272727,0.2,0.181818181,0.045454545,0.43362832,0.2300885,0.33628319,0.12454655,354,473,827,"sa3010326"
