Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
"Johnny Barbato","TOR","AA",28,70.1,8.573460335642762,3.199052364045807,2.68,0.6398104728091614,0.21612903,0.08064516,0.13548387,0.2599278,1.3791470191664144,0.32682927,0.60204082,4.350711215102297,3.9419714332175824,0.40873978188471494,4.824362368002153,"11440"
"Akeel Morris","SFG","AA",28,54,10.833333333333334,1.8333333333333333,5.90909091,1.3333333333333333,0.29816514,0.05045872,0.24770642,0.23671498,1.1111111111111112,0.30597015,0.75819672,3.6666666666666665,3.6450607476411045,0.02160591902556197,3.171598141999157,"12185"
"Tyler Olson","BOS","AA",31,31,10.741935483870968,3.774193548387097,2.84615385,0.8709677419354839,0.26618705,0.09352518,0.17266187,0.21008403,1.2258064516129032,0.27848101,0.78431373,2.6129032258064515,4.321882730914701,-1.7089795051082493,4.430070808962468,"14741"
"Aaron Blair","SFG","AA",29,34.1,6.029127106768725,5.2427192232771525,1.15,1.0485438446554305,0.1483871,0.12903226,0.01935484,0.23622047,1.4563108953547648,0.26,0.6870229,4.45631133978558,6.136790729650051,-1.6804793898644714,6.221347446256228,"14934"
"Brandon Leibrandt","MIA","AA",28,31.1,6.031915505583287,4.021277003722191,1.5,1.1489362867777688,0.14788732,0.09859155,0.04929577,0.31451613,1.6914895333117153,0.35353535,0.58365759,6.606383648972171,5.444093153583587,1.162290495388584,5.845255831958495,"16135"
"A.J. Ladwig","DET","AA",28,101.1,7.282895102395264,1.598684290769692,4.55555556,2.04276326042794,0.19339623,0.04245283,0.1509434,0.25124378,1.1743421642073664,0.26262626,0.73788546,4.796052872309076,5.4989838491516485,-0.7029309768425724,4.88583630132219,"16266"
"Carlos Sanabria","KCR","AA",24,31,8.709677419354838,5.225806451612903,1.66666667,1.1612903225806452,0.23076923,0.13846154,0.09230769,0.13084112,1.032258064516129,0.1369863,0.85987261,2.6129032258064515,5.447315852872787,-2.8344126270663357,5.827455182613866,"16634"
"Montana DuRapau","OAK","AA",29,54.1,6.625767491418334,2.6503069965673336,2.5,0.6625767491418334,0.18691589,0.07476636,0.11214953,0.2244898,1.1042945819030558,0.26315789,0.67375887,3.9754604948510006,3.958101569546907,0.017358925304093553,4.99023023086019,"16768"
"Jose Cuas","KCR","AA",27,32.1,8.90721789601401,1.9484539147530648,4.57142857,0.27835055925043783,0.2406015,0.05263158,0.18796993,0.25,1.175257916835182,0.32967033,0.75129534,1.9484539147530648,2.737305759387749,-0.7888518446346839,3.540789582416698,"17701"
"Enmanuel De Jesus","BOS","AA",24,59,10.830508474576272,3.9661016949152543,2.73076923,0.3050847457627119,0.26296296,0.0962963,0.16666667,0.275,1.5593220338983051,0.38323353,0.67596567,3.9661016949152543,3.0747531519097797,0.8913485430054746,4.309085428386422,"18554"
"Pedro Avila","SDP","AA",24,52.1,9.974523262414946,3.611465319150239,2.76190476,0.6878981560286169,0.25663717,0.09292035,0.16371682,0.23737374,1.2993631836096098,0.31617647,0.66282421,4.643312553193164,3.8617395596270367,0.7815729935661273,4.730177837877746,"18864"
"Nick Hernandez","HOU","AA",26,54,11.333333333333334,4.666666666666667,2.42857143,0.8333333333333334,0.31192661,0.12844037,0.18348624,0.14973262,1.037037037037037,0.20175439,0.84615385,1.6666666666666667,3.8869813247963236,-2.2203146581296567,4.75036204032324,"19281"
"Cody Sedlock","BAL","AA",26,62.2,9.622339644546537,4.308510288602927,2.23333333,1.4361700962009758,0.23508772,0.10526316,0.12982456,0.24603175,1.468084987227664,0.29714286,0.7654321,4.595744307843122,5.031388441779171,-0.43564413393604884,4.759211034911853,"19357"
"Lucas Erceg","MIL","AA",26,47.2,8.49650258988573,6.608390903244456,1.28571429,0.9440558433206365,0.21126761,0.16431925,0.04694836,0.2183908,1.531468368053477,0.26612903,0.6,5.286712722595564,5.331609478989744,-0.04489675639417978,5.119391982405265,"19360"
"Tanner Tully","CLE","AA",26,74,7.783783783783784,2.189189189189189,3.55555556,0.7297297297297297,0.2,0.05625,0.14375,0.27272727,1.337837837837838,0.33039648,0.81589958,2.675675675675676,3.7721878747682314,-1.0965121990925555,4.435180999882318,"19518"
"Alan Rangel","ATL","AA",23,34,10.852941176470589,1.3235294117647058,8.2,0.7941176470588235,0.31060606,0.03787879,0.27272727,0.22047244,0.9705882352941176,0.30120482,0.55555556,4.5,2.5780103431028483,1.9219896568971517,3.0926733524045527,"19524"
"Cam Vieaux","PIT","AA",27,44,9,3.272727272727273,2.75,1.0227272727272727,0.23655914,0.08602151,0.15053763,0.20958084,1.1590909090909092,0.25423729,0.70212766,3.6818181818181817,4.288158390738747,-0.6063402089205656,4.807362518256361,"19529"
"Guillo Zuniga","LAD","AA",22,35.1,12.481133872141406,3.3113212313844547,3.76923077,1.273585088994021,0.33793103,0.08965517,0.24827586,0.19230769,1.0754718529282845,0.26315789,0.72727273,3.0566042135856506,3.8191966077873216,-0.762592394201671,3.8349354553461943,"19588"
"Caleb Boushley","SDP","AA",27,35.2,9.084110854088491,2.271027713522123,4,1.261682063067846,0.22929936,0.05732484,0.17197452,0.28767123,1.429906338143559,0.35238095,0.80434783,3.7850461892035385,4.208545776050339,-0.4234995868468001,3.8764037491626624,"19736"
"Gerson Garabito","SFG","AA",25,44,9,3.0681818181818183,2.93333333,0.6136363636363636,0.23157895,0.07894737,0.15263158,0.27011494,1.4090909090909092,0.34645669,0.68027211,4.295454545454546,3.492703845284202,0.802750700170344,3.889789615571499,"19835"
"Bryan Hudson","CHC","AA",24,54.2,8.39634068220737,3.621950882520826,2.31818182,0.3292682620473478,0.23287671,0.10045662,0.13242009,0.19689119,1.0975608734911595,0.25714286,0.6372549,3.1280484894498044,3.4381251173172593,-0.31007662786745493,3.7597944127574956,"19924"
"Jhon Romero","WSN","AA",26,47.2,10.951047782519383,1.888111686641273,5.8,0.9440558433206365,0.29145729,0.05025126,0.24120603,0.24193548,1.1538460307252225,0.32520325,0.80392157,2.8321675299619096,3.263682893125971,-0.4315153631640616,3.9404019242639614,"19940"
"Joey Wentz","DET","AA",23,53.1,9.787500933408825,5.568750531077436,1.75757576,1.1812501126527895,0.24892704,0.1416309,0.10729614,0.20603015,1.387500132322324,0.25373134,0.76687117,3.712500354051624,4.959181255698217,-1.2466809016465934,5.164736120625244,"19962"
"Calvin Faucher","TBR","AA",25,35.1,11.716979023739253,6.113206447168306,1.91666667,1.5283016117920765,0.27380952,0.14285714,0.13095238,0.28671329,1.8396223104904623,0.38461538,0.64236111,6.113206447168306,5.195682297090231,0.9175241500780746,4.474647399553161,"20116"
"Adam Oller","NYM","AA",26,76,11.25,3.4342105263157894,3.27586207,0.9473684210526315,0.29595016,0.09034268,0.20560748,0.22758621,1.25,0.31016043,0.67599068,4.026315789473684,3.607536381169369,0.41877940830431504,3.6013730320883424,"20132"
"Mike Baumann","BAL","AA",25,38.2,9.077585012819354,4.189654621301241,2.16666667,1.3965515404337467,0.24074074,0.11111111,0.12962963,0.2027972,1.2155170814886316,0.23469388,0.55555556,4.887930391518114,4.989568855135985,-0.10163846361787154,4.432804460079724,"20206"
"Zach Muckenhirn","CHW","AA",26,40.2,9.295080804658383,4.204917506869268,2.21052632,0.6639343431898844,0.25301205,0.11445783,0.13855422,0.20408163,1.204917882085346,0.26470588,0.91517857,1.770491581839692,3.69662168517417,-1.9261301033344778,4.007830091768442,"20209"
"Zach Logue","TOR","AA",25,35.2,12.86915704329203,1.7663548882949847,7.28571429,1.5140184756814155,0.35915493,0.04929577,0.30985916,0.24626866,1.1214951671714188,0.35064935,0.70552147,4.542055427044246,3.515431118011475,1.026624309032771,2.823873827495679,"20231"
"Daysbel Hernandez","ATL","AA",24,32.2,12.673467414471776,4.408162578946705,2.875,0.8265304835525071,0.34074074,0.11851852,0.22222222,0.19491525,1.1938773651313992,0.28985507,0.78212291,2.7551016118416904,3.3403152746044054,-0.5852136627627149,3.184166076154528,"20271"
"Jhonathan Diaz","LAA","AA",24,61,11.508196721311476,1.7704918032786885,6.5,0.7377049180327869,0.31075697,0.04780876,0.26294821,0.22123894,1.0163934426229508,0.31468531,0.70588235,3.9836065573770494,3.139244672900341,0.8443618844767085,3.264506688933881,"20298"
"Erich Uelmen","CHC","AA",25,69.2,8.2679437909934,4.004785273762428,2.06451613,1.1626795956084468,0.20645161,0.1,0.10645161,0.24150943,1.3636365627506475,0.28645833,0.73651452,4.521531760699515,5.1814443209841885,-0.6599125602846732,4.9617894013882875,"20323"
"Kyle Dohy","PHI","AA",24,37.1,13.50000183922929,3.8571433826369397,3.5,0.48214292282961746,0.37086093,0.10596026,0.26490066,0.13178295,0.8839286918542987,0.21126761,0.82872928,2.1696431527332787,2.9797167593119,-0.8100736065786212,3.4177658480845876,"20334"
"Jovani Moran","MIN","AA",24,37.2,15.292033333292823,3.345132291657805,4.57142857,0.7168140624981011,0.46043165,0.10071942,0.35971223,0.112,0.7433627314795123,0.18965517,0.84033613,1.9115041666616028,2.2317864752625916,-0.3202823086009887,2.0901213507472187,"20422"
"Bryan Sammons","MIN","AA",26,58.2,10.278408199795098,4.44886325065758,2.31034483,1.9943180089154668,0.26377953,0.11417323,0.1496063,0.23181818,1.363636245412285,0.27142857,0.62874251,6.443181259573047,5.8148009876574545,0.6283802719155922,4.987781034308055,"20462"
"Denyi Reyes","BOS","AA",24,57.2,9.832369074970835,1.5606935039636245,6.3,1.5606935039636245,0.25506073,0.04048583,0.2145749,0.27467811,1.2832368810367578,0.3375,0.75,4.213872460701786,4.313118908926216,-0.09924644822442996,3.9357357045394927,"20526"
"Kutter Crawford","BOS","AA",25,46.1,12.431656040949765,0.9712231281992003,12.8,1.3597123794788804,0.37209302,0.02906977,0.34302326,0.19760479,0.8201439749237691,0.27083333,0.74468085,3.302158635877281,3.0406109220029767,0.2615477138743043,2.803237076115834,"20531"
"Jackson Tetreault","WSN","AA",25,55.1,6.993976546503692,3.0903617298504686,2.26315789,1.3012049388844078,0.17916667,0.07916667,0.1,0.25570776,1.3554218113379248,0.28571429,0.79027356,3.7409641992926725,4.979286674256434,-1.2383224749637614,4.999170637332645,"20565"
"Anderson Severino","CHW","AA",26,31.2,9.378946426898914,7.105262444620389,1.32,0,0.24444444,0.18518519,0.05925926,0.17592593,1.389473544725765,0.25333333,0.69565217,3.126315475632971,3.8752239178422467,-0.7489084422092755,5.149627000050194,"20582"
"Elvis Luciano","TOR","AA",21,37,8.27027027027027,4.378378378378378,1.88888889,0.972972972972973,0.21656051,0.11464968,0.10191083,0.25179856,1.4324324324324325,0.30693069,0.78059072,3.1621621621621623,4.542458145038502,-1.3802959828763397,4.663316898893665,"20632"
"Cristofer Ogando","TBR","AA",27,36.2,12.763634593112656,3.681817671090189,3.46666667,0.9818180456240504,0.34210526,0.09868421,0.24342105,0.18518519,1.0909089395822782,0.26582278,0.65934066,3.681817671090189,3.3742670313779968,0.3075506397121921,3.364880035890714,"20667"
"Humberto Mejia","ARI","AA",24,32,10.40625,2.8125,3.7,1.96875,0.27819549,0.07518797,0.20300752,0.22131148,1.15625,0.25641026,0.63829787,4.21875,5.042073917388916,-0.8233239173889162,4.025478895101696,"20739"
"Elvin Rodriguez","DET","AA",23,75.2,9.515419781443024,3.4493396707730963,2.75862069,2.1409694508246804,0.24242424,0.08787879,0.15454546,0.23549488,1.295154359140856,0.26153846,0.66831683,5.828194616133852,5.96036536741003,-0.1321707512761776,5.044629656461013,"20962"
"Adrian Martinez","SDP","AA",24,80.2,9.260331746292964,2.677686288084713,3.45833333,0.4462810480141188,0.25382263,0.0733945,0.18042813,0.2147651,1.090909228478957,0.28436019,0.81235698,2.3429755020741236,3.144863131378327,-0.8018876293042032,4.081664552538456,"21023"
"Oliver Ortega","LAA","AA",24,30.2,13.499998600586746,3.8152169958179933,3.53846154,0.8804346913426139,0.33093525,0.09352518,0.23741007,0.264,1.4999998445096385,0.39473684,0.44392523,6.1630428393982974,3.042844139876119,3.1201986995221787,3.1397032294220537,"21025"
"Luis Gil","NYY","AA",23,30.2,14.673911522376898,3.8152169958179933,3.84615385,0.5869564608950759,0.38461538,0.1,0.28461538,0.20512821,1.2065216140621005,0.33846154,0.76023392,2.6413040740278415,2.3741268884932714,0.26717718553457015,3.3677715863388036,"21052"
"Alexis Diaz","CIN","AA",24,42.1,14.88189155180822,4.251969014802349,3.5,0.42519690148023487,0.38888889,0.11111111,0.27777778,0.19230769,1.1811025041117635,0.33333333,0.6640625,3.826772113322114,2.4094136514136726,1.4173584619084414,3.1679834996197163,"21132"
"J.P. France","HOU","AA",26,33.2,13.366334614316035,3.7425736920084898,3.57142857,0.5346533845726414,0.35211268,0.09859155,0.25352113,0.21875,1.24752456400283,0.34210526,0.6377551,4.2772270765811315,2.529079011481998,1.7481480650991337,3.388248762771186,"21212"
"Jonathan Bermudez","HOU","AA",25,78.2,12.127120212247197,2.402542683558407,5.04761905,0.8008475611861356,0.32317073,0.06402439,0.25914634,0.23684211,1.182203542703343,0.34031414,0.73085847,3.317797039199705,2.8566924809108105,0.4611045582888944,3.1638891129471944,"21241"
"Andre Jackson","LAD","AA",25,63.1,10.657895592771478,2.8421054914057273,3.75,1.7052632948434363,0.29644269,0.07905138,0.2173913,0.20087336,1.0421053468487667,0.23943662,0.86466165,3.268421315116586,4.711152963664731,-1.4427316485481452,4.122358788252795,"21298"
