Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Brett Kerry","LAA","AA",24,6,4,3.878873406160313,23,20,0,0,2,0,,118.1,488,100,54,51,23,40,1,1,3,1,106,"sa3017390"
"Adrian Chaidez","HOU","AA",24,1,6,6.750000757329689,18,6,0,0,0,1,,45.1,209,38,37,34,6,33,2,7,10,0,50,"sa3017417"
"Matt Osterberg","PHI","AA",24,1,1,3.2637366057738215,6,6,0,0,0,0,,30.1,121,26,12,11,3,6,0,0,0,0,30,"sa3017462"
"Aaron Brown","HOU","AA",24,5,2,4.295454971061307,26,14,0,0,2,1,,102.2,450,111,59,49,13,36,0,2,3,0,110,"sa3017500"
"Alex Cornwell","STL","AA",24,2,1,2.6999996254661385,7,7,0,0,0,0,,36.2,148,35,14,11,2,8,0,1,1,0,31,"sa3017501"
"Lael Lockhart","DET","AA",25,6,3,4.161654612795563,26,12,0,0,0,2,,88.2,383,76,46,41,9,45,0,4,5,0,107,"sa3017502"
"Christopher Troye","BOS","AA",24,0,0,3.774193548387097,24,0,0,0,0,0,,31,144,20,17,13,0,27,0,2,4,0,50,"sa3017530"
"Bryan Pope","STL","AA",24,2,2,4.21875,24,0,0,0,0,1,,32,155,42,23,15,4,14,0,3,0,0,32,"sa3017532"
"Carlos Tavera","BAL","AA",24,3,7,4.857741206052288,23,17,0,0,0,0,,79.2,368,70,57,43,15,58,0,2,14,2,89,"sa3017536"
"Wyatt Olds","BOS","AA",23,0,7,8.474451610876864,23,8,0,0,0,2,,45.2,237,42,45,43,4,47,0,13,10,0,54,"sa3017539"
"Peter Van Loon","BAL","AA",24,2,7,6.037266508562881,18,11,0,0,1,1,,53.2,241,57,37,36,12,23,0,3,6,0,70,"sa3017543"
"Rhett Kouba","HOU","AA",23,7,5,3.272727272727273,23,21,0,0,0,0,,110,451,95,48,40,12,23,0,10,5,0,118,"sa3017544"
"Jacob Webb","BOS","AA",24,8,3,5.033898305084746,41,0,0,0,0,4,,59,266,50,39,33,5,38,1,3,8,1,65,"sa3017547"
"Justin Armbruester","BAL","AA",24,3,2,2.467741935483871,12,12,1,0,0,0,,62,252,52,21,17,5,19,0,3,3,1,43,"sa3017548"
"Alex Pham","BAL","AA",23,0,2,2.670329446450584,14,9,0,0,1,0,,60.2,235,43,20,18,5,17,0,0,3,0,54,"sa3017550"
"Luke Albright","ARI","AA",23,8,5,5.464285714285714,25,25,0,0,0,0,,112,514,118,74,68,11,69,0,4,5,1,136,"sa3017592"
"Jake Rice","ARI","AA",25,5,0,7.5,40,0,0,0,3,0,,42,201,37,35,35,5,34,1,7,4,0,58,"sa3017593"
"Jack Sinclair","WSN","AA",24,2,5,4.122136924436505,35,0,0,0,1,3,,43.2,189,39,22,20,8,25,1,3,7,1,45,"sa3017596"
"Riley Martin","CHC","AA",25,5,1,3.5217391304347827,30,0,0,0,4,0,,46,197,32,25,18,3,28,0,2,6,0,78,"sa3017601"
"Dustin Saenz","WSN","AA",24,5,5,4.438356164383562,15,15,0,0,0,0,,73,299,77,36,36,8,19,0,3,3,1,42,"sa3017610"
"Ryan Long","BAL","AA",23,3,3,6.51063829787234,12,6,0,0,1,0,,47,206,52,34,34,8,17,0,1,0,1,42,"sa3017616"
"Sam Benschoter","CIN","AA",25,7,12,7.277628630985445,27,27,0,0,0,0,,123.2,576,137,102,100,29,67,0,13,13,0,140,"sa3017639"
"Luke Murphy","LAA","AA",23,3,3,4.959183673469388,44,1,0,0,2,0,,49,223,53,33,27,4,27,0,1,4,2,62,"sa3017653"
"Adam McKillican","COL","AA",25,3,0,6.210000947570945,25,0,0,0,1,1,,33.1,155,36,26,23,5,14,0,3,3,1,33,"sa3017687"
"Haylen Green","CHW","AA",25,1,0,5.5588235294117645,27,0,0,0,5,1,,34,156,36,22,21,3,16,1,4,0,0,34,"sa3017716"
"Thomas Farr","CIN","AA",24,1,7,7.634483562020512,11,11,0,0,0,0,,48.1,226,59,50,41,8,22,0,6,5,2,22,"sa3017720"
"Ben Harris","LAD","AA",23,2,3,4.877418874687059,46,0,0,0,2,3,,51.2,236,32,32,28,4,48,1,5,13,1,74,"sa3017779"
"Ryan Sublette","LAD","AA",24,2,4,6.274648561574217,43,1,0,0,2,5,,47.1,227,38,35,33,6,46,0,6,7,0,60,"sa3017781"
"Walker Powell","CHC","AA",27,11,6,3.675,25,21,0,0,0,0,,120,475,105,57,49,23,25,0,3,1,4,109,"sa3017815"
"Houston Harding","LAA","AA",25,1,0,7.381295774313923,17,2,0,0,0,0,,46.1,218,53,39,38,7,31,0,2,1,0,46,"sa3017820"
"RJ Petit","DET","AA",23,2,4,3.8322576872541183,37,1,0,0,2,1,,51.2,235,62,29,22,6,17,0,5,0,1,48,"sa3017848"
"Will Dion","CLE","AA",23,3,4,2.602409638554217,17,15,0,0,0,0,,83,329,67,27,24,6,25,0,1,1,3,88,"sa3017850"
"Nick Zwack","SFG","AA",24,5,7,6.555555555555555,24,16,0,0,0,2,,81,365,93,62,59,14,32,0,3,1,1,91,"sa3017867"
"Zac Leigh","CHC","AA",25,3,2,4.114285714285714,25,0,0,0,2,1,,35,150,26,17,16,4,16,0,3,2,0,52,"sa3017873"
"Tyler Samaniego","PIT","AA",24,2,1,5.5140850995652215,41,1,0,0,6,2,,47.1,208,51,31,29,2,23,0,4,2,0,54,"sa3017876"
"Landon Marceaux","LAA","AA",23,3,7,5.459016393442623,13,13,0,0,0,0,,61,274,77,47,37,7,20,0,2,7,0,45,"sa3017913"
"Jamison Hill","ARI","AA",24,7,6,4.3474576271186445,26,25,0,0,0,0,,118,521,95,60,57,13,74,0,10,9,2,104,"sa3017935"
"Danny Watson","NYY","AA",22,4,0,1.643478478934708,30,0,0,0,5,1,,38.1,151,18,8,7,5,16,0,3,3,0,43,"sa3017952"
"Jaylen Nowlin","MIN","AA",22,3,1,3.8230083333232057,9,7,0,0,0,0,,37.2,173,31,21,16,4,22,0,8,8,0,35,"sa3017978"
"Blake Beers","OAK","AA",24,3,10,7.809918340247079,18,17,0,0,0,0,,80.2,374,98,76,70,16,34,0,12,6,0,74,"sa3018004"
"Ricky Tiedemann","TOR","AA",20,0,5,5.0625,11,11,0,0,0,0,,32,146,28,22,18,1,20,0,2,1,1,58,"sa3018096"
"Davis Sharpe","CLE","AA",23,7,5,4.3021974415037185,41,0,0,0,3,8,,60.2,269,67,38,29,8,16,2,5,12,0,64,"sa3018112"
"Tyler Mattison","DET","AA",23,2,0,1.6200002471924206,22,3,0,0,4,1,,33.1,136,20,9,6,0,18,1,0,3,1,46,"sa3018117"
"Chandler Champlain","KCR","AA",23,5,5,3.8219178082191783,14,14,0,0,0,0,,73,302,64,38,31,11,25,0,4,3,0,64,"sa3018138"
"Tommy Mace","CLE","AA",24,4,5,5.489010528815089,14,9,0,0,1,0,,60.2,279,69,40,37,9,36,0,3,3,4,51,"sa3018140"
"Blake Holub","DET","AA",24,1,3,3.7933889081200096,30,0,0,0,7,2,,40.1,162,36,19,17,6,13,0,2,4,1,44,"sa3018147"
"Hunter Stanley","CLE","AA",25,4,11,4.915966386554622,26,24,0,0,0,0,,119,523,116,76,65,16,49,0,1,6,2,108,"sa3018148"
"Jack Leftwich","CLE","AA",24,6,7,5.1923076923076925,23,14,0,0,0,0,,78,326,71,48,45,12,25,0,1,6,1,70,"sa3018169"
"Chad Dallas","TOR","AA",23,7,3,4.096552155230519,18,18,0,0,0,0,,96.2,414,85,48,44,15,37,0,6,3,2,107,"sa3018180"
"Orlando Ortiz-Mayr","LAD","AA",25,3,8,5.785713800642932,13,11,0,0,0,1,,60.2,271,65,40,39,9,19,0,9,12,5,48,"sa3018181"
"Sean Sullivan","PIT","AA",22,8,4,3.8797657431115957,24,21,1,0,0,1,,113.2,476,106,53,49,13,38,0,4,2,0,97,"sa3018185"
"Russell Smith","MIL","AA",24,1,3,5.108108108108108,21,1,0,0,0,1,,37,168,37,22,21,8,18,0,5,5,0,47,"sa3018191"
"Anthony Solometo","PIT","AA",20,2,4,4.354838280970589,12,12,0,0,0,0,,51.2,217,49,27,25,6,14,0,3,2,3,50,"sa3018259"
"Yu-Min Lin","ARI","AA",19,5,2,4.278688524590164,11,11,0,0,0,0,,61,259,49,34,29,7,26,0,8,2,1,64,"sa3019278"
"Ryan Middendorf","MIL","AA",25,3,1,3.744525130387452,32,0,0,0,2,2,,45.2,209,54,24,19,4,12,1,6,3,0,43,"sa3019506"
"Duncan Snider","SDP","AA",25,0,4,5.633094143555362,13,11,0,0,0,0,,46.1,214,48,32,29,5,33,1,4,2,1,32,"sa3019695"
