Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Andrew Bellatti","NYY","AA",27,2,0,5.282608148055683,21,0,0,0,0,0,,30.2,133,33,20,18,4,8,0,2,2,0,27,"10657"
"Mickey Jannis","NYM","AA",31,7,5,3.100840336134454,20,18,1,0,0,0,,119,504,123,48,41,2,31,0,4,9,0,103,"11071"
"Aaron Barrett","WSN","AA",31,0,2,2.7515926241144677,50,0,0,0,31,3,,52.1,218,39,20,16,6,16,0,5,1,0,62,"11243"
"Zach Lee","NYM","AA",27,5,1,2.091549520524739,8,8,0,0,0,0,,47.1,186,37,13,11,3,6,0,2,0,0,37,"11468"
"Williams Perez","STL","AA",28,6,3,5.61386181020165,13,13,0,0,0,0,,67.1,297,77,43,42,10,28,1,2,0,0,70,"11592"
"Jason Garcia","TBR","AA",26,7,1,5.073824983755536,10,8,0,0,0,0,,49.2,225,60,31,28,3,21,0,5,3,0,35,"12143"
"Logan Verrett","OAK","AA",29,1,0,3.932039417457865,7,4,0,0,0,0,,34.1,133,30,15,15,4,4,0,1,0,0,33,"12905"
"Mauricio Cabrera","CHW","AA",25,4,3,4.5,41,1,0,0,1,1,,48,246,52,28,24,2,47,1,6,10,0,67,"12975"
"Jordan Weems","BOS","AA",26,0,2,3.8863636363636362,33,0,0,0,8,0,,44,196,40,23,19,1,27,1,1,4,0,55,"13190"
"Damien Magnifico","ARI","AA",28,1,0,2.8079996572266044,41,0,0,0,4,2,,41.2,185,45,15,13,1,18,0,2,3,0,56,"13395"
"Joel Payamps","ARI","AA",25,3,4,2.8770488204894993,7,7,1,1,0,0,,40.2,160,40,17,13,2,2,0,0,2,0,39,"14332"
"Robinson Leyer","BOS","AA",26,1,1,4.5,24,1,0,0,1,0,,34,157,32,19,17,0,24,0,2,5,0,41,"14399"
"Yunior Marte","KCR","AA",24,3,3,1.588235294117647,23,0,0,0,1,2,,34,136,22,8,6,1,13,0,0,4,0,35,"14416"
"Konner Wade","BOS","AA",27,6,4,2.737762383828457,17,13,0,0,0,0,,95.1,380,89,30,29,5,13,0,4,0,0,64,"14655"
"Jonathan Aro","ATL","AA",28,3,3,3.4511282154890037,22,2,0,0,1,1,,44.1,182,43,20,17,2,9,1,1,1,0,31,"14699"
"Brady Lail","NYY","AA",25,3,1,1.7419354838709677,14,1,0,0,1,1,,31,121,18,6,6,1,12,0,0,1,0,47,"14707"
"Sam Moll","SFG","AA",27,1,2,2.58260903832597,35,0,0,0,2,2,,38.1,168,32,18,11,0,20,3,3,3,0,42,"14874"
"Jason Hursh","ATL","AA",27,3,3,3.4468085106382977,34,0,0,0,2,2,,47,197,41,21,18,1,15,2,1,10,1,32,"14914"
"Kyle McGowin","WSN","AA",27,1,1,2.5051550332539403,6,6,0,0,0,0,,32.1,124,22,10,9,2,9,0,1,2,0,36,"15071"
"Collin Wiles","TEX","AA",25,0,3,5.516129032258065,9,7,0,0,0,0,,31,130,31,19,19,5,9,0,1,1,0,22,"15106"
"Ashton Goudeau","COL","AA",26,3,3,2.0680852406658574,16,16,0,0,0,0,,78.1,302,60,23,18,4,12,0,2,2,1,91,"15139"
"Kevin McGowan","WSN","AA",27,2,3,4.2631578947368425,7,7,0,0,0,0,,38,154,30,20,18,4,14,0,1,2,0,32,"15215"
"Kyle Lloyd","SDP","AA",28,8,7,4.336363636363636,26,14,0,0,3,0,,110,471,119,60,53,20,35,1,2,5,0,100,"15378"
"Hunter Harvey","BAL","AA",24,2,5,5.186440677966102,14,11,0,0,1,0,,59,257,63,40,34,14,21,0,6,2,0,61,"15507"
"Ronald Herrera","TEX","AA",24,2,6,6.129729224150026,13,12,0,0,0,0,,61.2,275,79,45,42,12,11,0,3,5,0,44,"15688"
"Rob Kaminsky","CLE","AA",24,2,1,2.2978725735555376,19,0,0,0,1,1,,31.1,123,22,11,8,2,8,1,1,5,2,30,"15792"
"Devin Williams","MIL","AA",24,7,2,2.362500225305579,31,0,0,0,4,0,,53.1,220,34,16,14,3,29,0,1,7,0,76,"15816"
"Brett Graves","MIA","AA",26,2,4,2.2,32,0,0,0,3,0,,45,182,27,15,11,3,21,1,2,5,0,52,"16218"
