Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Brady Lail","TOR","AA",28,1,2,7.3125,13,2,0,0,0,0,,32,148,45,26,26,6,10,0,2,1,1,35,"14707"
"Braden Shipley","SEA","AA",30,3,1,3.7865850135445003,47,0,0,0,0,1,,54.2,239,35,29,23,5,36,0,9,3,0,58,"15158"
"Ronald Herrera","WSN","AA",27,5,9,4.395348837209302,24,24,1,0,0,0,,129,532,120,71,63,16,34,0,5,5,0,114,"15688"
"Rob Kaminsky","SEA","AA",27,3,1,4.909090228120252,39,0,0,0,1,2,,36.2,165,35,24,20,5,19,0,3,8,0,39,"15792"
"Brandon Leibrandt","CHC","AA",29,2,2,3.3061219342100285,11,3,0,0,0,1,,32.2,131,35,13,12,5,5,0,1,1,0,44,"16135"
"Daniel Gossett","MIN","AA",29,3,1,2.2610840837576855,14,11,1,1,0,0,,67.2,277,44,22,17,4,29,0,2,6,3,71,"16164"
"A.J. Ladwig","DET","AA",29,8,6,4.036545055125547,20,17,0,0,0,0,,100.1,427,122,54,45,12,11,0,4,0,0,73,"16266"
"Scott Blewett","CHW","AA",26,7,6,5.027027027027027,24,22,0,0,0,0,,111,494,122,69,62,13,44,0,4,16,3,99,"16427"
"Bubby Rossman","PHI","AA",30,2,2,3.022387715537488,29,9,0,0,1,1,,44.2,182,29,18,15,3,25,0,0,4,1,56,"17179"
"Emmanuel Ramirez","NYY","AA",27,4,1,1.9285716913184698,26,0,0,0,2,0,,37.1,139,21,9,8,4,11,0,1,2,1,45,"17304"
"Jordan Yamamoto","NYM","AA",26,1,1,4.547367964557049,14,3,0,0,2,0,,31.2,142,33,20,16,7,10,0,4,1,0,34,"17585"
"Franklyn Kilome","WSN","AA",27,3,3,3.5625,9,8,0,0,0,0,,48,194,36,20,19,3,11,0,5,1,1,51,"17861"
"Brett Kennedy","BOS","AA",27,3,6,3.942478142289568,23,12,0,0,5,0,,75.1,322,74,38,33,8,27,0,5,4,0,60,"17877"
"Thomas Eshelman","SDP","AA",28,3,5,4.580357766881366,14,14,2,0,0,0,,74.2,325,94,45,38,8,11,1,2,3,1,41,"18361"
"Anderson Espinoza","CHC","AA",24,1,4,7.105263973065595,13,12,0,0,0,0,,44.1,194,40,37,35,10,25,0,5,5,1,54,"18593"
