Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Aaron Northcraft","SDP","AA",26,2,2,2.8770488204894993,7,7,0,0,0,0,,40.2,160,33,15,13,4,9,0,5,3,0,27,"10218"
"Preston Claiborne","SFG","AA",28,2,1,2.382353208469302,34,0,0,0,3,2,,45.1,178,30,15,12,4,13,1,0,6,0,49,"10500"
"Madison Younginer IV","ATL","AA",25,0,3,2.9763783103616444,35,0,0,0,14,3,,42.1,170,33,14,14,1,12,0,3,2,0,47,"10636"
"R.J. Alaniz","DET","AA",25,4,3,2.7739723128256273,34,0,0,0,4,5,,48.2,209,50,17,15,1,18,3,3,3,0,49,"10819"
"Perci Garner","CLE","AA",27,5,1,1.9411764705882353,23,0,0,0,2,2,,51,198,37,13,11,1,11,0,2,4,0,47,"10887"
"Mickey Jannis","NYM","AA",28,3,11,5.652892561983471,23,22,0,0,0,0,,121,543,120,82,76,9,66,2,8,11,0,71,"11071"
"Casey Lawrence","TOR","AA",28,3,6,4.56,13,13,0,0,0,0,,75,318,92,42,38,8,13,0,1,0,1,50,"11121"
"Lisalverto Bonilla","LAD","AA",26,1,2,3.3750004598073224,7,7,0,0,0,0,,37.1,156,33,15,14,2,13,0,1,2,0,39,"11266"
"Seth Frankoff","LAD","AA",27,3,4,4.153845805589797,21,9,0,0,0,1,,60.2,265,73,36,28,2,15,0,1,9,0,58,"11346"
"Danny Barnes","TOR","AA",26,2,1,1.0093456504542768,24,0,0,0,1,0,,35.2,126,17,5,4,3,4,0,0,0,0,40,"11388"
"Joely Rodriguez","PHI","AA",24,7,0,2.5714285714285716,33,0,0,0,2,4,,49,198,46,18,14,3,16,1,0,5,0,41,"11487"
"Parker Bridwell","BAL","AA",24,1,1,4.526945694157429,18,7,0,0,1,0,,55.2,249,56,33,28,7,28,0,3,1,0,38,"11502"
"Lendy Castillo","DET","AA",27,3,4,5.684210142930815,42,1,0,0,0,1,,50.2,228,51,34,32,4,27,0,3,7,5,52,"11562"
"Jose Campos","ARI","AA",23,6,3,3.1695650071142443,13,13,1,1,0,0,,76.2,308,67,28,27,1,19,0,4,4,0,63,"11681"
"Josh Lucas","STL","AA",25,4,2,3.2468351294761244,38,0,0,0,16,3,,52.2,217,47,20,19,5,12,3,0,4,0,61,"11686"
"Tayron Guerrero","SDP","AA",25,1,4,3.823008526911058,31,0,0,0,4,1,,37.2,154,31,17,16,2,13,0,2,1,0,40,"11691"
"Myles Jaye","DET","AA",24,4,8,4.035326421598884,21,21,1,0,0,0,,122.2,520,127,60,55,11,29,1,3,12,0,104,"11769"
"Alberto Baldonado","NYM","AA",23,0,1,5.132232052162366,34,0,0,0,0,1,,40.1,189,48,25,23,5,23,0,0,6,0,47,"11812"
"Taylor Cole","TOR","AA",26,3,4,3.7945942816166824,12,11,0,0,0,0,,61.2,259,70,32,26,6,17,0,0,1,0,54,"11964"
"Jason Garcia","BAL","AA",23,6,10,4.7304586101405395,24,24,1,0,0,0,,123.2,545,137,73,65,5,54,0,9,11,0,71,"12143"
