Season,Team,Basic (5yr),3yr,1yr,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
2023,"Angels",101.29506587982178,101.12084150314331,99.05596971511841,100.4589319229126,96.71912789344788,100.46632289886475,107.28873014450073,101.93865299224854,101.18898153305054,99.43535923957825,99.44618344306946,102.39170789718628,92.64362454414368,101.24362707138062
2023,"Orioles",98.56865406036377,97.10665941238403,94.23011541366577,103.76675128936768,94.96904611587524,102.09541320800781,96.27394676208496,98.25732707977295,97.87158966064453,99.85011219978333,99.86639618873596,101.45512819290161,98.85333776473999,99.50490593910217
2023,"Red Sox",104.38545942306519,104.42445278167725,106.11687898635864,104.20104265213013,110.39491891860962,116.3636326789856,99.16085600852966,98.33974838256836,100.80152750015259,103.52014303207397,98.28214049339294,100.63157081604004,100.98379850387573,100.47276020050049
2023,"White Sox",100.45922994613647,100.73747634887695,99.12546873092651,99.60662126541138,96.21235132217407,84.22868847846985,105.95141649246216,99.41668510437012,101.55102014541626,99.37398433685303,103.82885932922363,98.87800812721252,103.18886041641235,102.95246839523315
2023,"Guardians",98.78320693969727,98.85804653167725,94.9593186378479,99.70523715019226,101.28936767578125,88.79749178886414,98.25435876846313,100.61260461807251,100.78209638595581,100.72903633117676,96.38009667396545,98.81993532180786,96.13054394721985,98.78185987472534
2023,"Tigers",100.2009391784668,101.54027938842773,104.9472451210022,99.82459545135498,100.35887956619263,122.72040843963623,93.30310821533203,97.74113893508911,101.86560153961182,99.82823729515076,101.38082504272461,100.72494745254517,107.79448747634888,99.96987581253052
2023,"Royals",103.04536819458008,104.68674898147583,106.92428350448608,104.79164123535156,109.29356813430786,115.50087928771973,95.03558874130249,96.21084928512573,101.16395950317383,103.57036590576172,100.73450803756714,107.0175051689148,97.72836565971375,99.66753125190735
2023,"Twins",100.63598155975342,100,100.71922540664673,99.29313659667969,104.49486970901489,94.4922685623169,99.43762421607971,100.59528350830078,102.3646593093872,98.69560599327087,102.2740364074707,96.72706127166748,103.04768085479736,99.86650943756104
2023,"Yankees",98.95467758178711,99.8677134513855,99.39077496528625,97.70395159721375,96.82736396789551,84.88929867744446,107.0604681968689,100.51103830337524,100.34648180007935,97.86621332168579,104.40033674240112,98.30023050308228,101.68049335479736,101.7898678779602
2023,"Athletics",96.36880159378052,97.34646081924438,94.98736262321472,99.68727827072144,99.68246221542358,100,90.20385146141052,100.31253099441528,100.44629573822021,99.77065920829773,100.20142793655396,101.09726190567017,100.5655288696289,96.53988480567932
2023,"Mariners",93.58069896697998,93.09969544410706,95.15635967254639,96.00040316581726,92.60210990905762,79.13907170295715,96.90227508544922,103.24039459228516,97.45833277702332,97.5536584854126,99.3879497051239,95.59969902038574,106.12542629241943,95.83312273025513
2023,"Rays",96.29061222076416,98.19703698158264,98.49137663841248,96.25963568687439,97.67822027206421,101.6589879989624,96.0628092288971,102.02010869979858,100.54211616516113,97.37741947174072,99.4022786617279,96.46115899085999,100.33271312713623,97.19507098197937
2023,"Rangers",98.70871305465698,100.8845567703247,108.51351022720337,98.50656390190125,100.03899335861206,97.6838231086731,104.19249534606934,100.63561201095581,100.60157775878906,98.98881912231445,102.54582166671753,99.00383949279785,96.45527601242065,100.68740844726562
2023,"Blue Jays",99.41961765289307,98.8152027130127,95.39722800254822,99.10371899604797,102.7708888053894,91.38374924659729,100.19019842147827,100.22263526916504,98.36598038673401,99.90629553794861,99.52440857887268,101.90205574035645,100.23586750030518,101.44712924957275
2023,"Diamondbacks",100.69136619567871,100.0201940536499,97.16574549674988,103.61142158508301,105.49168586730957,117.67857074737549,91.43933057785034,99.4660496711731,99.67647790908813,102.74721384048462,97.73955345153809,103.8968563079834,95.24659514427185,96.61431312561035
2023,"Braves",100.19729137420654,98.90123009681702,102.35130786895752,101.51429176330566,98.31761717796326,101.69388055801392,98.1482982635498,101.7756700515747,99.74614381790161,100.65382719039917,97.90641665458679,99.98024702072144,93.96737813949585,98.06650876998901
2023,"Cubs",97.87291288375854,95.2854335308075,102.47677564620972,100,94.92805600166321,109.6787691116333,97.80742526054382,100.68475008010864,97.75106906890869,99.71044063568115,97.46831059455872,100.77364444732666,99.47373867034912,98.33685755729675
2023,"Reds",104.48400974273682,104.39990758895874,99.76775050163269,101.14208459854126,101.3507604598999,84.31673645973206,118.19123029708862,102.03356742858887,102.12928056716919,99.43413138389587,100.93291997909546,100.84235668182373,109.51160192489624,104.99674081802368
2023,"Rockies",113.26296329498291,114.31635618209839,115.23809432983398,107.74357318878174,109.54586267471313,135.1570963859558,107.18286037445068,96.23748660087585,99.900221824646,106.60046339035034,97.18513488769531,108.69768857955933,93.01121234893799,105.27466535568237
2023,"Marlins",101.11123323440552,105.93887567520142,102.68595218658447,102.23100185394287,102.74447202682495,106.2999963760376,97.62097001075745,99.80903267860413,100.55711269378662,101.1733889579773,99.78762865066528,100.86450576782227,98.38893413543701,100.06976127624512
2023,"Astros",99.430912733078,99.7410237789154,98.01750779151917,98.12111854553223,99.29015636444092,108.73316526412964,100.32937526702881,101.1067271232605,99.26486015319824,98.94915223121643,96.45729660987854,101.7441987991333,98.9718496799469,99.59779977798462
2023,"Dodgers",99.05889630317688,97.26681113243103,93.39519739151001,96.50269150733948,97.05192446708679,84.63414907455444,107.53600597381592,99.87049102783203,96.39369249343872,97.4321186542511,101.12389326095581,96.8500018119812,98.2612669467926,102.84181833267212
2023,"Brewers",98.95289540290833,98.72815012931824,101.7241358757019,96.90895080566406,95.91037034988403,102.46093273162842,104.75612878799438,103.26049327850342,101.74367427825928,95.84558606147766,101.76868438720703,97.23709225654602,103.08548212051392,100.1989483833313
2023,"Nationals",99.52143430709839,100.44456720352173,102.53511667251587,98.90706539154053,99.38281774520874,92.23231673240662,100.40456056594849,98.42379093170166,98.39327931404114,100.07336139678955,102.31529474258423,98.28991889953613,100.19528865814209,100.29493570327759
2023,"Mets",96.23397588729858,95.9980845451355,96.02167010307312,95.94281315803528,94.83065605163574,86.45161390304565,98.79339337348938,101.53064727783203,102.81538963317871,97.33043909072876,100.47231912612915,95.60063481330872,107.88644552230835,99.3422269821167
2023,"Phillies",101.45114660263062,100.76943635940552,99.69203472137451,98.29106330871582,96.94873690605164,104.28836345672607,104.82698678970337,99.93240237236023,100.49937963485718,98.84456396102905,100.40245056152344,99.72062110900879,104.42224740982056,101.95101499557495
2023,"Pirates",101.48885250091553,102.67302989959717,101.14566087722778,102.7574896812439,105.2527904510498,95.54770588874817,94.26977634429932,96.98805212974548,101.59475803375244,102.10109949111938,102.14083194732666,101.76024436950684,96.21817469596863,99.59301948547363
2023,"Cardinals",97.47448563575745,99.65763688087463,104.26217317581177,101.3137698173523,97.18066453933716,93.29995512962341,94.62421536445618,97.39971160888672,97.52112627029419,101.05462074279785,100.63145160675049,99.30330514907837,101.66258811950684,97.93744087219238
2023,"Padres",95.80420255661011,94.95182037353516,96.019446849823,96.56184911727905,96.45645022392273,81.04643821716309,102.12748050689697,102.33986377716064,98.7160325050354,97.81559109687805,100.41757822036743,98.3475387096405,103.70548963546753,99.08714890480042
2023,"Giants",97.31312394142151,95.81183791160583,92.34462380409241,100.88225603103638,103.16582918167114,111.94899082183838,91.32478833198547,98.3152449131012,97.76198863983154,103.2906174659729,96.96505069732666,97.19661474227905,93.32917928695679,96.28081917762756
