"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Acuña Jr., Ronald","660670","2022","-8","33.3","-1","-1.1","0.8","-1.3","31.6","36","12"
"Adell, Jo","666176","2022","-3","40.5","-0.4","-2.3","0.5","-2.2","31.3","37","15"
"Almora Jr., Albert","546991","2022","4","58.5","0.2","0.3","0","0.5","33.9","41","24"
"Arozarena, Randy","668227","2022","-2","40.4","-0.5","-0.2","-0.2","-0.9","31.1","52","21"
"Baddoo, Akil","668731","2022","0","57.6","-0.5","-0.3","0","-0.8","32.2","33","19"
"Bader, Harrison","664056","2022","4","63.9","1.3","0.1","-0.3","1.1","35.6","36","23"
"Bellinger, Cody","641355","2022","4","51.7","0.6","0","0.4","1","34.8","60","31"
"Benintendi, Andrew","643217","2022","-2","45.1","0.2","0","0.2","0.4","33.5","51","23"
"Betts, Mookie","605141","2022","3","59.4","0.8","0.2","0.2","1.3","34.5","69","41"
"Bradley Jr., Jackie","598265","2022","6","52.3","0.8","2.4","-0.9","2.3","36.4","65","34"
"Calhoun, Kole","594777","2022","-1","38.1","-0.8","1","-0.9","-0.7","32","42","16"
"Canha, Mark","592192","2022","-2","42.1","-0.5","-0.2","0.2","-0.5","32.7","57","24"
"Carlson, Dylan","666185","2022","1","46.8","-0.8","-0.9","0.6","-1.1","32.6","62","29"
"Castellanos, Nick","592206","2022","-10","31.4","-1.8","-0.2","-0.2","-2.3","31.4","70","22"
"Castro, Willi","650489","2022","0","45.7","1","1.3","-0.7","1.6","34.4","35","16"
"Celestino, Gilberto","665482","2022","2","57.6","0.3","0.2","0.2","0.6","34.8","59","34"
"Daza, Yonathan","602074","2022","0","41.4","-0.6","1","-0.7","0","33.7","58","24"
"De La Cruz, Bryan","650559","2022","-2","41.9","0.5","-0.3","0.4","0.6","33.4","43","18"
"Duran, Jarren","680776","2022","-3","37.8","0.7","1.7","-1.5","0.8","35.3","37","14"
"Gallo, Joey","608336","2022","0","42.5","0.1","1.1","-0.2","1","33.9","40","17"
"Gamel, Ben","592325","2022","-2","47.7","-1.2","-1","0.1","-2.1","31.4","44","21"
"García, Adolis","666969","2022","2","51.6","0.3","0.7","-0.2","0.8","33.7","64","33"
"García, Avisaíl","541645","2022","-1","36.8","-2","-1","0.6","-2.4","29.4","38","14"
"Gonzalez, Oscar","660757","2022","-3","40","-0.9","0.3","-0.7","-1.3","30.9","35","14"
"González, Luis","670768","2022","1","57.5","0.3","1.3","0","1.5","34.3","40","23"
"Gordon, Nick","624503","2022","1","45.9","-0.7","-0.4","0","-1.1","32.1","37","17"
"Greene, Riley","682985","2022","2","58.3","0.7","2","-1.4","1.3","36","60","35"
"Grichuk, Randal","545341","2022","1","46","0.1","-1.3","0.7","-0.5","32.3","63","29"
"Grisham, Trent","663757","2022","13","65.5","0.7","2.3","-1.7","1.2","35.2","84","55"
"Grossman, Robbie","543257","2022","-1","46.3","-0.6","0.8","-0.8","-0.6","32","54","25"
"Gurriel Jr., Lourdes","666971","2022","-5","40.8","-1.2","-0.3","0.1","-1.4","31","49","20"
"Happ, Ian","664023","2022","4","56.8","-0.6","1.4","-1","-0.2","32.8","81","46"
"Harris II, Michael","671739","2022","5","57.9","1.5","0.1","-0.1","1.6","36","57","33"
"Hays, Austin","669720","2022","-7","35.8","-0.5","-0.7","0.2","-0.9","32.1","67","24"
"Hernandez, Yadiel","628450","2022","-4","31.6","-2","0.2","-0.2","-2","31.3","38","12"
"Hernández, Teoscar","606192","2022","-3","43.9","-0.5","-0.6","0.8","-0.3","33","57","25"
"Hicks, Aaron","543305","2022","-1","43.8","-0.5","0.4","0","-0.1","34.2","48","21"
"Isbel, Kyle","664728","2022","11","58.9","3","2.3","-0.5","4.8","38.6","56","33"
"Joe, Connor","656582","2022","-2","40","-0.5","-0.1","0.2","-0.4","32.2","35","14"
"Judge, Aaron","592450","2022","1","49.2","-0.3","-0.5","0.3","-0.5","33.2","63","31"
"Kepler, Max","596146","2022","9","50.9","0.6","-0.1","0.4","0.9","33.5","53","27"
"Kwan, Steven","680757","2022","9","60.3","1.7","0.1","-0.1","1.7","34.9","78","47"
"Laureano, Ramón","657656","2022","-3","36.7","0.8","2","-0.7","2.1","35.7","49","18"
"Marsh, Brandon","669016","2022","6","62.9","1","-0.4","0.4","1","35.1","62","39"
"Marte, Starling","516782","2022","-2","32.7","0.1","0","0.5","0.6","32.9","49","16"
"McCarthy, Jake","664983","2022","-2","28.9","-0.4","-1.3","0.4","-1.3","31","38","11"
"McCormick, Chas","676801","2022","7","59.2","1.3","0.7","0.5","2.5","35.7","49","29"
"Merrifield, Whit","593160","2022","0","45.9","0","-0.2","0.2","0.1","33.4","37","17"
"Mullins, Cedric","656775","2022","8","55.7","1","-0.5","0.6","1.1","34.8","97","54"
"Naquin, Tyler","571980","2022","-2","30.3","-1.2","-0.6","-0.3","-2.1","30.4","33","10"
"Nimmo, Brandon","607043","2022","3","49","0.3","-1.3","0.6","-0.4","34.4","51","25"
"Nootbaar, Lars","663457","2022","1","43.5","0.7","-0.4","-0.1","0.1","32.8","46","20"
"O'Neill, Tyler","641933","2022","2","50","0.2","-0.7","0.7","0.2","31.9","42","21"
"Ortega, Rafael","542364","2022","-1","35.3","0.1","-0.3","0.4","0.2","33.1","34","12"
"Pache, Cristian","665506","2022","4","63.4","0.8","0.6","-0.4","1","35.3","41","26"
"Pederson, Joc","592626","2022","-8","26","-1.4","-1","0","-2.4","30.9","50","13"
"Peralta, David","444482","2022","5","53.6","0.3","0.4","-0.2","0.5","33.8","56","30"
"Pham, Tommy","502054","2022","-3","39.7","-0.4","-0.4","0.4","-0.4","32.2","58","23"
"Phillips, Brett","621433","2022","9","77.1","2.5","1.9","-0.2","4.2","38.3","35","27"
"Pinder, Chad","640461","2022","-1","48.5","-1.5","0.7","-0.9","-1.7","30.5","33","16"
