"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Aoki, Norichika","493114","2016","-3","44","0","0.3","-0.4","-0.1","32.6","50","22"
"Bautista, José","430832","2016","-4","34.1","-2.7","-0.4","0.5","-2.5","28.6","44","15"
"Betts, Mookie","605141","2016","13","63.5","0.7","1.5","-0.3","1.9","34.2","85","54"
"Blackmon, Charlie","453568","2016","0","49.4","0.1","-1.2","0.5","-0.6","32.7","77","38"
"Blanco, Grégor","453923","2016","-2","41.2","-0.4","0.2","-0.8","-1","31.4","34","14"
"Bourjos, Peter","488721","2016","7","63.5","1.1","0.2","-0.1","1.2","33.8","63","40"
"Bourn, Michael","456422","2016","1","50.9","0.7","-0.6","0.3","0.5","33.5","53","27"
"Bradley Jr., Jackie","598265","2016","11","56","0.9","3.2","-2.1","2","35.3","91","51"
"Braun, Ryan","460075","2016","-8","29.8","-1.3","1","-0.6","-0.9","31.7","57","17"
"Bruce, Jay","457803","2016","0","42","-0.1","1.5","-0.8","0.6","33.2","81","34"
"Burns, Billy","542993","2016","-2","37.8","-0.2","-0.8","0.4","-0.5","32.4","37","14"
"Buxton, Byron","621439","2016","7","64.8","1.2","-1.5","0.7","0.4","34.1","54","35"
"Cabrera, Melky","466320","2016","-9","25","-2.3","-1.5","0.7","-3","28.9","68","17"
"Cain, Lorenzo","456715","2016","4","50","0.6","-0.2","0.1","0.4","33.5","62","31"
"Calhoun, Kole","594777","2016","-1","43.6","-0.1","0","0.8","0.7","33.4","78","34"
"Carrera, Ezequiel","485567","2016","-2","51.4","-0.2","-0.5","0.5","-0.2","32.3","37","19"
"Cespedes, Yoenis","493316","2016","-10","27.7","-1.1","-1.8","0.6","-2.3","30.6","65","18"
"Chisenhall, Lonnie","502082","2016","-3","41.1","-0.1","1.1","-0.7","0.3","32.4","56","23"
"Conforto, Michael","624424","2016","0","48.6","0.2","1.5","-0.7","0.9","33.4","37","18"
"Crisp, Coco","424825","2016","0","51.6","1.2","1.4","0","2.6","35.3","62","32"
"Davis, Khris","501981","2016","3","55","-0.9","0.2","0.2","0.4","32.5","40","22"
"Davis, Rajai","434658","2016","0","48.2","-0.6","-1.7","0.5","-1.7","31.1","56","27"
"Desmond, Ian","435622","2016","5","58.4","0.6","-1.1","0.6","0","33.7","89","52"
"Drury, Brandon","592273","2016","-5","34.1","-2.4","1.2","-1.6","-2.5","29.8","44","15"
"Duvall, Adam","594807","2016","3","50","0","1.9","-1.3","0.6","32.3","72","36"
"Dyson, Jarrod","502481","2016","6","69.2","1.7","-0.1","0","1.6","35.1","39","27"
"Eaton, Adam","594809","2016","14","60.2","0.8","1.1","-0.3","1.6","34","103","62"
"Ellsbury, Jacoby","453056","2016","2","50.8","1.2","-0.5","0.6","1.2","34.7","65","33"
"Flores, Ramón","570717","2016","-7","33.3","-1.1","-0.1","-0.2","-1.5","30.4","33","11"
"Fowler, Dexter","451594","2016","-6","36.2","-1.1","-1.2","-0.3","-2.7","31.3","58","21"
"Gardner, Brett","458731","2016","2","52.3","0.8","0.2","0.5","1.4","33.7","65","34"
"Goeddel, Tyler","595963","2016","-2","38.9","-0.4","-0.6","0.4","-0.7","32.1","36","14"
"González, Carlos","471865","2016","-2","40","-0.5","1.4","-1.7","-0.9","31.7","70","28"
"Gordon, Alex","460086","2016","1","49","-0.5","-1","0.6","-1","31.4","51","25"
"Granderson, Curtis","434158","2016","0","44.7","-0.7","-0.7","0.8","-0.2","31.7","76","34"
"Grichuk, Randal","545341","2016","-3","47.1","0.9","-1.3","0.2","-0.1","33.1","70","33"
"Grossman, Robbie","543257","2016","-6","28.6","-0.4","-0.3","-0.5","-1.2","30.2","42","12"
"Guyer, Brandon","446386","2016","1","55.9","0.6","1.1","0","1.6","34.3","34","19"
"Gómez, Carlos","460576","2016","-7","39.7","-0.3","-0.5","0.1","-0.7","32.8","68","27"
"Hamilton, Billy","571740","2016","20","73.8","1.8","1","-0.3","2.5","35.7","65","48"
"Harper, Bryce","547180","2016","-3","44.8","-0.1","-0.3","-0.3","-0.7","31.9","58","26"
"Herrera, Odúbel","546318","2016","6","56","1.4","1.5","-1.3","1.5","34.8","91","51"
"Heyward, Jason","518792","2016","12","61.9","2.2","1","-0.3","3","35.4","63","39"
"Hicks, Aaron","543305","2016","0","58.5","-0.4","-0.9","0","-1.3","31.4","41","24"
"Holliday, Matt","407812","2016","-6","27.8","-1.7","-1","0.7","-2.1","30","36","10"
"Holt, Tyler","534627","2016","-4","30.3","-0.5","0","0","-0.5","32.6","33","10"
"Inciarte, Ender","542255","2016","16","69.7","1.3","2.8","-1","3.3","36.9","89","62"
"Jackson, Austin","457706","2016","1","45","0.6","1","-1.4","0.1","33.1","40","18"
"Jankowski, Travis","608671","2016","4","61.5","2","-1.6","0.2","0.6","33.9","52","32"
"Jay, Jon","445055","2016","-2","33.3","-0.2","0.5","-0.2","0","33.6","39","13"
"Jones, Adam","430945","2016","0","47.1","-0.7","-0.4","-0.2","-1.3","32.2","87","41"
"Kemp, Matt","461314","2016","-19","24.7","-2.7","-1.2","-0.2","-4.1","28.2","97","24"
"Kendrick, Howie","435062","2016","0","52.3","-1.2","1.2","-0.2","-0.3","32.1","44","23"
"Kepler, Max","596146","2016","13","65.2","1.3","-0.6","0.7","1.3","34","69","45"
"Kiermaier, Kevin","595281","2016","11","78.3","2.8","1.4","-0.2","4.1","37.6","46","36"
