"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Arozarena, Randy","668227","2021","-1","46.8","-1.1","0.3","-0.3","-1","30.9","47","22"
"Baddoo, Akil","668731","2021","-2","41.1","-0.1","-0.5","0.6","-0.1","32.6","56","23"
"Bader, Harrison","664056","2021","10","66.7","1.9","-0.2","-0.3","1.4","35.3","57","38"
"Bellinger, Cody","641355","2021","0","46.2","0.6","-0.4","0.3","0.5","34.2","39","18"
"Benintendi, Andrew","643217","2021","0","46.3","-0.2","-0.5","0.3","-0.4","32","67","31"
"Betts, Mookie","605141","2021","0","49.1","0","0.4","-0.3","0.2","32.4","57","28"
"Blackmon, Charlie","453568","2021","-10","27.3","-1.1","-1.5","0.8","-1.9","30","55","15"
"Bradley Jr., Jackie","598265","2021","-1","47.5","0.3","2.4","-1.5","1.1","34.1","40","19"
"Brantley, Michael","488726","2021","-3","33.3","-0.9","-0.4","0.3","-1","30.5","36","12"
"Canha, Mark","592192","2021","-2","43.9","-0.8","0.1","0.1","-0.7","32.3","66","29"
"Carlson, Dylan","666185","2021","-2","45.5","-1.3","-0.8","0.8","-1.3","31.5","66","30"
"Castellanos, Nick","592206","2021","-6","25.4","-1.6","0.7","-0.9","-1.8","30.9","59","15"
"Conforto, Michael","624424","2021","-1","42.2","-0.8","0","-0.1","-1","31.1","45","19"
"Daza, Yonathan","602074","2021","3","58.3","0.2","0.4","-0.8","-0.2","32.7","36","21"
"Dickerson, Corey","572816","2021","-1","48.8","0.4","1","-0.3","1.1","34.3","41","20"
"Dozier, Hunter","641531","2021","-8","32.4","-2.2","-1.2","-0.3","-3.7","29.2","37","12"
"Duggar, Steven","621453","2021","4","47.4","1.4","0","0.3","1.7","34.8","38","18"
"Duvall, Adam","594807","2021","3","57.3","0.5","1.2","-0.8","1","34.1","75","43"
"Fraley, Jake","641584","2021","0","50","0.7","-1.1","0.4","0","31.7","34","17"
"Gallo, Joey","608336","2021","4","44.3","0.9","1.3","-0.6","1.6","33.7","61","27"
"Gamel, Ben","592325","2021","-11","18.4","-1.5","-1.3","0.3","-2.5","30.3","49","9"
"García, Adolis","666969","2021","6","58.8","1.1","1","-0.3","1.7","34.8","85","50"
"García, Avisaíl","541645","2021","-3","50","-0.9","-0.8","0.4","-1.2","30.9","50","25"
"Gardner, Brett","458731","2021","-1","42.6","0.6","-0.2","0","0.3","33.5","61","26"
"Grichuk, Randal","545341","2021","2","57.1","-0.4","-1.5","0.6","-1.3","31.4","56","32"
"Grisham, Trent","663757","2021","4","55.6","0.6","2.6","-1.9","1.3","34.6","72","40"
"Grossman, Robbie","543257","2021","-4","43.8","-0.5","0","-0.2","-0.7","31.4","80","35"
"Gurriel Jr., Lourdes","666971","2021","-2","46.5","-1.1","0.1","0.1","-1","31.3","43","20"
"Hampson, Garrett","641658","2021","4","56.5","1.2","-0.5","0.3","1","34.8","46","26"
"Haniger, Mitch","571745","2021","-5","44.4","-0.1","0.3","0.1","0.2","32.6","72","32"
"Happ, Ian","664023","2021","-4","34.9","-0.6","0.2","-0.3","-0.7","31.3","43","15"
"Harper, Bryce","547180","2021","-2","41.1","-0.6","-0.5","0","-1.1","31.7","56","23"
"Hays, Austin","669720","2021","-1","46.8","-0.4","-0.7","0.2","-1","30.9","47","22"
"Heredia, Guillermo","628338","2021","5","60","0.9","0.7","-1","0.5","33.7","45","27"
"Hernández, Enrique","571771","2021","8","70.7","1.2","4.5","-2.4","3.3","36.9","41","29"
"Hernández, Teoscar","606192","2021","0","38.3","-1.5","0.1","0","-1.3","30.3","60","23"
"Herrera, Odúbel","546318","2021","3","50","1","1.7","-0.7","2.1","35.8","50","25"
"Heyward, Jason","518792","2021","2","52","0.3","0.4","0","0.7","33","50","26"
"Hill, Derek","656537","2021","1","45.5","-0.2","-1.2","0.3","-1.1","32.9","33","15"
"Judge, Aaron","592450","2021","-2","46.7","-0.9","-1","0.3","-1.6","30.6","60","28"
"Kelenic, Jarred","672284","2021","-1","38.7","0.7","0.6","-0.7","0.5","33.3","62","24"
"Kepler, Max","596146","2021","6","60","0.4","0.4","0.3","1.1","33.4","50","30"
"Kiermaier, Kevin","595281","2021","10","74","2.2","0.5","0.2","2.9","36.5","50","37"
"Lagares, Juan","501571","2021","1","51.3","1.1","0.9","-0.3","1.7","34.7","39","20"
"Laureano, Ramón","657656","2021","1","48.9","-0.1","2.7","-1.6","0.9","34.8","47","23"
"Margot, Manuel","622534","2021","14","68.2","0.6","1.7","-0.8","1.5","34.6","66","45"
"Marsh, Brandon","669016","2021","1","58.3","0.9","-0.3","-0.1","0.5","34.5","36","21"
"Marte, Ketel","606466","2021","-3","48.8","-1.4","-1.1","-0.2","-2.7","30.9","41","20"
"Marte, Starling","516782","2021","2","50","-0.3","-0.5","0.5","-0.4","32.8","64","32"
"McCormick, Chas","676801","2021","10","73.8","1.3","0.4","0.5","2.2","34.6","42","31"
"McCutchen, Andrew","457705","2021","-5","32.6","-0.8","-1.3","1","-1.1","31.2","43","14"
"McKenna, Ryan","663630","2021","3","51.4","0.1","-0.8","0.3","-0.3","31.7","35","18"
"Mullins, Cedric","656775","2021","7","51.7","1.2","-0.6","0.7","1.2","34.8","87","45"
"Myers, Wil","571976","2021","-2","53.2","-0.7","-1.1","0.4","-1.4","31.2","47","25"
"Naquin, Tyler","571980","2021","-6","25","-0.6","-0.2","-0.5","-1.3","31.8","40","10"
"Nimmo, Brandon","607043","2021","1","57.1","-0.8","-0.8","0.6","-0.2","33","42","24"
"O'Neill, Tyler","641933","2021","5","59.3","0","-0.8","0.8","-0.1","32.2","54","32"
"Ortega, Rafael","542364","2021","-2","42.9","-0.2","-0.9","0.7","-0.4","33.5","35","15"
"Pederson, Joc","592626","2021","-6","32.1","-1.5","-0.7","-0.7","-2.9","29.5","53","17"
"Peralta, David","444482","2021","2","54","-0.8","0.3","-0.3","-0.8","31.8","63","34"
"Pham, Tommy","502054","2021","-5","30.4","-0.3","-0.3","0","-0.6","31.9","56","17"
"Phillips, Brett","621433","2021","7","64.3","1.5","1.1","-0.1","2.5","35.3","42","27"
"Polanco, Gregory","570256","2021","-2","35.7","-1.4","0","0.5","-0.9","31.3","42","15"
"Pollock, AJ","572041","2021","-3","33.3","-0.2","-1.2","0.3","-1.1","31.5","42","14"
"Ramírez, Harold","623912","2021","-4","46.2","-0.5","0","0.4","-0.1","32.8","52","24"
