"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Acuña Jr., Ronald","660670","2019","2","47.1","0.1","-0.5","0.3","-0.2","32.9","68","32"
"Almora Jr., Albert","546991","2019","4","52.7","1.1","1.1","-0.4","1.8","35.2","55","29"
"Bader, Harrison","664056","2019","11","67.9","2.4","0.4","-0.4","2.4","35.7","53","36"
"Bellinger, Cody","641355","2019","7","62.5","1.3","0.5","-0.2","1.6","33.9","56","35"
"Benintendi, Andrew","643217","2019","-5","20.8","-0.6","-1","0.9","-0.7","31.1","48","10"
"Betts, Mookie","605141","2019","3","54.4","0.3","0","0.4","0.7","33.4","79","43"
"Blackmon, Charlie","453568","2019","-10","37.1","-1.2","-1.3","0.3","-2.2","30.1","70","26"
"Bradley Jr., Jackie","598265","2019","7","56.9","0.5","2.8","-2.2","1.1","34.7","65","37"
"Brantley, Michael","488726","2019","-1","32.1","-0.9","0.5","0","-0.5","31.8","53","17"
"Braun, Ryan","460075","2019","-5","44.4","-1.3","1.7","-0.8","-0.5","32.5","45","20"
"Broxton, Keon","542979","2019","7","71.1","1.4","0.6","-0.1","1.8","35.2","38","27"
"Buxton, Byron","621439","2019","9","66","0.5","-0.5","0.5","0.5","33.6","47","31"
"Cabrera, Melky","466320","2019","-5","24.2","-2.6","-1.8","0.9","-3.5","28.3","33","8"
"Cain, Lorenzo","456715","2019","13","62","1.1","0.7","-0.4","1.4","34.9","79","49"
"Calhoun, Kole","594777","2019","1","45.1","-0.5","0.7","-0.7","-0.5","32.1","91","41"
"Canha, Mark","592192","2019","-2","52.7","-0.8","0.5","-0.5","-0.8","32.4","55","29"
"Castellanos, Nick","592206","2019","-4","38.1","-1.3","0.2","-0.5","-1.7","30.7","63","24"
"Choo, Shin-Soo","425783","2019","-8","34.8","-1.8","-1.5","0.5","-2.9","29.5","46","16"
"Conforto, Michael","624424","2019","3","48.9","0.4","1.2","-1.6","-0.1","32.3","92","45"
"Cordell, Ryan","641477","2019","6","56.1","1.4","1.2","-0.5","2.1","34.6","41","23"
"Dahl, David","621311","2019","1","45.3","0.8","-0.9","0.7","0.6","33.4","53","24"
"DeShields, Delino","592261","2019","10","65.1","1.4","-0.9","0.5","1","34.3","63","41"
"Desmond, Ian","435622","2019","-5","35.3","0","-1.3","0.6","-0.7","31.8","51","18"
"Duggar, Steven","621453","2019","2","62.9","0.3","0.6","-0.8","0.1","33.3","35","22"
"Dyson, Jarrod","502481","2019","4","56.4","1.3","0.5","-0.5","1.2","34.3","55","31"
"Eaton, Adam","594809","2019","-1","46.7","0.1","1.1","-0.9","0.3","32.7","92","43"
"Engel, Adam","641553","2019","5","60.6","2","-0.9","0.7","1.8","35.2","33","20"
"Fowler, Dexter","451594","2019","-4","37.1","-1","-1","-0.1","-2.1","30.5","62","23"
"García, Avisaíl","541645","2019","1","54.8","-0.4","-0.2","0.4","-0.2","33","42","23"
"García, Leury","544725","2019","4","46","1.7","0.6","0.2","2.5","35.3","50","23"
"Gardner, Brett","458731","2019","0","44.2","0.4","-0.5","0.6","0.4","33.5","77","34"
"Goodwin, Brian","571718","2019","2","52.2","0.3","0.4","-0.3","0.3","33.3","46","24"
"Gordon, Alex","460086","2019","-3","34.2","-0.9","-0.6","0.6","-0.9","31.4","73","25"
"Granderson, Curtis","434158","2019","-3","44.7","-1.3","0.1","0","-1.2","31.7","38","17"
"Grichuk, Randal","545341","2019","5","49.3","0.4","-1.3","0.9","0.3","32.7","67","33"
"Grossman, Robbie","543257","2019","4","57.4","0.9","0.9","-0.1","1.7","34.1","54","31"
"Hamilton, Billy","571740","2019","3","58.2","0.9","0.3","-0.3","0.8","34.7","55","32"
"Harper, Bryce","547180","2019","0","43.8","0.4","-0.6","0.3","0.1","32.5","73","32"
"Haseley, Adam","656514","2019","4","58.3","-0.1","-0.2","0.1","0.5","33.3","36","21"
"Heredia, Guillermo","628338","2019","4","61.1","1.5","1.4","-0.4","2.4","35.4","36","22"
"Hernández, Teoscar","606192","2019","-3","39.6","-1.1","-0.6","0.6","-1.2","31.3","53","21"
"Heyward, Jason","518792","2019","10","56.9","0.9","0.5","-0.1","1.3","34","65","37"
"Jiménez, Eloy","650391","2019","-8","31.9","-1.4","-0.3","0.7","-1","31.9","47","15"
"Jones, Adam","430945","2019","-5","26.9","-2.3","-0.8","0.3","-2.7","29.5","52","14"
"Jones, JaCoby","592444","2019","-2","34.8","-0.7","-0.5","-0.5","-1.7","31.7","46","16"
"Judge, Aaron","592450","2019","9","70.4","0.5","-1.3","0.8","0","32.2","54","38"
"Kepler, Max","596146","2019","5","63","0.1","-0.4","0.8","0.5","33.8","54","34"
"Kiermaier, Kevin","595281","2019","16","75","2.7","1.1","0","3.9","37.8","68","51"
"Lagares, Juan","501571","2019","3","57.1","1.1","1.2","-0.6","1.7","35.3","42","24"
"Laureano, Ramón","657656","2019","-2","47.5","0.6","1.9","-1.4","1.1","34.6","61","29"
"Locastro, Tim","641796","2019","1","45.9","-0.5","0","-0.4","-1","31","37","17"
"Mancini, Trey","641820","2019","-6","38.1","-1.9","0.1","-0.3","-2.1","30.2","42","16"
"Margot, Manuel","622534","2019","9","67.2","1.2","1.7","-0.7","2.2","35.9","61","41"
"Marisnick, Jake","545350","2019","6","64.1","1.9","-0.2","-0.2","1.5","34.9","39","25"
"Markakis, Nick","455976","2019","-2","43.4","-0.8","-0.1","-0.3","-1.2","31.3","53","23"
"Marte, Ketel","606466","2019","-1","44.1","-0.6","-0.4","-0.3","-1.3","31.4","34","15"
"Marte, Starling","516782","2019","7","52.9","1.3","-0.1","0.5","1.7","35","68","36"
"Martin, Leonys","547982","2019","1","51.4","-0.7","1.6","-1.1","-0.3","32.7","35","18"
"Martínez, José A.","500874","2019","-8","20.5","-1.8","-0.3","-0.1","-2.2","30.9","39","8"
"Mazara, Nomar","608577","2019","1","52.1","-1.2","-0.4","0.4","-1.2","30.9","48","25"
"McNeil, Jeff","643446","2019","-4","35.3","0.1","-0.1","-0.2","-0.2","32.4","34","12"
"Meadows, Austin","640457","2019","1","53.3","0.9","-1.1","0.7","0.4","32.1","45","24"
"Mercado, Óscar","640458","2019","6","62.1","0","1.2","-0.6","0.5","33.2","66","41"
"Merrifield, Whit","593160","2019","-1","42.9","-0.6","-0.3","0","-0.9","31.4","42","18"
"Myers, Wil","571976","2019","1","54","0.4","-1.2","0.5","-0.3","33.4","50","27"
"Naquin, Tyler","571980","2019","1","56.4","-0.2","-1","0.3","-0.8","31.1","39","22"
"Nimmo, Brandon","607043","2019","1","60","0.2","-0.5","0.3","0","33.2","35","21"
"Ozuna, Marcell","542303","2019","-6","40","-1.1","0.1","0","-1","31.5","55","22"
"Pederson, Joc","592626","2019","1","50","-0.5","0.2","-0.7","-1.1","31.3","44","22"
"Peralta, David","444482","2019","-1","49.1","-0.8","-0.3","0","-1.1","31.4","55","27"
"Pham, Tommy","502054","2019","-9","30.2","-0.7","-0.4","-0.1","-1.1","31.2","53","16"
"Pillar, Kevin","607680","2019","5","54.1","-0.5","0","0.6","0.1","33.7","85","46"
"Piscotty, Stephen","572039","2019","0","47.5","-0.2","-0.9","0.4","-0.7","31.4","40","19"
"Pollock, AJ","572041","2019","-7","33.3","-0.7","-1.8","0.5","-2","31.3","42","14"
"Puig, Yasiel","624577","2019","2","34.8","-1.2","-1.2","0.5","-1.9","28.9","66","23"
"Ramírez, Harold","623912","2019","-4","42.6","-1.5","-0.1","-0.1","-1.7","30.6","54","23"
"Reddick, Josh","502210","2019","2","54.8","-0.2","0.9","0.4","1.1","33.2","62","34"
"Renfroe, Hunter","592669","2019","5","53","0.4","0.8","-0.5","0.7","33.4","66","35"
"Reyes, Franmil","614177","2019","-1","46.2","-1.7","-0.1","0.2","-1.6","31.5","39","18"
"Reynolds, Bryan","668804","2019","1","46.9","0.8","-0.8","0.6","0.6","33","64","30"
"Robles, Victor","645302","2019","18","67.8","1.3","0.3","-0.4","1.3","34.4","87","59"
"Rosario, Eddie","592696","2019","-12","27.7","-0.8","-0.5","0.1","-1.3","31","65","18"
"Santana, Domingo","570267","2019","-12","26.7","-2.3","-1.1","0.4","-3","29","60","16"
"Santander, Anthony","623993","2019","-4","35","-0.6","-0.9","0.5","-1","31.9","40","14"
"Schwarber, Kyle","656941","2019","-6","29.5","-0.9","-0.4","0.2","-1.2","30.7","61","18"
"Senzel, Nick","669222","2019","0","43.1","0.7","-0.7","0.2","0.3","33.6","51","22"
"Smith Jr., Dwight","596105","2019","-7","31.1","-1.9","-0.3","0","-2.1","30.4","45","14"
"Smith, Mallex","605480","2019","11","66.2","1","0.3","0.2","1.5","34.5","68","45"
"Soto, Juan","665742","2019","4","55.3","0.5","1.7","-0.7","1.5","33.8","85","47"
