"id","name","pitches","rv_tot","pct_tot","rv_11","pct_11","rv_12","pct_12","rv_13","pct_13","rv_14","pct_14","rv_16","pct_16","rv_17","pct_17","rv_18","pct_18","rv_19","pct_19"
656180,"Adams, Riley",3189,-8.496495696916552,0.428125,0,0.2,-1,0.45901639344262296,0,0.25316455696202533,0,0.6098654708520179,-3,0.5914396887159533,0,0.31343283582089554,-3,0.40816326530612246,-1,0.1276595744680851
543877,"Vázquez, Christian",7438,5.500467080006196,0.4816530103313146,0,0.2318181818181818,3,0.5633423180592992,1,0.25555555555555554,2,0.6345381526104418,0,0.6339285714285714,0,0.2983425414364641,1,0.508130081300813,0,0.23278688524590163
663698,"Bart, Joey",6036,-4.055522340504152,0.4695201037613489,-1,0.18181818181818182,-1,0.5458515283842795,0,0.15267175572519084,-4,0.5740740740740741,1,0.6816037735849056,0,0.27906976744186046,1,0.4892703862660944,0,0.26521739130434785
592663,"Realmuto, J.T.",9583,2.417669476596115,0.4840281537628587,0,0.21052631578947367,-2,0.4339622641509434,0,0.23756906077348067,4,0.6696035242290749,-1,0.6420612813370473,2,0.3557312252964427,0,0.5152671755725191,-1,0.23877068557919623
669257,"Smith, Will",7518,0.5195216621943035,0.4730926430517711,-1,0.19306930693069307,-3,0.44168734491315137,0,0.21637426900584794,-1,0.6144329896907217,1,0.682842287694974,-1,0.21568627450980393,2,0.5261437908496732,3,0.2730496453900709
543228,"Gomes, Yan",5074,-0.6616135150017115,0.46659969864389755,1,0.2689655172413793,2,0.5596707818930041,0,0.15789473684210525,2,0.6666666666666666,-3,0.5498575498575499,-1,0.31736526946107785,-1,0.49748743718592964,-2,0.15816326530612246
553869,"Díaz, Elias",7475,-10.008315028458336,0.43894952251023195,2,0.2676056338028169,2,0.5412087912087912,-1,0.15384615384615385,5,0.657051282051282,-9,0.5104364326375711,-1,0.27755102040816326,-5,0.4071969696969697,-3,0.16943521594684385
643376,"Jansen, Danny",4200,-1.2848057694365307,0.4660436137071651,0,0.15789473684210525,0,0.5104166666666666,-1,0.12162162162162163,2,0.6754385964912281,-1,0.6035714285714285,0,0.3482142857142857,-2,0.4807692307692308,-1,0.18994413407821228
672386,"Kirk, Alejandro",5168,7.695403018313028,0.507928388746803,0,0.2413793103448276,-1,0.4697986577181208,-1,0.15151515151515152,4,0.7082294264339152,-2,0.6076294277929155,2,0.42011834319526625,4,0.5829493087557603,0,0.20982142857142858
542194,"Bethancourt, Christian",3330,1.1729666275271078,0.47026169706582077,-1,0.14516129032258066,0,0.46113989637305697,0,0.22727272727272727,-1,0.60625,2,0.677536231884058,0,0.26229508196721313,0,0.5141843971631206,0,0.2158273381294964
