"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","H","1B","2B","3B","HR","TB","R","RBI","BB","K","HBP","SB","CS","SF","SH","GDP","GUILLEN"
150551,694212,"Samuel Basallo",20,2025,"BAL",31,118,109,18,8,6,0,4,36,10,15,6,30,3,0,0,0,0,5,60
170244,805811,"Bryce Eldridge",20,2025,"SF",10,37,28,3,1,2,0,0,5,1,4,7,13,1,0,0,1,0,0,0
147956,691406,"Junior Caminero",21,2025,"TB",154,653,602,159,86,28,0,45,322,93,110,41,125,3,7,1,7,0,31,57
150534,694192,"Jackson Chourio",21,2025,"MIL",131,589,549,148,88,35,4,21,254,88,78,30,121,3,21,7,6,1,14,36.4
150544,694203,"Denzer Guzman",21,2025,"LAA",13,43,42,8,5,1,0,2,15,4,3,1,22,0,0,0,0,0,0,50
150547,694208,"Moisés Ballesteros",21,2025,"CHC",20,66,57,17,12,2,1,2,27,12,11,9,12,0,0,0,0,0,2,33.3
151195,695600,"Carter Jensen",21,2025,"KC",20,69,60,18,9,6,0,3,33,12,13,9,12,0,0,0,0,0,1,33.3
153804,701350,"Roman Anthony",21,2025,"BOS",71,303,257,75,48,18,1,8,119,48,32,40,84,5,4,1,1,0,2,37.5
153843,701398,"Sal Stewart",21,2025,"CIN",18,58,55,14,8,1,0,5,30,11,8,3,15,0,0,0,0,0,1,63.6
157293,702284,"Cole Young",21,2025,"SEA",74,257,223,47,35,7,1,4,68,24,24,28,47,2,1,0,2,2,4,45.8
157722,702616,"Jackson Holliday",21,2025,"BAL",149,649,586,142,101,21,3,17,220,70,55,56,140,6,17,11,1,0,4,35.7
111669,682634,"Kevin Alcántara",22,2025,"CHC",8,12,11,4,4,0,0,0,4,2,1,1,4,0,1,0,0,0,0,50
141799,683357,"Owen Caissie",22,2025,"CHC",12,27,26,5,3,1,0,1,9,4,4,1,11,0,0,0,0,0,0,25
147897,691185,"Maximo Acosta",22,2025,"MIA",18,61,54,11,7,1,0,3,21,7,5,6,17,1,1,2,0,0,0,57.1
147898,691182,"Adael Amador",22,2025,"COL",38,128,113,20,12,7,0,1,30,5,10,11,27,1,1,1,0,3,2,20
147900,691176,"Jasson Domínguez",22,2025,"NYY",121,429,381,98,69,18,1,10,148,58,47,41,115,3,23,5,4,0,6,32.8
