"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","R","HR","RBI","SB","BB%","K%","ISO","AVG","OBP","SLG","OPS","DRC+","DRB","DRP","WARP"
150551,694212,"Samuel Basallo",20,2025,"BAL",31,118,109,10,4,15,0,5.1,25.4,0.165,0.165,0.229,0.33,0.559,86,,-0.6,0.1
170244,805811,"Bryce Eldridge",20,2025,"SF",10,37,28,1,0,4,0,18.9,35.1,0.071,0.107,0.297,0.179,0.476,102,,0,0.1
147956,691406,"Junior Caminero",21,2025,"TB",154,653,602,93,45,110,7,6.3,19.1,0.271,0.264,0.311,0.535,0.846,127,-0.1,-0.5,4.5
150534,694192,"Jackson Chourio",21,2025,"MIL",131,589,549,88,21,78,21,5.1,20.5,0.193,0.27,0.308,0.463,0.771,97,0.4,-5.9,1.3
150544,694203,"Denzer Guzman",21,2025,"LAA",13,43,42,4,2,3,0,2.3,51.2,0.167,0.19,0.209,0.357,0.566,47,,-0.2,-0.2
150547,694208,"Moisés Ballesteros",21,2025,"CHC",20,66,57,12,2,11,0,13.6,18.2,0.175,0.298,0.394,0.474,0.868,115,,0,0.2
151195,695600,"Carter Jensen",21,2025,"KC",20,69,60,12,3,13,0,13,17.4,0.25,0.3,0.391,0.55,0.941,123,,0.1,0.4
153804,701350,"Roman Anthony",21,2025,"BOS",71,303,257,48,8,32,4,13.2,27.7,0.171,0.292,0.396,0.463,0.859,119,0,1.2,1.6
153843,701398,"Sal Stewart",21,2025,"CIN",18,58,55,11,5,8,0,5.2,25.9,0.291,0.255,0.293,0.545,0.838,129,,0.1,0.4
157293,702284,"Cole Young",21,2025,"SEA",74,257,223,24,4,24,1,10.9,18.3,0.094,0.211,0.302,0.305,0.607,89,,0.1,0.6
157722,702616,"Jackson Holliday",21,2025,"BAL",149,649,586,70,17,55,17,8.6,21.6,0.133,0.242,0.314,0.375,0.689,99,-0.2,-3.7,1.9
111669,682634,"Kevin Alcántara",22,2025,"CHC",8,12,11,2,0,1,1,8.3,33.3,0,0.364,0.417,0.364,0.781,82,,0,0
141799,683357,"Owen Caissie",22,2025,"CHC",12,27,26,4,1,4,0,3.7,40.7,0.154,0.192,0.222,0.346,0.568,81,,-0.1,0
147897,691185,"Maximo Acosta",22,2025,"MIA",18,61,54,7,3,5,1,9.8,27.9,0.185,0.204,0.295,0.389,0.684,107,,-0.2,0.3
147898,691182,"Adael Amador",22,2025,"COL",38,128,113,5,1,10,1,8.6,21.1,0.088,0.177,0.256,0.265,0.521,83,0,-0.6,0.2
147900,691176,"Jasson Domínguez",22,2025,"NYY",121,429,381,58,10,47,23,9.6,26.8,0.131,0.257,0.331,0.388,0.719,89,0.3,-5.4,0.2
147988,691373,"Jhostynxon Garcia",22,2025,"BOS",4,9,7,0,0,0,0,22.2,55.6,0.143,0.143,0.333,0.286,0.619,73,,0,0
148246,691594,"Javier Sanoja",22,2025,"MIA",113,342,313,40,6,38,6,5.6,12,0.153,0.243,0.287,0.396,0.683,88,0.1,0.6,0.8
148298,691781,"Brady House",22,2025,"WSH",73,274,261,26,4,29,5,2.9,28.5,0.088,0.234,0.252,0.322,0.574,59,0,0.1,-0.3
148300,691783,"Jordan Lawlar",22,2025,"AZ",25,74,66,9,0,5,2,8.1,35.1,0.106,0.182,0.257,0.288,0.545,64,,-0.1,-0.1
148304,691785,"Marcelo Mayer",22,2025,"BOS",42,136,127,20,4,10,0,5.9,30.1,0.173,0.228,0.272,0.402,0.674,83,,0.1,0.2
148307,691777,"Max Muncy",22,2025,"ATH",60,220,206,17,9,23,1,4.5,30.9,0.165,0.214,0.259,0.379,0.638,75,0,-0.5,0.1
148648,694497,"Evan Carter",22,2025,"TEX",62,220,194,31,5,25,14,8.6,18.6,0.144,0.247,0.336,0.392,0.728,102,0.1,3.7,1.3
149874,696030,"Alejandro Osuna",22,2025,"TEX",56,176,151,12,2,15,5,11.9,19.3,0.066,0.212,0.313,0.278,0.591,98,0,0.4,0.5
150017,700337,"Edgar Quero",22,2025,"CWS",111,403,365,31,5,36,0,7.9,17.6,0.088,0.268,0.333,0.356,0.689,91,,-9.1,-0.1
150294,692585,"Yanquiel Fernández",22,2025,"COL",52,147,138,13,4,11,0,5.4,29.9,0.123,0.225,0.265,0.348,0.613,72,,-2,-0.4
151206,701538,"Jackson Merrill",22,2025,"SD",114,483,440,59,16,67,1,6.8,22.4,0.193,0.264,0.317,0.457,0.774,110,0,-1.5,2.5
151225,695578,"James Wood",22,2025,"WSH",157,689,598,87,31,94,15,12.3,32.1,0.219,0.256,0.35,0.475,0.825,120,0.1,4.1,4.1
151486,695670,"Harry Ford",22,2025,"SEA",6,8,6,1,0,1,0,0,37.5,0,0.167,0.25,0.167,0.417,85,,-0.1,0
151521,695734,"Daylen Lile",22,2025,"WSH",91,351,321,51,9,41,8,6,16,0.199,0.299,0.347,0.498,0.845,106,0.1,-5.5,0.6
151544,700246,"Carson Williams",22,2025,"TB",31,106,99,11,5,12,2,5.7,41.5,0.182,0.172,0.219,0.354,0.573,64,,-0.1,-0.1
152771,695506,"Jac Caglianone",22,2025,"KC",62,232,210,19,7,18,1,7.8,22.4,0.138,0.157,0.237,0.295,0.532,95,,-2.2,0.2
153809,701358,"Cam Smith",22,2025,"HOU",133,493,441,55,9,51,8,8.7,27.8,0.122,0.236,0.312,0.358,0.67,84,0,4.2,0.7
153974,701762,"Nick Kurtz",22,2025,"ATH",117,489,420,90,36,86,2,12.9,30.9,0.329,0.29,0.383,0.619,1.002,134,0,-0.6,3.2
156087,691720,"Kyle Karros",22,2025,"COL",42,156,137,20,1,9,0,9.6,26.3,0.051,0.226,0.308,0.277,0.585,74,,0.2,0.1
157008,695681,"Christian Moore",22,2025,"LAA",50,184,162,20,7,16,3,10.3,33.7,0.173,0.198,0.284,0.37,0.654,81,,-0.3,0.2
163722,805373,"Nacho Alvarez Jr.",22,2025,"ATL",57,208,188,18,2,15,0,5.8,23.6,0.096,0.234,0.296,0.33,0.626,70,,0,0
170199,807712,"Luke Keaschall",22,2025,"MIN",49,207,182,25,4,28,14,9.2,14,0.143,0.302,0.382,0.445,0.827,106,0.2,-0.6,0.8
111462,682668,"Luisangel Acuña",23,2025,"NYM",79,193,175,30,0,8,16,6.7,19.2,0.04,0.234,0.293,0.274,0.567,83,0.5,1.6,0.5
111885,682626,"Francisco Alvarez",23,2025,"NYM",74,277,246,32,11,32,0,9.7,26.4,0.191,0.256,0.339,0.447,0.786,100,,0.1,1
