"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","H","1B","2B","3B","HR","TB","R","RBI","BB","K","HBP","SB","CS","SF","SH","GDP","GUILLEN"
67084,592663,"J.T. Realmuto",32,2023,"PHI",135,540,489,123,70,28,5,20,221,70,63,35,138,9,16,5,0,5,10,40
68192,596847,"Ji Man Choi",32,2023,,38,117,104,17,6,5,0,6,40,12,13,10,35,1,0,0,0,2,2,58.3
70262,543939,"Kolten Wong",32,2023,,84,250,224,41,31,6,0,4,59,25,27,18,53,5,3,2,0,3,2,36
70327,543760,"Marcus Semien",32,2023,"TEX",162,753,670,185,112,40,4,29,320,122,100,72,110,5,14,3,0,5,8,40.2
70362,571980,"Tyler Naquin",32,2023,"CWS",3,8,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,
70673,608596,"Tom Murphy",32,2023,"SEA",47,159,145,42,22,12,0,8,78,19,17,10,44,1,0,0,0,2,4,52.6
99903,572287,"Mike Zunino",32,2023,"CLE",41,140,124,22,12,7,0,3,38,11,11,15,61,1,0,0,0,0,3,27.3
99914,571745,"Mitch Haniger",32,2023,"SF",61,229,211,44,24,13,1,6,77,27,28,15,65,2,1,0,0,1,8,44.4
99919,572228,"Luke Voit",32,2023,"MIL",22,74,68,15,12,3,0,0,18,5,4,4,27,2,2,0,0,0,3,0
99953,573262,"Mike Yastrzemski",32,2023,"SF",103,381,330,77,38,23,1,15,147,54,43,45,99,3,2,2,2,1,5,46.3
99963,571875,"Jake Lamb",32,2023,"LAA",17,54,51,11,8,1,0,2,18,7,5,3,15,0,0,0,0,0,1,28.6
100007,571970,"Max Muncy",32,2023,"LAD",135,579,482,102,48,17,1,36,229,95,105,85,153,6,1,2,0,6,8,52.6
100036,571912,"Luke Maile",32,2023,"CIN",67,199,179,42,26,10,0,6,70,17,25,14,49,5,2,1,1,0,10,64.7
100121,572233,"Christian Walker",32,2023,"AZ",157,661,582,150,79,36,2,33,289,86,103,62,127,8,11,0,0,8,14,47.7
100171,571657,"Kyle Farmer",32,2023,"MIN",113,369,336,86,59,14,2,11,137,49,46,23,86,8,2,4,0,2,8,38.8
100300,608671,"Travis Jankowski",32,2023,"TEX",90,287,247,65,51,12,1,1,82,34,30,35,42,2,19,1,1,2,6,17.6
100317,608701,"Rob Refsnyder",32,2023,"BOS",85,243,202,50,39,9,1,1,64,31,28,33,47,5,7,2,1,1,9,35.5
100318,608703,"Matt Reynolds",32,2023,"CIN",2,5,5,1,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0
100496,621035,"Chris Taylor",32,2023,"LAD",115,384,338,80,49,15,1,15,142,51,56,41,125,4,16,3,0,1,3,37.3
100736,622110,"Matt Duffy",32,2023,"KC",76,209,191,48,38,8,0,2,62,17,16,12,39,4,1,0,0,2,4,23.5
101250,623168,"Tyler Heineman",32,2023,,19,47,38,9,7,1,1,0,12,5,3,8,8,1,1,0,0,0,0,0
102593,641598,"Mitch Garver",32,2023,"TEX",87,344,296,80,50,11,0,19,148,45,50,44,82,3,0,0,0,0,7,53.3
103280,642851,"Austin Wynns",32,2023,,48,145,130,27,20,6,0,1,36,11,10,9,39,2,1,0,3,1,4,54.5
103340,643265,"Garrett Cooper",32,2023,,121,457,422,106,70,18,1,17,177,42,61,31,132,2,0,0,0,2,16,50
103523,643565,"Mike Tauchman",32,2023,"CHC",107,401,337,85,59,18,0,8,127,64,48,56,86,4,7,1,1,3,4,26.6
50677,501303,"Ehire Adrianza",33,2023,"ATL",5,11,10,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,
55877,514888,"Jose Altuve",33,2023,"HOU",90,410,360,112,72,21,2,17,188,76,51,44,71,5,14,2,0,1,11,42.1
56289,518692,"Freddie Freeman",33,2023,"LAD",161,730,637,211,121,59,2,29,361,131,102,72,121,16,23,1,0,5,15,45.8
56761,516416,"Jean Segura",33,2023,"MIA",84,326,301,66,56,5,2,3,84,25,21,22,47,2,6,2,1,0,13,16
57335,521692,"Salvador Perez",33,2023,"KC",140,580,538,137,93,21,0,23,227,59,80,19,135,13,0,0,0,8,12,52.5
57396,518792,"Jason Heyward",33,2023,"LAD",122,377,334,90,52,23,0,15,158,56,40,34,64,3,2,2,0,3,7,50
57514,519203,"Anthony Rizzo",33,2023,"NYY",99,421,373,91,65,14,0,12,141,45,41,35,97,12,0,3,0,1,12,51.1
57556,519317,"Giancarlo Stanton",33,2023,"NYY",101,415,371,71,34,13,0,24,156,43,60,41,124,2,0,0,0,1,11,62.8
57919,543257,"Robbie Grossman",33,2023,"TEX",112,420,353,84,50,23,1,10,139,56,49,57,98,2,1,0,0,8,8,44.6
57967,543305,"Aaron Hicks",33,2023,,91,312,269,68,50,9,1,8,103,44,36,42,69,0,6,0,0,1,3,25
57969,543309,"Kyle Higashioka",33,2023,"NYY",80,260,242,57,34,13,0,10,100,24,34,14,74,0,0,0,1,3,5,58.3
57988,543333,"Eric Hosmer",33,2023,"CHC",31,100,94,22,17,3,0,2,31,7,14,6,25,0,0,0,0,0,5,42.9
59871,542583,"Jesús Aguilar",33,2023,"OAK",36,115,104,23,16,2,0,5,40,8,9,8,31,1,0,0,0,1,4,62.5
65980,543543,"Brad Miller",33,2023,"TEX",26,67,56,12,7,4,0,1,19,8,6,10,11,0,0,0,0,1,1,25
65992,543807,"George Springer",33,2023,"TOR",153,683,613,158,111,25,1,21,248,87,72,60,125,5,20,5,0,3,21,39.1
67964,595281,"Kevin Kiermaier",33,2023,"TOR",114,408,370,98,63,21,6,8,155,58,36,29,86,4,14,1,1,4,12,25.9
68302,598265,"Jackie Bradley Jr.",33,2023,"KC",38,113,105,14,8,5,0,1,22,10,6,5,29,2,0,0,1,0,4,30
69159,542932,"Jon Berti",33,2023,"MIA",130,424,388,114,88,16,3,7,157,53,33,29,77,2,16,6,2,3,10,32.1
69304,600301,"Taylor Motter",33,2023,"STL",28,82,76,13,10,3,0,0,16,3,2,5,31,1,0,0,0,0,0,0
69508,605113,"Nick Ahmed",33,2023,"AZ",69,210,198,42,29,10,1,2,60,14,17,12,52,0,5,1,0,0,1,28.6
69513,605131,"Austin Barnes",33,2023,"LAD",59,200,178,32,25,5,0,2,43,15,11,17,43,2,2,1,1,2,7,26.7
69553,605361,"Nick Martini",33,2023,"CIN",29,79,72,19,9,3,1,6,42,10,16,5,15,2,0,0,0,0,1,80
69854,607054,"Jace Peterson",33,2023,,130,430,374,79,59,10,4,6,115,35,37,47,101,4,15,2,2,3,7,31.4
70301,543068,"C.J. Cron",33,2023,,70,278,258,64,40,12,0,12,112,38,37,17,65,1,0,0,0,2,14,42.1
70317,543510,"James McCann",33,2023,"BAL",66,226,207,46,26,14,0,6,78,25,26,9,57,5,3,1,3,2,5,28
70755,543685,"Anthony Rendon",33,2023,"LAA",43,182,147,35,27,6,0,2,47,23,22,25,26,6,2,0,0,4,6,43.5
71054,543592,"Austin Nola",33,2023,"SD",49,154,130,19,15,3,0,1,25,9,8,18,31,2,0,0,4,0,6,44.4
71213,607732,"Jacob Stallings",33,2023,"MIA",84,276,241,46,29,14,0,3,69,22,20,27,67,3,0,0,3,2,9,18.2
100659,621532,"Anthony Bemboom",33,2023,"BAL",5,13,11,2,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,
