"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","R","HR","RBI","SB","BB%","K%","ISO","AVG","OBP","SLG","OPS","DRC+","DRB","DRP","WARP"
104004,645277,"Ozzie Albies",20,2017,"ATL",57,244,217,34,6,28,8,8.6,14.8,0.171,0.286,0.354,0.456,0.81,102,,0.6,0.9
104023,645302,"Victor Robles",20,2017,"WAS",11,27,24,2,0,4,0,0,22.2,0.208,0.25,0.308,0.458,0.766,83,,0,0.1
104042,646240,"Rafael Devers",20,2017,"BOS",58,240,222,34,10,30,3,7.5,23.8,0.198,0.284,0.338,0.482,0.82,92,,-1.6,0.3
100344,609275,"Adalberto Mondesi",21,2017,"KC",24,60,53,4,1,3,5,5,36.7,0.075,0.17,0.214,0.245,0.459,74,,0,0.1
101996,620446,"Richard Urena",21,2017,"TOR",20,75,68,6,1,4,1,8,37.3,0.103,0.206,0.27,0.309,0.579,66,,-0.9,0
102106,620439,"Franklin Barreto",21,2017,"OAK",25,76,71,10,2,6,2,6.6,43.4,0.155,0.197,0.25,0.352,0.602,56,,-0.4,0
102110,620443,"Luis Torrens",21,2017,"SD",55,139,123,7,0,7,0,8.6,21.6,0.041,0.163,0.243,0.203,0.446,71,,-6.6,-0.7
102519,641355,"Cody Bellinger",21,2017,"LAD",132,548,480,87,39,97,10,11.7,26.6,0.315,0.267,0.352,0.581,0.933,120,,0.9,3
102864,642336,"Francisco Mejía",21,2017,"CLE",11,14,13,1,0,1,0,7.1,21.4,0,0.154,0.214,0.154,0.368,93,,0,0.1
102940,642423,"Magneuris Sierra",21,2017,"STL",22,64,60,10,0,5,2,6.3,21.9,0,0.317,0.359,0.317,0.676,81,,0.7,0.2
103202,642707,"Allen Córdoba",21,2017,"SD",93,227,202,17,4,15,2,7.9,23.8,0.089,0.208,0.282,0.297,0.579,74,,-0.1,0.1
103203,642708,"Amed Rosario",21,2017,"NYM",46,170,165,16,4,10,7,1.8,28.8,0.145,0.248,0.271,0.394,0.665,66,,-0.8,0.1
104938,657077,"Alex Verdugo",21,2017,"LAD",15,25,23,1,1,1,0,8,16,0.13,0.174,0.24,0.304,0.544,97,,-0.1,0.1
107930,669720,"Austin Hays",21,2017,"BAL",18,63,60,4,1,8,0,3.2,25.4,0.1,0.217,0.238,0.317,0.555,78,,0,0.2
69600,606115,"Orlando Arcia",22,2017,"MIL",152,548,506,56,15,53,14,6.6,18.2,0.13,0.277,0.324,0.407,0.731,89,,-0.8,1.3
70619,608348,"Carson Kelly",22,2017,"STL",34,75,69,5,0,6,0,6.7,14.7,0.043,0.174,0.24,0.217,0.457,86,,1.9,0.5
100152,546990,"Anthony Alford",22,2017,"TOR",4,8,8,0,0,0,0,0,37.5,0.125,0.125,0.125,0.25,0.375,77,,0,0
100279,608577,"Nomar Mazara",22,2017,"TEX",148,616,554,64,20,101,2,8.9,20.6,0.17,0.253,0.323,0.422,0.745,102,,-1.2,2.1
100349,609280,"Miguel Andujar",22,2017,"NYY",3,8,7,0,0,4,1,12.5,0,0.286,0.571,0.625,0.857,1.482,102,,0,0
100404,614173,"Franchy Cordero",22,2017,"SD",30,99,92,15,3,9,1,6.1,44.4,0.196,0.228,0.276,0.424,0.7,68,,1.2,0
100502,621043,"Carlos Correa",22,2017,"HOU",109,480,421,82,24,84,2,11,19,0.235,0.316,0.392,0.551,0.943,139,,-2.2,3.9
100988,622534,"Manuel Margot",22,2017,"SD",125,529,487,53,13,39,17,6.6,20,0.146,0.263,0.313,0.409,0.722,87,,6.1,1.5
101568,623993,"Anthony Santander",22,2017,"BAL",13,31,30,1,0,2,0,0,25.8,0.1,0.267,0.258,0.367,0.625,82,,0,0
101604,624414,"Christian Arroyo",22,2017,"SF",33,135,125,9,3,14,1,5.9,23.7,0.112,0.192,0.244,0.304,0.548,70,,-0.5,-0.1
102429,640449,"Clint Frazier",22,2017,"NYY",39,142,134,16,4,17,1,4.9,30.3,0.216,0.231,0.268,0.448,0.716,72,,-0.1,0.2
102559,641487,"J.P. Crawford",22,2017,"PHI",23,87,70,8,0,6,1,18.4,25.3,0.086,0.214,0.356,0.3,0.656,87,,0.4,0.2
102668,641857,"Ryan McMahon",22,2017,"COL",14,24,19,2,0,1,0,20.8,20.8,0.053,0.158,0.333,0.211,0.544,95,,0,0.1
102743,642082,"Chance Sisco",22,2017,"BAL",8,22,18,3,2,4,0,13.6,31.8,0.444,0.333,0.455,0.778,1.233,97,,-0.9,0
102745,642086,"Dominic Smith",22,2017,"NYM",49,183,167,17,9,26,0,7.7,26.8,0.198,0.198,0.262,0.395,0.657,86,,0.1,-0.1
102779,642180,"Tyler Wade",22,2017,"NYY",23,63,58,7,0,2,1,7.9,30.2,0.069,0.155,0.222,0.224,0.446,75,,-0.1,0
105432,660162,"Yoán Moncada",22,2017,"CHW",54,231,199,31,8,22,3,12.6,32,0.181,0.231,0.338,0.412,0.75,99,,0.7,0.9
105437,664023,"Ian Happ",22,2017,"CHC",113,413,364,62,24,68,8,9.4,31.2,0.261,0.253,0.328,0.514,0.842,112,,1.4,1.9
105574,643217,"Andrew Benintendi",22,2017,"BOS",151,658,573,84,20,90,20,10.6,17,0.154,0.271,0.352,0.424,0.776,109,,-5.4,2.5
105665,641432,"Willie Calhoun",22,2017,"TEX",13,37,34,3,1,4,0,5.4,18.9,0.088,0.265,0.324,0.353,0.677,83,,-0.5,0
67568,593871,"Jorge Polanco",23,2017,"MIN",132,544,488,60,13,74,13,7.5,14.3,0.154,0.256,0.313,0.41,0.723,88,,2.6,1.9
