"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","H","1B","2B","3B","HR","TB","R","RBI","BB","K","HBP","SB","CS","SF","SH","GDP","GUILLEN"
111885,682626,"Francisco Alvarez",20,2022,"NYM",5,14,12,2,0,1,0,1,6,3,1,2,4,0,0,0,0,0,1,66.7
139025,678662,"Ezequiel Tovar",20,2022,"COL",9,35,33,7,5,1,0,1,11,2,2,2,9,0,0,0,0,0,0,50
109731,672478,"Jordan Diaz",21,2022,"OAK",15,51,49,13,10,3,0,0,16,3,1,2,7,0,0,0,0,0,1,33.3
111317,677551,"Wander Franco",21,2022,"TB",83,344,314,87,58,20,3,6,131,46,33,26,33,0,8,0,0,4,8,19.6
111352,682928,"CJ Abrams",21,2022,,88,302,284,70,54,12,2,2,92,33,21,5,50,9,7,4,2,2,6,15.2
122787,682998,"Corbin Carroll",21,2022,"AZ",32,115,104,27,12,9,2,4,52,13,14,8,31,3,2,1,0,0,1,38.5
122795,682985,"Riley Greene",21,2022,"DET",93,418,376,95,68,18,4,5,136,46,42,36,120,3,1,4,0,3,8,32.6
122896,671739,"Michael Harris II",21,2022,"ATL",114,441,414,123,74,27,3,19,213,75,64,21,107,5,20,2,1,0,9,38.7
123218,683002,"Gunnar Henderson",21,2022,"BAL",34,132,116,30,18,7,1,4,51,12,18,16,34,0,1,1,0,0,2,41.7
132154,678894,"Liover Peguero",21,2022,"PIT",1,4,3,1,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,
134822,677594,"Julio Rodríguez",21,2022,"SEA",132,560,511,145,89,25,3,28,260,84,75,40,145,8,25,7,0,1,7,46.4
144145,687093,"Vaughn Grissom",21,2022,"ATL",41,156,141,41,30,6,0,5,62,24,18,11,34,3,5,2,0,1,0,41.7
108518,666703,"Eguy Rosario",22,2022,"SD",6,6,5,1,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,
109139,671277,"Luis García Jr.",22,2022,"WSH",93,377,360,99,67,23,2,7,147,29,45,11,84,1,3,4,1,4,7,37.9
109355,672356,"Gabriel Arias",22,2022,"CLE",16,57,47,9,6,1,1,1,15,9,5,8,16,1,1,0,1,0,2,44.4
109864,672580,"Maikel Garcia",22,2022,"KC",8,23,22,7,6,1,0,0,8,1,2,1,5,0,0,0,0,0,1,0
110017,671056,"Iván Herrera",22,2022,"STL",7,22,18,2,2,0,0,0,2,0,1,2,8,0,0,0,1,1,0,
110245,672779,"Tucupita Marcano",22,2022,"PIT",49,177,160,33,23,6,2,2,49,18,13,10,44,1,2,1,5,1,1,38.9
110402,672515,"Gabriel Moreno",22,2022,"TOR",24,73,69,22,20,1,0,1,26,10,7,4,8,0,0,0,0,0,2,50
110535,672724,"Oswald Peraza",22,2022,"NYY",18,57,49,15,11,3,0,1,21,8,2,6,9,2,2,0,0,0,3,37.5
110536,672695,"Geraldo Perdomo",22,2022,"AZ",143,500,431,84,67,10,2,5,113,58,40,50,103,5,9,2,12,2,6,24.1
110577,672832,"Israel Pineda",22,2022,"WSH",4,14,13,1,1,0,0,0,1,1,0,1,7,0,0,0,0,0,0,0
110621,671218,"Heliot Ramos",22,2022,"SF",8,22,20,2,2,0,0,0,2,4,0,2,6,0,0,0,0,0,1,0
110868,672820,"Lenyn Sosa",22,2022,"CWS",11,36,35,4,2,1,0,1,8,3,1,1,12,0,0,0,0,0,2,33.3
110877,670869,"Livan Soto",22,2022,"LAA",18,59,55,22,15,5,1,1,32,9,9,2,13,0,1,1,1,1,2,22.2
111017,668901,"Mark Vientos",22,2022,"NYM",16,41,36,6,4,1,0,1,10,3,3,5,12,0,0,0,0,0,1,66.7
112639,678225,"Ji Hwan Bae",22,2022,"PIT",10,37,33,11,8,3,0,0,14,5,6,2,6,2,3,0,0,0,0,20
115660,671213,"Triston Casas",22,2022,"BOS",27,95,76,15,9,1,0,5,31,11,12,19,23,0,1,0,0,0,4,54.5
121931,669357,"Nolan Gorman",22,2022,"STL",88,313,283,64,37,13,0,14,119,44,35,28,103,2,1,0,0,0,4,59.1
122231,677954,"Jordan Groshans",22,2022,"MIA",17,65,61,16,15,0,0,1,19,9,2,4,13,0,0,0,0,0,2,55.6
125372,672284,"Jarred Kelenic",22,2022,"SEA",52,181,163,23,10,5,1,7,51,20,17,16,61,1,5,2,0,1,4,40
