"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","R","HR","RBI","SB","BB%","K%","ISO","AVG","OBP","SLG","OPS","DRC+","DRB","DRP","WARP"
107182,665742,"Juan Soto",20,2019,"WAS",150,659,542,110,34,110,12,16.4,20,0.266,0.282,0.401,0.548,0.949,139,,7.1,5.9
107184,665489,"Vladimir Guerrero Jr.",20,2019,"TOR",123,514,464,52,15,69,0,8.9,17.7,0.162,0.272,0.339,0.433,0.772,110,,-6,1.5
108651,665487,"Fernando Tatis Jr.",20,2019,"SD",84,372,334,61,22,53,16,8.1,29.6,0.272,0.317,0.379,0.59,0.969,112,,-4.6,1.6
105454,660670,"Ronald Acuña Jr.",21,2019,"ATL",156,715,626,127,41,101,37,10.6,26.3,0.238,0.28,0.365,0.518,0.883,131,,3.9,5.9
107491,666182,"Bo Bichette",21,2019,"TOR",46,212,196,32,11,21,4,6.6,23.6,0.26,0.311,0.358,0.571,0.929,103,,-0.2,0.9
108051,666198,"Carter Kieboom",21,2019,"WAS",11,43,39,4,2,2,0,9.3,37.2,0.154,0.128,0.209,0.282,0.491,74,,-0.5,0
108127,666158,"Gavin Lux",21,2019,"LAD",23,82,75,12,2,9,2,8.5,29.3,0.16,0.24,0.305,0.4,0.705,76,,0.4,0.2
104004,645277,"Ozzie Albies",22,2019,"ATL",160,702,640,102,24,86,15,7.7,16,0.205,0.295,0.352,0.5,0.852,118,,-1.1,4.5
104023,645302,"Victor Robles",22,2019,"WAS",154,617,546,86,17,65,28,5.7,22.7,0.165,0.255,0.326,0.419,0.745,87,,4.2,1.7
104042,646240,"Rafael Devers",22,2019,"BOS",156,702,647,129,32,115,8,6.8,16.8,0.244,0.311,0.361,0.555,0.916,121,,-1.7,3.7
104096,649966,"Luis Urías",22,2019,"SD",69,249,215,27,4,24,0,10,22.5,0.102,0.223,0.329,0.326,0.655,89,,-0.2,0.4
104123,650333,"Luis Arraez",22,2019,"MIN",90,366,326,54,4,28,2,9.8,7.9,0.104,0.334,0.399,0.439,0.838,110,,-2.9,1.7
104176,650391,"Eloy Jiménez",22,2019,"CHW",121,504,468,69,31,79,0,6,26.6,0.246,0.267,0.315,0.513,0.828,108,,-3.5,1.9
104180,650402,"Gleyber Torres",22,2019,"NYY",144,604,546,96,38,90,5,7.9,21.4,0.256,0.278,0.337,0.535,0.872,118,,-0.9,3.6
104205,650489,"Willi Castro",22,2019,"DET",30,110,100,10,1,8,0,5.5,30.9,0.11,0.23,0.284,0.34,0.624,70,,-1.1,-0.1
104290,650619,"Meibrys Viloria",22,2019,"KC",41,148,133,7,1,15,0,6.8,29.7,0.075,0.211,0.259,0.286,0.545,60,,-4.6,-0.4
104450,650859,"Luis Rengifo",22,2019,"LAA",107,406,357,44,7,33,2,9.9,22.9,0.126,0.238,0.321,0.364,0.685,88,,0.5,1.1
104934,657061,"Cole Tucker",22,2019,"PIT",56,159,147,16,2,13,0,6.3,25.2,0.15,0.211,0.266,0.361,0.627,79,,0.2,0.2
105735,663757,"Trent Grisham",22,2019,"MIL",51,184,157,24,6,24,1,10.9,26.1,0.178,0.229,0.326,0.408,0.734,87,,-0.1,0.4
106548,647304,"Josh Naylor",22,2019,"SD",94,279,253,29,8,32,1,9,22.9,0.154,0.249,0.315,0.403,0.718,83,,-1.5,0.1
