"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","R","HR","RBI","SB","BB%","K%","ISO","AVG","OBP","SLG","OPS","DRC+","DRB","DRP","WARP"
111317,677551,"Wander Franco",20,2021,"TB",70,308,281,53,7,39,2,7.8,12,0.174,0.288,0.347,0.463,0.81,102,,0.2,1.4
109139,671277,"Luis García Jr.",21,2021,"WAS",70,247,236,29,6,22,0,4.5,17.4,0.169,0.242,0.275,0.411,0.686,79,,-0.7,0.3
109724,672701,"José Devers",21,2021,"MIA",20,46,41,7,0,5,0,6.5,23.9,0.073,0.244,0.304,0.317,0.621,80,,0.1,0.1
110245,672779,"Tucupita Marcano",21,2021,"SD",24,50,44,7,0,3,0,12,18,0.023,0.182,0.28,0.205,0.485,84,,0.2,0.1
110536,672695,"Geraldo Perdomo",21,2021,"AZ",11,37,31,5,0,1,0,16.2,16.2,0.161,0.258,0.378,0.419,0.797,99,,0.1,0.2
118309,672282,"Reid Detmers",21,2021,"LAA",1,2,1,0,0,0,0,50,50,0,0,0.5,0,0.5,-42,,0,0
125372,672284,"Jarred Kelenic",21,2021,"SEA",92,377,337,41,14,43,6,9.5,28.1,0.169,0.181,0.265,0.35,0.615,82,,-5,0.6
140479,677960,"Ryan Weathers",21,2021,"SD",23,28,27,3,1,1,0,3.6,25,0.111,0.148,0.179,0.259,0.438,-13,,0,0.1
105509,660620,"Jonathan Araúz",22,2021,"BOS",28,75,65,9,3,8,0,10.7,20,0.185,0.185,0.274,0.369,0.643,95,,0,0.3
106074,660813,"Brusdar Graterol",22,2021,"LAD",2,2,2,0,0,0,0,0,0,0,0,0,0,0,-36,,0,0
106820,660688,"Keibert Ruiz",22,2021,,28,96,88,10,3,15,0,6.3,9.4,0.136,0.273,0.333,0.409,0.742,104,,0.3,0.5
107182,665742,"Juan Soto",22,2021,"WAS",151,654,502,111,29,95,9,22.2,14.2,0.221,0.313,0.465,0.534,0.999,172,,4.8,8.8
107184,665489,"Vladimir Guerrero Jr.",22,2021,"TOR",161,698,604,123,48,111,4,12.3,15.8,0.29,0.311,0.401,0.601,1.002,162,,-0.4,6.7
107293,665750,"Leody Taveras",22,2021,"TEX",48,185,174,14,3,9,10,4.9,32.4,0.109,0.161,0.207,0.27,0.477,58,,2,0.1
107439,668731,"Akil Baddoo",22,2021,"DET",121,461,413,60,13,55,18,9.8,26.5,0.177,0.259,0.33,0.436,0.766,95,,6.2,2.3
107582,666185,"Dylan Carlson",22,2021,"STL",149,619,542,79,18,65,2,9.2,24.6,0.172,0.266,0.343,0.437,0.78,97,,-0.8,2.1
107611,666801,"Rodolfo Castro",22,2021,"PIT",31,93,86,9,5,8,0,6.5,29,0.198,0.198,0.258,0.395,0.653,92,,0,0.3
107616,665482,"Gilberto Celestino",22,2021,"MIN",23,62,59,7,2,3,0,4.8,22.6,0.153,0.136,0.177,0.288,0.465,89,,-1.3,0.1
107675,665833,"Oneil Cruz",22,2021,"PIT",2,9,9,2,1,3,0,0,44.4,0.333,0.333,0.333,0.667,1,83,,0,0
107858,665926,"Andrés Giménez",22,2021,"CLE",66,210,188,23,5,16,11,5.2,25.7,0.133,0.218,0.282,0.351,0.633,68,,0.6,0.1
108145,665561,"Rafael Marchán",22,2021,"PHI",19,56,52,7,1,4,0,7.1,17.9,0.115,0.231,0.286,0.346,0.632,88,,-1.6,0
108343,665506,"Cristian Pache",22,2021,"ATL",21,68,63,6,1,4,0,2.9,36.8,0.095,0.111,0.152,0.206,0.358,59,,-0.5,-0.1
108350,670623,"Isaac Paredes",22,2021,"DET",22,85,72,7,1,5,0,11.8,12.9,0.111,0.208,0.306,0.319,0.625,99,,0,0.4
108479,665861,"Sebastián  Rivero",22,2021,"KC",16,44,40,1,0,3,0,6.8,34.1,0.05,0.175,0.25,0.225,0.475,70,,-0.4,0
