"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","R","HR","RBI","SB","BB%","K%","ISO","AVG","OBP","SLG","OPS","DRC+","DRB","DRP","WARP"
147956,691406,"Junior Caminero",20,2024,"TB",43,177,165,15,6,18,2,6.2,21.5,0.176,0.248,0.299,0.424,0.723,102,,0.3,0.7
150534,694192,"Jackson Chourio",20,2024,"MIL",145,573,528,80,21,79,22,6.8,21.1,0.189,0.275,0.327,0.464,0.791,99,0.8,9.3,2.9
157722,702616,"Jackson Holliday",20,2024,"BAL",60,208,190,28,5,23,4,7.2,33.2,0.121,0.189,0.255,0.311,0.566,65,0.1,0.1,0
111669,682634,"Kevin Alcántara",21,2024,"CHC",3,10,10,1,0,0,0,0,10,0,0.1,0.1,0.1,0.2,100,,0,0
147898,691182,"Adael Amador",21,2024,"COL",10,36,35,1,0,0,1,2.8,16.7,0.029,0.171,0.194,0.2,0.394,93,0.1,-0.2,0.1
147900,691176,"Jasson Domínguez",21,2024,"NYY",18,67,56,8,2,4,5,16.4,28.4,0.125,0.179,0.313,0.304,0.617,99,0,-0.2,0.2
148246,691594,"Javier Sanoja",21,2024,"MIA",15,36,35,3,0,2,0,2.8,11.1,0.057,0.229,0.25,0.286,0.536,96,,0,0.1
148648,694497,"Evan Carter",21,2024,"TEX",45,162,144,23,5,15,2,9.3,26.5,0.174,0.188,0.272,0.361,0.633,91,0,2.4,0.6
151206,701538,"Jackson Merrill",21,2024,"SD",155,593,554,77,24,90,16,4.9,17,0.208,0.292,0.326,0.5,0.826,127,0.5,5.5,4.9
151225,695578,"James Wood",21,2024,"WSH",79,336,295,43,9,41,14,11.6,28.9,0.163,0.264,0.354,0.427,0.781,101,0.1,-2.9,0.9
163722,805373,"Nacho Alvarez Jr.",21,2024,"ATL",8,32,30,1,0,0,0,0,31.3,0,0.1,0.156,0.1,0.256,76,,0,0
111462,682668,"Luisangel Acuña",22,2024,"NYM",11,40,39,6,3,6,0,2.5,15,0.333,0.308,0.325,0.641,0.966,101,0,0.6,0.2
111885,682626,"Francisco Alvarez",22,2024,"NYM",91,342,308,39,11,47,1,8.8,25.1,0.166,0.237,0.307,0.403,0.71,97,-0.2,5.7,1.8
116377,682729,"Jonatan Clase",22,2024,,24,66,61,7,1,5,3,4.5,25.8,0.082,0.246,0.303,0.328,0.631,79,0,-0.8,0
117798,682829,"Elly De La Cruz",22,2024,"CIN",160,696,618,105,25,76,67,9.9,31.3,0.212,0.259,0.339,0.471,0.81,114,1.6,0.8,3.8
127152,682617,"Marco Luciano",22,2024,"SF",26,81,76,10,0,3,0,6.2,34.6,0.092,0.211,0.259,0.303,0.562,72,0,-0.4,-0.1
127835,682622,"Noelvi Marte",22,2024,"CIN",66,242,229,24,4,18,9,3.7,31,0.092,0.21,0.248,0.301,0.549,67,-0.1,-0.8,-0.2
127926,682657,"Angel Martínez",22,2024,"CLE",43,169,151,16,3,11,3,8.9,19.5,0.106,0.232,0.298,0.338,0.636,88,0.1,-1.3,0.2
128093,682619,"Orelvis Martinez",22,2024,"TOR",1,3,3,0,0,0,0,0,33.3,0,0.333,0.333,0.333,0.666,72,,0,0
128307,682641,"Luis Matos",22,2024,"SF",45,156,150,14,5,25,0,3.2,15.4,0.133,0.213,0.237,0.347,0.584,86,,-1.3,0.2
130914,678877,"Jhonkensy Noel",22,2024,"CLE",65,198,179,25,13,28,0,6.6,31.8,0.268,0.218,0.288,0.486,0.774,105,,-1.1,0.7
131840,677347,"Kyren Paris",22,2024,"LAA",21,59,51,4,1,5,1,11.9,28.8,0.098,0.118,0.224,0.216,0.44,82,0,0.1,0.1
133655,682868,"Bryan Ramos",22,2024,"CWS",31,108,99,13,3,11,0,6.5,20.4,0.131,0.202,0.252,0.333,0.585,88,0.1,-1,0.1
139025,678662,"Ezequiel Tovar",22,2024,"COL",157,695,655,83,26,78,6,3.3,28.8,0.2,0.269,0.295,0.469,0.764,87,0.2,5,1.9
144172,687231,"Darell Hernaiz",22,2024,"OAK",44,135,120,8,1,12,1,8.1,20,0.05,0.192,0.261,0.242,0.503,78,0,-0.4,0.1
147776,686611,"Dylan Crews",22,2024,"WSH",31,132,119,12,3,8,12,8.3,19.7,0.134,0.218,0.288,0.353,0.641,96,0.3,0.6,0.5
147813,690993,"Colt Keith",22,2024,"DET",148,556,516,54,13,61,7,6.5,19.8,0.12,0.26,0.309,0.38,0.689,99,-0.1,-4.6,1.6
147846,691011,"Drew Romo",22,2024,"COL",16,53,51,4,0,6,0,3.8,34,0.059,0.176,0.208,0.235,0.443,72,0,0.1,0
147855,691016,"Tyler Soderstrom",22,2024,"OAK",61,213,189,18,9,26,0,9.4,24.9,0.196,0.233,0.315,0.429,0.744,120,,-0.7,1
147867,691023,"Jordan Walker",22,2024,"STL",51,178,164,16,5,20,1,5.6,28.1,0.165,0.201,0.253,0.366,0.619,86,0,-0.9,0.2
147872,691026,"Masyn Winn",22,2024,"STL",148,637,587,85,15,57,11,6.4,17.1,0.148,0.267,0.314,0.416,0.73,97,0.4,0.3,2.1
148154,691718,"Pete Crow-Armstrong",22,2024,"CHC",120,410,372,46,10,47,27,5.1,23.9,0.148,0.237,0.286,0.384,0.67,86,1.1,9.5,2
148616,691723,"Coby Mayo",22,2024,"BAL",17,46,41,4,0,0,0,8.7,47.8,0,0.098,0.196,0.098,0.294,53,,-0.1,-0.1
148643,694377,"Nick Yorke",22,2024,"PIT",11,42,37,4,2,5,2,9.5,28.6,0.162,0.216,0.286,0.378,0.664,93,0,-0.1,0.1
148658,695336,"Thomas Saggese",22,2024,"STL",14,52,49,5,1,4,0,3.8,26.9,0.102,0.204,0.25,0.306,0.556,81,,0.2,0.1
160132,694384,"Nolan Schanuel",22,2024,"LAA",146,607,519,62,13,54,10,11.2,17,0.112,0.25,0.343,0.362,0.705,97,-0.3,-2,1.2
160384,694671,"Wyatt Langford",22,2024,"TEX",134,557,499,74,16,74,19,9.2,20.6,0.162,0.253,0.325,0.415,0.74,107,0.6,2.7,2.6
163439,805779,"Jacob Wilson",22,2024,"OAK",28,103,92,11,0,3,0,7.8,9.7,0.065,0.25,0.314,0.315,0.629,100,,-1,0.3
111303,677870,"Leo Jiménez",23,2024,"TOR",61,210,179,18,4,19,0,5.7,28.1,0.128,0.229,0.329,0.358,0.687,83,,0.6,0.4
111352,682928,"CJ Abrams",23,2024,"WSH",138,602,541,79,20,65,31,6.6,21.3,0.187,0.246,0.314,0.433,0.747,98,1.4,-1,1.9
112765,681460,"Brooks Baldwin",23,2024,"CWS",33,121,114,9,2,8,4,5,25.6,0.105,0.211,0.25,0.316,0.566,81,0.1,-0.2,0.2
112947,678489,"Jorge Barrosa",23,2024,"AZ",8,18,17,3,0,1,1,0,11.1,0.118,0.176,0.176,0.294,0.47,100,0,-0.1,0.1
113730,672012,"Tyler Black",23,2024,"MIL",18,57,49,4,0,2,3,12.3,29.8,0.041,0.204,0.316,0.245,0.561,78,0.1,0,0
114935,671732,"Lawrence Butler",23,2024,"OAK",120,451,412,63,22,57,18,7.8,23.9,0.228,0.262,0.317,0.49,0.807,115,0.6,5.1,2.8
122787,682998,"Corbin Carroll",23,2024,"AZ",157,684,589,121,22,74,35,10.7,19,0.197,0.231,0.322,0.428,0.75,108,2,1,3.3
122795,682985,"Riley Greene",23,2024,"DET",137,584,512,82,24,74,4,11,26.7,0.217,0.262,0.348,0.479,0.827,124,-0.1,2.9,3.9
122896,671739,"Michael Harris II",23,2024,"ATL",110,470,440,58,16,48,10,4.9,20,0.155,0.264,0.304,0.418,0.722,113,0.1,4,3.1
123218,683002,"Gunnar Henderson",23,2024,"BAL",159,719,630,118,37,92,21,10.8,22.1,0.248,0.281,0.364,0.529,0.893,130,1.7,-1.6,5.2
123722,677956,"Rece Hinds",23,2024,"CIN",22,51,46,9,5,11,2,7.8,31.4,0.457,0.261,0.333,0.717,1.05,123,0,-0.1,0.3
128864,678554,"Curtis Mead",23,2024,"TB",38,132,122,10,1,7,2,4.5,22.7,0.049,0.238,0.282,0.287,0.569,77,0,-0.4,0.1
131720,681624,"Andy Pages",23,2024,"LAD",115,443,403,65,13,46,1,6.5,24.4,0.159,0.248,0.305,0.407,0.712,97,0,-3,1.3
132154,678894,"Liover Peguero",23,2024,"PIT",3,10,10,0,0,2,0,0,30,0.1,0.2,0.2,0.3,0.5,83,,0,0
133479,678882,"Ceddanne Rafaela",23,2024,"BOS",151,571,544,70,15,75,19,2.6,26.4,0.143,0.246,0.274,0.39,0.664,76,-0.4,-4.4,0.1
134616,677587,"Brayan Rocchio",23,2024,"CLE",131,442,383,50,8,36,10,10,20.4,0.11,0.206,0.298,0.316,0.614,85,-0.3,4.1,1.2
134822,677594,"Julio Rodríguez",23,2024,"SEA",142,613,567,76,20,68,24,6.2,25.4,0.136,0.273,0.325,0.409,0.734,115,0.2,9,4.5
135022,679032,"Johan Rojas",23,2024,"PHI",114,363,338,47,3,32,25,3.6,19,0.08,0.243,0.279,0.322,0.601,74,0.8,0.5,0.4
138565,677588,"José Tena",23,2024,,44,168,161,14,3,15,6,4.2,24.4,0.087,0.267,0.298,0.354,0.652,95,0.2,-0.9,0.5
140156,683011,"Anthony Volpe",23,2024,"NYY",160,689,637,90,12,60,28,6.1,22.6,0.121,0.243,0.293,0.364,0.657,76,0,3.5,0.9
141747,683083,"Nasim Nuñez",23,2024,"WSH",44,78,61,14,0,1,8,15.4,19.2,0.016,0.246,0.37,0.262,0.632,104,0.1,0.3,0.3
144145,687093,"Vaughn Grissom",23,2024,"BOS",31,114,105,10,0,6,2,6.1,21.1,0.029,0.19,0.246,0.219,0.465,79,0,0.7,0.2
144289,686797,"Brooks Lee",23,2024,"MIN",50,185,172,9,3,27,3,5.9,14.6,0.099,0.221,0.265,0.32,0.585,85,0,-0.5,0.3
144429,687263,"Zach Neto",23,2024,"LAA",155,602,542,70,23,77,30,6.5,23.3,0.194,0.249,0.318,0.443,0.761,106,1.1,1.6,2.8
144555,687363,"Victor Scott II",23,2024,"STL",47,155,145,14,2,10,5,3.9,27.1,0.103,0.179,0.219,0.283,0.502,65,0.2,0.7,0.1
144718,687597,"Jordan Beck",23,2024,"COL",53,184,170,14,3,13,7,6.5,35.3,0.088,0.188,0.245,0.276,0.521,64,0.2,-0.5,-0.2
144940,687529,"Grant McCray",23,2024,"SF",36,130,124,13,5,10,5,4.6,43.1,0.177,0.202,0.238,0.379,0.617,67,0.2,-1.7,-0.2
146339,690291,"Jace Jung",23,2024,"DET",34,94,79,14,0,3,0,16,30.9,0.063,0.241,0.362,0.304,0.666,76,-0.1,-1,0
146515,682988,"Tyler Locklear",23,2024,"SEA",15,49,45,3,2,3,1,6.1,40.8,0.156,0.156,0.224,0.311,0.535,63,0,-0.1,-0.1
146945,688363,"Graham Pauley",23,2024,"SD",13,32,32,4,2,5,0,0,46.9,0.188,0.125,0.125,0.313,0.438,61,,-0.1,-0.1
151394,700932,"Kyle Manzardo",23,2024,"CLE",52,156,145,11,5,15,0,5.8,26.3,0.186,0.234,0.282,0.421,0.703,79,,0,-0.1
108518,666703,"Eguy Rosario",24,2024,"SD",29,57,53,5,3,6,0,3.5,35.1,0.283,0.245,0.286,0.528,0.814,81,,-0.3,0.1
109139,671277,"Luis García Jr.",24,2024,"WSH",140,528,500,58,18,70,22,5.1,16.3,0.162,0.282,0.318,0.444,0.762,115,0.7,-0.8,3.1
109355,672356,"Gabriel Arias",24,2024,"CLE",50,161,153,15,3,15,5,3.7,32.9,0.131,0.222,0.255,0.353,0.608,66,-0.1,-0.2,-0.1
109543,672744,"Alexander Canario",24,2024,"CHC",13,28,25,4,1,2,1,7.1,39.3,0.16,0.28,0.357,0.44,0.797,79,0,0.1,0
109724,672701,"José Devers",24,2024,"MIA",1,4,4,1,0,0,0,0,25,0,0.25,0.25,0.25,0.5,77,,0,0
109864,672580,"Maikel Garcia",24,2024,"KC",156,626,575,84,7,58,37,6.7,16.5,0.101,0.231,0.281,0.332,0.613,81,1.9,0.7,1.2
110017,671056,"Iván Herrera",24,2024,"STL",71,259,229,37,5,27,5,9.7,20.5,0.127,0.301,0.372,0.428,0.8,110,0.2,-1.3,1.2
110402,672515,"Gabriel Moreno",24,2024,"AZ",95,351,305,39,5,45,3,11.7,14.8,0.115,0.266,0.353,0.38,0.733,109,0,1.6,2
110535,672724,"Oswald Peraza",24,2024,"NYY",4,11,10,2,1,1,0,9.1,27.3,0.3,0.2,0.273,0.5,0.773,102,,-0.1,0
110536,672695,"Geraldo Perdomo",24,2024,"AZ",97,388,337,61,3,37,9,9.3,14.9,0.101,0.273,0.344,0.374,0.718,102,0.3,-2.3,1.2
110551,672761,"Wenceel Pérez",24,2024,"DET",111,425,389,51,9,37,9,7.5,21.6,0.141,0.242,0.3,0.383,0.683,85,0.2,2.4,1
110621,671218,"Heliot Ramos",24,2024,"SF",121,518,475,54,22,72,6,7.1,26.1,0.2,0.269,0.322,0.469,0.791,113,0,-6.5,2
110685,671286,"Johnathan Rodríguez",24,2024,"CLE",12,40,31,6,0,5,0,22.5,35,0.032,0.129,0.325,0.161,0.486,82,,-0.7,0
110868,672820,"Lenyn Sosa",24,2024,"CWS",98,369,351,28,8,35,3,3.3,20.9,0.105,0.254,0.283,0.359,0.642,89,-0.1,-2.1,0.8
110877,670869,"Livan Soto",24,2024,,7,16,13,1,0,0,0,18.8,18.8,0.077,0.231,0.375,0.308,0.683,98,,0,0.1
111017,668901,"Mark Vientos",24,2024,"NYM",110,454,413,58,27,71,0,7.3,29.7,0.249,0.266,0.322,0.516,0.838,108,,-3.8,1.8
111154,676679,"Luis Vázquez",24,2024,"CHC",9,14,12,2,0,1,0,0,42.9,0,0.083,0.143,0.083,0.226,84,,-0.1,0
111498,677941,"Jordyn Adams",24,2024,"LAA",10,38,35,4,1,4,2,7.9,31.6,0.086,0.229,0.289,0.314,0.603,86,0,-0.4,0
112639,678225,"Ji Hwan Bae",24,2024,"PIT",27,81,74,11,0,6,6,7.4,29.6,0.027,0.189,0.247,0.216,0.463,80,0.2,1.1,0.2
112867,680718,"Addison Barger",24,2024,"TOR",68,225,208,20,7,28,2,6.2,26.7,0.154,0.197,0.25,0.351,0.601,80,0.1,-0.9,0.2
113835,669208,"Ryan Bliss",24,2024,"SEA",31,71,63,10,2,9,5,7,31,0.175,0.222,0.29,0.397,0.687,85,-0.1,0,0.2
115660,671213,"Triston Casas",24,2024,"BOS",62,243,212,28,13,32,0,12.3,31.7,0.222,0.241,0.337,0.462,0.799,100,-0.3,-0.4,0.6
117074,681297,"Colton Cowser",24,2024,"BAL",150,561,499,77,24,69,9,9.3,30.7,0.204,0.242,0.321,0.447,0.768,106,0.1,4.6,3
117672,680779,"Henry Davis",24,2024,"PIT",35,122,104,9,1,5,0,10.7,36.9,0.067,0.144,0.242,0.212,0.454,66,,-2.9,-0.3
118072,680728,"Adrian Del Castillo",24,2024,"AZ",25,87,80,12,4,19,1,8,32.2,0.213,0.313,0.368,0.525,0.893,80,-0.1,-0.1,0.1
