Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Edwin Escobar ","BayStars (NPB)",29,4,4,3.375000146302316,61,0,0,0,1,3,26,58.2,229,39,23,22,7,11,0,4,0,0,50,"Edwin Escobar","10337",
"Zach Neal ","Lions (NPB)",32,1,6,5.85,11,11,0,0,0,0,0,60,262,76,41,39,3,15,0,3,3,0,26,"Zach Neal","11294",
"Angel Sánchez ","Giants (NPB)",31,5,5,4.684931506849315,14,14,0,0,0,0,0,73,317,82,40,38,13,23,0,3,2,1,54,"Angel Sanchez","11776",
"Scott McGough ","Swallows (NPB)",31,3,2,2.5181349141123808,66,0,0,0,31,6,8,64.1,259,43,19,18,7,23,2,3,3,0,76,"Scott McGough","12056",
"Nick Martinez ","Hawks (NPB)",30,9,4,1.599526008514621,21,21,0,0,0,0,0,140.2,553,108,25,25,6,38,0,5,1,0,138,"Nick Martinez","12730",
"Raúl Alcántara ","Tigers (NPB)",28,3,3,3.4887641197111177,24,7,0,0,0,0,5,59.1,243,55,25,23,6,14,1,0,3,0,48,"Raul Alcantara","12790",
"Tsuyoshi Wada ","Hawks (NPB)",40,5,6,4.48409918170291,18,18,0,0,0,0,0,94.1,396,95,49,47,14,27,1,3,0,0,83,"Tsuyoshi Wada","13046",
"Drew VerHagen ","Fighters (NPB)",30,5,8,3.84375,20,19,0,0,0,0,0,96,407,90,45,41,7,33,1,6,1,0,100,"Drew VerHagen","13424",
"Thyago Vieira ","Giants (NPB)",28,0,3,2.9277109106525954,56,0,0,0,19,2,1,55.1,228,38,18,18,3,26,0,1,0,0,64,"Thyago Vieira","14510",
"Masahiro Tanaka ","Golden Eagles (NPB)",32,4,9,3.006423884637285,23,23,1,0,0,0,0,155.2,624,131,54,52,17,29,0,5,6,1,126,"Masahiro Tanaka","15764",
"Fernando Romero ","BayStars (NPB)",26,5,3,3.0123967891849737,14,14,1,1,0,0,0,80.2,349,89,38,27,4,30,0,5,4,0,44,"Fernando Romero","15885",
"Cy Sneed ","Swallows (NPB)",28,6,2,3.40776711650097,13,13,0,0,0,0,0,68.2,279,60,29,26,9,23,0,2,0,0,69,"Cy Sneed","16106",
"Reed Garrett ","Lions (NPB)",28,4,3,3.7674421946895684,61,0,0,0,2,4,10,57.1,258,57,28,24,6,33,0,0,3,1,59,"Reed Garrett","16866",
"Shun Yamaguchi ","Giants (NPB)",33,2,8,3.561702358924532,15,15,0,0,0,0,0,78.1,337,66,34,31,6,37,1,3,0,0,83,"Shun Yamaguchi","27460",
"Robert Suarez ","Tigers (NPB)",30,1,1,1.1550802374667455,62,0,0,0,42,1,0,62.1,229,40,9,8,0,8,2,0,1,0,58,"Robert Suarez","30115",
"Kodai Senga ","Hawks (NPB)",28,10,3,2.6574803947833323,13,13,0,0,0,0,0,84.2,340,60,25,25,2,27,0,2,7,0,90,"Kodai Senga","31838",
"Yoshinobu Yamamoto ","Buffaloes (NPB)",22,18,5,1.3941479840395696,26,26,6,5,0,0,0,193.2,736,124,37,30,7,40,1,2,3,0,206,"Yoshinobu Yamamoto","33825",
"Naoyuki Uwasawa ","Fighters (NPB)",27,12,6,2.8066528956884085,24,24,1,0,0,0,0,160.1,643,119,53,50,8,48,1,4,5,2,135,"Naoyuki Uwasawa","33828",
"Shota Imanaga ","BayStars (NPB)",27,5,5,3.075,19,19,1,0,0,0,0,120,476,97,43,41,16,26,3,4,0,0,110,"Shota Imanaga","33829",
"Yariel Rodríguez ","Dragons (NPB)",24,1,4,3.6486487991188175,12,11,0,0,0,0,0,61.2,275,56,29,25,8,38,2,5,6,0,61,"Yariel Rodriguez","33838",
"Tomoyuki Sugano ","Giants (NPB)",31,6,7,3.190201799248727,19,19,2,1,0,0,0,115.2,465,90,41,41,15,25,1,7,1,0,102,"Tomoyuki Sugano","35321",
"Roki Sasaki ","Marines (NPB)",19,3,2,2.2736842561758794,11,11,0,0,0,0,0,63.1,258,51,24,16,5,16,1,0,3,0,68,"Roki Sasaki","35323",
"Shinnosuke Ogasawara ","Dragons (NPB)",23,8,10,3.641860594349727,25,25,0,0,0,0,0,143.1,615,141,60,58,16,51,1,4,4,0,115,"Shinnosuke Ogasawara","35324",
"Albert Suárez ","Swallows (NPB)",31,5,3,3.623376982391851,24,13,0,0,1,0,2,77,339,82,32,31,9,32,0,5,1,0,70,"Albert Suarez","6175",
"Mizuki Hori ","Fighters (NPB)",23,3,2,2.362500394284791,60,0,0,0,0,1,30,53.1,229,36,14,14,3,30,1,4,3,0,56,"Mizuki Hori","sa3062944",
