Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Alberto Baldonado ","Giants (NPB)",31,2,3,2.4387099775142027,58,0,0,0,9,3,22,51.2,220,40,15,14,1,28,1,0,2,0,63,"Alberto Baldonado","11812",
"Andrés Machado ","Buffaloes (NPB)",31,5,3,2.025000048279763,53,0,0,0,23,4,8,53.1,211,36,13,12,1,18,1,1,0,0,58,"Andres Machado","14681",
"Cy Sneed ","Swallows (NPB)",31,2,8,5.025,24,23,1,1,0,0,0,120,536,148,69,67,16,31,1,5,3,0,89,"Cy Sneed","16106",
"Foster Griffin ","Giants (NPB)",28,6,4,3.008571494153083,20,20,0,0,0,0,0,116.2,468,99,40,39,9,23,0,4,0,1,126,"Foster Griffin","16432",
"Javy Guerra ","Tigers (NPB)",28,1,4,1.5517242399889348,59,0,0,0,14,2,20,58,226,47,10,10,3,11,1,0,2,2,48,"Javy Guerra","17292",
"Cody Ponce ","Golden Eagles (NPB)",30,3,6,6.7164179104477615,15,12,1,0,0,0,0,67,308,92,55,50,6,16,0,5,3,0,56,"Cody Ponce","17920",
"Anderson Espinoza ","Buffaloes (NPB)",26,7,9,2.6259353619381236,22,22,1,0,0,0,0,133.2,550,122,43,39,2,48,0,6,1,0,113,"Anderson Espinoza","18593",
"Jeremy Beasley ","Tigers (NPB)",28,8,3,2.465217473078768,14,13,1,0,0,0,0,76.2,305,53,23,21,6,24,0,5,4,0,75,"Jeremy Beasley","20205",
"Anthony Kay ","BayStars (NPB)",29,6,9,3.424390498790499,24,24,1,0,0,0,0,136.2,590,130,61,52,6,53,5,7,4,1,119,"Anthony Kay","20387",
"Luis F. Castillo ","Buffaloes (NPB)",29,3,5,2.9575973326125578,15,15,0,0,0,0,0,94.1,378,75,37,31,5,18,0,2,1,0,74,"Luis F. Castillo","20638",
"Humberto Mejía ","Dragons (NPB)",27,3,8,4.876652146281512,15,15,0,0,0,0,0,75.2,323,73,42,41,7,24,1,4,1,0,51,"Humberto Mejia","20739",
"Miguel Yajure ","Swallows (NPB)",26,5,10,3.340206316926556,23,22,1,1,0,0,0,129.1,550,130,50,48,8,43,7,5,5,1,84,"Miguel Yajure","21111",
"Andre Jackson ","BayStars (NPB)",28,8,7,2.895104895104895,25,25,0,0,0,0,0,143,587,109,53,46,8,51,3,6,9,0,121,"Andre Jackson","21298",
"Kohei Arihara ","Hawks (NPB)",31,14,7,2.3649634377983975,26,26,3,2,0,0,0,182.2,718,142,56,48,12,37,0,8,1,0,137,"Kohei Arihara","27505",
"Tomoyuki Sugano ","Giants (NPB)",34,15,3,1.6659575549808294,24,24,3,1,0,0,0,156.2,608,132,31,29,6,16,0,4,4,0,111,"Tomoyuki Sugano","35321",
"Roki Sasaki ","Marines (NPB)",22,10,5,2.3513513513513513,18,18,1,0,0,0,0,111,450,83,34,29,2,32,1,8,9,0,129,"Roki Sasaki","35323",
"Shinnosuke Ogasawara ","Dragons (NPB)",26,5,11,3.117783019800447,24,24,0,0,0,0,0,144.1,602,151,59,50,9,22,2,4,2,0,82,"Shinnosuke Ogasawara","35324",
"Tatsuya Imai ","Lions (NPB)",26,10,8,2.3365385301014396,25,25,2,1,0,0,0,173.1,712,132,52,45,8,70,2,5,8,0,187,"Tatsuya Imai","sa3062955",
"Koyo Aoyagi ","Tigers (NPB)",30,4,6,3.6885245901639343,24,24,0,0,0,0,0,122,538,132,62,50,4,42,2,12,2,2,70,"Koyo Aoyagi","sa3062961",
"Kona Takahashi ","Lions (NPB)",27,0,11,3.872951061871079,15,15,0,0,0,0,0,81.1,362,94,39,35,5,24,0,6,3,1,61,"Kona Takahashi","sa3062992",
"Tatsuya Shimizu ","Dragons (NPB)",24,3,1,1.3965518159900412,60,0,0,0,1,3,23,58,229,41,12,9,1,18,2,1,5,0,52,"Tatsuya Shimizu","sa3062995",
"Yuya Yanagi ","Dragons (NPB)",30,4,5,3.7611940298507465,13,13,0,0,0,0,0,67,286,75,29,28,5,20,1,0,3,0,34,"Yuya Yanagi","sa3063008",
"Raidel Martinez ","Dragons (NPB)",27,2,3,1.0862069679922544,60,0,0,0,43,1,0,58,217,35,8,7,1,12,2,2,0,1,59,"Raidel Martinez","sa3063073",
"Takayuki Katoh ","Fighters (NPB)",32,10,9,2.700000164794932,27,27,3,2,0,0,0,166.2,672,174,55,50,15,17,0,1,2,0,103,"Takayuki Katoh","sa3063076",
"Cristopher Mercedes ","Marines (NPB)",30,4,8,2.707123956058795,21,21,0,0,0,0,0,126.1,502,97,45,38,12,34,0,2,0,0,91,"Cristopher Mercedes","sa3063164",
"Suguru Iwazaki ","Tigers (NPB)",33,4,4,2.197674613568915,60,0,0,0,23,6,7,57.1,231,48,14,14,3,15,1,0,1,0,46,"Suguru Iwazaki","sa3063177",
"Hiroto Saiki ","Tigers (NPB)",25,13,3,1.8250496464253527,25,25,4,3,0,0,0,167.2,671,140,35,34,4,38,2,0,4,0,137,"Hiroto Saiki","sa3063185",
"Yasuhiro Ogawa ","Swallows (NPB)",34,2,5,4.645161290322581,12,11,0,0,0,0,0,62,264,75,35,32,6,8,2,0,0,0,40,"Yasuhiro Ogawa","sa3063236",
"Keiji Takahashi ","Swallows (NPB)",27,8,9,3.579250799157108,21,20,0,0,0,0,0,115.2,504,116,55,46,12,38,1,8,1,0,106,"Keiji Takahashi","sa3063239",
