Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Edwin Escobar ","BayStars (NPB)",30,4,2,2.415789667694868,70,0,0,0,2,5,20,63.1,268,48,17,17,4,29,2,5,0,0,51,"Edwin Escobar","10337",
"Scott McGough ","Swallows (NPB)",32,2,2,2.3478261982142383,55,0,0,0,38,5,0,53.2,215,39,16,14,5,13,2,1,2,0,59,"Scott McGough","12056",
"Colin Rea ","Hawks (NPB)",31,5,6,3.96,23,16,1,1,0,0,1,100,409,82,46,44,13,32,2,4,2,0,80,"Colin Rea","12317",
"Tsuyoshi Wada ","Hawks (NPB)",41,7,4,2.7777777777777777,17,16,0,0,0,0,0,81,324,64,28,25,3,22,0,1,0,0,75,"Tsuyoshi Wada","13046",
"Dietrich Enns ","Lions (NPB)",31,10,7,2.9427794139053143,23,22,0,0,0,0,0,122.1,506,103,44,40,14,45,0,3,0,0,92,"Dietrich Enns","13932",
"Drew Anderson ","Carp (NPB)",28,3,4,3.6,13,13,0,0,0,0,0,70,293,61,32,28,9,23,0,3,0,0,59,"Drew Anderson","15130",
"Masahiro Tanaka ","Golden Eagles (NPB)",33,9,12,3.312883435582822,25,25,1,1,0,0,0,163,668,160,65,60,16,30,1,4,4,0,126,"Masahiro Tanaka","15764",
"Fernando Romero ","BayStars (NPB)",27,6,8,4.873646477855392,23,18,0,0,0,0,0,92.1,420,100,59,50,8,35,1,9,5,0,54,"Fernando Romero","15885",
"Cy Sneed ","Swallows (NPB)",29,9,6,3.536524065398173,23,23,0,0,0,0,0,132.1,553,140,66,52,17,26,0,5,3,0,96,"Cy Sneed","16106",
"Aaron Wilkerson ","Tigers (NPB)",33,5,5,4.075471844780107,14,14,0,0,0,0,0,70.2,292,70,32,32,4,21,1,1,0,0,54,"Aaron Wilkerson","16904",
"Cody Ponce ","Fighters (NPB)",28,3,5,3.3480002043457158,14,14,1,1,0,0,0,83.1,344,69,35,31,10,23,0,2,3,1,66,"Cody Ponce","17920",
"Jacob Waguespack ","Buffaloes (NPB)",28,2,6,2.972477168248629,32,10,0,0,5,0,2,72.2,309,63,28,24,4,29,0,4,1,0,81,"Jacob Waguespack","18318",
"Kodai Senga ","Hawks (NPB)",29,11,6,1.9375,22,22,1,0,0,0,0,144,568,103,37,31,7,49,0,3,2,2,156,"Kodai Senga","31838",
"Shintaro Fujinami ","Tigers (NPB)",28,3,5,3.375000128746038,16,10,0,0,0,0,0,66.2,276,58,28,25,6,21,1,3,5,0,65,"Shintaro Fujinami","31839",
"Yoshinobu Yamamoto ","Buffaloes (NPB)",23,15,5,1.6787564766839378,26,26,4,2,0,0,0,193,747,137,42,36,6,42,0,5,0,0,205,"Yoshinobu Yamamoto","33825",
"Yuki Matsui ","Golden Eagles (NPB)",26,1,3,1.9161291265735811,53,0,0,0,32,2,0,51.2,194,21,11,11,4,19,1,0,1,0,83,"Yuki Matsui","33826",
"Naoyuki Uwasawa ","Fighters (NPB)",28,8,9,3.375,23,23,3,0,0,0,0,152,631,129,61,57,15,50,0,9,2,0,127,"Naoyuki Uwasawa","33828",
"Shota Imanaga ","BayStars (NPB)",28,11,4,2.2552203377913425,21,21,3,2,0,0,0,143.2,560,106,37,36,14,29,1,3,3,0,132,"Shota Imanaga","33829",
"Yariel Rodríguez ","Dragons (NPB)",25,6,2,1.1524390780025147,56,0,0,0,0,4,28,54.2,218,32,9,7,0,18,2,4,1,0,60,"Yariel Rodriguez","33838",
"Tomoyuki Sugano ","Giants (NPB)",32,10,7,3.122448979591837,23,23,0,0,0,0,0,147,596,138,52,51,15,26,1,6,2,0,104,"Tomoyuki Sugano","35321",
"Roki Sasaki ","Marines (NPB)",20,9,4,2.018041316476461,20,20,2,1,0,0,0,129.1,490,80,31,29,7,23,2,7,4,1,173,"Roki Sasaki","35323",
"Shinnosuke Ogasawara ","Dragons (NPB)",24,10,8,2.7613638278866737,22,22,0,0,0,0,0,146.2,592,127,47,45,9,39,1,1,4,0,142,"Shinnosuke Ogasawara","35324",
