Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Trevor Bauer ","BayStars (NPB)",32,10,4,2.755101933572655,19,19,2,0,0,0,0,130.2,534,119,44,40,14,31,2,4,3,0,130,"Trevor Bauer","12703",
"Tsuyoshi Wada ","Hawks (NPB)",42,8,6,3.24,21,20,0,0,0,0,0,100,414,89,39,36,10,29,0,3,0,0,85,"Tsuyoshi Wada","13046",
"Robert Gsellman ","BayStars (NPB)",29,3,5,4.453608422568741,13,13,0,0,0,0,0,64.2,292,72,35,32,6,33,0,4,1,0,43,"Robert Gsellman","13696",
"Dietrich Enns ","Lions (NPB)",32,1,10,5.166666666666667,12,12,0,0,0,0,0,54,236,53,37,31,6,23,0,5,1,0,30,"Dietrich Enns","13932",
"Yohander Méndez ","Giants (NPB)",28,5,5,2.0689655172413794,16,16,0,0,0,0,0,87,347,57,21,20,7,33,0,5,3,3,72,"Yohander Mendez","14391",
"J.B. Wendelken ","BayStars (NPB)",30,2,2,1.6592179478146833,61,0,0,0,3,2,17,59.2,243,40,12,11,1,22,4,3,3,0,53,"J.B. Wendelken","14506",
"Luis Perdomo ","Marines (NPB)",30,1,3,2.131579054359589,53,0,0,0,1,4,27,50.2,209,49,15,12,1,15,0,0,1,0,41,"Luis Perdomo","14682",
"Masahiro Tanaka ","Golden Eagles (NPB)",34,7,11,4.909091088293745,24,24,0,0,0,0,0,139.1,600,156,79,76,15,38,0,5,5,0,81,"Masahiro Tanaka","15764",
"Cy Sneed ","Swallows (NPB)",30,7,8,3.6666666666666665,23,23,2,2,0,0,0,135,569,133,61,55,15,36,2,3,2,0,103,"Cy Sneed","16106",
"Foster Griffin ","Giants (NPB)",27,6,5,2.7520661157024793,20,20,1,0,0,0,0,121,493,101,41,37,8,29,1,6,2,1,115,"Foster Griffin","16432",
"Cody Ponce ","Fighters (NPB)",29,4,5,3.6580646961859276,10,10,0,0,0,0,0,51.2,237,59,27,21,3,17,0,3,2,0,43,"Cody Ponce","17920",
"Dillon Peters ","Swallows (NPB)",30,6,5,3.2185431276673357,18,18,0,0,0,0,0,100.2,415,99,41,36,8,21,3,5,1,0,66,"Dillon Peters","18790",
"Kohei Arihara ","Hawks (NPB)",30,10,5,2.31215474486282,17,17,1,1,0,0,0,120.2,490,105,40,31,13,25,1,7,1,0,74,"Kohei Arihara","27505",
"Yoshinobu Yamamoto ","Buffaloes (NPB)",24,16,6,1.2073170731707317,23,23,2,1,0,0,0,164,636,117,27,22,2,28,0,6,1,0,169,"Yoshinobu Yamamoto","33825",
"Yuki Matsui ","Golden Eagles (NPB)",27,2,3,1.5697674766755099,59,0,0,0,39,3,0,57.1,222,38,14,10,3,13,2,0,2,0,72,"Yuki Matsui","33826",
"Naoyuki Uwasawa ","Fighters (NPB)",29,9,9,2.9647058823529413,24,24,2,2,0,0,0,170,696,152,66,56,14,41,0,5,5,1,124,"Naoyuki Uwasawa","33828",
"Shota Imanaga ","BayStars (NPB)",29,7,4,2.7972972972972974,22,22,2,0,0,0,0,148,596,132,46,46,17,24,4,4,2,0,174,"Shota Imanaga","33829",
"Tomoyuki Sugano ","Giants (NPB)",33,4,8,3.3605151314965482,14,14,0,0,0,0,0,77.2,315,70,30,29,10,15,0,3,0,0,54,"Tomoyuki Sugano","35321",
"Roki Sasaki ","Marines (NPB)",21,7,4,1.7802197802197801,15,15,0,0,0,0,0,91,345,51,19,18,1,17,0,5,12,0,135,"Roki Sasaki","35323",
"Shinnosuke Ogasawara ","Dragons (NPB)",25,7,12,3.585062467650257,25,25,1,1,0,0,0,160.2,665,153,69,64,14,41,1,4,3,0,134,"Shinnosuke Ogasawara","35324",
"Katsunori Hirai ","Lions (NPB)",31,4,3,2.5471699946543853,54,0,0,0,0,3,22,53,222,46,15,15,3,22,3,1,1,0,29,"Katsunori Hirai","sa3062953",
"Tatsuya Imai ","Lions (NPB)",25,10,5,2.300751879699248,19,19,2,1,0,0,0,133,533,87,38,34,11,61,0,8,4,0,130,"Tatsuya Imai","sa3062955",
"Koyo Aoyagi ","Tigers (NPB)",29,16,12,4.574751062475619,36,36,0,0,0,0,0,200.2,878,204,108,102,12,76,4,18,6,0,128,"Koyo Aoyagi","sa3062961",
"Kento Fujishima ","Dragons (NPB)",25,1,1,1.065789607423181,56,0,0,0,4,1,3,50.2,196,34,10,6,1,14,1,1,1,0,46,"Kento Fujishima","sa3062964",
"Koji Fukutani ","Dragons (NPB)",32,3,4,5.1666670316531595,14,11,0,0,0,0,0,54,241,72,34,31,6,11,0,1,1,0,36,"Koji Fukutani","sa3062965",
"Kaima Taira ","Lions (NPB)",23,11,7,2.4,23,23,0,0,0,0,0,150,611,115,47,40,10,55,2,5,0,0,153,"Kaima Taira","sa3062990",
"Kona Takahashi ","Lions (NPB)",26,10,8,2.206451612903226,23,23,4,2,0,0,0,155,626,123,47,38,8,47,1,7,7,0,120,"Kona Takahashi","sa3062992",
"Yuya Yanagi ","Dragons (NPB)",29,4,11,2.44421060483304,24,24,2,0,0,0,0,158.1,636,126,46,43,6,47,1,4,2,0,105,"Yuya Yanagi","sa3063008",
