Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Edwin Escobar ","BayStars (NPB)",27,5,4,2.508849980995715,74,0,0,0,0,4,26,75.1,306,60,23,21,7,24,2,2,1,0,88,"Edwin Escobar","10337",
"Mike Bolsinger ","Marines (NPB)",31,4,6,4.631067961165049,20,20,0,0,0,0,0,103,465,105,61,53,14,52,0,5,3,0,86,"Mike Bolsinger","11137",
"David Buchanan ","Swallows (NPB)",30,4,6,4.785953299377678,18,18,0,0,0,0,0,99.2,438,118,56,53,10,33,0,4,1,0,58,"David Buchanan","11176",
"Zach Neal ","Lions (NPB)",30,12,1,2.870432039200389,17,17,0,0,0,0,0,100.1,410,103,38,32,8,15,0,6,2,1,51,"Zach Neal","11294",
"Joely Rodríguez ","Dragons (NPB)",27,3,4,1.6408840124832915,64,0,0,0,1,2,32,60.1,240,42,13,11,3,14,2,3,4,0,77,"Joely Rodriguez","11487",
"Scott McGough ","Swallows (NPB)",29,6,3,3.145631533966292,65,0,0,0,11,1,11,68.2,296,71,25,24,2,22,4,2,2,0,64,"Scott McGough","12056",
"Tsuyoshi Wada ","Hawks (NPB)",38,4,4,3.9017342761148566,12,12,0,0,0,0,0,57.2,240,56,26,25,11,14,0,2,0,0,45,"Tsuyoshi Wada","13046",
"Pierce Johnson ","Tigers (NPB)",28,2,3,1.3806818780327657,58,0,0,0,0,5,27,58.2,224,34,12,9,2,13,1,1,4,0,91,"Pierce Johnson","13435",
"Onelki Garcia ","Tigers (NPB)",29,6,8,4.688103008898352,21,18,1,1,0,0,0,103.2,473,123,66,54,8,40,3,6,1,0,79,"Onelki Garcia","13674",
"Kyuji Fujikawa ","Tigers (NPB)",38,4,1,1.7678571428571428,56,0,0,0,16,1,10,56,226,29,11,11,3,32,2,0,4,0,83,"Kyuji Fujikawa","14443",
"Alan Busenitz ","Golden Eagles (NPB)",28,4,3,1.9411766157843358,54,0,0,0,0,4,17,51,220,46,15,11,1,20,0,5,1,0,45,"Alan Busenitz","15239",
"Aríel Miranda ","Hawks (NPB)",30,7,5,4.186046511627907,18,18,0,0,0,0,0,86,382,80,44,40,13,48,0,2,3,0,58,"Ariel Miranda","17526",
"Randy Messenger ","Tigers (NPB)",37,3,7,4.670886075949367,14,14,1,0,0,0,0,79,336,71,45,41,11,38,1,2,3,0,55,"Randy Messenger","2658",
"Shun Yamaguchi ","Giants (NPB)",31,15,4,2.911764705882353,26,26,0,0,0,0,0,170,705,137,60,55,8,60,1,13,4,0,188,"Shun Yamaguchi","27460",
"Kohei Arihara ","Fighters (NPB)",26,15,8,2.4645031188749154,24,24,1,1,0,0,0,164.1,639,111,49,45,14,40,0,9,9,0,161,"Kohei Arihara","27505",
"Kodai Senga ","Hawks (NPB)",26,13,8,2.794824478088054,26,26,2,2,0,0,0,180.1,752,134,60,56,19,75,1,8,4,1,227,"Kodai Senga","31838",
"Yoshinobu Yamamoto ","Buffaloes (NPB)",20,8,6,1.951048951048951,20,20,1,1,0,0,0,143,553,101,37,31,8,36,0,3,3,1,127,"Yoshinobu Yamamoto","33825",
"Yuki Matsui ","Golden Eagles (NPB)",23,2,8,1.9377991138001625,68,0,0,0,38,3,0,69.2,271,40,17,15,5,24,2,1,2,0,107,"Yuki Matsui","33826",
"Naoyuki Uwasawa ","Fighters (NPB)",25,5,3,3.154205832380194,11,11,0,0,0,0,0,71.1,307,69,34,25,5,27,1,1,3,0,64,"Naoyuki Uwasawa","33828",
"Shota Imanaga ","BayStars (NPB)",25,13,7,2.911764705882353,25,25,3,3,0,0,0,170,684,128,59,55,18,56,8,4,2,0,186,"Shota Imanaga","33829",
"Tomoyuki Sugano ","Giants (NPB)",29,11,6,3.894865670980278,22,22,3,1,0,0,0,136.1,577,138,65,59,20,32,2,3,0,0,120,"Tomoyuki Sugano","35321",
"Enny Romero ","Dragons (NPB)",28,8,10,4.2550145126830055,21,21,0,0,0,0,0,116.1,503,106,57,55,19,55,1,4,2,0,105,"Enny Romero","4001",
"Rafael Dolis ","Tigers (NPB)",31,5,4,2.114457879915763,56,0,0,0,19,4,5,55.1,213,36,16,13,1,11,2,1,7,0,50,"Rafael Dolis","4185",
"David Huff ","Swallows (NPB)",34,1,5,3.9746199050546878,68,0,0,0,3,5,15,65.2,271,58,31,29,6,21,2,1,0,0,58,"David Huff","4257",
"Andrew Albers ","Buffaloes (NPB)",33,2,6,5.8263159064506915,13,13,0,0,0,0,0,63.1,278,84,44,41,12,10,0,2,1,0,45,"Andrew Albers","7853",
"Kris Johnson ","Carp (NPB)",34,11,8,2.5851062990519327,27,27,1,1,0,0,0,156.2,650,132,50,45,12,58,2,4,3,0,132,"Kris Johnson","886",
"Mizuki Hori ","Fighters (NPB)",21,4,4,5.2209952453901325,53,10,0,0,1,1,3,60.1,265,61,37,35,9,18,1,3,1,0,61,"Mizuki Hori","sa3062944",
"Naoya Ishikawa ","Fighters (NPB)",22,3,2,3.312883745709167,60,0,0,0,5,2,17,54.1,220,39,20,20,6,16,0,1,3,0,75,"Naoya Ishikawa","sa3062950",
"Katsunori Hirai ","Lions (NPB)",27,5,4,3.497976248733621,81,0,0,0,0,7,30,82.1,354,77,33,32,6,32,3,6,4,0,66,"Katsunori Hirai","sa3062953",
"Keisuke Honda ","Lions (NPB)",26,6,6,4.6313871192312375,16,16,0,0,0,0,0,91.1,375,88,48,47,13,28,0,3,2,0,53,"Keisuke Honda","sa3062954",
"Tatsuya Imai ","Lions (NPB)",21,7,9,4.322660260981678,23,22,1,1,0,0,0,135.1,596,127,74,65,16,72,1,5,7,1,105,"Tatsuya Imai","sa3062955",
"Takumi Akiyama ","Tigers (NPB)",28,4,3,4.263158108719178,10,10,0,0,0,0,0,50.2,219,56,27,24,5,12,0,1,2,0,35,"Takumi Akiyama","sa3062959",
"Koyo Aoyagi ","Tigers (NPB)",25,18,18,3.139534995129075,50,50,2,2,0,0,0,286.2,1202,290,112,100,28,84,6,24,0,2,200,"Koyo Aoyagi","sa3062961",
"Tatsushi Masuda ","Lions (NPB)",31,4,1,1.808612506213485,65,0,0,0,30,5,0,69.2,272,51,15,14,5,10,1,0,0,0,74,"Tatsushi Masuda","sa3062974",
"Toshiya Okada ","Dragons (NPB)",27,3,2,3.5761593017739104,53,0,0,0,13,2,6,50.1,207,44,20,20,8,14,1,1,0,0,53,"Toshiya Okada","sa3062986",
"Yudai Ohno ","Dragons (NPB)",30,9,8,2.583489828971581,25,25,2,2,0,0,0,177.2,696,132,52,51,18,43,2,2,2,0,156,"Yudai Ohno","sa3062988",
"Yasuo Sano ","Lions (NPB)",26,2,2,4.389163221411978,44,2,0,0,0,0,1,67.2,297,68,34,33,4,32,2,4,1,0,39,"Yasuo Sano","sa3062989",
"Kona Takahashi ","Lions (NPB)",22,10,6,4.51212947284317,21,21,1,0,0,0,0,123.2,554,144,77,62,13,47,1,14,7,1,90,"Kona Takahashi","sa3062992",
"Shinsaburo Tawata ","Lions (NPB)",26,1,6,5.834171301620047,12,12,1,1,0,0,0,66.1,306,84,47,43,8,25,0,6,3,0,37,"Shinsaburo Tawata","sa3063002",
"Ken Togame ","Lions (NPB)",31,5,6,4.5,19,17,0,0,0,0,0,102,444,106,56,51,12,31,0,4,1,2,57,"Ken Togame","sa3063004",
"Daisuke Yamai ","Dragons (NPB)",41,3,5,4.846153846153846,13,13,0,0,0,0,0,65,279,66,35,35,13,24,0,3,2,0,37,"Daisuke Yamai","sa3063005",
"Yuya Yanagi ","Dragons (NPB)",25,11,7,3.5332030197023445,26,26,1,0,0,0,0,170.2,703,165,69,67,21,38,2,3,3,0,146,"Yuya Yanagi","sa3063008",
"Hiroto Fuku ","Dragons (NPB)",27,2,0,2.050633158941288,52,0,0,0,0,0,12,52.2,216,39,13,12,3,16,1,2,0,0,53,"Hiroto Fuku","sa3063069",
"Takayuki Katoh ","Fighters (NPB)",27,5,7,3.521739422486299,26,21,0,0,0,0,0,92,378,85,39,36,11,23,0,3,1,0,70,"Takayuki Katoh","sa3063076",
"Katsuhiko Kumon ","Fighters (NPB)",27,2,0,3.9554146854838668,61,0,0,0,1,0,11,52.1,213,41,24,23,5,18,3,1,1,0,31,"Katsuhiko Kumon","sa3063078",
"Nobutaka Imamura ","Giants (NPB)",25,3,2,4.077551147384679,17,15,0,0,0,0,0,81.2,349,82,39,37,9,26,1,8,1,0,54,"Nobutaka Imamura","sa3063086",
"Toshihiro Sugiura ","Fighters (NPB)",27,4,4,3.7384615384615385,14,14,0,0,0,0,0,65,252,52,30,27,7,13,0,2,1,0,50,"Toshihiro Sugiura","sa3063087",
"Hirotoshi Takanashi ","Swallows (NPB)",28,5,7,6.230769230769231,21,14,0,0,0,0,0,78,358,90,56,54,13,34,0,4,7,0,82,"Hirotoshi Takanashi","sa3063091",
"Taisho Tamai ","Fighters (NPB)",27,2,3,2.612903868866919,65,0,0,0,0,0,3,62,256,52,22,18,1,22,2,1,1,0,34,"Taisho Tamai","sa3063095",
"Kota Nakagawa ","Giants (NPB)",25,4,3,2.3659794744896434,67,0,0,0,16,6,9,64.2,270,57,19,17,3,18,2,2,0,0,74,"Kota Nakagawa","sa3063096",
