Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Edwin Escobar ","BayStars (NPB)",28,1,4,2.3333336629985757,56,0,0,0,0,3,12,54,217,39,15,14,3,17,2,4,0,0,58,"Edwin Escobar","10337",
"Zach Neal ","Lions (NPB)",31,6,8,5.223214285714286,21,21,0,0,0,0,0,112,485,125,68,65,13,35,0,8,0,0,66,"Zach Neal","11294",
"Angel Sánchez ","Giants (NPB)",30,8,4,3.07984799808888,15,15,0,0,0,0,0,87.2,363,74,35,30,8,34,1,0,0,0,59,"Angel Sanchez","11776",
"Spencer Patton ","BayStars (NPB)",32,3,2,4.924528656331812,57,1,0,0,0,1,16,53,231,52,31,29,6,27,3,2,0,0,65,"Spencer Patton","12361",
"Nick Martinez ","Fighters (NPB)",29,2,7,4.618421052631579,17,14,0,0,1,0,1,76,344,76,44,39,8,40,4,3,8,0,66,"Nick Martinez","12730",
"Tsuyoshi Wada ","Hawks (NPB)",39,8,1,3.0466926974491075,16,16,0,0,0,0,0,85.2,346,66,30,29,7,31,0,1,1,0,75,"Tsuyoshi Wada","13046",
"Drew VerHagen ","Fighters (NPB)",29,8,6,3.2238806704365897,18,18,1,1,0,0,0,111.2,454,91,45,40,7,29,2,6,4,0,115,"Drew VerHagen","13424",
"Onelki Garcia ","Tigers (NPB)",30,2,6,4.420354280748909,14,14,0,0,0,0,0,75.1,326,71,39,37,9,35,2,1,4,1,51,"Onelki Garcia","13674",
"Matt Moore ","Hawks (NPB)",31,6,3,2.6538461538461537,13,13,0,0,0,0,0,78,320,64,32,23,7,22,0,4,1,0,89,"Matt Moore","1890",
"Kohei Arihara ","Fighters (NPB)",27,8,9,3.4597988623308016,20,20,3,1,0,0,0,132.2,547,125,56,51,11,30,0,6,2,0,106,"Kohei Arihara","27505",
"Robert Suarez ","Tigers (NPB)",29,3,1,2.2356688441299353,51,0,0,0,25,4,3,52.1,208,36,15,13,2,19,4,0,2,0,50,"Robert Suarez","30115",
"Kodai Senga ","Hawks (NPB)",27,11,6,2.15702479338843,18,18,1,0,0,0,0,121,503,90,37,29,4,57,0,2,5,0,149,"Kodai Senga","31838",
