Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Takahiro Matsuba ","Dragons (NPB)",33,93.1,4.821428834175591,2.314285840404284,2.08333333,0.7714286134680947,0.1312336,0.06299213,0.06824147,0.23943662,1.1678572065003099,0.25925926,0.78156313,3.0857144538723786,3.5763084072969424,-0.4905939534245638,"Takahiro Matsuba","sa3063343",
"Yuki Nishi ","Tigers (NPB)",33,124.2,5.1256685537586835,1.6604278413584468,3.08695652,0.360962574208358,0.13894325,0.04500978,0.09393346,0.23395445,1.0909091131630375,0.26535627,0.76119403,2.2379679600918196,2.7538866646129128,-0.5159187045210931,"Yuki Nishi","sa3063344",
"Daiki Tajima ","Buffaloes (NPB)",27,117.1,6.673295743825034,2.607954658506335,2.55882353,0.7670454877959809,0.17365269,0.06786427,0.10578842,0.26021505,1.3210227845375229,0.30163043,0.74125874,3.681818341420709,3.2431914999465326,0.4386268414741763,"Daiki Tajima","sa3063350",
"Sachiya Yamasaki ","Fighters (NPB)",31,147.2,4.510158324241781,1.7065463929563496,2.64285714,1.036117452866355,0.12353923,0.04674457,0.07679466,0.25044092,1.15124161429595,0.26260504,0.77896138,3.169300444061792,3.84220653564726,-0.6729060915854679,"Sachiya Yamasaki","sa3063354",
"Kohei Azuma ","Buffaloes (NPB)",24,58.2,5.829545707249455,2.3011364633879428,2.53333333,0.4602272926775886,0.15702479,0.06198347,0.09504132,0.21266968,1.0568182276300182,0.24444444,0.78369906,2.607954658506335,3.1409187682404016,-0.5329641097340665,"Kohei Azuma","sa3063382",
"Yuji Nishino ","Marines (NPB)",33,122.1,5.66485037176773,2.2806540457766187,2.48387097,0.5885558827810629,0.15098039,0.06078431,0.09019608,0.25263158,1.2343324763880623,0.28717949,0.75799722,3.2370573552958457,3.1473282301938132,0.08972912510203246,"Yuji Nishino","sa3063401",
"Atsuki Taneichi ","Marines (NPB)",25,147.1,9.040724294005667,2.3212670484609146,3.89473684,0.3054298747974888,0.24183007,0.0620915,0.17973856,0.22654867,1.1266968714751808,0.29854369,0.71428571,3.0542987479748875,2.0868771812521905,0.9674215667226971,"Atsuki Taneichi","sa3063410",
"Hideaki Wakui ","Dragons (NPB)",38,85,4.870588235294117,2.4352941176470586,2,0.4235294117647059,0.13180516,0.06590258,0.06590258,0.24382716,1.2,0.27372263,0.74186992,3.070588235294118,3.109501636729521,-0.03891340143540312,"Hideaki Wakui","sa3063413",
"Takayuki Kishi ","Golden Eagles (NPB)",39,143.1,4.5837210928884495,1.8209302971748635,2.51724138,0.8162790987335595,0.12372881,0.04915254,0.07457627,0.25760286,1.2069767870162889,0.2769556,0.78443878,2.8255814956161673,3.5070392851471075,-0.6814577895309402,"Takayuki Kishi","sa3063457",
"Kohei Morihara ","BayStars (NPB)",32,59.2,8.899441720096938,1.8100559430705638,4.91666667,0.45251398576764096,0.2388664,0.048583,0.1902834,0.23076923,1.1061452985431224,0.29651163,0.78025478,2.413407924094085,2.0273458408210336,0.38606208327305147,"Kohei Morihara","sa3063462",
"Takahiro Norimoto ","Golden Eagles (NPB)",33,52,7.615385174045942,1.9038462935114855,4,0.34615387154754285,0.19730942,0.04932735,0.14798206,0.27272727,1.3076924036240507,0.33742331,0.73313783,3.4615387154754282,2.3131215180165654,1.1484171974588628,"Takahiro Norimoto","sa3063465",
"Nao Higashihama ","Hawks (NPB)",34,56,6.267857142857143,1.7678571428571428,3.54545455,1.125,0.16810345,0.04741379,0.12068966,0.24090909,1.1428571428571428,0.26436782,0.77898551,3.375,3.572736930847168,-0.19773693084716815,"Nao Higashihama","sa3063503",
"Shuta Ishikawa ","Hawks (NPB)",32,63.1,7.389473832571609,1.7052631921319097,4.33333333,0.5684210640439699,0.21052632,0.048583,0.16194332,0.22173913,0.9947368620769473,0.27011494,0.80128205,2.5578947881978644,2.681947456845947,-0.12405266864808251,"Shuta Ishikawa","sa3063505",
"Reiji Kozawa ","Swallows (NPB)",26,77.2,7.6480689199576615,2.6652361387731247,2.86956522,0.6952789927234237,0.21359223,0.07443366,0.13915858,0.2245614,1.1201717104988496,0.27230047,0.82914573,2.549356306652554,2.9294965950883096,-0.38014028843575565,"Reiji Kozawa","sa3063511",
"Livan Moinelo ","Hawks (NPB)",28,163,8.558282208588958,2.5950920245398774,3.29787234,0.6073619631901841,0.24371069,0.07389937,0.16981132,0.18321918,0.9447852760736196,0.22966507,0.8356546,1.8773006134969326,2.630252268270481,-0.7529516547735484,"Livan Moinelo","sa3063513",
"Koutaro Ohtake ","Tigers (NPB)",29,144.2,5.661290720665626,2.052995536065557,2.75757576,0.4976958875310441,0.15502555,0.05621806,0.0988075,0.24231465,1.1543779613567273,0.27753304,0.77168367,2.7995393673621227,2.863635560024183,-0.06409619266206024,"Koutaro Ohtake","sa3063561",
"Katsuki Azuma ","BayStars (NPB)",28,183,6.885245901639344,1.3278688524590163,5.18518519,0.5409836065573771,0.19151847,0.0369357,0.15458276,0.23782235,1.0546448087431695,0.2833638,0.83877996,2.1639344262295084,2.4900866576231246,-0.32615223139361627,"Katsuki Azuma","sa3063565",
"Haruhiro Hamaguchi ","BayStars (NPB)",29,52.2,7.6898737890448166,4.955696441828882,1.55172414,0.5126582526029878,0.19650655,0.12663755,0.069869,0.2361809,1.4430380443639657,0.29139073,0.70054945,3.2468355998189224,3.4382432957181503,-0.1914076958992279,"Haruhiro Hamaguchi","sa3063568",
"Shosei Togo ","Giants (NPB)",24,180,7.8,2.2,3.54545455,0.6,0.22190612,0.0625889,0.15931721,0.19785276,0.9611111111111111,0.24173554,0.86397059,1.95,2.6810702641805015,-0.7310702641805016,"Shosei Togo","sa3063629",
"Kazuya Ojima ","Marines (NPB)",27,163.1,7.273469614253752,1.9836735311601144,3.66666667,0.8265306379833809,0.19672131,0.05365127,0.14307005,0.25,1.1816326898577223,0.2952183,0.73743017,3.5816327645946506,3.0650838810620042,0.5165488835326464,"Kazuya Ojima","sa3063638",
"Kodai Umetsu ","Dragons (NPB)",27,77.1,8.379310895940248,3.6077588579742734,2.32258065,0.3491379539975103,0.22018349,0.09480122,0.12538226,0.2585034,1.3836207806568002,0.33333333,0.70610687,4.073276129970954,2.6201507188477215,1.4531254111232323,"Kodai Umetsu","sa3063644",
"Kazuki Sugiyama ","Hawks (NPB)",26,50.1,10.907285043761526,3.9337749338156325,2.77272727,0.3576159030741484,0.30808081,0.11111111,0.1969697,0.16,0.9933775085393011,0.23214286,0.85062241,1.6092715638336679,2.1613130762359454,-0.5520415124022775,"Kazuki Sugiyama","sa3063652",
"Sotaro Shimauchi ","Carp (NPB)",27,55.1,8.620482720109202,4.3915666687348764,1.96296296,0.32530123472110195,0.22268908,0.11344538,0.1092437,0.20574163,1.2650603572487298,0.26623377,0.75144509,2.7650604951293665,2.824242966572041,-0.05918247144267452,"Sotaro Shimauchi","sa3063665",
"Wataru Matsumoto ","Lions (NPB)",27,66.1,5.562814496893533,3.93467366853445,1.4137931,1.492462425995826,0.1443662,0.10211268,0.04225352,0.21343874,1.2512563773500358,0.21393035,0.76149425,3.93467366853445,5.019345149062897,-1.0846714805284465,"Wataru Matsumoto","sa3063688",
"Yutaro Watanabe ","Lions (NPB)",23,87.2,5.1330799968148,2.771863198279992,1.85185185,0.51330799968148,0.13661202,0.07377049,0.06284153,0.24251497,1.231939199235552,0.27240143,0.82075472,2.669201598343696,3.3935544415265078,-0.7243528431828117,"Yutaro Watanabe","sa3063693",
"Shinichi Ohnuki ","BayStars (NPB)",30,88.1,5.9094343025313645,2.4452831596681506,2.41666667,0.6113207899170376,0.15675676,0.06486486,0.09189189,0.22807018,1.154717047621071,0.25899281,0.72745902,2.852830352946176,3.2184916778135335,-0.3656613248673577,"Shinichi Ohnuki","sa3063700",
"Carter Stewart, Jr. ","Hawks (NPB)",24,120,7.875,3.825,2.05882353,0.45,0.21649485,0.10515464,0.11134021,0.18414918,1.0833333333333333,0.22955975,0.83728278,1.95,2.997736930847168,-1.047736930847168,"Carter Stewart, Jr.","sa3063716",
"Kenshin Hotta ","Giants (NPB)",23,51.1,5.259740780891397,2.2792210050529387,2.30769231,0.3506493853927598,0.15,0.065,0.085,0.23243243,1.090909198999697,0.26797386,0.79710145,2.4545456977493183,2.9120226663649658,-0.45747696861564746,"Kenshin Hotta","sa3063719",
"Haruto Inoue ","Giants (NPB)",23,101,8.821782844602591,2.405940775800707,3.66666667,0.44554458811124203,0.23970944,0.0653753,0.17433414,0.22715405,1.1287129565484797,0.29390681,0.76363636,2.7623764462897005,2.271994324429759,0.49038212185994157,"Haruto Inoue","sa3063720",
"Tomohisa Ohzeki ","Hawks (NPB)",26,122.1,5.66485037176773,2.1335150750813527,2.65517241,0.7356948534763286,0.16008316,0.06029106,0.0997921,0.19004525,0.9237057604758347,0.2084507,0.81651376,2.501362501819517,3.457954946106041,-0.9565924442865241,"Tomohisa Ohzeki","sa3063734",
"Hiroya Miyagi ","Buffaloes (NPB)",22,141.2,8.830587918249227,1.3976470086437627,6.31818182,0.4447058663866517,0.24821429,0.03928571,0.20892857,0.21495327,0.967058788809068,0.27763496,0.83717358,1.9058822845142218,1.907148723937565,-0.0012664394233432574,"Hiroya Miyagi","sa3063746",
"Ryota Takinaka ","Golden Eagles (NPB)",29,71.1,3.2803737148258634,1.7663550772139263,1.85714286,0.7570093188059684,0.0890411,0.04794521,0.04109589,0.26714801,1.2336448158319486,0.27755102,0.65756824,4.163551253432827,3.6930639981661266,0.4704872552667001,"Ryota Takinaka","sa3063755",
"Masato Morishita ","Carp (NPB)",26,151.2,5.815384420361045,1.7208790631680646,3.37931034,0.3560439441037375,0.16013072,0.04738562,0.1127451,0.23784722,1.0945054578003783,0.27754237,0.77156744,2.551648266076785,2.6318028671242537,-0.08015460104746852,"Masato Morishita","sa3063771",
"Shogo Tamamura ","Carp (NPB)",23,76,6.868421052631579,1.3026315789473684,5.27272727,0.35526315789473684,0.18649518,0.03536977,0.1511254,0.25838926,1.1578947368421053,0.31223629,0.67599068,2.960526315789474,2.197736930847168,0.7627893849423057,"Shogo Tamamura","sa3063772",
"Hiroki Ohnishi ","Swallows (NPB)",26,60.1,4.624310074488403,1.7900555127051883,2.58333333,0.44751387817629706,0.13191489,0.05106383,0.08085106,0.239819,1.0773482252392337,0.26737968,0.87579618,1.3425416345288912,3.0126541043786363,-1.6701124698497452,"Hiroki Ohnishi","sa3063788",
"Yuki Hashimoto ","Dragons (NPB)",26,52,9.346155217413568,3.8076928663536758,2.45454545,0,0.24,0.09777778,0.14222222,0.22885572,1.3076924995558077,0.31292517,0.72857143,1.7307694847062163,2.0054291369646817,-0.27465965225846545,"Yuki Hashimoto","sa3063791",
