Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Jahmai Jones","MIL",0.4,0.666666666,0,0.4,0.6,0,0,1,0.5,0,0,0.8,0.2,0,0,0.4,0.6,"Jahmai Jones",18872,663330
"David Dahl","SDP",0,0.75,0,0.428571428,0.571428571,0,0.25,0,0,0,0,0.28571429,0.28571429,0.42857143,0,0.42857143,0.57142857,"David Dahl",13744,621311
"Sam Huff","TEX",0.347826086,2.5,0.192307692,0.576923076,0.23076923,0,0.5,1,0.066666666,0,0,0.5,0.11538462,0.38461538,0.15384615,0.30769231,0.53846154,"Sam Huff",22209,669087
"Aaron Judge","NYY",0.30049261,0.608333333,0.195833333,0.304166666,0.5,0.066666666,0.308333333,4,0.05479452,0,0,0.45,0.34166667,0.20833333,0.07916667,0.38333333,0.5375,"Aaron Judge",15640,592450
"Kyle Garlick","MIN",0.2,0.875,0.117647058,0.411764705,0.470588235,0.125,0.25,0,0,0,0,0.35294118,0.52941176,0.11764706,0.11764706,0.35294118,0.52941176,"Kyle Garlick",18063,664247
"Zack Collins","CLE",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.5,"Zack Collins",19181,641470
"Cooper Hummel","SEA",0.142857142,3,0.142857142,0.642857142,0.214285714,0,0,0,0,0,0,0.78571429,0.14285714,0.07142857,0,0.5,0.5,"Cooper Hummel",19458,669450
"Tres Barrera","STL",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.5,0.5,"Tres Barrera",19977,668663
"Connor Kaiser","COL",0,1,0,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,"Connor Kaiser",21535,663731
"Michael Siani","- - -",0,1,0,0.5,0.5,0,0,0,0,0,0,1,0,0,0.25,0.25,0.5,"Michael Siani",22557,672279
"Jacob Amaya","MIA",0.25,6,0.125,0.75,0.125,0,0,0,0,0,0,0.75,0,0.25,0.125,0.375,0.5,"Jacob Amaya",23296,676070
"Cam Eden","TOR",0.25,2,0.25,0.5,0.25,0,0,0,0,0,0,0,0.5,0.5,0.25,0.25,0.5,"Cam Eden",25476,686490
"Dane Myers","MIA",0.354166666,4.285714285,0.244897959,0.612244897,0.142857142,0,0.142857142,4,0.133333333,0,0,0.42857143,0.36734694,0.20408163,0.14285714,0.36734694,0.48979592,"Dane Myers",22054,667472
"J.D. Martinez","LAD",0.324324324,0.860655737,0.222602739,0.359589041,0.417808219,0.040983606,0.270491803,5,0.047619047,0,0,0.38356164,0.37328767,0.24315068,0.07534247,0.43493151,0.48972603,"J.D. Martinez",6184,502110
"Darin Ruf","- - -",0.333333333,1.454545454,0.181818181,0.484848484,0.333333333,0,0,0,0,0,0,0.39393939,0.39393939,0.21212121,0.03030303,0.48484848,0.48484848,"Darin Ruf",9929,573131
"Corey Seager","TEX",0.339779005,1.006369426,0.202531645,0.4,0.397468354,0.03821656,0.210191082,9,0.056962025,0,0,0.41518987,0.3443038,0.24050633,0.08607595,0.43037975,0.4835443,"Corey Seager",13624,608369
"Sean Bouchard","COL",0.38095238,1,0.12,0.44,0.44,0.09090909,0.363636363,2,0.181818181,0,0,0.32,0.48,0.2,0.12,0.4,0.48,"Sean Bouchard",21270,656248
"Bobby Dalbec","BOS",0.45,1.166666666,0.38095238,0.333333333,0.285714285,0,0.166666666,1,0.142857142,0,0,0.38095238,0.19047619,0.42857143,0.0952381,0.42857143,0.47619048,"Bobby Dalbec",19966,666915
"Peyton Burdick","MIA",0.357142857,0.857142857,0.133333333,0.4,0.466666666,0,0.142857142,0,0,0,0,0.33333333,0.26666667,0.4,0.13333333,0.4,0.46666667,"Peyton Burdick",25459,680814
"Iván Herrera","STL",0.423076923,3,0.23076923,0.576923076,0.192307692,0.4,0,0,0,0,0,0.23076923,0.30769231,0.46153846,0.15384615,0.38461538,0.46153846,"Ivan Herrera",20599,671056
"Ronald Acuña Jr.","ATL",0.3378119,1.625730994,0.201067615,0.494661921,0.304270462,0.046783625,0.239766081,23,0.082733812,0,0,0.39679715,0.35587189,0.24733096,0.10142349,0.43772242,0.46085409,"Ronald Acuna Jr.",18401,660670
"Trevor Larnach","MIN",0.295238095,0.685185185,0.194690265,0.327433628,0.477876106,0.055555555,0.148148148,4,0.108108108,0,0,0.39823009,0.4159292,0.18584071,0.14159292,0.39823009,0.46017699,"Trevor Larnach",21501,663616
"Luken Baker","STL",0.301886792,0.909090909,0.236363636,0.363636363,0.4,0.136363636,0.09090909,1,0.05,0,0,0.38181818,0.38181818,0.23636364,0.07272727,0.47272727,0.45454545,"Luken Baker",21497,663609
"Yordan Alvarez","HOU",0.305841924,0.773972602,0.193146417,0.352024922,0.45482866,0.061643835,0.212328767,9,0.079646017,1,1,0.39130435,0.33229814,0.27639752,0.11801242,0.43167702,0.45031056,"Yordan Alvarez",19556,670541
"Alexander Canario","CHC",0.5,0.75,0.222222222,0.333333333,0.444444444,0.25,0.25,0,0,0,0,0.44444444,0.33333333,0.22222222,0.11111111,0.44444444,0.44444444,"Alexander Canario",22842,672744
"Ji Man Choi","- - -",0.169230769,1.035714285,0.197183098,0.408450704,0.394366197,0.107142857,0.214285714,0,0,0,0,0.54929577,0.22535211,0.22535211,0.16901408,0.3943662,0.43661972,"Ji Man Choi",5452,596847
"Avisaíl García","MIA",0.257575757,1.608695652,0.130434782,0.536231884,0.333333333,0.086956521,0.130434782,0,0,0,0,0.39130435,0.27536232,0.33333333,0.17391304,0.39130435,0.43478261,"Avisail Garcia",5760,541645
"Jasson Domínguez","NYY",0.210526315,1.375,0.173913043,0.478260869,0.347826086,0,0.5,0,0,0,0,0.47826087,0.34782609,0.17391304,0.13043478,0.43478261,0.43478261,"Jasson Dominguez",28080,691176
"Matt Mervis","CHC",0.218181818,1.35,0.189655172,0.465517241,0.344827586,0.1,0.15,1,0.037037037,0,0,0.55172414,0.32758621,0.12068966,0.25862069,0.31034483,0.43103448,"Matt Mervis",27845,670223
"Ryan McMahon","COL",0.326409495,1.291666666,0.231843575,0.432960893,0.33519553,0.016666666,0.191666666,12,0.077419354,1,0.5,0.34722222,0.375,0.27777778,0.12777778,0.44166667,0.43055556,"Ryan McMahon",15112,641857
"Jorge Soler","MIA",0.271903323,0.770588235,0.179836512,0.356948228,0.463215258,0.076470588,0.211764705,5,0.038167938,0,0,0.46321526,0.35149864,0.1852861,0.13351499,0.4359673,0.43051771,"Jorge Soler",14221,624585
"Abraham Almonte","NYM",0.142857142,2.5,0,0.714285714,0.285714285,0,0,0,0,0,0,0.42857143,0.28571429,0.28571429,0.14285714,0.42857143,0.42857143,"Abraham Almonte",5486,501659
"Michael Pérez","NYM",0.571428571,1.5,0.285714285,0.428571428,0.285714285,0.5,0,0,0,0,0,0.14285714,0.71428571,0.14285714,0.14285714,0.42857143,0.42857143,"Michael Perez",12977,605421
"Shohei Ohtani","LAA",0.341853035,1.070921985,0.182072829,0.422969187,0.394957983,0.056737588,0.312056737,11,0.072847682,0,0,0.38935574,0.36134454,0.24929972,0.09803922,0.47338936,0.42857143,"Shohei Ohtani",19755,660271
"Matt Olson","ATL",0.301790281,0.886597938,0.177528089,0.386516853,0.435955056,0.030927835,0.278350515,5,0.029069767,0,0,0.38202247,0.37303371,0.24494382,0.11235955,0.46067416,0.42696629,"Matt Olson",14344,621566
"Adolis García","TEX",0.279538904,0.784530386,0.163212435,0.367875647,0.468911917,0.071823204,0.215469613,15,0.105633802,0,0,0.42487047,0.34455959,0.23056995,0.11168831,0.46233766,0.42597403,"Adolis Garcia",19287,666969
"Miguel Andujar","PIT",0.253731343,1.296296296,0.126760563,0.492957746,0.38028169,0.074074074,0.148148148,0,0,0,0,0.42253521,0.36619718,0.21126761,0.15492958,0.42253521,0.42253521,"Miguel Andujar",15878,609280
"Willson Contreras","STL",0.311036789,1.4,0.210031347,0.460815047,0.329153605,0.133333333,0.19047619,10,0.06802721,0,0,0.378125,0.359375,0.2625,0.15,0.428125,0.421875,"Willson Contreras",11609,575929
"Tommy Pham","- - -",0.3,1.67368421,0.220858895,0.487730061,0.291411042,0.031578947,0.168421052,9,0.056603773,0,0,0.38650307,0.40490798,0.20858896,0.12269939,0.45705521,0.4202454,"Tommy Pham",2967,502054
"MJ Melendez","KCR",0.31054131,0.825,0.204359673,0.359673024,0.435967302,0.05,0.1,8,0.06060606,0,0,0.45776567,0.32425068,0.21798365,0.07084469,0.50953678,0.41961853,"MJ Melendez",22197,669004
"Joc Pederson","SFG",0.26848249,0.946902654,0.188191881,0.394833948,0.416974169,0.088495575,0.132743362,6,0.056074766,0,0,0.46323529,0.33088235,0.20588235,0.11397059,0.46691176,0.41911765,"Joc Pederson",11899,592626
