Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Josmil Pinto","MIL",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"Josmil Pinto",6806,500887
"Eric Young Jr.","NYY",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Eric Young Jr.",7158,458913
"Kyle Schwarber","CHC",0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"Kyle Schwarber",16478,656941
"Chris Parmelee","NYY",0.666666666,0.666666666,0,0.4,0.6,0,0.666666666,0,0,0,0,0.4,0.2,0.4,0,0.2,0.8,"Chris Parmelee",2554,476633
"Zach Walters","LAD",0,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0.66666667,0.33333333,0,0,0.33333333,0.66666667,"Zach Walters",10622,595025
"Ryan LaMarre","BOS",0,2,0.333333333,0.666666666,0,0,0,0,0,0,0,0.33333333,0.33333333,0.33333333,0.33333333,0,0.66666667,"Ryan LaMarre",10700,534606
"Kevan Smith","CHW",0.2,2,0.1,0.6,0.3,0,0,1,0.166666666,0,0,0.1,0.7,0.2,0.1,0.3,0.6,"Kevan Smith",12284,607345
"Rio Ruiz","ATL",0.4,0.5,0.4,0.2,0.4,0.5,0,0,0,0,0,0.4,0.6,0,0.4,0,0.6,"Rio Ruiz",14103,547004
"Trey Mancini","BAL",0.285714285,1,0.2,0.4,0.4,0,0.75,0,0,0,0,0.1,0.4,0.5,0,0.4,0.6,"Trey Mancini",15149,641820
"Rusney Castillo","BOS",0.4,1.5,0,0.6,0.4,0,0,0,0,0,0,0.6,0.2,0.2,0,0.4,0.6,"Rusney Castillo",17016,628329
"Blake Lalli","ATL",0.2,3,0.2,0.6,0.2,0,0,0,0,0,0,0.11111111,0.55555556,0.33333333,0.22222222,0.22222222,0.55555556,"Blake Lalli",9246,503351
"Pat Valaika","COL",0.4,1.5,0.09090909,0.545454545,0.363636363,0,0.25,1,0.166666666,0,0,0.27272727,0.36363636,0.36363636,0.27272727,0.18181818,0.54545455,"Pat Valaika",14885,642162
"Justin Ruggiano","- - -",0.5,1,0.285714285,0.357142857,0.357142857,0.2,0.4,0,0,0,0,0.42857143,0.42857143,0.14285714,0.21428571,0.28571429,0.5,"Justin Ruggiano",7620,448605
