Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Yadiel Rivera","MIL",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Yadiel Rivera",11863,592680
"Chance Sisco","BAL",0.444444444,1.25,0.181818181,0.454545454,0.363636363,0,0.5,0,0,0,0,0.54545455,0.18181818,0.27272727,0.18181818,0.18181818,0.63636364,"Chance Sisco",15694,642082
"Darrell Ceciliani","TOR",0.25,0.5,0.4,0.2,0.4,0,0.5,0,0,0,0,0.6,0.4,0,0.4,0,0.6,"Darrell Ceciliani",9954,571553
"Francisco Peña","BAL",0.6,2,0.142857142,0.571428571,0.285714285,0,1,1,0.25,0,0,0.71428571,0.14285714,0.14285714,0.28571429,0.14285714,0.57142857,"Francisco Pena",8298,506747
"Christian Walker","ARI",0.2,0.5,0.142857142,0.285714285,0.571428571,0,0.5,0,0,0,0,0.28571429,0.28571429,0.42857143,0.14285714,0.28571429,0.57142857,"Christian Walker",13419,572233
"Kirk Nieuwenhuis","MIL",0.2,0.8,0.181818181,0.363636363,0.454545454,0,0.2,0,0,0,0,0.18181818,0.63636364,0.18181818,0.09090909,0.36363636,0.54545455,"Kirk Nieuwenhuis",6400,543590
"Danny Ortiz","PIT",0.09090909,0.428571428,0.09090909,0.272727272,0.636363636,0,0,0,0,0,0,0.27272727,0.18181818,0.54545455,0.18181818,0.27272727,0.54545455,"Danny Ortiz",10317,543611
"Erik Kratz","NYY",1,1,0,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,"Erik Kratz",4403,456124
"James Adduci","DET",0.345454545,1.705882352,0.163636363,0.527272727,0.309090909,0.058823529,0.058823529,2,0.068965517,1,1,0.23214286,0.35714286,0.41071429,0.125,0.375,0.5,"James Adduci",6448,451192
"Dusty Coleman","SDP",0.366666666,0.769230769,0.303030303,0.303030303,0.393939393,0,0.307692307,1,0.1,0,0,0.32352941,0.52941176,0.14705882,0.17647059,0.32352941,0.5,"Dusty Coleman",8979,543038
"John Ryan Murphy","ARI",0.166666666,1.5,0.166666666,0.5,0.333333333,0,0,1,0.333333333,0,0,0.66666667,0.16666667,0.16666667,0,0.5,0.5,"John Ryan Murphy",10346,571974
"Steve Selsky","BOS",0.25,3,0,0.75,0.25,0,0,0,0,0,0,0.25,0.5,0.25,0.25,0.25,0.5,"Steve Selsky",12957,592731
"J.D. Martinez","- - -",0.326996197,0.887218045,0.185064935,0.383116883,0.431818181,0.067669172,0.338345864,7,0.059322033,0,0,0.38311688,0.32792208,0.28896104,0.13961039,0.37012987,0.49025974,"J.D. Martinez",6184,502110
"Alex Avila","- - -",0.382022471,1.138461538,0.276041666,0.385416666,0.338541666,0.015384615,0.215384615,3,0.04054054,0,0,0.34715026,0.38341969,0.26943005,0.06735751,0.44559585,0.48704663,"Alex Avila",7476,488671
"Geovany Soto","CHW",0.166666666,0.846153846,0.272727272,0.333333333,0.393939393,0.076923076,0.23076923,0,0,0,0,0.42424242,0.3030303,0.27272727,0.15151515,0.36363636,0.48484848,"Geovany Soto",3707,434567
"Daniel Vogelbach","SEA",0.315789473,1,0.368421052,0.315789473,0.315789473,0,0,1,0.166666666,0,0,0.36842105,0.42105263,0.21052632,0.05263158,0.47368421,0.47368421,"Daniel Vogelbach",14130,596129
"Colby Rasmus","TBR",0.367647058,0.71875,0.266666666,0.306666666,0.426666666,0.0625,0.28125,1,0.04347826,1,0.5,0.54545455,0.31168831,0.14285714,0.15584416,0.37662338,0.46753247,"Colby Rasmus",9893,458675
"Joey Gallo","TEX",0.25,0.514705882,0.179282868,0.278884462,0.541832669,0.117647058,0.301470588,3,0.042857142,0,0,0.49603175,0.29365079,0.21031746,0.1468254,0.38888889,0.46428571,"Joey Gallo",14128,608336
"Scott Van Slyke","LAD",0.125,0.615384615,0.192307692,0.307692307,0.5,0.153846153,0.153846153,1,0.125,0,0,0.5,0.26923077,0.23076923,0.23076923,0.30769231,0.46153846,"Scott Van Slyke",4365,475100
"Rhys Hoskins","PHI",0.24074074,0.684210526,0.238095238,0.309523809,0.452380952,0.087719298,0.315789473,2,0.051282051,0,0,0.49206349,0.28571429,0.22222222,0.12698413,0.41269841,0.46031746,"Rhys Hoskins",16472,656555
"Ji Man Choi","NYY",0.222222222,1.75,0,0.636363636,0.363636363,0,0.5,0,0,0,0,0.63636364,0.18181818,0.18181818,0,0.54545455,0.45454545,"Ji Man Choi",5452,596847
"Aaron Judge","NYY",0.356643356,0.808219178,0.218934911,0.349112426,0.431952662,0.061643835,0.356164383,5,0.042372881,0,0,0.41420118,0.30769231,0.27810651,0.11242604,0.43491124,0.45266272,"Aaron Judge",15640,592450
"Jesús Aguilar","MIL",0.337209302,1.084507042,0.212765957,0.409574468,0.377659574,0.070422535,0.225352112,3,0.038961038,0,0,0.38829787,0.44680851,0.16489362,0.15425532,0.39361702,0.45212766,"Jesus Aguilar",11342,542583
"Miguel Sanó","MIN",0.375,0.960784313,0.206349206,0.388888888,0.404761904,0.06862745,0.274509803,3,0.030612244,0,0,0.44047619,0.37301587,0.18650794,0.13492063,0.41666667,0.4484127,"Miguel Sano",12164,593934
"Tim Federowicz","SFG",0.142857142,1.333333333,0.222222222,0.444444444,0.333333333,0,0.666666666,0,0,0,0,0.55555556,0.33333333,0.11111111,0.22222222,0.33333333,0.44444444,"Tim Federowicz",8609,543148
"Paul Goldschmidt","ARI",0.343007915,1.324137931,0.187951807,0.462650602,0.34939759,0.08275862,0.248275862,15,0.078125,0,0,0.39518072,0.3686747,0.23614458,0.11325301,0.44337349,0.44337349,"Paul Goldschmidt",9218,502671
"Corey Seager","LAD",0.352185089,1.272058823,0.248175182,0.420924574,0.330900243,0.044117647,0.161764705,8,0.046242774,0,0,0.3649635,0.35523114,0.27980535,0.12895377,0.43065693,0.44038929,"Corey Seager",13624,608369
"Brett Eibner","LAD",0.285714285,2,0.25,0.5,0.25,0,0.5,0,0,0,0,0.5,0.5,0,0.125,0.4375,0.4375,"Brett Eibner",11369,518649
"Tyler White","HOU",0.325581395,0.5,0.217391304,0.260869565,0.52173913,0.083333333,0.125,1,0.083333333,0,0,0.30434783,0.41304348,0.2826087,0.15217391,0.41304348,0.43478261,"Tyler White",15564,643603
"Nick Castellanos","DET",0.31263858,0.978021978,0.245283018,0.373165618,0.381551362,0.016483516,0.142857142,12,0.06741573,0,0,0.38574423,0.34800839,0.26624738,0.11530398,0.45073375,0.43396226,"Nick Castellanos",11737,592206
"Cody Bellinger","LAD",0.298657718,0.748387096,0.176291793,0.352583586,0.47112462,0.083870967,0.251612903,9,0.077586206,6,0.75,0.42433234,0.34718101,0.22848665,0.13946588,0.43026706,0.43026706,"Cody Bellinger",15998,641355
"Niko Goodrum","MIN",0.142857142,2.5,0,0.714285714,0.285714285,0.5,0,0,0,0,0,0.42857143,0.28571429,0.28571429,0.28571429,0.28571429,0.42857143,"Niko Goodrum",12092,592348
"Miguel Cabrera","DET",0.291907514,1.210084033,0.273480662,0.397790055,0.328729281,0.025210084,0.134453781,4,0.027777777,0,0,0.32044199,0.36464088,0.31491713,0.09944751,0.47513812,0.42541436,"Miguel Cabrera",1744,408234
"Jabari Blash","SDP",0.319148936,0.925,0.222222222,0.373737373,0.404040404,0.05,0.125,4,0.108108108,0,0,0.39393939,0.37373737,0.23232323,0.15151515,0.42424242,0.42424242,"Jabari Blash",11247,518466
"Trayce Thompson","LAD",0.2,1.333333333,0.192307692,0.461538461,0.346153846,0,0.111111111,0,0,0,0,0.5,0.38461538,0.11538462,0.23076923,0.34615385,0.42307692,"Trayce Thompson",9952,572204
"Taylor Featherston","TBR",0.208333333,0.692307692,0.153846153,0.346153846,0.5,0,0.153846153,0,0,0,0,0.26923077,0.46153846,0.26923077,0.07692308,0.5,0.42307692,"Taylor Featherston",12590,605227
"Yoenis Cespedes","NYM",0.316279069,0.695652173,0.159482758,0.344827586,0.495689655,0.147826086,0.147826086,7,0.0875,0,0,0.4137931,0.3362069,0.25,0.20689655,0.37068966,0.42241379,"Yoenis Cespedes",13110,493316
"Matt Carpenter","STL",0.274011299,0.529100529,0.223118279,0.268817204,0.508064516,0.047619047,0.121693121,3,0.03,4,0.571428571,0.47229551,0.31398417,0.21372032,0.12137203,0.45646438,0.42216359,"Matt Carpenter",8090,572761
"Lucas Duda","- - -",0.238461538,0.624113475,0.210344827,0.303448275,0.486206896,0.056737588,0.212765957,1,0.011363636,0,0,0.46206897,0.30344828,0.23448276,0.14482759,0.43448276,0.42068966,"Lucas Duda",2502,446263
"Khris Davis","OAK",0.289552238,0.90625,0.193121693,0.383597883,0.423280423,0.0625,0.26875,9,0.062068965,0,0,0.34391534,0.42328042,0.23280423,0.13492063,0.44444444,0.42063492,"Khris Davis",9112,501981
"Yasmany Tomás","ARI",0.293577981,1.447368421,0.205128205,0.47008547,0.324786324,0.026315789,0.210526315,3,0.054545454,0,0,0.37606838,0.35897436,0.26495726,0.15384615,0.42735043,0.41880342,"Yasmany Tomas",17171,630111
"Will Middlebrooks","TEX",0.333333333,1.571428571,0.25,0.458333333,0.291666666,0.142857142,0,0,0,0,0,0.41666667,0.375,0.20833333,0.16666667,0.41666667,0.41666667,"Will Middlebrooks",7002,519025
"Michael Conforto","NYM",0.327659574,1,0.244274809,0.377862595,0.377862595,0.101010101,0.272727272,10,0.101010101,0,0,0.32442748,0.39694656,0.27862595,0.20229008,0.38167939,0.41603053,"Michael Conforto",16376,624424
"Chris Davis","BAL",0.30125523,0.923809523,0.234848484,0.367424242,0.397727272,0.028571428,0.247619047,1,0.010309278,0,0,0.44150943,0.33962264,0.21886792,0.12830189,0.45660377,0.41509434,"Chris Davis",9272,448801
"Eric Thames","MIL",0.309090909,0.928571428,0.203278688,0.383606557,0.413114754,0.039682539,0.246031746,6,0.051282051,0,0,0.45424837,0.28104575,0.26470588,0.16013072,0.4248366,0.41503268,"Eric Thames",3711,519346
"Wil Myers","SDP",0.296703296,0.875,0.196428571,0.375,0.428571428,0.154761904,0.178571428,16,0.108843537,2,1,0.42385787,0.3680203,0.20812183,0.19543147,0.39086294,0.41370558,"Wil Myers",10047,571976
"Justin Upton","- - -",0.341107871,0.842424242,0.195767195,0.367724867,0.436507936,0.09090909,0.212121212,6,0.043165467,0,0,0.38624339,0.35714286,0.25661376,0.1984127,0.39153439,0.41005291,"Justin Upton",5222,457708
"Luke Voit","STL",0.303797468,1.428571428,0.180722891,0.48192771,0.337349397,0.035714285,0.142857142,2,0.05,0,0,0.40963855,0.39759036,0.19277108,0.07228916,0.51807229,0.40963855,"Luke Voit",14811,572228
"Nelson Cruz","SEA",0.315104166,0.966101694,0.177304964,0.404255319,0.418439716,0.06779661,0.220338983,13,0.076023391,0,0,0.41843972,0.36406619,0.21749409,0.1465721,0.44680851,0.40661939,"Nelson Cruz",2434,443558
"Jeremy Hazelbaker","ARI",0.533333333,1,0.25,0.375,0.375,0,0.166666666,3,0.25,0,0,0.375,0.5,0.125,0.09375,0.5,0.40625,"Jeremy Hazelbaker",9399,571757
"José Abreu","CHW",0.329809725,1.244565217,0.182178217,0.453465346,0.364356435,0.070652173,0.179347826,14,0.061135371,0,0,0.38735178,0.33596838,0.27667984,0.15810277,0.43675889,0.40513834,"Jose Abreu",15676,547989
"Ryan Zimmerman","WSN",0.335149863,1.375,0.198511166,0.464019851,0.337468982,0.088235294,0.264705882,13,0.069518716,0,0,0.35483871,0.35483871,0.29032258,0.14143921,0.45409429,0.4044665,"Ryan Zimmerman",4220,475582
"Jay Bruce","- - -",0.274151436,0.697435897,0.208133971,0.325358851,0.466507177,0.051282051,0.184615384,5,0.036764705,1,1,0.44391408,0.34367542,0.2124105,0.11694511,0.4797136,0.40334129,"Jay Bruce",9892,457803
"Matt Olson","OAK",0.238095238,0.827586206,0.158730158,0.38095238,0.46031746,0.103448275,0.413793103,1,0.020833333,0,0,0.49612403,0.28682171,0.21705426,0.17829457,0.41860465,0.40310078,"Matt Olson",14344,621566
