Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",157,696,62,133,131,16,0.159482758,0.251436781,0.375438597,0.340236686,0.310526315,0.424855491,0.685964912,0.45819641417238366,0.46335875828113354,206.15483678377262,1.045677196700126,84.18689274135444,-0.5614748001098633,11.093034392436076,"Aaron Judge",15640,592450
"Nolan Arenado","STL",148,620,30,73,103,5,0.083870967,0.116129032,0.240574506,0.289760348,0.292639138,0.358064516,0.533213644,0.38100475536559736,0.33908934554433434,149.23873319731655,0.06270160619169474,35.5313734576688,11.816196903586388,7.208433941850527,"Nolan Arenado",9777,571448
"Manny Machado","SDP",150,644,32,100,102,9,0.097826086,0.206521739,0.233564014,0.337349397,0.297577854,0.366459627,0.531141868,0.38163479654946914,0.3381571724587811,151.89197100623315,-0.36239725537598133,38.46447438510533,7.299598515033722,7.128770322063135,"Manny Machado",11493,592518
"Jose Altuve","HOU",141,604,28,103,57,18,0.109271523,0.144039735,0.233396585,0.314769975,0.299810246,0.387417218,0.533206831,0.3968867239761986,0.3538242906879304,164.41354359861333,0.3671585344709456,44.14773478538291,2.040902614593506,6.856610875147955,"Jose Altuve",5417,514888
"Paul Goldschmidt","STL",151,651,35,106,115,7,0.121351766,0.216589861,0.260249554,0.367609254,0.317290552,0.403697996,0.577540106,0.4193155593526216,0.36669983288082914,175.43467587848605,0.9421984520740807,57.997812412456994,-15.295929431915283,6.832509224734515,"Paul Goldschmidt",9218,502671
"Freddie Freeman","LAD",159,708,21,117,100,13,0.118644067,0.144067796,0.18627451,0.358870967,0.325163398,0.406779661,0.511437908,0.3925452781305916,0.4001841799693362,157.36182044310345,1.6733146226033568,48.85816141549336,-8.83371090888977,6.757058457320307,"Freddie Freeman",5361,518692
"J.T. Realmuto","PHI",139,562,22,75,84,21,0.072953736,0.211743772,0.202380953,0.317934782,0.27579365,0.34163701,0.478174603,0.3539975367340387,0.3509326934814453,128.70202522484274,3.477792118676007,22.218898384267607,21.82154417037964,6.6519194005463795,"J.T. Realmuto",11739,592663
"Dansby Swanson","ATL",162,696,25,99,96,18,0.070402298,0.261494252,0.1703125,0.347826086,0.2765625,0.329022988,0.446875,0.3374367519870572,0.33694545828181205,116.77114989445319,3.732381438370794,17.2942161184304,22.017287254333496,6.638902673739792,"Dansby Swanson",18314,621020
"Trea Turner","LAD",160,708,21,101,100,27,0.063559322,0.185028248,0.168711656,0.341897233,0.297546012,0.342776203,0.466257668,0.3496184023559516,0.33523557396695824,128.0095265665505,6.575983964372426,29.616138714952086,6.838419526815414,6.382232752519565,"Trea Turner",16252,607208
"Yordan Alvarez","HOU",135,561,37,95,97,1,0.139037433,0.188948306,0.306382979,0.320359281,0.306382978,0.406417112,0.612765957,0.4265703602113586,0.459507466227952,185.3695676784142,-1.954145420808345,51.93896960096387,-9.108058333396912,6.361181390868115,"Yordan Alvarez",19556,670541
"Francisco Lindor","NYM",161,706,26,98,107,16,0.083569405,0.188385269,0.17936508,0.30125523,0.269841269,0.338526912,0.449206349,0.34181135130876844,0.33070204234224976,124.49756976678198,1.2092509963549674,21.30360597566307,14.94010591506958,6.352878164571925,"Francisco Lindor",12916,596019
"Andrés Giménez","CLE",146,557,17,66,69,20,0.061041292,0.201077199,0.16904277,0.353424657,0.297352342,0.370705244,0.466395112,0.36407862888659287,0.32628532923853026,140.95169372278434,3.8809838271699846,29.549124267598277,11.079957008361816,6.116706044562365,"Andres Gimenez",19950,665926
"Mike Trout","LAA",119,499,40,85,80,1,0.108216432,0.278557114,0.347031964,0.323076923,0.283105022,0.368737474,0.630136986,0.4177913187477594,0.39518228130767885,175.87476170926516,0.011910920031368732,42.61736800800177,-0.9934707880020142,6.028435630895129,"Mike Trout",10155,545361
"Xander Bogaerts","BOS",150,631,15,84,73,8,0.090332805,0.187004754,0.149012567,0.361948955,0.307001795,0.37717908,0.456014362,0.36310586375917275,0.3227895587635192,133.26878273125635,3.228490750771016,26.851412600895085,10.280584812164307,5.995412246278947,"Xander Bogaerts",12161,593428
"Mookie Betts","LAD",142,639,35,117,82,12,0.086071987,0.162754303,0.263986014,0.272311212,0.269230769,0.339593114,0.533216783,0.3733934800203231,0.3439585367838542,144.26631334521406,2.0934152803383768,34.957427085176256,0.12371444702148438,5.98906016044165,"Mookie Betts",13611,605141
"José Ramírez","CLE",157,685,29,90,126,20,0.100729927,0.119708029,0.234608985,0.278557114,0.279534109,0.354744525,0.514143094,0.3627308818630706,0.31985652877623777,140.00021261532623,3.56553139584139,34.39884601538846,0.8337209224700928,5.975410219265736,"Jose Ramirez",13510,608070
"Austin Riley","ATL",159,693,38,90,93,2,0.082251082,0.242424242,0.255284553,0.314769975,0.273170731,0.349206349,0.528455284,0.37660742744889564,0.37822616290080047,143.55505058023763,-0.7985831936821342,34.2699921337603,-2.3300652503967285,5.854089219504825,"Austin Riley",18360,663586
"Julio Rodríguez","SEA",132,560,28,84,75,25,0.071428571,0.258928571,0.225048924,0.345132743,0.283757338,0.344642857,0.508806262,0.366144234113556,0.33700450952502264,147.51493447290923,3.597443672362715,33.53976763017582,3.373762369155884,5.736555076869389,"Julio Rodriguez",23697,677594
"Adley Rutschman","BAL",113,470,13,70,42,4,0.138297872,0.182978723,0.190954774,0.291390728,0.253768844,0.361702127,0.444723618,0.3538266050054672,0.3417302557762633,134.15681820143936,1.3448808011598885,19.41007395086044,19.130131244659424,5.60829794819644,"Adley Rutschman",26288,668939
"Jeff McNeil","NYM",148,589,9,73,62,4,0.067911714,0.103565365,0.127579738,0.352564102,0.326454033,0.382003395,0.454033771,0.3651558885566231,0.32289006758709343,140.45996407911096,-0.1588952918536961,27.528822101870993,4.666602849960327,5.505658216887181,"Jeff McNeil",15362,643446
"Brandon Nimmo","NYM",151,673,16,102,64,3,0.105497771,0.172362555,0.158620689,0.31707317,0.274137931,0.367164179,0.43275862,0.35271362439909976,0.33772638743509076,131.9522637759577,2.956973791588098,27.941036590782215,1.1218862533569336,5.4798493795295595,"Brandon Nimmo",12927,607043
"Alex Bregman","HOU",155,656,23,93,93,1,0.132621951,0.117378048,0.195255475,0.259825327,0.259124087,0.365853658,0.454379562,0.35776854207497516,0.3503170188413848,136.79692832325603,-3.3889675652608275,23.77434614707309,6.865886211395264,5.396870554942368,"Alex Bregman",17678,608324
"Tommy Edman","STL",153,630,13,95,57,32,0.073015873,0.176190476,0.135181976,0.308370044,0.265164644,0.324324324,0.40034662,0.3176352491979584,0.30788749303573215,105.9082942990953,7.162049246020615,11.486680027782107,17.83858585357666,5.352239954575444,"Tommy Edman",19470,669242
"Sean Murphy","OAK",148,612,18,67,66,1,0.091503267,0.202614379,0.176908752,0.29,0.24953445,0.332242225,0.426443202,0.3313379441380305,0.34446788969494047,120.5478118024314,-0.8403706327080727,13.31053857975595,17.263174533843994,5.243683023167943,"Sean Murphy",19352,669221
"Rafael Devers","BOS",141,614,27,84,88,3,0.081433224,0.185667752,0.225225225,0.32853717,0.295495495,0.358306188,0.52072072,0.37278885687168556,0.3609588927714876,140.10477260873677,-0.7054976471699774,27.00419907818982,1.423563301563263,5.025011602929614,"Rafael Devers",17350,646240
