Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Fernando Tatis Jr.","SDP",59,257,17,50,45,11,0.105058365,0.237354085,0.294642857,0.306122448,0.276785714,0.365758754,0.571428571,0.392314494587481,0.42189180850982666,150.53988307876907,1.1752288029529154,17.770748384493423,6.84337043762207,3.3142858157953974,"Fernando Tatis Jr.",19709,665487
"José Ramírez","CLE",58,254,17,45,46,10,0.122047244,0.169291338,0.315068494,0.29375,0.292237442,0.385826771,0.607305936,0.41471267779042403,0.3729702493418818,166.7179308294453,0.9119482338428497,21.788480543353735,-0.9363685250282288,3.109730971575487,"Jose Ramirez",13510,608070
"Freddie Freeman","ATL",60,262,13,51,53,2,0.171755725,0.141221374,0.29906542,0.365853658,0.341121495,0.461832061,0.640186915,0.45597684710633524,0.46374073178749387,186.39427662841916,-2.0105931726284325,26.91017085041457,-3.4745386242866516,2.9782588476937986,"Freddie Freeman",5361,518692
"José Abreu","CHW",60,262,19,43,60,0,0.06870229,0.225190839,0.3,0.349693251,0.316666666,0.370229007,0.616666666,0.41113404295910366,0.3986671126208543,163.85774101051985,-0.5868041841313243,20.024094053859137,-2.0623514652252197,2.862693439863099,"Jose Abreu",15676,547989
"Trea Turner","WSN",59,259,12,46,41,12,0.084942084,0.138996138,0.253218884,0.352941176,0.334763948,0.393822393,0.587982832,0.41259800559305315,0.3834129869937897,158.6972535170292,2.304953927639872,21.72906007790802,-0.3916616439819336,2.766188010362006,"Trea Turner",16252,607208
"Mookie Betts","LAD",55,246,16,47,39,10,0.097560975,0.154471544,0.269406393,0.289156626,0.292237442,0.365853658,0.561643835,0.38952024420913384,0.3624178411538709,146.62054031942432,2.3038629428483546,16.957178681360645,2.1555111408233643,2.7398408183767815,"Mookie Betts",13611,605141
"Manny Machado","SDP",60,254,16,44,47,6,0.102362204,0.145669291,0.276785714,0.297142857,0.303571428,0.37007874,0.580357142,0.3914943823814392,0.38465798619281816,149.9983336597671,-1.017666865605861,15.208380707568487,2.7474990487098694,2.655983931995036,"Manny Machado",11493,592518
"Marcell Ozuna","ATL",60,267,18,38,56,0,0.142322097,0.224719101,0.298245614,0.390728476,0.337719298,0.43071161,0.635964912,0.44367279292959155,0.4335582906549627,178.26946963043116,0.43027781695127487,27.131254665693536,-7.2521653175354,2.645700926304027,"Marcell Ozuna",10324,542303
"Anthony Rendon","LAA",52,232,9,29,31,0,0.163793103,0.133620689,0.211640212,0.302013422,0.285714285,0.418103448,0.497354497,0.3952699199966762,0.38955202061015964,151.72320844910945,0.4942181846126914,15.276977917834063,2.0870653986930847,2.5196348525593586,"Anthony Rendon",12861,543685
"Juan Soto","WSN",47,196,13,39,37,6,0.209183673,0.142857142,0.344155844,0.362831858,0.35064935,0.489795918,0.694805194,0.47763117435185803,0.47478240469227667,201.64098060428358,-1.0385322221554816,24.415020928569135,-4.127320051193237,2.4960206589058505,"Juan Soto",20123,665742
"Trent Grisham","SDP",59,252,10,42,26,10,0.123015873,0.253968253,0.204651163,0.309859154,0.25116279,0.352,0.455813953,0.3493687739372253,0.3628292699013987,122.18128788237009,1.3525472667388385,8.49439846041929,6.505388796329498,2.3613216833846478,"Trent Grisham",18564,663757
"Mike Trout","LAA",53,241,17,41,46,1,0.145228215,0.232365145,0.32160804,0.3,0.281407035,0.390041493,0.603015075,0.407018456277968,0.4275618333082933,159.76939323521265,-0.22121092956513166,17.52386925613771,-2.1863224506378174,2.3547765106035943,"Mike Trout",10155,545361
"DJ LeMahieu","NYY",50,216,10,41,27,3,0.083333333,0.097222222,0.225641025,0.369696969,0.364102564,0.421296296,0.589743589,0.4285541679020281,0.3662933564521897,177.142798831542,0.017870820593088865,20.545141980273506,-2.656705468893051,2.3160341552166708,"DJ LeMahieu",9874,518934
"Corey Seager","LAD",52,232,15,38,41,1,0.073275862,0.159482758,0.278301887,0.308641975,0.306603773,0.35775862,0.58490566,0.39380953383856804,0.4299398697099311,149.45291165792958,-0.09430180257186294,14.564664603930531,0.6670849919319153,2.3122551421859945,"Corey Seager",13624,608369
"Tim Anderson","CHW",49,221,10,45,21,5,0.045248868,0.226244343,0.206730769,0.382550335,0.322115384,0.357466063,0.528846153,0.37614066946021035,0.35238179293545807,139.89193431598048,-0.21841451013460755,10.642326202478962,3.309724450111389,2.2981151863022538,"Tim Anderson",15172,641313
"Wil Myers","SDP",55,218,15,34,40,2,0.082568807,0.256880733,0.318181819,0.330708661,0.287878787,0.353211009,0.606060606,0.3996220520876963,0.3960855625293873,155.36532463348613,1.406683479435742,16.82787185354677,-2.1090757250785828,2.2122285221602946,"Wil Myers",10047,571976
"Ronald Acuña Jr.","ATL",46,202,14,46,29,8,0.188118811,0.297029702,0.33125,0.302325581,0.25,0.405940594,0.58125,0.41317822635173795,0.42193450160961055,158.13281675379957,1.704057099763304,16.70768324412785,0.24719208478927612,2.1878886256477954,"Ronald Acuna Jr.",18401,660670
"Brandon Lowe","TBR",56,224,14,36,37,3,0.111607142,0.258928571,0.284974094,0.308943089,0.269430051,0.361607142,0.554404145,0.38472798307027134,0.380941895626051,151.4106784987716,1.5076406635344028,15.694407481597796,0.28549787402153015,2.1517599879937244,"Brandon Lowe",18882,664040
"Kyle Lewis","SEA",58,242,11,37,28,5,0.140495867,0.293388429,0.174757281,0.341269841,0.262135922,0.363636363,0.436893203,0.34936043152139207,0.34439242034532225,126.92960018973902,1.0257013430818915,9.054070767302989,3.3375757336616516,2.0718494832072527,"Kyle Lewis",19508,641786
"Paul Goldschmidt","STL",58,231,6,31,21,1,0.16017316,0.186147186,0.162303665,0.363636363,0.303664921,0.417391304,0.465968586,0.3868391539739526,0.3956671673318614,146.62326647849997,-1.3611144539900124,12.399511034726187,-1.3339736461639404,2.059970209928439,"Paul Goldschmidt",9218,502671
"Dansby Swanson","ATL",60,264,10,49,35,5,0.083333333,0.268939393,0.189873418,0.350318471,0.274261603,0.344696969,0.464135021,0.34830063491156604,0.3538160142789775,115.29182293388939,1.7170834122225642,6.875146924323929,7.01786994934082,2.0555119844642644,"Dansby Swanson",18314,621020
"Salvador Perez","KCR",37,156,11,22,32,1,0.019230769,0.23076923,0.3,0.375,0.333333333,0.352564102,0.633333333,0.41031438494339967,0.40587868628563817,160.56932829425108,-1.4623852968215942,10.17778763279313,3.75477796792984,2.019400812269386,"Salvador Perez",7304,521692
"Trevor Story","COL",59,259,11,41,28,15,0.092664092,0.243243243,0.229787234,0.354037267,0.289361702,0.355212355,0.519148936,0.37004575988118965,0.33519709249414825,117.20592071211765,2.9609737978316844,8.654760309125775,2.118357628583908,1.9753192977324041,"Trevor Story",12564,596115
"Ian Happ","CHC",57,231,12,27,28,1,0.129870129,0.272727272,0.247474748,0.31707317,0.257575757,0.360869565,0.505050505,0.36889639639958544,0.3620282143748279,131.67714087449147,-0.8725297087803483,8.476821056425951,1.6575015187263489,1.9694033914696103,"Ian Happ",17919,664023
