Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Curtis Granderson","MIA",0.220095693,0.717171717,0.220183486,0.325688073,0.45412844,0.07070707,0.121212121,2,0.028169014,2,0.666666666,0.46153846,0.26696833,0.27149321,0.1040724,0.45248869,0.44343891,"Curtis Granderson",4747,434158
"Brian Anderson","MIA",0.304878048,1.284552845,0.192528735,0.454022988,0.353448275,0.105691056,0.162601626,14,0.088607594,0,0,0.38218391,0.32758621,0.29022989,0.1954023,0.36206897,0.44252874,"Brian Anderson",18289,605119
"Keston Hiura","MIL",0.402116402,1,0.240384615,0.379807692,0.379807692,0.088607594,0.240506329,3,0.037974683,0,0,0.30288462,0.40384615,0.29326923,0.16826923,0.38942308,0.44230769,"Keston Hiura",20003,669374
"Miguel Cabrera","DET",0.335978835,1.379032258,0.243589743,0.438461538,0.317948717,0.080645161,0.096774193,8,0.046783625,0,0,0.31282051,0.37692308,0.31025641,0.12051282,0.43846154,0.44102564,"Miguel Cabrera",1744,408234
"Ryan McMahon","COL",0.323232323,1.820224719,0.213166144,0.50783699,0.278996865,0.056179775,0.269662921,7,0.043209876,1,0.333333333,0.33850932,0.38198758,0.27950311,0.14596273,0.41304348,0.44099379,"Ryan McMahon",15112,641857
"Gio Urshela","NYY",0.349112426,1.233333333,0.253481894,0.412256267,0.334261838,0.1,0.175,8,0.054054054,0,0,0.39275766,0.37047354,0.2367688,0.1281337,0.43175487,0.44011142,"Gio Urshela",10681,570482
"Bobby Bradley","CLE",0.291666666,1.375,0.24,0.44,0.32,0,0.125,0,0,0,0,0.36,0.44,0.2,0.08,0.48,0.44,"Bobby Bradley",17278,656252
"Evan Longoria","SFG",0.291411042,1.100775193,0.216763005,0.410404624,0.372832369,0.046511627,0.155038759,9,0.063380281,0,0,0.39306358,0.39884393,0.20809249,0.10982659,0.45086705,0.43930636,"Evan Longoria",9368,446334
"Trevor Story","COL",0.361256544,0.789772727,0.242788461,0.334134615,0.423076923,0.073863636,0.198863636,10,0.071942446,1,1,0.39568345,0.32134293,0.28297362,0.12230216,0.43884892,0.43884892,"Trevor Story",12564,596115
"Mike Trout","LAA",0.297734627,0.494252873,0.265536723,0.242937853,0.491525423,0.097701149,0.258620689,10,0.116279069,0,0,0.42372881,0.33333333,0.24293785,0.1299435,0.43220339,0.43785311,"Mike Trout",10155,545361
"Teoscar Hernández","TOR",0.292887029,0.903508771,0.178030303,0.390151515,0.431818181,0.122807017,0.228070175,8,0.077669902,0,0,0.48679245,0.29056604,0.22264151,0.16226415,0.4,0.43773585,"Teoscar Hernandez",13066,606192
"Hanley Ramirez","CLE",0.233333333,1.555555555,0.28125,0.4375,0.28125,0.111111111,0.222222222,1,0.071428571,0,0,0.40625,0.40625,0.1875,0.1875,0.375,0.4375,"Hanley Ramirez",8001,434670
"Jorge Alfaro","MIA",0.363984674,2.070422535,0.218637992,0.52688172,0.254480286,0,0.253521126,13,0.088435374,0,0,0.32258065,0.36917563,0.30824373,0.17921147,0.38351254,0.43727599,"Jorge Alfaro",12180,595751
"Manny Machado","SDP",0.274418604,1.015789473,0.17099567,0.417748917,0.411255411,0.136842105,0.168421052,12,0.062176165,0,0,0.36796537,0.36147186,0.27056277,0.19047619,0.37229437,0.43722944,"Manny Machado",11493,592518
"AJ Pollock","LAD",0.30044843,1.183908045,0.198312236,0.434599156,0.367088607,0.126436781,0.172413793,8,0.077669902,0,0,0.47058824,0.32352941,0.20588235,0.17226891,0.3907563,0.43697479,"AJ Pollock",9256,572041
"Alex Verdugo","LAD",0.309027777,1.697674418,0.226666666,0.486666666,0.286666666,0.023255813,0.139534883,5,0.034246575,0,0,0.37666667,0.38,0.24333333,0.17333333,0.39,0.43666667,"Alex Verdugo",17027,657077
"Austin Dean","MIA",0.269841269,1.43902439,0.242424242,0.446969696,0.31060606,0.073170731,0.146341463,2,0.033898305,0,0,0.38345865,0.31578947,0.30075188,0.14285714,0.42105263,0.43609023,"Austin Dean",18288,621573
"Abraham Almonte","ARI",0.363636363,1.428571428,0.260869565,0.434782608,0.304347826,0.428571428,0.142857142,0,0,0,0,0.47826087,0.26086957,0.26086957,0.26086957,0.30434783,0.43478261,"Abraham Almonte",5486,501659
"Carter Kieboom","WSN",0.142857142,1.222222222,0.130434782,0.478260869,0.391304347,0.111111111,0.222222222,1,0.09090909,0,0,0.26086957,0.47826087,0.26086957,0.08695652,0.47826087,0.43478261,"Carter Kieboom",19958,666198
"JaCoby Jones","DET",0.304123711,1.093333333,0.230392156,0.401960784,0.367647058,0.08,0.146666666,10,0.121951219,0,0,0.42926829,0.34146341,0.22926829,0.13170732,0.43414634,0.43414634,"JaCoby Jones",14818,592444
"Tommy Pham","TBR",0.316037735,2.154545454,0.218468468,0.533783783,0.247747747,0.09090909,0.19090909,25,0.105485232,0,0,0.38651685,0.36179775,0.25168539,0.15280899,0.41348315,0.43370787,"Tommy Pham",2967,502054
"Lane Thomas","STL",0.307692307,1.75,0.266666666,0.466666666,0.266666666,0.25,0.5,2,0.142857142,0,0,0.33333333,0.36666667,0.3,0.2,0.36666667,0.43333333,"Lane Thomas",16939,657041
"JT Riddle","MIA",0.226190476,1.5,0.166666666,0.5,0.333333333,0.1,0.2,1,0.022222222,0,0,0.5,0.35555556,0.14444444,0.14444444,0.42222222,0.43333333,"JT Riddle",17642,595375
"Jay Bruce","- - -",0.2,0.528,0.173160173,0.285714285,0.541125541,0.064,0.208,5,0.075757575,0,0,0.44155844,0.28138528,0.27705628,0.17748918,0.38961039,0.43290043,"Jay Bruce",9892,457803
"Mike Yastrzemski","SFG",0.325203252,0.780701754,0.228136882,0.338403041,0.433460076,0.114035087,0.184210526,6,0.06741573,3,0.6,0.42164179,0.29477612,0.28358209,0.17164179,0.39552239,0.43283582,"Mike Yastrzemski",14854,573262
"Carlos Santana","CLE",0.29330254,1.198863636,0.171306209,0.451820128,0.376873661,0.09090909,0.193181818,14,0.06635071,0,0,0.45610278,0.3490364,0.19486081,0.1627409,0.40471092,0.43254818,"Carlos Santana",2396,467793
"David Peralta","ARI",0.327464788,1.841463414,0.212837837,0.510135135,0.277027027,0.109756097,0.146341463,12,0.079470198,0,0,0.36148649,0.40540541,0.23310811,0.16891892,0.39864865,0.43243243,"David Peralta",2136,444482
"Tyler Austin","- - -",0.253164556,0.947368421,0.149425287,0.413793103,0.436781609,0,0.236842105,1,0.027777777,0,0,0.35227273,0.32954545,0.31818182,0.10227273,0.46590909,0.43181818,"Tyler Austin",11850,592122
"Tommy La Stella","LAA",0.282258064,1.367816091,0.213740458,0.454198473,0.332061068,0.103448275,0.183908045,3,0.025210084,1,0.5,0.39772727,0.33712121,0.26515152,0.14393939,0.42424242,0.43181818,"Tommy La Stella",12371,600303
"Matt Thaiss","LAA",0.264367816,0.921052631,0.223404255,0.372340425,0.404255319,0.078947368,0.210526315,2,0.057142857,1,1,0.51578947,0.28421053,0.2,0.16842105,0.4,0.43157895,"Matt Thaiss",19318,642136
"Lourdes Gurriel Jr.","TOR",0.317535545,0.919191919,0.177489177,0.393939393,0.428571428,0.101010101,0.202020202,11,0.12087912,0,0,0.39655172,0.35344828,0.25,0.18965517,0.37931034,0.43103448,"Lourdes Gurriel Jr.",19238,666971
"Mookie Betts","BOS",0.308823529,0.719457013,0.247524752,0.314851485,0.437623762,0.099547511,0.131221719,11,0.069182389,0,0,0.43564356,0.33663366,0.22772277,0.11485149,0.45544554,0.42970297,"Mookie Betts",13611,605141
"Brandon Lowe","TBR",0.377245508,0.705128205,0.269230769,0.302197802,0.428571428,0.064102564,0.217948717,6,0.109090909,2,1,0.44565217,0.34782609,0.20652174,0.11413043,0.45652174,0.42934783,"Brandon Lowe",18882,664040
"Domingo Santana","SEA",0.347014925,1.382022471,0.266435986,0.425605536,0.307958477,0.011235955,0.235955056,9,0.073170731,0,0,0.39446367,0.34602076,0.25951557,0.12802768,0.44290657,0.42906574,"Domingo Santana",10348,570267
"Bryan Reynolds","PIT",0.386554621,1.558558558,0.238605898,0.46380697,0.297587131,0.063063063,0.144144144,16,0.092485549,0,0,0.38605898,0.35120643,0.26273458,0.16353887,0.4075067,0.42895442,"Bryan Reynolds",19326,668804
"Taylor Davis","CHC",0.153846153,1.4,0.142857142,0.5,0.357142857,0,0.2,0,0,0,0,0.35714286,0.28571429,0.35714286,0.14285714,0.42857143,0.42857143,"Taylor Davis",12782,543089
"Deivy Grullón","PHI",0.142857142,0.333333333,0.428571428,0.142857142,0.428571428,0,0,0,0,0,0,0.14285714,0.14285714,0.71428571,0,0.57142857,0.42857143,"Deivy Grullon",15988,620453
"Skye Bolt","OAK",0.142857142,0.666666666,0.285714285,0.285714285,0.428571428,0.333333333,0,0,0,0,0,0.28571429,0.28571429,0.42857143,0.14285714,0.42857143,0.42857143,"Skye Bolt",17723,621450
"Asdrúbal Cabrera","- - -",0.294294294,1.015151515,0.237822349,0.383954154,0.378223495,0.045454545,0.136363636,5,0.037313432,2,1,0.5014245,0.27635328,0.22222222,0.12250712,0.45014245,0.42735043,"Asdrubal Cabrera",4962,452678
"Ji Man Choi","TBR",0.303448275,1.196261682,0.237012987,0.415584415,0.347402597,0.06542056,0.177570093,5,0.0390625,1,1,0.37216828,0.38834951,0.2394822,0.10355987,0.46925566,0.42718447,"Ji Man Choi",5452,596847
"Jedd Gyorko","- - -",0.212121212,1.037037037,0.19117647,0.411764705,0.397058823,0.185185185,0.074074074,2,0.071428571,0,0,0.44117647,0.30882353,0.25,0.27941176,0.29411765,0.42647059,"Jedd Gyorko",10816,576397
"Danny Jansen","TOR",0.23046875,0.945454545,0.204460966,0.3866171,0.408921933,0.136363636,0.118181818,4,0.038461538,0,0,0.53703704,0.24444444,0.21851852,0.17407407,0.4,0.42592593,"Danny Jansen",16535,643376
