Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Mark Reynolds","COL",441,0.095238095,0.253968253,0.375,0.282442748,0.35600907,0.450381679,0.806390749,0.167938931,2.0651470964367995,0.360594795,-2.0999999344348907,0.4000000059604645,-2.039975881576538,-0.8842347101308405,63.00771274741816,11.05593264427113,0.34850221465934406,101.13483286446605,"Mark Reynolds",7619,448602
"Corey Dickerson","TBR",548,0.060218978,0.244525547,0.246268656,0.245098039,0.29250457,0.46862745,0.76113202,0.223529411,2.682376414381938,0.285310734,-0.20000000298023224,0.4000000059604645,0.14529745280742645,-1.0236514129210263,64.74419715219629,0.1873366158593885,0.318534381178082,101.04625859668704,"Corey Dickerson",10762,572816
"Tyler Austin","NYY",90,0.077777777,0.4,0.194444444,0.240963855,0.3,0.457831325,0.757831325,0.21686747,2.355927265160159,0.357142857,0.19999998807907104,0.30000001192092896,0.11258474737405777,0.15736731025390327,11.051933938628796,0.4495298359457281,0.32417318489816455,101.03343470135547,"Tyler Austin",11850,592122
"Marlon Byrd","CLE",129,0.085271317,0.294573643,0.289473684,0.269565217,0.325581395,0.452173913,0.777755308,0.182608696,0.5313706524999999,0.346666666,0.30000001192092896,0.6000000238418579,-0.26748818159103394,-0.06731477798894048,16.26268611680491,1.06590690295918,0.3281337069347501,101.01080758869725,"Marlon Byrd",950,407781
"David Ross","CHC",205,0.146341463,0.263414634,0.555555555,0.228915662,0.338308457,0.445783132,0.784091589,0.21686747,1.3788887168723463,0.261682242,0.7999999523162842,0.5,-0.1620883345603943,-0.5129476194269955,25.422480655201305,1.2725601990898752,0.32564300084725406,100.98848145619479,"David Ross",1551,424325
"Russell Martin","TOR",535,0.119626168,0.276635514,0.432432432,0.23076923,0.335205992,0.397802197,0.733008189,0.167032967,2.202435818640282,0.29109589,-1.5,0,-1.6657822132110596,-0.32835490303114057,64.63260601934121,1.6072038533918664,0.3217607385445715,100.83071114501705,"Russell Martin",4616,431145
"Albert Almora Jr.","CHC",117,0.042735042,0.17094017,0.25,0.276785714,0.307692307,0.455357142,0.763049449,0.178571428,3.10119047125,0.314606741,-0.5000000596046448,-0.699999988079071,-0.0843365266919136,-0.0516079964581877,14.473673414911348,0.6905480814233608,0.32527278172664154,100.74043628599112,"Albert Almora Jr.",14109,546991
"Eduardo Núñez","- - -",595,0.048739495,0.147899159,0.329545454,0.287522603,0.325463743,0.432188065,0.757651808,0.144665462,6.574304104409618,0.314285714,-1.7000000178813934,1.0000000298023224,-1.264898031949997,3.5750852678902447,72.75546570006662,2.661794132328567,0.32356645565921976,100.6643476285108,"Eduardo Nunez",6848,456488
"Logan Morrison","TBR",398,0.092964824,0.22361809,0.415730337,0.237960339,0.319095477,0.413597733,0.73269321,0.175637394,3.68227458771553,0.277777777,-0.6000000238418579,1,0.1220746636390686,-0.22813905286602676,46.74322015164953,-0.14296688021558987,0.3176847670780922,100.4623477479448,"Logan Morrison",9205,489149
"Scott Schebler","CIN",282,0.067375886,0.209219858,0.322033898,0.264591439,0.329787234,0.431906614,0.761693848,0.167315175,4.1319837440996325,0.312169312,1.8999999016523361,0.20000000298023224,1.3367531299591064,-1.3915066635236144,35.46321092356416,2.2423447351572188,0.32775648704596927,100.40672730392923,"Scott Schebler",12225,594988
