Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Tomás Nido","DET",11,35,37,12,12,0,0,0,4,2,0,0,10,1,0,1,1,0,0,0.342857142,"Tomas Nido",13755,621512
"Bryce Johnson","SDP",55,76,84,26,21,4,0,1,9,8,3,0,19,2,0,3,1,4,1,0.342105263,"Bryce Johnson",20002,669369
"Richie Palacios","TBR",17,42,48,14,11,2,0,1,10,3,5,0,9,0,1,0,3,4,0,0.333333333,"Richie Palacios",24589,680700
"Jonny DeLuca","TBR",20,57,59,19,15,1,3,0,5,4,2,0,13,0,0,0,0,6,0,0.333333333,"Jonny DeLuca",26365,676356
"Joey Loperfido","TOR",41,96,104,32,24,4,0,4,12,14,4,0,27,3,0,1,2,1,2,0.333333333,"Joey Loperfido",29630,694388
"Aaron Judge","NYY",152,541,679,179,94,30,2,53,137,114,124,36,160,7,7,0,16,12,5,0.330868761,"Aaron Judge",15640,592450
"Miguel Andujar","- - -",94,321,341,102,74,17,1,10,36,44,17,1,49,1,2,0,8,1,0,0.317757009,"Miguel Andujar",15878,609280
"Jonathan Aranda","TBR",106,370,422,117,81,22,0,14,56,59,41,3,107,8,3,0,9,0,2,0.316216216,"Jonathan Aranda",21837,666018
"Manuel Margot","DET",6,19,20,6,6,0,0,0,1,3,0,0,6,0,1,0,0,0,0,0.315789473,"Manuel Margot",14712,622534
"Bo Bichette","TOR",139,582,628,181,118,44,1,18,78,94,40,2,91,3,3,0,17,4,3,0.310996563,"Bo Bichette",19612,666182
"Jacob Wilson","ATH",125,486,523,151,112,26,0,13,62,63,27,1,39,7,1,2,16,5,2,0.310699588,"Jacob Wilson",33266,805779
"George Springer","TOR",140,498,586,154,94,27,1,32,106,84,69,3,111,8,4,0,14,18,1,0.309236947,"George Springer",12856,543807
"Carlos Cortes","ATH",42,94,99,29,16,8,1,4,11,14,3,0,20,0,2,0,3,0,0,0.308510638,"Carlos Cortes",21842,666126
"Drew Millas","WSN",18,49,55,15,9,5,1,0,6,7,4,0,7,0,0,1,0,2,0,0.306122448,"Drew Millas",25643,686452
"Romy Gonzalez","BOS",96,315,341,96,61,23,3,9,47,53,18,1,81,3,5,0,8,6,5,0.304761904,"Romy Gonzalez",21562,663853
"Jeremy Peña","HOU",125,493,543,150,101,30,2,17,68,62,35,2,93,12,2,1,9,20,2,0.304259634,"Jeremy Pena",21636,665161
"Trea Turner","PHI",141,589,639,179,126,31,7,15,94,69,43,1,107,5,2,0,11,36,7,0.303904923,"Trea Turner",16252,607208
"Luke Keaschall","MIN",49,182,207,55,37,14,0,4,25,28,19,0,29,5,1,0,4,14,3,0.302197802,"Luke Keaschall",33321,807712
"Dominic Canzone","SEA",82,243,268,73,51,11,0,11,30,32,20,0,59,3,2,0,6,3,1,0.300411522,"Dominic Canzone",26438,686527
"Yandy Díaz","TBR",150,583,651,175,120,29,1,25,79,83,57,4,92,6,5,0,12,3,1,0.300171526,"Yandy Diaz",16578,650490
"Carter Jensen","KCR",20,60,69,18,9,6,0,3,12,13,9,0,12,0,0,0,1,0,0,0.3,"Carter Jensen",29478,695600
"Daylen Lile","WSN",91,321,351,96,61,15,11,9,51,41,21,0,56,4,3,1,5,8,6,0.29906542,"Daylen Lile",29995,695734
"Moisés Ballesteros","CHC",20,57,66,17,12,2,1,2,12,11,9,1,12,0,0,0,2,0,0,0.298245614,"Moises Ballesteros",28820,694208
"Nico Hoerner","CHC",156,599,649,178,138,29,4,7,89,61,39,1,49,7,4,0,4,29,6,0.297161936,"Nico Hoerner",21479,663538
"Nate Eaton","BOS",41,81,90,24,19,4,0,1,16,4,6,0,19,1,1,1,1,9,2,0.296296296,"Nate Eaton",25055,681987
"Jake Mangum","TBR",118,405,428,120,98,18,1,3,37,40,19,0,64,2,1,1,4,27,6,0.296296296,"Jake Mangum",26202,663968
"Will Smith","LAD",110,362,436,107,69,20,1,17,64,61,64,1,89,5,5,0,7,2,3,0.29558011,"Will Smith",19197,669257
"Bobby Witt Jr.","KCR",157,623,687,184,108,47,6,23,99,88,49,8,125,8,7,0,7,38,9,0.295345104,"Bobby Witt Jr.",25764,677951
"Freddie Freeman","LAD",147,556,627,164,99,39,2,24,81,90,60,7,128,6,5,0,13,6,2,0.294964028,"Freddie Freeman",5361,518692
"Chandler Simpson","TBR",109,414,441,122,104,15,3,0,53,26,20,0,43,0,2,3,10,44,12,0.29468599,"Chandler Simpson",31912,802415
"Josh Naylor","- - -",147,543,604,160,110,29,1,20,81,92,48,4,83,4,5,0,17,30,2,0.2946593,"Josh Naylor",18839,647304
"Vladimir Guerrero Jr.","TOR",156,589,680,172,115,34,0,23,96,84,81,8,94,6,4,0,17,6,3,0.292020373,"Vladimir Guerrero Jr.",19611,665489
"Luis Arraez","SDP",154,620,675,181,139,30,4,8,66,61,34,0,21,2,7,12,12,11,4,0.291935483,"Luis Arraez",18568,650333
"Jakob Marsee","MIA",55,209,234,61,35,18,3,5,28,33,22,0,48,2,1,0,2,14,6,0.291866028,"Jakob Marsee",31370,805300
"Roman Anthony","BOS",71,257,303,75,48,18,1,8,48,32,40,0,84,5,1,0,2,4,1,0.291828793,"Roman Anthony",31812,701350
"Jake Meyers","HOU",104,343,381,100,80,15,2,3,53,24,31,0,67,3,2,2,9,16,5,0.291545189,"Jake Meyers",20308,676694
"Austin Wynns","- - -",40,103,110,30,16,8,0,6,13,21,5,0,32,0,1,1,3,0,0,0.291262135,"Austin Wynns",15271,642851
"Nick Kurtz","ATH",117,420,489,122,58,26,2,36,90,86,63,3,151,2,3,0,4,2,1,0.29047619,"Nick Kurtz",35110,701762
"Ronald Acuña Jr.","ATL",95,338,412,98,64,12,1,21,74,42,71,4,102,3,0,0,5,9,1,0.289940828,"Ronald Acuna Jr.",18401,660670
"Geraldo Perdomo","ARI",161,597,720,173,115,33,5,20,98,100,94,1,83,10,11,8,11,27,6,0.289782244,"Geraldo Perdomo",22799,672695
"Alec Burleson","STL",139,497,546,144,98,26,2,18,54,69,39,1,79,3,4,1,14,5,1,0.28973843,"Alec Burleson",27615,676475
"Tyler Heineman","TOR",64,149,174,43,31,8,1,3,25,20,12,0,31,6,2,5,1,2,0,0.288590604,"Tyler Heineman",13897,623168
"Kyle Stowers","MIA",117,399,457,115,66,21,3,25,61,73,48,3,125,5,4,1,6,5,1,0.288220551,"Kyle Stowers",26151,669065
"Sal Frelick","MIL",142,528,594,152,117,20,3,12,76,63,47,0,80,7,5,3,4,19,6,0.287878787,"Sal Frelick",29622,686217
"Brice Turang","MIL",156,584,659,168,120,28,2,18,97,81,66,1,150,2,5,2,3,24,8,0.287671232,"Brice Turang",22186,668930
"Brendan Donovan","STL",118,460,515,132,90,32,0,10,64,50,42,3,67,7,4,2,4,3,3,0.286956521,"Brendan Donovan",24679,680977
"Jahmai Jones","DET",72,129,150,37,18,11,1,7,21,23,18,1,32,3,0,0,3,2,0,0.286821705,"Jahmai Jones",18872,663330
"Alec Bohm","PHI",120,464,504,133,101,18,3,11,53,59,29,0,82,5,6,0,16,2,0,0.286637931,"Alec Bohm",21618,664761
"Maikel Garcia","KCR",160,595,666,170,110,39,5,16,81,74,62,0,84,1,5,3,14,23,9,0.285714285,"Maikel Garcia",22715,672580
"Gabriel Moreno","ARI",83,277,309,79,57,12,1,9,44,40,29,3,53,1,2,0,6,2,2,0.285198555,"Gabriel Moreno",22664,672515
"Dominic Smith","SFG",63,204,225,58,41,12,0,5,26,33,15,0,42,2,4,0,5,2,0,0.284313725,"Dominic Smith",15653,642086
"Iván Herrera","STL",107,388,452,110,78,13,0,19,54,66,43,1,84,15,4,0,20,8,2,0.283505154,"Ivan Herrera",20599,671056
"Xavier Edwards","MIA",139,561,619,159,131,20,5,3,75,43,49,2,88,3,3,3,6,27,7,0.283422459,"Xavier Edwards",22266,669364
"Ketel Marte","ARI",126,480,556,136,80,28,0,28,87,72,64,6,83,9,3,0,12,4,2,0.283333333,"Ketel Marte",13613,606466
"José Fermín","STL",30,60,70,17,11,5,0,1,5,9,8,0,10,1,0,1,0,2,2,0.283333333,"Jose Fermin",21746,665877
"José Ramírez","CLE",158,593,673,168,101,34,3,30,103,85,66,22,74,8,5,0,9,44,7,0.283305227,"Jose Ramirez",13510,608070
"Austin Martin","MIN",50,156,181,44,34,8,1,1,22,7,22,0,31,1,0,2,6,11,4,0.282051282,"Austin Martin",27462,668885
"Alejandro Kirk","TOR",130,451,506,127,94,18,0,15,45,76,48,2,59,1,6,0,16,1,0,0.281596452,"Alejandro Kirk",22581,672386
