Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"René Rivera","NYM",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Rene Rivera",3648,425784
"Yermín Mercedes","CHW",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Yermin Mercedes",17423,606213
"Luis Campusano","SDP",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,"Luis Campusano",22217,669134
"Yadiel Rivera","TEX",0,2,0.25,0.5,0.25,0,0,1,0.5,0,0,0.75,0,0.25,0,0.25,0.75,"Yadiel Rivera",11863,592680
"Zach McKinstry","LAD",0.5,2,0.5,0.5,0,0,0,0,0,0,0,0.5,0.25,0.25,0.25,0,0.75,"Zach McKinstry",19392,656716
"Andrew Romine","TEX",0.333333333,0,0.666666666,0,0.333333333,0,0,0,0,0,0,0.33333333,0.33333333,0.33333333,0.33333333,0,0.66666667,"Andrew Romine",1159,461865
"Charlie Culberson","ATL",0.333333333,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0.66666667,0.33333333,0,0,0.33333333,0.66666667,"Charlie Culberson",3298,518586
"Will Craig","PIT",0,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,1,0,0,0,0.33333333,0.66666667,"Will Craig",19267,643269
"Jaylin Davis","SFG",0.2,0.666666666,0.166666666,0.333333333,0.5,0,0.333333333,0,0,0,0,0,0.5,0.5,0,0.33333333,0.66666667,"Jaylin Davis",19552,664041
"Sam Huff","TEX",0.470588235,0.833333333,0.45,0.25,0.3,0,0.5,0,0,0,0,0.55,0.2,0.25,0.05,0.3,0.65,"Sam Huff",22209,669087
"Derek Hill","DET",0.2,3,0.2,0.6,0.2,0,0,0,0,0,0,0.8,0,0.2,0,0.4,0.6,"Derek Hill",16947,656537
"Ramón Urías","BAL",0.444444444,2.25,0.315789473,0.47368421,0.210526315,0,0.25,0,0,0,0,0.26315789,0.42105263,0.31578947,0.05263158,0.36842105,0.57894737,"Ramon Urias",18795,602104
"Caleb Joseph","TOR",0,2,0.142857142,0.571428571,0.285714285,0,0.5,0,0,0,0,0.71428571,0.14285714,0.14285714,0.14285714,0.28571429,0.57142857,"Caleb Joseph",7087,543376
"Ronald Torreyes","PHI",0.142857142,2,0.142857142,0.571428571,0.285714285,0,0,0,0,0,0,0.28571429,0.71428571,0,0,0.42857143,0.57142857,"Ronald Torreyes",11400,591720
"Yordan Alvarez","HOU",0.166666666,2,0.142857142,0.571428571,0.285714285,0,0.5,0,0,0,0,0.42857143,0.28571429,0.28571429,0.14285714,0.28571429,0.57142857,"Yordan Alvarez",19556,670541
