Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Charlie Culberson","ATL",1,0,0,0,1,1,1,2,0,0.14285714,1,0,0,,-0.007705123629420996,0.5903831654868016,0.4685389855584988,0.8825362920761108,476.3856480931771,"Charlie Culberson",3298,518586
"Alejo Lopez","CIN",2,0,0.5,0,0.5,0.5,1,1.5,0.5,2.64285714,1,0.20000000298023224,0,0.0396222285926342,0,0.7478156345207546,0.5041272746641491,0.6218811869621277,297.1576437863528,"Alejo Lopez",21127,664670
"Tristan Gray","TBR",5,0,0,0,0.4,0.4,1,1.4,0.6,0.14285714,0.25,0,0,-0.000016501448044436984,-0.007705123629420996,1.6845245050072088,1.0753036053656948,0.5773264646530152,284.9457577586994,"Tristan Gray",19877,656484
"Forrest Wall","ATL",15,0.133333333,0.266666666,0.5,0.461538461,0.533333333,0.846153846,1.379487179,0.384615385,7.109311740890688,0.625,0.5,0,0.007392091676592827,0.5393963535316288,4.946553366143517,3.1188906672189765,0.5687356948852539,266.01869368452674,"Forrest Wall",16496,657088
"Abraham Toro","MIL",21,0.095238095,0.238095238,0.4,0.444444444,0.523809523,0.777777777,1.3015873,0.333333333,1.08035714,0.545454545,-0.800000011920929,0.30000001192092896,-0.024144981056451797,-0.06934611266478896,6.4914609633746405,3.9327331848802825,0.5438676476478577,250.65341098219994,"Abraham Toro",19844,647351
"Zack Collins","CLE",6,0.333333333,0.333333333,1,0.5,0.666666666,0.5,1.166666666,0,0.14285714,1,0,0,-0.0015954264672473073,-0.030820494517683983,1.7663975920948,1.0353325125249835,0.526146392027537,246.870697328391,"Zack Collins",19181,641470
"Jeter Downs","WSN",9,0.444444444,0.111111111,4,0.4,0.666666666,0.4,1.066666666,0,7.0619652460748235,0.5,0,0,0.035569097846746445,0.3537692641839385,2.494596423783605,1.3979988044288802,0.5054093466864692,224.25719077857008,"Jeter Downs",22202,669023
"Michael Pérez","NYM",8,0,0.125,0,0.5,0.5,0.625,1.125,0.125,1.08035714,0.571428571,0,0.10000000149011612,0.009019819088280201,-0.023115370888262987,2.091262419278336,1.1165089798519139,0.4864214062690735,214.52257780152743,"Michael Perez",12977,605421
"Cole Tucker","COL",10,0.1,0.2,0.5,0.5,0.6,0.5,1.1,0,2.01785714,0.666666666,0.5000000223517418,0.10000000149011612,0.09080728143453598,-0.046230741776525974,2.6870287522320173,1.4685869529489897,0.49520530700683596,203.76286528466113,"Cole Tucker",17326,657061
"Evan Carter","TEX",75,0.16,0.32,0.5,0.306451612,0.413333333,0.64516129,1.058494623,0.338709678,7.983557973517897,0.411764705,-0.20000000298023224,0,-0.4350073039531708,0.4458975363522768,16.379216406703144,7.240902912080436,0.4346236997359508,183.41085850459848,"Evan Carter",27790,694497
"Shohei Ohtani","LAA",599,0.151919866,0.238731218,0.636363636,0.303822937,0.412457912,0.653923541,1.066381453,0.350100604,6.613154487800863,0.341853035,1.6999999284744263,1.399999976158142,2.1443495750427246,0.3425837503746152,130.24751085493736,57.26284707788401,0.43348226798974615,180.24395856822554,"Shohei Ohtani",19755,660271
"Weston Wilson","PHI",22,0.272727272,0.227272727,1.2,0.3125,0.5,0.5,1,0.1875,5.786862946076229,0.4,0,0.20000000298023224,-0.1295594424009323,0.10087072942405939,4.927432643695989,2.2468606852733286,0.44134811379692773,179.29836543813457,"Weston Wilson",19358,642215
"Davis Schneider","TOR",141,0.14893617,0.304964539,0.488372093,0.275862068,0.404255319,0.603448275,1.007703594,0.327586207,5.0627410534476835,0.369230769,-0.30000001192092896,0.5,-0.20955894887447357,-0.0773844476789236,29.522852854249855,12.342823484359164,0.4237777472387814,175.17842749326653,"Davis Schneider",23565,676914
"Aaron Judge","NYY",458,0.192139737,0.283842794,0.676923076,0.267029972,0.406113537,0.613079019,1.019192556,0.346049047,2.5870046857705833,0.30049261,0.2999999523162842,1.5,-1.6118184328079224,-0.7775133643299341,94.5973981554339,38.79276374827123,0.4203612742020452,173.4018605936512,"Aaron Judge",15640,592450
"Corey Seager","TEX",536,0.09141791,0.164179104,0.556818181,0.327044025,0.389925373,0.622641509,1.012566882,0.295597484,2.444903895899092,0.339779005,-4.400000095367432,0,-1.791861891746521,-0.9852184909395874,109.9209372428145,44.61245680124422,0.4185934797410042,172.29996165161293,"Corey Seager",13624,608369
