Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",158,704,58,122,144,10,0.188920454,0.242897727,0.379248659,0.367469879,0.322003577,0.458036984,0.701252236,0.4757340011100992,0.4796257916618796,219.71919257128272,-0.4865592494606972,95.95007523802116,-9.573787689208984,11.33172665123883,"Aaron Judge",15640,592450
"Bobby Witt Jr.","KCR",161,709,32,125,109,31,0.080394922,0.149506346,0.256289308,0.35375494,0.331761006,0.389280677,0.588050314,0.40973835374627793,0.40702545166015625,169.14067123191134,4.482153661549091,60.57215288623128,17.47737216949463,10.488880962100149,"Bobby Witt Jr.",25764,677951
"Shohei Ohtani","LAD",159,731,54,134,130,59,0.110807113,0.221614227,0.336477988,0.336470588,0.309748427,0.39010989,0.646226415,0.43054929176412915,0.4418599758307582,179.72475471260162,9.73315653949976,79.4233793568276,-17.17592430114746,8.951438714448393,"Shohei Ohtani",19755,660271
"Juan Soto","NYY",157,713,41,128,109,7,0.180925666,0.16690042,0.28125,0.297619047,0.288194444,0.419354838,0.569444444,0.4205848819428188,0.462612695519107,180.926175912157,-3.8675992861390114,62.15371353480208,-5.55739438533783,8.28694131250224,"Juan Soto",20123,665742
"Gunnar Henderson","BAL",159,719,37,118,92,21,0.108484005,0.221140472,0.247619048,0.319634703,0.28095238,0.364394993,0.528571428,0.38146476194387025,0.3728841714925699,153.80963713437268,3.9782718122005463,48.24674679952424,4.800680875778198,7.94096798165029,"Gunnar Henderson",26289,683002
"Francisco Lindor","NYM",152,689,33,107,91,29,0.081277213,0.184325108,0.226537217,0.295010845,0.273462783,0.343976777,0.5,0.36288581496572286,0.3789471471032431,136.7938598973504,3.9973137825727463,34.31219400414976,17.41876745223999,7.720378173176316,"Francisco Lindor",12916,596019
"Jarren Duran","BOS",160,735,21,111,75,34,0.073469387,0.217687074,0.207153502,0.344827586,0.284649776,0.341961852,0.491803278,0.3568673902286514,0.33795505794671066,130.66788794759037,8.316375754773617,34.107888426574505,7.727053880691528,6.837762944878755,"Jarren Duran",24617,680776
"Elly De La Cruz","CIN",160,696,25,105,76,67,0.099137931,0.31321839,0.21197411,0.359042553,0.258899676,0.338616714,0.470873786,0.34864824028373453,0.3276056925455729,119.07995802860343,7.457002758979797,23.336909186531656,16.648620128631592,6.531493435129948,"Elly De La Cruz",26668,682829
"José Ramírez","CLE",158,682,39,114,118,41,0.079178885,0.120234604,0.258064516,0.265346534,0.279032258,0.334801762,0.537096774,0.3642762730118049,0.32929700728845523,141.46519340340004,6.280194535851479,38.63759898676082,1.227522850036621,6.452815937828967,"Jose Ramirez",13510,608070
"Ketel Marte","ARI",136,583,36,93,95,7,0.111492281,0.181818181,0.267857143,0.299191374,0.291666666,0.372212692,0.559523809,0.3909995480337077,0.3922457394900022,151.5269960645647,0.9299512133002281,36.85229490484348,4.771262049674988,6.310705011188647,"Ketel Marte",13613,606466
"William Contreras","MIL",155,679,23,99,92,9,0.114874815,0.204712812,0.18487395,0.330275229,0.280672268,0.365243004,0.465546218,0.3587271837346278,0.35763522637704004,131.6274055197508,-2.5789044573903084,23.101072263551828,7.384888648986816,5.491732999757608,"William Contreras",20503,661388
"Matt Chapman","SFG",154,647,27,98,78,15,0.098918083,0.244204018,0.215652174,0.293367346,0.246956521,0.327666151,0.462608695,0.34013576694527026,0.34017686440911094,120.78364277469194,3.6790905818343163,19.75913463711433,11.4796884059906,5.45905568434671,"Matt Chapman",16505,656305
"Cal Raleigh","SEA",153,628,34,73,100,6,0.111464968,0.280254777,0.216117216,0.251461988,0.219780219,0.31210191,0.435897435,0.32256641812049425,0.34599164592320425,117.53284196122755,-2.5801487416028976,10.018314386328527,21.546761512756348,5.410672929555438,"Cal Raleigh",21534,663728
"Jackson Merrill","SDP",156,593,24,77,90,16,0.048903878,0.170320404,0.207581228,0.31797235,0.292418772,0.32597623,0.5,0.351507786788097,0.3717480614071801,129.7357720489954,3.721729889512062,24.807778170584662,7.202269077301025,5.352353307494476,"Jackson Merrill",29490,701538
"Vladimir Guerrero Jr.","TOR",159,697,30,98,103,2,0.103299856,0.137733142,0.22077922,0.342105263,0.323051948,0.395982783,0.543831168,0.39789022276871394,0.4089601578251008,164.36764775082332,-5.601525478065014,45.73258300466111,-17.810867309570312,5.270698375852862,"Vladimir Guerrero Jr.",19611,665489
"Yordan Alvarez","HOU",147,635,35,88,86,6,0.108661417,0.149606299,0.259057971,0.316901408,0.307971014,0.392125984,0.567028985,0.40158736975397163,0.4113042698493846,167.1108798951789,-2.903315916657448,45.85764612861192,-16.45333194732666,5.211487175504789,"Yordan Alvarez",19556,670541
"Brent Rooker","OAK",145,614,39,82,112,11,0.096091205,0.288273615,0.269230769,0.362275449,0.293040293,0.364820846,0.562271062,0.39218441668103954,0.379564410761783,163.63141597278016,0.7541084215044975,45.458024186469316,-16.319355607032776,5.11213346984322,"Brent Rooker",19627,667670
"Bryce Harper","PHI",145,631,30,85,87,7,0.12044374,0.218700475,0.24,0.330729166,0.285454545,0.373015873,0.525454545,0.38021706340771305,0.35543284696691174,143.478136203768,-0.49963243305683136,32.306993167683984,-4.168459415435791,5.0836492418495824,"Bryce Harper",11579,547180
