"bpid","mlbid","Name","Age","Season","Team","Games","Innings","Fielded Plays","RDA Outs","Range Out Score","Attempt Range","THR Opps","THR Rate","RDA","THR","CDA","DRP"
101287,623211,"Huascar Brazobán",35,2025,"NYM",52,63,7,0,-0.5,,,,0,,0,0
102294,628452,"Raisel Iglesias",35,2025,"ATL",70,67.3,5,0,0.1,,,,0,,0,0
102757,642121,"Cole Sulser",35,2025,"TB",18,22.7,2,0,-0.6,,,,0,,0,0
105123,657612,"Tim Hill",35,2025,"NYY",70,67,17,0.1,0.8,,,,0.1,,0,0.1
51611,500743,"Miguel Rojas",36,2025,"LAD",111,746,250,0,0,-0.2,1,-0.001,0,0,0,0
51645,500779,"Jose Quintana",36,2025,"MIL",24,131.7,16,0,0.1,,,,0,,0,0
55784,518595,"Travis d'Arnaud",36,2025,"LAA",58,475,8,0,-0.1,,,,0,,-5.4,-5.4
55951,506702,"Sandy León",36,2025,"ATL",5,29,1,0,-0.2,,,,0,,0.1,0.1
56034,516782,"Starling Marte",36,2025,"NYM",12,65,19,0,0.2,,,,0,,0,0
56426,521230,"Liam Hendriks",36,2025,"BOS",14,13.7,,,,,,,,,0,
57557,519326,"Hunter Strickland",36,2025,"LAA",19,22,1,0,-0.8,,,,0,,0,0
58436,519008,"T.J. McFarland",36,2025,"ATH",27,15.7,1,0,0.1,,,,0,,0,0
58552,519151,"Ryan Pressly",36,2025,"CHC",44,41.3,7,0,0.1,,,,0,,0,0
59339,518934,"DJ LeMahieu",36,2025,"NYY",45,324,99,0.1,0.1,-3,,,0.1,,0,0.1
60625,571945,"Miles Mikolas",36,2025,"STL",31,156.3,22,0,-0.3,,,,0,,0,0
65751,519242,"Chris Sale",36,2025,"ATL",21,125.7,15,0,0.3,,,,0,,0,0
65879,518876,"Merrill Kelly",36,2025,,32,184,18,0,0.1,,,,0,,0,0
66950,592192,"Mark Canha",36,2025,"KC",36,204.3,66,-0.6,-1.8,0,25,0,-0.5,0,0,-0.5
67355,593576,"Héctor Neris",36,2025,,35,26.7,1,0,-0.3,,,,0,,0,0
68404,519141,"Drew Pomeranz",36,2025,"CHC",57,49.7,2,0,-0.3,,,,0,,0,0
69516,605135,"Chris Bassitt",36,2025,"TOR",32,170.3,11,0,-0.5,,,,0,,0,0
70093,607680,"Kevin Pillar",36,2025,"TEX",15,86.3,34,-0.2,-0.9,,17,-0.002,-0.2,0,0,-0.2
47965,445276,"Kenley Jansen",37,2025,"LAA",61,59,1,0,0,,,,0,,0,0
48772,456781,"Donovan Solano",37,2025,,69,391,85,0.8,1,1.5,2,0,0.6,0,0,0.6
49786,477132,"Clayton Kershaw",37,2025,"LAD",23,112.7,10,0,0.6,,,,0,,0,0
50106,502054,"Tommy Pham",37,2025,"PIT",117,949.7,349,-1.5,-0.7,,55,-0.004,-1.2,-0.2,0,-1.5
53014,547973,"Aroldis Chapman",37,2025,"BOS",67,61.3,3,0,-1,,,,0,,0,0
55617,518489,"Ryan Brasier",37,2025,"CHC",28,26,2,0,-0.3,,,,0,,0,0
58350,518886,"Craig Kimbrel",37,2025,,14,12,1,0,-0.1,,,,0,,0,0
59179,458677,"Justin Wilson",37,2025,"BOS",61,48.3,3,0,0,,,,0,,0,0
59307,502671,"Paul Goldschmidt",37,2025,"NYY",138,1028.3,203,-1.1,-0.6,1.7,2,0,-0.8,0,0,-0.8
59507,548384,"Brooks Raley",37,2025,"NYM",30,25.7,1,0,-0.1,,,,0,,0,0
65801,502043,"Kyle Gibson",37,2025,"BAL",4,12.3,2,0,-0.1,,,,0,,0,0
67740,594798,"Jacob deGrom",37,2025,"TEX",30,172.7,17,0.1,0.6,,,,0.1,,0,0.1
68099,596271,"Casey Lawrence",37,2025,,6,17.7,2,0,-0.3,,,,0,,0,0
68804,595014,"Blake Treinen",37,2025,"LAD",32,26.7,,,,,,,,,0,
102254,628317,"Kenta Maeda",37,2025,"DET",7,8,,,,,,,,,0,
46400,457705,"Andrew McCutchen",38,2025,"PIT",7,61.7,17,0,-0.6,,5,-0.001,0,0,0,0
47229,471911,"Carlos Carrasco",38,2025,,11,45.7,5,0,-0.3,,,,0,,0,0
48082,455117,"Martín Maldonado",38,2025,"SD",64,445,15,0,0.1,,,,0,,-2.5,-2.5
49727,472610,"Luis García",38,2025,,58,55.3,7,0,-0.1,,,,0,,0,0
53155,506433,"Yu Darvish",38,2025,"SD",15,72,7,0,-0.3,,,,0,,0,0
58453,489119,"Wade Miley",38,2025,"CIN",3,12,,,,,,,,,0,
59239,489446,"Kirby Yates",38,2025,"LAD",50,41.3,4,0,0.6,,,,0,,0,0
60922,573204,"Caleb Thielbar",38,2025,"CHC",67,58,3,0,-0.1,,,,0,,0,0
48929,467793,"Carlos Santana",39,2025,,103,849.3,205,2.5,1.3,3.5,1,0.001,1.8,0,0,1.8
51434,493603,"Adam Ottavino",39,2025,"NYY",3,1.7,,,,,,,,,0,
54159,455119,"Chris Martin",39,2025,"TEX",48,42.3,3,0,0.9,,,,0,,0,0
51991,457759,"Justin Turner",40,2025,"CHC",50,253,54,0.1,0.2,0.9,,,0.1,,0,0.1
56753,453286,"Max Scherzer",40,2025,"TOR",17,85,5,0,-0.3,,,,0,,0,0
57235,502085,"David Robertson",40,2025,"PHI",20,17.7,3,0,0.1,,,,0,,0,0
47279,445926,"Jesse Chavez",41,2025,"ATL",4,8,1,0,-0.3,,,,0,,0,0
48258,450203,"Charlie Morton",41,2025,,33,142,10,0,-0.3,,,,0,,0,0
51408,493329,"Yuli Gurriel",41,2025,"SD",4,35,3,0,0,0,,,0,,0,0
45613,434378,"Justin Verlander",42,2025,"SF",29,152,10,0,0.5,,,,0,,0,0
36959,448179,"Rich Hill",45,2025,"KC",2,9,2,0,-0.3,,,,0,,0,0
