Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Gerrit Cole","HOU",20,5,2.500784989260519,33,33,26,0,0,0,0,0,212.1,817,142,66,59,29,48,0,3,4,3,326,"Gerrit Cole",13125,543037
"Justin Verlander","HOU",21,6,2.582959817994794,34,34,26,2,1,0,0,0,223,847,137,66,64,36,42,0,6,4,0,300,"Justin Verlander",8700,434378
"Shane Bieber","CLE",15,8,3.2752722394660783,34,33,24,3,2,0,0,0,214.1,859,186,86,78,31,40,1,6,6,1,259,"Shane Bieber",19427,669456
"Jacob deGrom","NYM",11,8,2.426470588235294,32,32,23,0,0,0,0,0,204,804,154,59,55,19,44,1,7,2,0,255,"Jacob deGrom",10954,594798
"Trevor Bauer","- - -",11,13,4.478872918581328,34,34,19,1,1,0,0,0,213,911,184,118,106,34,82,0,19,10,0,253,"Trevor Bauer",12703,545333
"Stephen Strasburg","WSN",18,6,3.315789231603213,33,33,22,0,0,0,0,0,209,841,161,79,77,24,56,4,10,8,0,251,"Stephen Strasburg",10131,544931
"Lance Lynn","TEX",16,11,3.6720000896484395,33,33,20,0,0,0,0,0,208.1,875,195,89,85,21,59,0,8,18,0,246,"Lance Lynn",2520,458681
"Max Scherzer","WSN",11,7,2.924564883221119,27,27,17,0,0,0,0,0,172.1,693,144,59,56,18,33,2,7,0,0,243,"Max Scherzer",3137,453286
"Charlie Morton","TBR",16,6,3.0513697832873152,33,33,19,0,0,0,0,0,194.2,790,154,71,66,15,57,0,12,5,1,240,"Charlie Morton",4676,450203
"Patrick Corbin","WSN",14,7,3.2524752475247523,33,33,24,1,1,0,0,0,202,835,169,81,73,24,70,2,3,4,0,238,"Patrick Corbin",9323,571578
"Matthew Boyd","DET",9,12,4.564748326713187,32,32,14,0,0,0,0,0,185.1,788,178,101,94,39,50,1,8,6,4,238,"Matthew Boyd",15440,571510
"Robbie Ray","ARI",12,8,4.336520203002002,33,33,11,0,0,0,0,0,174.1,747,150,91,84,30,84,5,5,7,0,235,"Robbie Ray",11486,592662
"Jack Flaherty","STL",11,8,2.7504243057108853,33,33,20,0,0,0,0,0,196.1,772,135,62,60,25,55,2,7,6,0,231,"Jack Flaherty",17479,656427
"Yu Darvish","CHC",6,8,3.9794778385149736,31,31,11,0,0,0,0,0,178.2,731,140,82,79,33,56,1,11,11,0,229,"Yu Darvish",13074,506433
"Aaron Nola","PHI",12,7,3.869851535257831,34,34,18,0,0,0,0,0,202.1,852,176,91,87,27,80,3,11,3,0,229,"Aaron Nola",16149,605400
"Lucas Giolito","CHW",14,9,3.413207448902995,29,29,17,3,2,0,0,0,176.2,705,131,69,67,24,57,1,4,6,0,228,"Lucas Giolito",15474,608337
"Luis Castillo","CIN",15,8,3.3986010359542913,32,32,20,0,0,0,0,0,190.2,781,139,76,72,22,79,0,7,5,3,226,"Luis Castillo",15689,622491
"Walker Buehler","LAD",14,4,3.257769743527644,30,30,17,2,0,0,0,0,182.1,737,153,77,66,20,37,0,7,4,0,215,"Walker Buehler",19374,621111
"Eduardo Rodriguez","BOS",19,6,3.806557186611629,34,34,16,0,0,0,0,0,203.1,859,195,88,86,24,75,2,7,3,0,213,"Eduardo Rodriguez",13164,593958
"Sonny Gray","CIN",11,8,2.8745247982162883,31,31,17,0,0,0,0,0,175.1,708,122,59,56,17,68,1,7,7,1,205,"Sonny Gray",12768,543243
"Madison Bumgarner","SFG",9,9,3.900481445398678,34,34,20,0,0,0,0,0,207.2,844,191,99,90,30,43,3,10,3,0,203,"Madison Bumgarner",5524,518516
"Noah Syndergaard","NYM",10,8,4.279932436245217,32,32,17,1,1,0,0,0,197.2,825,194,101,94,24,50,2,6,4,0,202,"Noah Syndergaard",11762,592789
"Mike Minor","TEX",14,10,3.5855998249218834,32,32,16,2,1,0,0,0,208.1,863,190,86,83,30,68,1,7,2,0,200,"Mike Minor",10021,501985
"Zack Wheeler","NYM",11,8,3.9624574410619493,31,31,18,0,0,0,0,0,195.1,828,196,93,86,22,50,4,2,5,0,195,"Zack Wheeler",10310,554430
"José Berríos","MIN",14,8,3.6838600458860453,32,32,21,1,0,0,0,0,200.1,842,194,94,82,26,51,0,9,8,1,195,"Jose Berrios",14168,621244
"Clayton Kershaw","LAD",16,5,3.0280374695405325,29,28,22,0,0,0,0,0,178.1,706,145,63,60,28,41,0,2,7,1,189,"Clayton Kershaw",2036,477132
"Zack Greinke","- - -",18,5,2.932907062283641,33,33,24,0,0,0,0,0,208.2,810,175,73,68,21,30,2,4,2,1,187,"Zack Greinke",1943,425844
"Germán Márquez","COL",12,5,4.758620689655173,28,28,11,1,1,0,0,0,174,721,174,96,92,29,35,0,5,14,1,175,"German Marquez",15038,608566
"Max Fried","ATL",17,6,4.020121156333265,33,30,14,1,0,0,0,0,165.2,702,174,80,74,21,47,3,5,11,1,173,"Max Fried",13743,608331
"Reynaldo López","CHW",10,15,5.380435228798512,33,33,15,1,0,0,0,0,184,809,203,119,110,35,65,0,8,5,2,169,"Reynaldo Lopez",16400,625643
"Anthony DeSclafani","CIN",9,9,3.88799988134766,31,31,11,0,0,0,0,0,166.2,696,151,77,72,29,49,5,4,2,1,167,"Anthony DeSclafani",13050,543101
