"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Siri, Jose","642350","2024","14","77.8","2.3","1.2","-0.2","3.2","38.4","63","49"
"Soto, Juan","665742","2024","-6","30.6","0.2","0.9","-0.3","0.9","33.5","72","22"
"Springer, George","543807","2024","-3","45.1","-1.5","-0.1","0","-1.7","31.8","51","23"
"Steer, Spencer","668715","2024","-1","40","-0.9","-0.3","0.4","-0.7","32.6","40","16"
"Suwinski, Jack","669261","2024","-6","35.2","-0.5","-0.9","0","-1.4","32.4","54","19"
"Suzuki, Seiya","673548","2024","-1","51.3","0.7","0.8","-0.5","1","34.9","39","20"
"Sánchez, Jesús","660821","2024","1","50","-0.2","0.5","0.2","0.4","33.8","50","25"
"Tatis Jr., Fernando","665487","2024","-1","40","1.1","-0.2","0.1","1","34.7","40","16"
"Taveras, Leody","665750","2024","4","53.6","0.8","1.4","-1.1","1.1","35.9","69","37"
"Taylor, Michael A.","572191","2024","7","67.3","1.6","-0.1","0.4","2","36.4","49","33"
"Taylor, Tyrone","621438","2024","4","64.2","1.6","0.1","0","1.7","36","53","34"
"Thomas, Lane","657041","2024","-5","32.3","-0.8","-0.4","0.1","-1","33","65","21"
"Varsho, Daulton","662139","2024","10","61.5","1.9","1.3","0.1","3.2","37.6","78","48"
"Verdugo, Alex","657077","2024","3","48.8","0.1","0.5","-0.3","0.2","33.4","82","40"
"Vierling, Matt","663837","2024","-1","55.9","0.2","-1","0.6","-0.3","33.7","34","19"
"Ward, Taylor","621493","2024","2","49.2","0.5","0.5","0.5","1.4","35.4","63","31"
"Winker, Jesse","608385","2024","-7","34.1","-2.2","-1.5","0.4","-3.3","30","44","15"
"Yastrzemski, Mike","573262","2024","-2","44.1","1.1","-0.5","0.4","1.1","34.8","59","26"
"Young, Jacob","696285","2024","17","70.3","1.5","4.2","-2.8","3","38","74","52"
