Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"David Peralta","ARI","LF",45,45,380.1,86,1,0,0,0,0,1,0,0,,,,,,1,,"David Peralta",2136,444482
"Carlos Santana","CLE","1B",60,60,531,413,36,4,3,0,40,3,0,41,6,,,,,0.99116998,,"Carlos Santana",2396,467793
"Anthony Rizzo","CHC","1B",57,57,474.1,418,44,1,0,0,37,5,0,36,4,,,,,0.99784017,,"Anthony Rizzo",3473,519203
"Josh Reddick","HOU","RF",50,49,420.2,89,1,2,2,0,0,0,0,0,,,,,,0.97826087,,"Josh Reddick",3892,502210
"Joey Votto","CIN","1B",50,49,406.1,299,40,5,4,1,24,1,0,25,2,,,,,0.98546512,,"Joey Votto",4314,458015
"Jason Heyward","CHC","RF",50,49,404,98,2,0,0,0,0,1,0,0,,,,,,1,,"Jason Heyward",4940,518792
"Alex Gordon","KCR","LF",49,48,391,81,4,0,0,0,0,1,0,0,,,,,,1,,"Alex Gordon",5209,460086
"Robbie Grossman","OAK","LF",46,44,379.1,84,1,0,0,0,0,0,0,0,,,,,,1,,"Robbie Grossman",5254,543257
"Aaron Hicks","NYY","CF",50,48,393.2,97,3,2,1,1,0,2,0,0,,,,,,0.98039216,,"Aaron Hicks",5297,543305
"Brandon Crawford","SFG","SS",53,47,417.2,69,124,8,5,3,23,13,9,2,,,,,,0.960199,,"Brandon Crawford",5343,543063
"Freddie Freeman","ATL","1B",58,56,477.1,427,32,1,0,0,41,7,0,42,2,,,,,0.99782609,,"Freddie Freeman",5361,518692
"Jose Altuve","HOU","2B",48,48,415.2,64,126,4,4,0,32,16,17,3,,,,,,0.97938144,,"Jose Altuve",5417,514888
"Avisaíl García","MIL","CF",44,42,348.1,61,2,0,0,0,0,1,0,0,,,,,,1,,"Avisail Garcia",5760,541645
"Didi Gregorius","PHI","SS",59,56,470,79,132,7,3,4,33,18,16,1,,,,,,0.96788991,,"Didi Gregorius",6012,544369
"Eduardo Escobar","ARI","3B",47,46,395.1,26,87,8,5,3,13,13,0,0,,,,,,0.9338843,,"Eduardo Escobar",6153,500871
"Martín Maldonado","HOU","C",47,46,392,375,22,2,0,2,0,0,0,0,,13,6,3,14,0.99498747,,"Martin Maldonado",6887,455117
"Yadier Molina","STL","C",42,42,337.1,307,16,5,2,3,0,1,0,1,,6,5,3,14,0.9847561,,"Yadier Molina",7007,425877
"Charlie Blackmon","COL","RF",50,50,427.2,101,4,0,0,0,0,2,0,0,,,,,,1,,"Charlie Blackmon",7859,453568
"Donovan Solano","SFG","2B",45,39,343.2,56,79,7,6,1,19,5,14,0,,,,,,0.95070423,,"Donovan Solano",8623,456781
"Paul Goldschmidt","STL","1B",52,52,411.1,383,27,1,0,1,38,5,0,40,5,,,,,0.99756691,,"Paul Goldschmidt",9218,502671
"Starling Marte","- - -","CF",61,60,486.2,122,3,1,1,0,0,0,0,0,,,,,,0.99206349,,"Starling Marte",9241,516782
"Evan Longoria","SFG","3B",52,50,426.2,41,84,2,2,0,9,8,1,0,,,,,,0.98425197,,"Evan Longoria",9368,446334
"Christian Vázquez","BOS","C",42,41,356,370,19,1,0,1,0,2,0,1,,21,9,4,16,0.9974359,,"Christian Vazquez",9774,543877
"Nolan Arenado","COL","3B",48,48,417.1,43,117,3,1,2,16,16,3,1,,,,,,0.98159509,,"Nolan Arenado",9777,571448
"Kyle Seager","SEA","3B",53,53,450.2,39,115,4,3,1,9,9,2,1,,,,,,0.97468354,,"Kyle Seager",9785,572122
"Wil Myers","SDP","RF",52,52,432.1,89,2,3,2,1,0,0,0,0,,,,,,0.96808511,,"Wil Myers",10047,571976
"Mike Trout","LAA","CF",52,52,454.1,120,0,0,0,0,0,0,0,0,,,,,,1,,"Mike Trout",10155,545361
"Randal Grichuk","TOR","CF",48,47,399.2,96,2,1,1,0,0,0,0,0,,,,,,0.98989899,,"Randal Grichuk",10243,545341
"Brandon Belt","SFG","1B",47,41,351.1,278,28,2,2,0,27,1,0,26,2,,,,,0.99350649,,"Brandon Belt",10264,474832
"César Hernández","CLE","2B",58,57,503.2,67,139,4,1,3,32,14,19,0,,,,,,0.98095238,,"Cesar Hernandez",10556,514917
"Gio Urshela","NYY","3B",43,42,357.2,35,86,1,1,0,10,10,0,0,,,,,,0.99180328,,"Gio Urshela",10681,570482
"Corey Dickerson","MIA","LF",46,45,344.1,62,3,2,2,0,0,0,0,0,,,,,,0.97014925,,"Corey Dickerson",10762,572816
"Kevin Kiermaier","TBR","CF",46,41,350.2,86,6,0,0,0,0,0,0,0,,,,,,1,,"Kevin Kiermaier",11038,595281
"Kole Calhoun","ARI","RF",48,48,403.1,102,1,1,0,1,0,1,0,0,,,,,,0.99038462,,"Kole Calhoun",11200,594777
"Adam Eaton","WSN","RF",41,40,335,81,0,1,1,0,0,0,0,0,,,,,,0.98780488,,"Adam Eaton",11205,594809
"Jonathan Schoop","DET","2B",44,44,355.2,60,113,1,1,0,23,6,19,1,,,,,,0.99425287,,"Jonathan Schoop",11265,570731
"Christian Yelich","MIL","LF",51,51,431.1,60,1,0,0,0,0,0,0,0,,,,,,1,,"Christian Yelich",11477,592885
"Manny Machado","SDP","3B",56,56,464,44,105,2,2,0,10,7,3,0,,,,,,0.98675497,,"Manny Machado",11493,592518
"Bryce Harper","PHI","RF",48,45,370,64,2,1,1,0,0,0,0,0,,,,,,0.98507463,,"Bryce Harper",11579,547180
"Nick Castellanos","CIN","RF",57,57,467,77,1,3,2,1,0,0,0,0,,,,,,0.96296296,,"Nick Castellanos",11737,592206
"Hanser Alberto","BAL","2B",52,48,412.2,84,107,2,1,1,22,3,19,2,,,,,,0.98963731,,"Hanser Alberto",11902,593643
"Max Kepler","MIN","RF",44,44,366.1,72,2,1,1,0,0,0,0,0,,,,,,0.98666667,,"Max Kepler",12144,596146
"Nick Ahmed","ARI","SS",57,56,484.1,61,121,7,3,4,31,17,14,2,,,,,,0.96296296,,"Nick Ahmed",12147,605113
"Eddie Rosario","MIN","LF",51,51,438.1,84,5,2,0,2,0,1,0,0,,,,,,0.97802198,,"Eddie Rosario",12155,592696
"Xander Bogaerts","BOS","SS",53,52,438,59,130,5,4,1,26,8,18,0,,,,,,0.9742268,,"Xander Bogaerts",12161,593428
"Miguel Sanó","MIN","1B",52,52,423.1,355,13,4,3,1,30,0,0,30,0,,,,,0.98924731,,"Miguel Sano",12164,593934
"Maikel Franco","KCR","3B",51,51,435,29,89,6,3,3,15,17,0,1,,,,,,0.9516129,,"Maikel Franco",12179,596748
"Kolten Wong","STL","2B",53,48,397,59,129,2,1,1,29,14,15,0,,,,,,0.98947368,,"Kolten Wong",12532,543939
"Marcus Semien","OAK","SS",53,53,451.1,59,147,7,5,2,14,6,10,1,,,,,,0.96713615,,"Marcus Semien",12533,543760
"Eugenio Suárez","CIN","3B",57,57,473,47,75,5,3,2,10,7,3,0,,,,,,0.96062992,,"Eugenio Suarez",12552,553993
"Trevor Story","COL","SS",57,57,491.1,88,161,10,5,5,44,21,23,6,,,,,,0.96138996,,"Trevor Story",12564,596115
"George Springer","HOU","CF",42,41,338,82,0,0,0,0,0,0,0,0,,,,,,1,,"George Springer",12856,543807
"Anthony Rendon","LAA","3B",52,52,455,48,73,3,1,2,7,5,2,0,,,,,,0.97580645,,"Anthony Rendon",12861,543685
"Francisco Lindor","CLE","SS",58,58,508,79,128,1,0,1,29,16,13,1,,,,,,0.99519231,,"Francisco Lindor",12916,596019
"Javier Báez","CHC","SS",56,56,469.1,86,159,8,2,6,32,16,18,0,,,,,,0.96837945,,"Javier Baez",12979,595879
"Jackie Bradley Jr.","BOS","CF",55,54,471,120,3,0,0,0,0,0,0,0,,,,,,1,,"Jackie Bradley Jr.",12984,598265
"Jorge Polanco","MIN","SS",53,53,448.1,49,117,2,1,1,17,11,6,0,,,,,,0.98809524,,"Jorge Polanco",13152,593871
"Orlando Arcia","MIL","SS",57,52,439.1,58,120,3,0,3,24,16,8,2,,,,,,0.98342541,,"Orlando Arcia",13185,606115
"Stephen Piscotty","OAK","RF",44,44,376.1,73,2,0,0,0,0,0,0,0,,,,,,1,,"Stephen Piscotty",13367,572039
"Christian Walker","ARI","1B",43,42,366.1,268,28,3,2,1,39,3,2,36,2,,,,,0.98996656,,"Christian Walker",13419,572233
"José Ramírez","CLE","3B",57,57,497,39,65,6,5,1,11,8,3,2,,,,,,0.94545455,,"Jose Ramirez",13510,608070
"Mookie Betts","LAD","RF",52,50,438.2,113,1,4,1,3,0,0,0,0,,,,,,0.96610169,,"Mookie Betts",13611,605141
"Jeimer Candelario","DET","1B",43,41,345.1,297,19,4,4,0,30,6,0,32,4,,,,,0.9875,,"Jeimer Candelario",13621,600869
"Corey Seager","LAD","SS",43,43,376,46,113,8,3,4,15,9,6,1,,,,,,0.95209581,,"Corey Seager",13624,608369
"Jacob Stallings","PIT","C",42,40,345.1,379,22,4,2,1,0,2,0,1,,18,9,3,15,0.99012346,,"Jacob Stallings",13723,607732
"Adalberto Mondesi","KCR","SS",59,59,497,85,144,4,2,2,35,23,14,1,,,,,,0.98283262,,"Adalberto Mondesi",13769,609275
"Rio Ruiz","BAL","3B",53,50,433.2,37,100,6,1,5,12,9,3,1,,,,,,0.95804196,,"Rio Ruiz",14103,547004
"Joey Gallo","TEX","RF",53,53,456.2,120,3,0,0,0,0,1,0,0,,,,,,1,,"Joey Gallo",14128,608336
"Carlos Correa","HOU","SS",57,56,475,69,142,1,0,1,35,14,21,1,,,,,,0.99528302,,"Carlos Correa",14162,621043
"Matt Olson","OAK","1B",60,59,499.1,393,48,1,1,0,28,2,0,29,1,,,,,0.99773756,,"Matt Olson",14344,621566
"Nomar Mazara","CHW","RF",42,38,336,72,1,0,0,0,0,0,0,0,,,,,,1,,"Nomar Mazara",14553,608577
"Luke Voit","NYY","1B",48,47,377.2,308,20,3,3,0,21,0,0,23,2,,,,,0.99093656,,"Luke Voit",14811,572228
"Tim Anderson","CHW","SS",49,49,417.1,65,109,6,5,1,22,14,7,2,,,,,,0.96666667,,"Tim Anderson",15172,641313
"Adam Frazier","PIT","2B",41,40,343,63,90,1,1,0,24,14,10,0,,,,,,0.99350649,,"Adam Frazier",15223,624428
"J.P. Crawford","SEA","SS",53,53,454.2,73,145,3,1,2,29,21,9,1,,,,,,0.98642534,,"J.P. Crawford",15491,641487
"José Abreu","CHW","1B",54,54,470,430,27,5,4,1,38,7,0,37,2,,,,,0.98917749,,"Jose Abreu",15676,547989
