"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"Santander, Anthony",623993,"-3","1","17","5.9","0","2","0.0","1","5","20.0","12","16","75.0","19","21","90.5"
"Stewart, Christin",621514,"-4","1","17","5.9","2","6","33.3","3","8","37.5","9","11","81.8","9","10","90.0"
"Yelich, Christian",592885,"-4","1","28","3.6","1","8","12.5","3","9","33.3","13","16","81.3","25","26","96.2"
"Trout, Mike",545361,"-4","0","26","0.0","0","3","0.0","10","19","52.6","26","31","83.9","23","23","100.0"
"Jones, Adam",430945,"-4","0","29","0.0","0","2","0.0","1","6","16.7","13","15","86.7","20","20","100.0"
"Ramírez, Harold",623912,"-5","0","20","0.0","0","3","0.0","4","6","66.7","19","25","76.0","23","24","95.8"
"Hernández, Teoscar",606192,"-5","0","19","0.0","3","7","42.9","4","8","50.0","14","19","73.7","17","18","94.4"
"Gordon, Alex",460086,"-5","1","36","2.8","3","7","42.9","3","10","30.0","18","20","90.0","24","28","85.7"
"Fowler, Dexter",451594,"-6","0","27","0.0","1","7","14.3","3","8","37.5","19","20","95.0","27","29","93.1"
"Mancini, Trey",641820,"-6","0","15","0.0","1","3","33.3","0","5","0.0","15","19","78.9","19","22","86.4"
"Ozuna, Marcell",542303,"-7","0","18","0.0","0","4","0.0","5","12","41.7","17","21","81.0","20","21","95.2"
"Castellanos, Nick",592206,"-7","0","29","0.0","1","2","50.0","4","12","33.3","19","20","95.0","23","27","85.2"
"Benintendi, Andrew",643217,"-8","1","28","3.6","1","5","20.0","1","6","16.7","7","9","77.8","19","20","95.0"
"Winker, Jesse",608385,"-8","0","11","0.0","0","3","0.0","2","9","22.2","12","18","66.7","13","13","100.0"
"Braun, Ryan",460075,"-8","0","10","0.0","2","7","28.6","5","8","62.5","13","20","65.0","13","17","76.5"
"Smith Jr., Dwight",596105,"-9","1","18","5.6","2","4","50.0","4","9","44.4","7","14","50.0","14","16","87.5"
"Pham, Tommy",502054,"-10","0","20","0.0","0","7","0.0","3","6","50.0","13","20","65.0","16","17","94.1"
"Schwarber, Kyle",656941,"-10","1","25","4.0","2","9","22.2","6","13","46.2","9","14","64.3","22","26","84.6"
"Blackmon, Charlie",453568,"-10","0","23","0.0","0","9","0.0","4","9","44.4","22","29","75.9","24","25","96.0"
"Desmond, Ian",435622,"-10","0","18","0.0","4","9","44.4","4","11","36.4","10","13","76.9","21","25","84.0"
"Jiménez, Eloy",650391,"-11","0","15","0.0","1","7","14.3","0","6","0.0","14","19","73.7","20","21","95.2"
"Choo, Shin-Soo",425783,"-13","0","12","0.0","1","6","16.7","1","8","12.5","14","20","70.0","18","20","90.0"
"Santana, Domingo",570267,"-13","0","25","0.0","0","3","0.0","4","11","36.4","12","21","57.1","12","13","92.3"
"Rosario, Eddie",592696,"-15","1","27","3.7","1","7","14.3","4","6","66.7","12","25","48.0","11","13","84.6"
