"id","name","pitches","rv_tot","pct_tot","rv_11","pct_11","rv_12","pct_12","rv_13","pct_13","rv_14","pct_14","rv_16","pct_16","rv_17","pct_17","rv_18","pct_18","rv_19","pct_19"
435559,"Suzuki, Kurt",2357,-3.9007707490718544,0.438496583143508,0,0.23076923076923078,-1,0.3191489361702128,0,0.12121212121212122,-1,0.6435643564356436,0,0.6461538461538462,0,0.3561643835616438,-1,0.43478260869565216,-1,0.17272727272727273
596142,"Sánchez, Gary",2867,-4.674654752611446,0.4759259259259259,-1,0.14084507042253522,-2,0.3055555555555556,-1,0.11363636363636363,-1,0.6421052631578947,0,0.6826923076923077,-1,0.2318840579710145,-1,0.5345622119815668,1,0.4306569343065693
605131,"Barnes, Austin",1930,4.342216315380891,0.5425531914893617,0,0.21052631578947367,0,0.4811320754716981,0,0.16666666666666666,-1,0.5754716981132075,1,0.7443609022556391,1,0.32786885245901637,3,0.6759776536312849,1,0.47126436781609193
623168,"Heineman, Tyler",1102,0.12414247423944708,0.5,0,0.07407407407407407,0,0.4098360655737705,0,0.30434782608695654,0,0.7121212121212122,-1,0.6382978723404256,0,0.4666666666666667,0,0.5733333333333334,0,0.1875
455117,"Maldonado, Martín",3634,-1.3988978173588726,0.47533009034051427,0,0.1810344827586207,1,0.4697674418604651,0,0.2839506172839506,0,0.6514522821576764,0,0.6926070038910506,-2,0.19626168224299065,-1,0.543859649122807,-1,0.20437956204379562
595751,"Alfaro, Jorge",1896,-4.4393151990465105,0.4206128133704735,0,0.15384615384615385,0,0.47692307692307695,0,0.1794871794871795,-1,0.5864197530864198,-1,0.5703125,0,0.21052631578947367,-2,0.45,0,0.1774193548387097
669257,"Smith, Will",2208,-3.7198238239585004,0.45271867612293143,0,0.12903225806451613,0,0.4811320754716981,0,0.24,0,0.6222222222222222,-1,0.648,0,0.375,-2,0.48704663212435234,0,0.2524271844660194
518735,"Grandal, Yasmani",2680,7.147989890922654,0.5134865134865135,1,0.2857142857142857,1,0.5163934426229508,0,0.1875,-1,0.64,1,0.6766467065868264,1,0.4084507042253521,3,0.5770925110132159,1,0.30578512396694213
680777,"Jeffers, Ryan",1459,1.419518078680113,0.5094339622641509,0,0.2,-1,0.3333333333333333,0,0.1111111111111111,0,0.7350427350427351,-1,0.5753424657534246,0,0.4166666666666667,1,0.5772357723577236,1,0.373134328358209
543228,"Gomes, Yan",2270,-3.100941011454081,0.44808126410835214,0,0.2033898305084746,-1,0.37373737373737376,0,0.16216216216216217,1,0.6733668341708543,-1,0.6115702479338843,0,0.38372093023255816,-1,0.45698924731182794,-1,0.16161616161616163
608348,"Kelly, Carson",2691,3.496996249529979,0.4957587181903864,0,0.20689655172413793,0,0.4144144144144144,0,0.23333333333333334,2,0.7142857142857143,-1,0.645021645021645,1,0.4,1,0.5271966527196653,-1,0.2222222222222222
575929,"Contreras, Willson",2911,3.420010099883888,0.5153256704980843,0,0.23214285714285715,0,0.5,1,0.32142857142857145,0,0.6647058823529411,1,0.6816326530612244,0,0.3888888888888889,1,0.5346534653465347,0,0.2773722627737226
460077,"Butera, Drew",1084,0.49808920296155823,0.46924829157175396,0,0.20588235294117646,0,0.40476190476190477,0,0.1875,0,0.6966292134831461,-1,0.5357142857142857,0,0.44,1,0.5882352941176471,0,0.171875
592663,"Realmuto, J.T.",2642,0.31655095439697645,0.5194274028629857,1,0.24242424242424243,-1,0.3655913978494624,0,0.17647058823529413,2,0.764367816091954,0,0.6700507614213198,1,0.4819277108433735,-1,0.5084745762711864,0,0.28421052631578947
452095,"Flowers, Tyler",1611,1.1848830138379172,0.49023090586145646,0,0.23404255319148937,0,0.5084745762711864,0,0.32,0,0.625,0,0.6818181818181818,0,0.3333333333333333,1,0.5555555555555556,0,0.1875
518595,"d'Arnaud, Travis",2810,2.3627848435104983,0.4899135446685879,1,0.2236842105263158,1,0.5031446540880503,1,0.3484848484848485,1,0.6545454545454545,0,0.703030303030303,0,0.3076923076923077,-2,0.4421052631578947,0,0.24324324324324326
553882,"Narváez, Omar",2609,5.276022089552124,0.5419766206163655,1,0.30303030303030304,1,0.5315315315315315,0,0.16363636363636364,0,0.6703910614525139,1,0.6989795918367347,1,0.4523809523809524,1,0.5536723163841808,1,0.3972602739726027
467092,"Ramos, Wilson",2949,0.47996528696228213,0.447935368043088,1,0.25,3,0.5859872611464968,1,0.273972602739726,1,0.6617647058823529,0,0.6380090497737556,-1,0.22413793103448276,-5,0.2956989247311828,-1,0.1565217391304348
624431,"Trevino, Jose",1454,0.9979085660939502,0.49119718309859156,0,0.19047619047619047,0,0.4875,0,0.28,1,0.6881720430107527,-1,0.5894736842105263,1,0.5192307692307693,0,0.5327868852459017,0,0.22033898305084745
553869,"Díaz, Elias",1145,0.08467559658196316,0.4722838137472284,0,0.23529411764705882,-1,0.3191489361702128,0,0.21428571428571427,1,0.7745098039215687,0,0.56,0,0.36585365853658536,0,0.4421052631578947,0,0.20930232558139536
595284,"Knapp, Andrew",1566,-3.381005656113017,0.4494195688225539,0,0.18421052631578946,0,0.423728813559322,0,0.1875,0,0.6016949152542372,-1,0.525,0,0.4117647058823529,-1,0.5128205128205128,0,0.25
543877,"Vázquez, Christian",3431,5.628765985590375,0.5088852988691438,1,0.22857142857142856,1,0.5163043478260869,0,0.3225806451612903,2,0.6877828054298643,1,0.6754716981132075,0,0.2463768115942029,1,0.5333333333333333,0,0.2540983606557377
