Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Gerrit Cole","NYY",13,8,3.498339047775474,33,33,21,0,0,0,0,0,200.2,793,154,81,78,33,50,0,2,2,2,257,"Gerrit Cole",13125,543037
"Corbin Burnes","MIL",12,8,2.9405940594059405,33,33,21,0,0,0,0,0,202,797,144,73,66,23,51,0,13,10,0,243,"Corbin Burnes",19361,669203
"Carlos Rodón","SFG",14,8,2.8820224719101124,31,31,16,1,0,0,0,0,178,710,131,59,57,12,52,0,3,10,0,237,"Carlos Rodon",16137,607074
"Aaron Nola","PHI",11,13,3.2487804878048783,32,32,18,2,1,0,0,0,205,807,168,75,74,19,29,1,9,2,0,235,"Aaron Nola",16149,605400
"Dylan Cease","CHW",14,8,2.2010869565217392,32,32,16,1,1,0,0,0,184,747,126,55,45,16,78,2,3,7,1,227,"Dylan Cease",18525,656302
"Shohei Ohtani","LAA",15,9,2.3313253012048194,28,28,16,0,0,0,0,0,166,660,124,45,43,14,44,0,2,14,0,219,"Shohei Ohtani",19755,660271
"Robbie Ray","SEA",12,12,3.7142857142857144,32,32,18,0,0,0,0,0,189,775,163,80,78,32,62,0,7,5,0,212,"Robbie Ray",11486,592662
"Sandy Alcantara","MIA",14,9,2.2827989353724414,32,32,24,6,1,0,0,0,228.2,886,174,67,58,16,50,1,9,3,0,207,"Sandy Alcantara",18684,645261
"Charlie Morton","ATL",9,6,4.343023255813954,31,31,9,0,0,0,0,0,172,728,149,85,83,28,63,0,18,4,0,205,"Charlie Morton",4676,450203
"Kevin Gausman","TOR",12,10,3.349236836279765,31,31,17,0,0,0,0,0,174.2,725,188,72,65,15,28,0,1,2,2,205,"Kevin Gausman",14107,592332
"Shane Bieber","CLE",13,8,2.88,31,31,23,1,0,0,0,0,200,791,172,70,64,18,36,0,2,5,1,198,"Shane Bieber",19427,669456
"Yu Darvish","SDP",16,8,3.0976029015947577,30,30,25,0,0,0,0,0,194.2,771,148,67,67,22,37,0,12,4,1,197,"Yu Darvish",13074,506433
"Framber Valdez","HOU",17,6,2.8162252367089184,31,31,26,3,1,0,0,0,201.1,827,166,71,63,11,67,0,11,11,1,194,"Framber Valdez",17295,664285
"Shane McClanahan","TBR",12,8,2.5430862501090514,28,28,18,0,0,0,0,0,166.1,641,116,52,47,19,38,1,3,9,0,194,"Shane McClanahan",21483,663556
"Zac Gallen","ARI",12,4,2.5434782608695654,31,31,19,0,0,0,0,0,184,714,121,56,52,15,47,0,12,5,0,192,"Zac Gallen",19291,668678
"Triston McKenzie","CLE",11,11,2.963414712923554,31,30,18,0,0,0,0,0,191.1,741,138,65,63,25,44,0,5,8,0,190,"Triston McKenzie",18000,663474
"Justin Verlander","HOU",18,4,1.7485714285714287,28,28,21,0,0,0,0,0,175,666,116,43,34,12,29,0,6,3,0,185,"Justin Verlander",8700,434378
"Joe Musgrove","SDP",10,7,2.9337016574585637,30,30,21,0,0,0,0,0,181,740,154,67,59,22,42,1,14,4,0,184,"Joe Musgrove",12970,605397
"Alek Manoah","TOR",16,7,2.2423729973420223,31,31,25,0,0,0,0,0,196.2,786,144,55,49,16,51,0,15,5,0,180,"Alek Manoah",26410,666201
"Merrill Kelly","ARI",13,8,3.3693844449463004,33,33,18,0,0,0,0,0,200.1,804,167,77,75,21,61,2,2,4,1,177,"Merrill Kelly",11156,518876
"Nick Pivetta","BOS",10,12,4.558441816535444,33,33,12,1,0,0,0,0,179.2,773,175,91,91,27,73,0,5,10,1,175,"Nick Pivetta",15454,601713
"Pablo López","MIA",10,10,3.75,32,32,14,0,0,0,0,0,180,736,157,78,75,21,53,1,8,4,0,174,"Pablo Lopez",17085,641154
"Kyle Wright","ATL",21,5,3.194085117814919,30,30,19,0,0,0,0,0,180.1,738,156,67,64,19,53,0,9,7,0,174,"Kyle Wright",19665,657140
"Logan Gilbert","SEA",13,6,3.1992820424314896,32,32,16,0,0,0,0,0,185.2,766,170,71,66,19,49,2,6,5,0,174,"Logan Gilbert",22250,669302
"Max Fried","ATL",14,7,2.476618773003963,30,30,21,0,0,0,0,0,185.1,733,156,55,51,12,32,2,4,9,0,170,"Max Fried",13743,608331
"Martín Pérez","TEX",12,8,2.8879457454440662,32,32,23,1,1,0,0,0,196.1,821,178,70,63,11,69,0,6,6,2,169,"Martin Perez",6902,527048
"Chris Bassitt","NYM",15,9,3.418348815265554,30,30,19,0,0,0,0,0,181.2,745,159,71,69,19,49,0,13,5,1,167,"Chris Bassitt",12304,605135
"Julio Urías","LAD",17,7,2.16,31,31,19,0,0,0,0,0,175,689,127,51,42,23,41,0,5,0,1,166,"Julio Urias",14765,628711
"Logan Webb","SFG",15,9,2.9012132482998285,32,32,19,0,0,0,0,0,192.1,787,174,76,62,11,49,0,7,6,0,163,"Logan Webb",17995,657277
"Jordan Montgomery","- - -",9,6,3.482243089971613,32,32,14,1,1,0,0,0,178.1,724,159,72,69,21,36,0,8,4,0,158,"Jordan Montgomery",16511,656756
"Miles Mikolas","STL",12,13,3.2915981058085686,33,32,22,1,0,0,0,0,202.1,805,170,81,74,25,39,0,6,1,1,153,"Miles Mikolas",9803,571945
"Jameson Taillon","NYY",14,5,3.9078948489280885,32,32,12,0,0,0,0,0,177.1,728,168,78,77,26,32,0,5,3,0,151,"Jameson Taillon",11674,592791
"Germán Márquez","COL",9,13,4.9541287177761655,31,31,17,0,0,0,0,0,181.2,779,185,109,100,30,63,0,4,8,2,150,"German Marquez",15038,608566
"José Berríos","TOR",12,7,5.232558139534884,32,32,17,0,0,0,0,0,172,753,199,103,100,29,45,0,11,3,0,149,"Jose Berrios",14168,621244
"Jordan Lyles","BAL",12,11,4.424581005586592,32,32,13,1,0,0,0,0,179,774,196,94,88,26,52,0,8,5,0,144,"Jordan Lyles",7593,543475
"Kyle Gibson","PHI",10,8,5.045725952253153,31,31,15,0,0,0,0,0,167.2,718,176,98,94,24,48,0,9,4,0,144,"Kyle Gibson",10123,502043
"Adam Wainwright","STL",11,12,3.7095654142729604,32,32,16,1,0,0,0,0,191.2,803,192,80,79,16,54,1,7,5,0,143,"Adam Wainwright",2233,425794
"Corey Kluber","TBR",10,10,4.335365853658536,31,31,15,0,0,0,0,0,164,689,178,82,79,20,21,0,10,2,0,139,"Corey Kluber",2429,446372
"Tyler Anderson","LAD",15,5,2.5690297776114113,30,28,18,0,0,0,0,0,178.2,707,145,57,51,14,34,0,9,6,0,138,"Tyler Anderson",12880,542881
"Jose Quintana","- - -",6,7,2.933601654691357,32,32,9,0,0,0,0,0,165.2,679,154,61,54,8,47,1,3,1,0,137,"Jose Quintana",11423,500779
"José Urquidy","HOU",13,8,3.9432049901998645,29,28,15,0,0,0,0,0,164.1,681,154,74,72,29,38,0,7,5,0,134,"Jose Urquidy",18413,664353
"Kyle Freeland","COL",9,11,4.53435140911722,31,31,13,0,0,0,0,0,174.2,766,193,96,88,19,53,0,16,4,0,131,"Kyle Freeland",16256,607536
"Cole Irvin","OAK",9,13,3.977900552486188,30,30,15,0,0,0,0,0,181,741,174,87,80,25,36,3,7,3,0,128,"Cole Irvin",19244,608344
"Cal Quantrill","CLE",15,5,3.3810376593748486,32,32,17,0,0,0,0,0,186.1,770,178,78,70,21,47,0,10,3,0,128,"Cal Quantrill",19312,615698
"Marco Gonzales","SEA",10,15,4.131147540983607,32,32,18,0,0,0,0,0,183,783,194,97,84,30,50,1,7,1,0,103,"Marco Gonzales",15467,594835
