"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Almora Jr., Albert","546991","2017","-1","43.6","0.3","0.8","-0.7","0.4","34","39","17"
"Altherr, Aaron","571437","2017","-1","46.4","-0.3","-0.4","0.1","-0.6","31","56","26"
"Aoki, Norichika","493114","2017","-1","28.2","-0.1","1","-0.5","0.5","32.1","39","11"
"Bautista, José","430832","2017","-7","33.8","-1.6","-0.4","0.8","-1.3","30.9","74","25"
"Benintendi, Andrew","643217","2017","-4","31.8","-0.8","-1.5","1","-1.3","29.5","66","21"
"Betts, Mookie","605141","2017","16","61.3","0.6","0.9","0.1","1.7","34.2","111","68"
"Blackmon, Charlie","453568","2017","-6","37","0.2","-1.1","0.5","-0.4","33.2","92","34"
"Bonifacio, Jorge","593528","2017","-2","44.2","-0.2","-0.5","-0.1","-0.9","31.3","43","19"
"Bradley Jr., Jackie","598265","2017","9","62.7","0.7","2.9","-2.2","1.5","35.1","75","47"
"Brantley, Michael","488726","2017","-1","42.6","-1.2","-0.8","0.6","-1.4","30.8","47","20"
"Braun, Ryan","460075","2017","-2","40","-0.9","1.2","-1.1","-0.8","32.2","40","16"
"Broxton, Keon","542979","2017","9","62.5","1.5","1.1","-0.6","2","35.1","56","35"
"Bruce, Jay","457803","2017","1","60","-0.1","1.3","-0.7","0.5","33.2","65","39"
"Buxton, Byron","621439","2017","25","80","2.1","-0.4","0.5","2.2","35.7","90","72"
"Cabrera, Melky","466320","2017","-12","18.1","-2.4","-1.5","0.8","-3.1","29","83","15"
"Cain, Lorenzo","456715","2017","12","68.1","0.9","0.1","-0.1","0.8","34.5","91","62"
"Calhoun, Kole","594777","2017","-6","36.6","-1.1","-0.2","0.5","-0.8","31.4","71","26"
"Carrera, Ezequiel","485567","2017","-7","31.4","0.2","-0.5","0.7","0.4","32.3","35","11"
"Cespedes, Yoenis","493316","2017","-2","35.9","-0.8","-1.4","0.4","-1.7","31.2","39","14"
"Choo, Shin-Soo","425783","2017","-7","35","-1.8","-0.3","-0.1","-2.3","30","40","14"
"Conforto, Michael","624424","2017","1","47.3","-1.4","0.4","-1.3","-2.3","30.6","55","26"
"Davis, Khris","501981","2017","4","61.8","-0.8","1","0.2","0.4","33.2","55","34"
"DeShields, Delino","592261","2017","4","56","1.9","-0.5","0.2","1.7","35","50","28"
"Desmond, Ian","435622","2017","-3","47.4","0.7","-1.3","0.8","0.2","33","38","18"
"Dickerson, Corey","572816","2017","3","54.8","1.5","1.5","-0.3","2.7","34.4","42","23"
"Duvall, Adam","594807","2017","7","55.6","0.5","1.6","-1.3","0.8","33.3","72","40"
"Dyson, Jarrod","502481","2017","7","60","1.9","0.6","-0.5","2","35.5","45","27"
"Ellsbury, Jacoby","453056","2017","0","48.6","0","-0.9","0.4","-0.5","32.3","37","18"
"Engel, Adam","641553","2017","17","71.9","2.2","-0.8","0.7","2.1","35.3","64","46"
"Fowler, Dexter","451594","2017","-8","26.1","-1.8","-1.7","-0.3","-3.8","29.7","46","12"
"Gamel, Ben","592325","2017","-1","46.7","0.1","-0.2","0.3","0.2","31.8","60","28"
"García, Avisaíl","541645","2017","3","57.7","-1","-0.8","0.6","-0.8","32.1","52","30"
"García, Leury","544725","2017","2","50","1","-0.2","0.3","1.1","34.3","40","20"
"Gardner, Brett","458731","2017","6","62.9","0.5","0.2","0.5","1.2","34.4","70","44"
"Gonzalez, Marwin","503556","2017","0","44.4","-0.2","2.3","-2.2","0","31.2","36","16"
"González, Carlos","471865","2017","1","45.6","-0.4","2.2","-2.7","-0.9","32.2","57","26"
"Gordon, Alex","460086","2017","2","54.4","-0.6","-0.7","0.7","-0.5","31.4","57","31"
"Granderson, Curtis","434158","2017","-3","40.4","-1.3","-0.7","0.6","-1.4","31.4","52","21"
"Grichuk, Randal","545341","2017","6","59.3","1.7","-1.3","0.6","0.9","32.9","54","32"
"Gómez, Carlos","460576","2017","1","51.8","-0.9","-0.9","0.3","-1.4","32.3","56","29"
"Hamilton, Billy","571740","2017","9","66.2","1.1","0.3","-0.2","1.1","34.4","74","49"
"Haniger, Mitch","571745","2017","1","54.5","0.3","0.3","0.3","0.8","33.5","55","30"
"Harper, Bryce","547180","2017","-7","34","-1.2","-1","-0.5","-2.7","28.7","47","16"
"Heredia, Guillermo","628338","2017","9","54.4","1.1","1","-1","1.1","33.5","68","37"
"Hernández, Gorkys","491676","2017","5","55.8","1.2","-1","0.6","0.8","34.2","52","29"
"Herrera, Odúbel","546318","2017","8","61.8","0.5","1.6","-1.3","0.8","34","76","47"
"Heyward, Jason","518792","2017","9","56.4","1.4","1.3","-0.1","2.6","35.3","55","31"
"Hicks, Aaron","543305","2017","1","60","-0.1","-0.7","-0.2","-1","32.4","50","30"
"Inciarte, Ender","542255","2017","16","65.2","0.6","1.7","-1.2","1.1","34.9","112","73"
"Jackson, Austin","457706","2017","-1","37.1","0.4","0.7","-0.9","0.2","33.1","35","13"
"Jay, Jon","445055","2017","-5","33.3","-0.7","-0.4","0.2","-0.8","32.4","42","14"
"Jones, Adam","430945","2017","-10","35.1","-1.9","-0.3","0","-2.3","31","77","27"
"Joyce, Matt","459964","2017","-1","45.6","0","0.3","0.2","0.6","33.3","57","26"
"Judge, Aaron","592450","2017","8","57.4","0.3","-0.7","0.3","0","32.3","68","39"
