Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Chris Sale","ATL",18,3,0,29,29,177.2,11.397749245462858,1.975609869213562,0.4559099698185143,0.31353919239904987,0.7981756,0.448356807,0.062937062,94.94208480046949,2.380863175718908,2.7919940667016165,2.0858042942755386,2.6442501166237466,6.419990539550781,"Chris Sale",10603,519242
"Tarik Skubal","DET",18,4,0,31,31,192,10.6875,1.640625,0.703125,0.27253218884120173,0.8,0.45702306,0.087719298,96.99477782943677,2.390625,2.721650395158872,2.4946047782897955,2.8256122650811455,5.939345836639404,"Tarik Skubal",22267,669373
"Zack Wheeler","PHI",16,7,0,32,32,200,10.08,2.34,0.9,0.2463768115942029,0.80116959,0.426,0.102564102,95.46789937258687,2.565,2.8535341927071567,3.126479778289795,3.300687974356115,5.400417327880859,"Zack Wheeler",10310,554430
"Cole Ragans","KCR",11,9,0,32,32,186.1,10.771019972008446,3.236136045401641,0.724508069866039,0.29046563192904656,0.74747475,0.407407407,0.080645161,95.54908834226646,3.1395349694195023,3.3052087357444133,2.9947445320993267,3.457536477955223,4.852079391479492,"Cole Ragans",21846,666142
"Dylan Cease","SDP",14,11,0,33,33,189.1,10.64788760998921,3.0897888153986544,0.8556338258027043,0.26269315673289184,0.6935123,0.397849462,0.091370558,96.92338346541787,3.470070515755412,3.30708663395274,3.0978178046142695,3.4351364194456018,4.732780456542969,"Dylan Cease",18525,656302
"Seth Lugo","KCR",16,9,0,33,33,206.2,7.882258452495868,2.090322683534816,0.6967742278449386,0.2766323024054983,0.75141777,0.441624365,0.073732718,92.34196428571428,3.004838857581298,3.741663073707898,3.2487378468548225,3.8298950890902206,4.6732258796691895,"Seth Lugo",12447,607625
"Cristopher Sánchez","PHI",11,9,0,31,31,181.2,7.579816938197533,2.179816635821513,0.5449541589553782,0.3131868131868132,0.71225071,0.573770491,0.093220338,,3.319266240910031,3.551271071062208,2.995837566899727,3.1907934967201372,4.661194324493408,"Cristopher Sanchez",20778,650911
"Logan Webb","SFG",13,10,0,33,33,204.2,7.563518291238209,2.198697177685526,0.4837133790908157,0.31518151815181517,0.71668064,0.568181818,0.078571428,92.83568188968121,3.473941540743131,4.3034001579146075,2.9466100605212424,3.28218585995796,4.431603908538818,"Logan Webb",17995,657277
"George Kirby","SEA",14,11,0,33,33,191,8.434554973821989,1.0837696335078535,1.036649214659686,0.2906764168190128,0.71587125,0.412811387,0.096069868,96.18291523552503,3.5340314136125652,3.426108909474506,3.26072061598613,3.5761652496238656,4.149044513702393,"George Kirby",25436,669923
"Logan Gilbert","SEA",9,12,0,33,33,208.2,9.488818353954882,1.595846723165139,1.121405805467395,0.2364341085271318,0.69462647,0.451492537,0.128712871,96.76760925876727,3.2348244388482548,3.132820587012297,3.2671187608317407,3.1110118748995474,4.015296936035156,"Logan Gilbert",22250,669302
