"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","R","HR","RBI","SB","BB%","K%","ISO","AVG","OBP","SLG","OPS","DRC+","DRB","DRP","WARP"
109139,671277,"Luis García Jr.",20,2020,"WAS",39,139,134,18,2,16,1,3.6,20.9,0.09,0.276,0.302,0.366,0.668,77,,-2.4,-0.1
107182,665742,"Juan Soto",21,2020,"WAS",47,196,154,39,13,37,6,20.9,14.3,0.344,0.351,0.49,0.695,1.185,183,,0,2.7
107184,665489,"Vladimir Guerrero Jr.",21,2020,"TOR",60,243,221,34,9,33,1,8.2,15.6,0.199,0.262,0.329,0.462,0.791,111,,-0.5,0.8
107293,665750,"Leody Taveras",21,2020,"TEX",32,134,119,20,4,6,8,10.4,32.1,0.168,0.227,0.308,0.395,0.703,89,,-0.6,0.2
108651,665487,"Fernando Tatis Jr.",21,2020,"SD",59,257,224,50,17,45,11,10.5,23.7,0.295,0.277,0.366,0.571,0.937,136,,-3,1.6
105454,660670,"Ronald Acuña Jr.",22,2020,"ATL",46,202,160,46,14,29,8,18.8,29.7,0.331,0.25,0.406,0.581,0.987,137,,0.3,1.6
110664,673357,"Luis Robert Jr.",22,2020,"CHW",56,227,202,33,11,31,9,8.8,32.2,0.203,0.233,0.302,0.436,0.738,103,,5.3,1.4
104023,645302,"Victor Robles",23,2020,"WAS",52,189,168,20,3,15,4,4.8,28,0.095,0.22,0.293,0.315,0.608,76,,-2.2,-0.1
104042,646240,"Rafael Devers",23,2020,"BOS",57,248,232,32,11,43,0,5.2,27,0.22,0.263,0.31,0.483,0.793,90,,-0.9,0.4
104176,650391,"Eloy Jiménez",23,2020,"CHW",54,226,213,26,14,41,0,5.3,24.8,0.263,0.296,0.332,0.559,0.891,119,,-1.6,1.1
104180,650402,"Gleyber Torres",23,2020,"NYY",42,160,136,17,3,16,1,13.8,17.5,0.125,0.243,0.356,0.368,0.724,111,,0.3,0.8
104205,650489,"Willi Castro",23,2020,"DET",36,140,129,21,6,24,0,5,27.1,0.202,0.349,0.381,0.55,0.931,103,,-0.9,0.4
105735,663757,"Trent Grisham",23,2020,"SD",59,252,215,42,10,26,10,12.3,25.4,0.205,0.251,0.352,0.456,0.808,103,,2.3,1.2
106527,663624,"Ryan Mountcastle",23,2020,"BAL",35,140,126,12,5,23,0,7.9,21.4,0.159,0.333,0.386,0.492,0.878,110,,0.2,0.6
106744,663586,"Austin Riley",23,2020,"ATL",51,206,188,24,8,27,0,7.8,23.8,0.176,0.239,0.301,0.415,0.716,97,,-1.3,0.4
107047,663656,"Kyle Tucker",23,2020,"HOU",58,228,209,33,9,42,8,7.9,20.2,0.244,0.268,0.325,0.512,0.837,96,,0.8,0.7
110030,669374,"Keston Hiura",23,2020,"MIL",59,246,217,30,13,32,3,6.5,34.6,0.198,0.212,0.297,0.41,0.707,109,,0.5,1.3
113905,664761,"Alec Bohm",23,2020,"PHI",44,180,160,24,4,23,1,8.9,20,0.144,0.338,0.4,0.481,0.881,115,,-0.9,0.8
100344,609275,"Adalberto Mondesi",24,2020,"KC",59,233,219,33,6,22,24,4.7,30,0.16,0.256,0.294,0.416,0.71,78,,3.8,0.5
100406,614177,"Franmil Reyes",24,2020,"CLE",59,241,211,27,9,34,0,10,28.6,0.175,0.275,0.344,0.45,0.794,113,,-0.1,0.8
102519,641355,"Cody Bellinger",24,2020,"LAD",56,243,213,33,12,30,6,12.3,17.3,0.216,0.239,0.333,0.455,0.788,102,,3.5,1.3
103203,642708,"Amed Rosario",24,2020,"NYM",44,148,144,20,4,15,0,2.7,23.6,0.118,0.25,0.27,0.368,0.638,76,,-2.1,-0.1
103209,642715,"Willy Adames",24,2020,"TB",54,205,185,29,8,23,2,9.8,36.1,0.222,0.259,0.332,0.481,0.813,89,,-2.4,0.2
104745,656308,"Michael Chavis",24,2020,"BOS",42,158,146,16,5,19,3,5.1,31.6,0.164,0.212,0.259,0.377,0.636,78,,-0.6,0.1
104938,657077,"Alex Verdugo",24,2020,"BOS",52,221,201,36,6,15,4,7.7,20.4,0.169,0.308,0.367,0.478,0.845,89,,1.4,0.5
107930,669720,"Austin Hays",24,2020,"BAL",33,134,122,20,4,9,2,6,18.7,0.115,0.279,0.328,0.393,0.721,92,,0.4,0.4
108097,641786,"Kyle Lewis",24,2020,"SEA",58,242,206,37,11,28,5,14,29.3,0.175,0.262,0.364,0.437,0.801,110,,-3.2,0.9
111057,657108,"Evan White",24,2020,"SEA",54,202,182,19,8,26,1,8.9,41.6,0.17,0.176,0.252,0.346,0.598,83,,0.8,0.3
69600,606115,"Orlando Arcia",25,2020,"MIL",58,189,173,22,5,20,2,7.4,16.9,0.156,0.26,0.317,0.416,0.733,91,,-1.6,0.2
100279,608577,"Nomar Mazara",25,2020,"CHW",42,149,136,13,1,15,0,6.7,29.5,0.066,0.228,0.295,0.294,0.589,81,,-0.9,0.1
