Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"David Peralta","- - -","LF",113,106,927,215,2,2,2,0,0,1,0,0,,,,,,0.99086758,,"David Peralta",2136,444482
"Tommy Pham","- - -","LF",134,133,1135.1,227,15,7,3,4,0,1,0,0,,,,,,0.97188755,,"Tommy Pham",2967,502054
"Anthony Rizzo","NYY","1B",120,115,1034,919,72,5,4,1,66,4,0,69,11,,,,,0.99497992,,"Anthony Rizzo",3473,519203
"Josh Donaldson","NYY","3B",104,102,902.2,78,220,12,4,8,16,14,2,2,,,,,,0.96129032,,"Josh Donaldson",5038,518626
"Brandon Crawford","SFG","SS",116,113,979,163,287,16,5,11,63,34,29,5,,,,,,0.96566524,,"Brandon Crawford",5343,543063
"Freddie Freeman","LAD","1B",159,159,1377.2,1155,91,5,5,0,93,5,0,97,14,,,,,0.9960032,,"Freddie Freeman",5361,518692
"Jose Altuve","HOU","2B",135,134,1150.1,159,269,9,6,3,63,22,44,1,,,,,,0.97940503,,"Jose Altuve",5417,514888
"Eduardo Escobar","NYM","3B",130,125,1108.2,91,184,12,6,6,17,16,1,2,,,,,,0.95818815,,"Eduardo Escobar",6153,500871
"Martín Maldonado","HOU","C",113,110,948.2,1025,49,2,0,2,0,1,0,2,,46,16,9,31,0.99814126,,"Martin Maldonado",6887,455117
"Miguel Rojas","MIA","SS",136,132,1113.2,184,340,7,2,5,67,30,38,7,,,,,,0.98681733,,"Miguel Rojas",7802,500743
"Elvis Andrus","- - -","SS",143,139,1220.1,172,366,10,5,5,57,36,23,7,,,,,,0.98175182,,"Elvis Andrus",8709,462101
"Paul Goldschmidt","STL","1B",128,127,1103.2,1071,91,1,1,0,111,7,2,115,15,,,,,0.99914015,,"Paul Goldschmidt",9218,502671
"Starling Marte","NYM","RF",116,116,993.2,209,9,1,0,1,0,1,0,0,,,,,,0.99543379,,"Starling Marte",9241,516782
"Nolan Arenado","STL","3B",131,131,1118.2,84,283,12,6,6,38,32,9,2,,,,,,0.96833773,,"Nolan Arenado",9777,571448
"Mike Trout","LAA","CF",111,110,937.2,250,2,1,1,0,0,0,0,0,,,,,,0.99604743,,"Mike Trout",10155,545361
"Jose Iglesias","COL","SS",116,116,975.2,123,298,8,5,3,69,34,35,5,,,,,,0.98135198,,"Jose Iglesias",10231,578428
"César Hernández","WSN","2B",126,124,1080,191,284,4,2,2,66,27,41,3,,,,,,0.99164927,,"Cesar Hernandez",10556,514917
