Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Cristian Javier","HOU",10,5,0,31,31,162,8.833333333333334,3.4444444444444446,1.3888888888888888,0.271889400921659,0.71751412,0.256017505,0.098425196,92.81368906064209,4.555555555555555,4.437078724322735,4.576028013818058,5.162147430505281,2.0023844242095947,"Cristian Javier",17606,664299
"Dane Dunning","TEX",12,7,0,35,26,172.2,7.297297404775986,2.8667954090191374,1.0424710578251408,0.28772635814889336,0.775,0.463178294,0.117647058,90.73006015353732,3.7007722552792504,4.481181478906274,4.26855388793818,4.390579747871662,1.9530714936554432,"Dane Dunning",19409,641540
"Johan Oviedo","PIT",9,14,0,32,32,177.2,8.003752803480584,4.204503054992966,0.9624766029501969,0.2795275590551181,0.72048611,0.449330783,0.1,95.84720838078967,4.305816381619302,4.580760441074134,4.487685833450831,4.865566717660169,1.7955715656280518,"Johan Oviedo",22487,670912
"Bryce Elder","ATL",12,4,0,31,31,174.2,6.59542023144323,3.2461833951634644,0.9790076906048544,0.27431906614785995,0.74363992,0.49905482,0.121019108,90.87113609417344,3.812977321303117,4.581256683276086,4.422979358815143,4.494980653295698,1.7888832092285156,"Bryce Elder",27779,693821
"Dean Kremer","BAL",13,5,0,32,32,172.2,8.183398165516396,2.866795535690457,1.4073359902480425,0.29327902240325865,0.75569358,0.393410852,0.139175257,94.64245299442896,4.117760860355384,4.931167074167231,4.511797190294705,4.336605521284172,1.6098606586456299,"Dean Kremer",19350,665152
"Lucas Giolito","- - -",8,15,0,33,33,184.1,9.960217169960277,3.5641953598387266,2.001808352786134,0.2740899357601713,0.72830579,0.361660079,0.177489177,93.29917778558053,4.8824593970393515,4.58808389112499,5.267698622054403,4.448119522002536,0.885268896818161,"Lucas Giolito",15474,608337
"Patrick Corbin","WSN",10,15,0,32,32,180,6.2,2.85,1.65,0.3094405594405594,0.70284698,0.442016806,0.162561576,91.8445714860515,5.2,6.165739815462059,5.277262581719293,4.758542615340816,0.8295292854309082,"Patrick Corbin",9323,571578
"JP Sears","OAK",5,14,0,32,32,172.1,8.408124039260718,2.7678917644771306,1.7756286790985367,0.2781316348195329,0.77253219,0.290581162,0.129770992,93.20866655076495,4.543520443575668,4.638834871781588,5.15252590872982,5.1013353435918845,0.562455952167511,"JP Sears",23429,676664
"Lance Lynn","- - -",13,11,0,32,32,183.2,9.359346772061977,3.2831216425557717,2.156079884663492,0.2917505030181087,0.67846608,0.356472795,0.19047619,92.642383805374,5.7332124205824675,4.874183897739873,5.5309024599752,4.496007283190825,0.48797981441020966,"Lance Lynn",2520,458681
"Jordan Lyles","KCR",6,17,0,31,31,177.2,6.078799597580191,2.2795498490925716,1.975609869213562,0.25464684014869887,0.56264501,0.335087719,0.140794223,91.3857865250291,6.2814262508328635,4.939888519913766,5.619017980778255,5.343099217386467,0.18823570013046265,"Jordan Lyles",7593,543475
