"player_id","player_name","team_name","start_year","end_year","sb_attempts","catcher_stealing_runs","caught_stealing_above_average","n_cs","rate_cs","est_cs_pct","cs_aa_per_throw","seasonal_runner_speed","runner_distance_from_second","pop_time","exchange_time","arm_strength","n_xcs_with_flight_over_xcs","n_xcs_with_exchange_over_xcs","n_xcs_with_accuracy_over_xcs","n_xcs_with_ground_other_over_xcs","n_xcs_with_onfly_other_over_xcs","n_xcs_with_untracked_other_over_xcs"
455117,"Maldonado, Martín","HOU",2023,2023,85,1.3954673881112383,2.1468729047865205,12,0.14117647058823532,0.11591914229662915,0.02525732829160613,"28.465882353",51.87495086194303,"1.907290909","0.662818182","82.045694909",2.6105509266289775,0.014585466315362155,0.46942248904729367,0.44916360882804807,-1.3277296576346385,-0.0691199283985218
518595,"d'Arnaud, Travis","ATL",2023,2023,50,-2.969932625637721,-4.569127116365725,4,0.08,0.17138254232731448,-0.09138254232731449,"28.54",54.56897368922424,"1.958025641","0.670358974","79.237302308",-0.0518275754683903,-0.6516688358520479,-1.1055563581711074,0.15701346944153344,-2.917087816315712,0
518735,"Grandal, Yasmani","CWS",2023,2023,94,-5.814903505661129,-8.946005393324812,14,0.14893617021276598,0.24410644035451923,-0.09517027014175335,"28.528723404",55.80444554379833,"2.032824324","0.684243243","74.059276081",-9.034896023853756,-3.9405062345926893,-0.12175753233752212,-0.2880166053312614,4.439171002790414,0
521692,"Perez, Salvador","KC",2023,2023,47,-1.2222310758629122,-1.8803555013275575,5,0.10638297872340427,0.14639054258143744,-0.040007563858033134,"28.727659574",52.7303407017608,"1.875","0.628516129","76.748297097",-1.5647003054755666,1.3392151688163714,0.07053204843855061,-0.1037786552998851,-1.6076014882589642,-0.014022269548063217
542194,"Bethancourt, Christian","TB",2023,2023,52,3.569416559177685,5.491410091042592,13,0.25000000000000006,0.14439595978764244,0.10560404021235754,"28.398076923",53.57408186361705,"1.833142857","0.67002381","85.130685",4.682629727049862,-0.7102018634831915,2.2342388638954755,0.4625637227487784,-1.177820359168332,0
543228,"Gomes, Yan","CHC",2023,2023,64,0.903798289483036,1.390458906896978,16,0.25,0.22827407957973472,0.021725920420265284,"28.4125",55.32273263645705,"1.9279375","0.575458333","73.9757575",-5.607975042452299,7.006604102596473,-0.5237414862217422,0.4863948689500309,0.1426421566283799,-0.1134656926038655
543309,"Higashioka, Kyle","NYY",2023,2023,57,-2.6817516838046833,-4.125771821237973,7,0.12280701754385966,0.19518897931996443,-0.0723819617761048,"28.428070175",54.41527088456032,"1.936108696","0.6258","75.506617556",-3.8560863351549735,2.1646618790180554,-0.029536052671556734,0.016054857530134078,-2.4208661699596323,0
543510,"McCann, James","BAL",2023,2023,29,0.9359387216057661,1.4399057255473326,8,0.2758620689655173,0.22621014739491954,0.04965192157059767,"28.244827586",55.523190144773565,"1.9366","0.6714","78.1918208",-0.6329517364269239,-0.3477810923888545,1.380619335747175,0.6076596503854366,0.43235956823050004,0
543592,"Nola, Austin","SD",2023,2023,34,-1.4237800502417208,-2.1904308465257243,4,0.11764705882352941,0.1820714954860507,-0.06442443666252129,"28.523529412",54.746954527955,"1.931566667","0.6448","77.918002",-0.8709180515116923,1.0208705878139124,0.03862779653500692,-0.9742967535201665,-1.4047144258427844,0
543877,"Vázquez, Christian","MIN",2023,2023,51,1.720736698500474,2.6472872284622677,13,0.25490196078431365,0.20299436806936733,0.0519075927149464,"28.533333333",55.207388404323815,"1.888363636","0.614757576","77.629455152",-1.181013054245935,1.5935980363058082,-1.5094847950275583,0.08435367937604266,2.021982330749177,1.6378510313047328
553869,"Díaz, Elias","COL",2023,2023,71,3.162964933274148,4.866099897344842,18,0.2535211267605634,0.1849845084881008,0.06853661827246256,"28.491549296",53.85890379454428,"1.852703704","0.64137037","80.349842407",1.860863603039956,1.2015508790199227,-0.7867642267703492,0.8074092565630397,1.832341218856568,-0.049300833364295416
553882,"Narváez, Omar","NYM",2023,2023,41,-0.7583639571431326,-1.166713780220204,5,0.12195121951219515,0.1504076531761025,-0.02845643366390744,"28.770731707",53.33916445845549,"1.947961538","0.623730769","75.031555",-2.2119751075177856,0.42091605127252124,0.005613314208564674,-0.22396129689651662,0.8889317106000333,-0.046238451887021234
571466,"Barnhart, Tucker","CHC",2023,2023,24,-0.4182694875342114,-0.6434915192834021,4,0.16666666666666666,0.19347881330347508,-0.026812146636808417,"28.370833333",55.699982883123496,"1.944666667","0.632047619","75.184472857",-1.8564004955459166,0.7218769563568519,-1.0028259758543008,0.07086079071719598,1.890748992723712,-0.46775178768094383
571912,"Maile, Luke","CIN",2023,2023,53,1.0327475559002657,1.5888423936927163,12,0.22641509433962265,0.1964369359680619,0.029978158371560693,"28.324528302",55.202340979576825,"1.895461538","0.669282051","79.983870769",1.0914042480802104,-0.10135385031768797,-0.8159581352138602,1.933150961448261,-1.465115185448595,0.9467143551443892
572287,"Zunino, Mike","CLE",2023,2023,43,-0.07144229604948447,-0.10991122469151451,7,0.16279069767441864,0.16534677266724457,-0.002556074992825919,"28.223255814",54.8883859568513,"2.023354839","0.632967742","73.678759355",-3.019109768306555,1.4226111072433139,-0.2743467684429485,1.1273073719421496,0.8024592320276467,-0.16883239915512155
575929,"Contreras, Willson","STL",2023,2023,39,2.683182549490062,4.127973153061634,10,0.25641025641025644,0.1505647909471376,0.1058454654631188,"28.771794872",54.89967462093821,"1.88883871","0.6667","80.70806871",1.0817394868519101,-0.15745224192326834,1.7188460000252137,-0.11821372583210984,1.6030536339398882,0
