Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"Todd Frazier","NYM","3B",109,108,954,80,203,12,9,3,25,24,0,5,,,,,,0.95932203,,"Todd Frazier",785,453943
"David Peralta","ARI","LF",138,134,1202.2,219,1,4,3,1,0,0,0,0,,,,,,0.98214286,,"David Peralta",2136,444482
"Carlos Santana","PHI","1B",149,141,1275,1167,76,10,5,5,104,15,4,105,21,,,,,0.99201915,,"Carlos Santana",2396,467793
"Yonder Alonso","CLE","1B",138,131,1168.1,980,54,10,7,3,80,15,0,80,14,,,,,0.99042146,,"Yonder Alonso",2530,475174
"Mitch Moreland","BOS","1B",116,103,932.1,739,68,2,2,0,50,5,1,50,15,,,,,0.99752781,,"Mitch Moreland",3086,519048
"Anthony Rizzo","CHC","1B",153,148,1326.1,1133,147,7,6,1,120,15,1,116,28,,,,,0.99456099,,"Anthony Rizzo",3473,519203
"Eric Hosmer","SDP","1B",157,155,1378,1231,106,4,4,0,105,13,2,104,31,,,,,0.99701715,,"Eric Hosmer",3516,543333
"Michael Brantley","CLE","LF",134,134,1136.1,221,6,1,1,0,0,2,0,0,,,,,,0.99561404,,"Michael Brantley",4106,488726
"Joey Votto","CIN","1B",139,137,1181,1047,142,5,4,1,91,7,1,97,20,,,,,0.9958124,,"Joey Votto",4314,458015
"Jed Lowrie","OAK","2B",136,133,1177.1,195,336,4,4,0,69,16,52,5,,,,,,0.99252336,,"Jed Lowrie",4418,476704
"Starlin Castro","MIA","2B",150,149,1314,271,349,12,9,3,74,34,39,4,,,,,,0.98101266,,"Starlin Castro",4579,516770
"Mike Moustakas","- - -","3B",128,125,1096.1,83,261,12,9,3,30,31,0,1,,,,,,0.96629213,,"Mike Moustakas",4892,519058
"Ender Inciarte","ATL","CF",155,151,1341,380,6,5,3,2,0,3,0,0,,,,,,0.98721228,,"Ender Inciarte",4922,542255
"Alex Gordon","KCR","LF",125,122,1085,249,9,2,1,1,0,1,0,0,,,,,,0.99230769,,"Alex Gordon",5209,460086
"Justin Upton","LAA","LF",140,140,1200.1,294,7,4,3,1,0,2,0,0,,,,,,0.98688525,,"Justin Upton",5222,457708
"Aaron Hicks","NYY","CF",131,129,1138.1,268,2,2,1,1,0,0,0,0,,,,,,0.99264706,,"Aaron Hicks",5297,543305
"Brandon Crawford","SFG","SS",146,141,1259,192,435,16,10,6,96,59,42,5,,,,,,0.97511664,,"Brandon Crawford",5343,543063
"Freddie Freeman","ATL","1B",161,160,1415,1268,72,7,3,4,109,5,0,111,24,,,,,0.99480327,,"Freddie Freeman",5361,518692
"Jose Altuve","HOU","2B",130,130,1136.2,159,262,7,4,3,62,16,46,1,,,,,,0.98364486,,"Jose Altuve",5417,514888
"Nick Markakis","ATL","RF",158,157,1387.1,312,9,2,2,0,0,0,0,0,,,,,,0.99380805,,"Nick Markakis",5930,455976
"Jean Segura","SEA","SS",144,144,1260.2,141,387,17,12,5,67,39,28,1,,,,,,0.96880734,,"Jean Segura",5933,516416
"Didi Gregorius","NYY","SS",132,130,1149.1,160,309,6,1,5,50,30,21,3,,,,,,0.98736842,,"Didi Gregorius",6012,544369
"Eduardo Escobar","- - -","3B",131,124,1102.1,70,224,5,3,2,18,17,1,1,,,,,,0.98327759,,"Eduardo Escobar",6153,500871
"Ian Kinsler","- - -","2B",128,124,1091.1,213,310,9,8,1,80,37,46,7,,,,,,0.98308271,,"Ian Kinsler",6195,435079
"Alcides Escobar","KCR","SS",104,104,905.1,129,243,9,8,1,44,25,21,3,,,,,,0.97637795,,"Alcides Escobar",6310,444876
"Adam Jones","BAL","CF",106,105,906.2,237,3,3,2,1,0,1,0,0,,,,,,0.98765432,,"Adam Jones",6368,430945
"Jordy Mercer","PIT","SS",117,116,995.2,151,273,10,8,2,41,21,21,8,,,,,,0.97695853,,"Jordy Mercer",6547,474568
"Freddy Galvis","SDP","SS",160,157,1401,222,399,9,3,6,75,37,35,8,,,,,,0.98571429,,"Freddy Galvis",6609,520471
"Ian Desmond","COL","1B",138,131,1158,1111,84,6,5,0,106,8,1,110,21,,,,,0.99500416,,"Ian Desmond",6885,435622
"Martín Maldonado","- - -","C",117,111,967.2,1021,54,4,2,2,0,5,0,1,,18,17,13,53,0.99629286,,"Martin Maldonado",6887,455117
"Yadier Molina","STL","C",121,120,1017.2,966,42,2,0,1,2,4,2,2,,27,12,4,39,0.9980198,,"Yadier Molina",7007,425877
"Carlos González","COL","RF",117,113,1004.1,213,6,2,0,2,0,1,0,0,,,,,,0.99095023,,"Carlos Gonzalez",7287,471865
"Charlie Blackmon","COL","CF",151,151,1322.1,293,3,1,1,0,0,1,0,0,,,,,,0.996633,,"Charlie Blackmon",7859,453568
"Jonathan Lucroy","OAK","C",125,119,1066.1,857,83,10,1,9,2,1,2,0,,72,31,10,63,0.98947368,,"Jonathan Lucroy",7870,518960
"Denard Span","- - -","LF",120,104,924,203,3,4,3,1,0,1,0,0,,,,,,0.98095238,,"Denard Span",8347,452655
"Justin Smoak","TOR","1B",134,127,1127.1,1036,39,1,0,1,92,8,0,97,28,,,,,0.99907063,,"Justin Smoak",9054,475253
"Lorenzo Cain","MIL","CF",138,137,1180,304,11,6,5,1,0,3,0,0,,,,,,0.98130841,,"Lorenzo Cain",9077,456715
"Paul Goldschmidt","ARI","1B",155,154,1365.2,1323,110,6,3,3,123,13,2,127,18,,,,,0.99583044,,"Paul Goldschmidt",9218,502671
"Starling Marte","PIT","CF",139,136,1196.1,338,11,3,1,2,0,2,1,0,,,,,,0.99147727,,"Starling Marte",9241,516782
"AJ Pollock","ARI","CF",109,105,936,229,3,1,1,0,0,1,0,0,,,,,,0.99570815,,"AJ Pollock",9256,572041
"Chris Davis","BAL","1B",116,115,1010,913,67,5,4,1,94,12,0,93,13,,,,,0.99492386,,"Chris Davis",9272,448801
"Evan Longoria","SFG","3B",123,120,1051,72,213,15,7,7,23,22,1,2,,,,,,0.95,,"Evan Longoria",9368,446334
"Yan Gomes","CLE","C",111,105,948.2,994,49,9,1,6,0,6,0,0,,49,20,6,32,0.99144487,,"Yan Gomes",9627,543228
"Justin Bour","- - -","1B",113,107,897.1,764,57,4,2,2,72,5,2,77,12,,,,,0.99515152,,"Justin Bour",9744,571506
"Jason Kipnis","CLE","2B",131,129,1133.2,175,308,9,6,3,59,18,44,6,,,,,,0.98170732,,"Jason Kipnis",9776,543401
"Nolan Arenado","COL","3B",152,152,1328.1,104,312,14,7,7,37,34,6,4,,,,,,0.96744186,,"Nolan Arenado",9777,571448
"Kyle Seager","SEA","3B",154,150,1332.2,98,325,14,10,4,43,45,2,3,,,,,,0.96796339,,"Kyle Seager",9785,572122
"Brian Dozier","- - -","2B",148,141,1253,218,342,12,7,5,72,29,45,5,,,,,,0.97902098,,"Brian Dozier",9810,572821
"Andrew McCutchen","- - -","RF",143,142,1243.2,262,8,2,2,0,0,1,0,0,,,,,,0.99264706,,"Andrew McCutchen",9847,457705
"DJ LeMahieu","COL","2B",128,127,1115,209,378,4,3,1,83,33,53,4,,,,,,0.99323181,,"DJ LeMahieu",9874,518934
"Brett Gardner","NYY","LF",107,101,901,199,5,3,1,1,0,1,0,0,,,,,,0.98550725,,"Brett Gardner",9927,458731
"Mike Trout","LAA","CF",125,124,1076.2,271,7,0,0,0,0,4,0,0,,,,,,1,,"Mike Trout",10155,545361
"Billy Hamilton","CIN","CF",150,138,1238.1,348,12,2,1,1,0,1,0,0,,,,,,0.99447514,,"Billy Hamilton",10199,571740
"Tucker Barnhart","CIN","C",118,113,991,871,53,2,1,1,2,3,1,0,,54,17,4,20,0.99784017,,"Tucker Barnhart",10200,571466
"Jose Iglesias","DET","SS",122,120,1055.1,148,316,8,4,4,55,35,21,8,,,,,,0.98305085,,"Jose Iglesias",10231,578428
"Marcell Ozuna","STL","LF",147,146,1283.1,264,6,4,3,1,0,4,0,0,,,,,,0.98540146,,"Marcell Ozuna",10324,542303
"Scooter Gennett","CIN","2B",142,140,1210,279,373,11,3,8,86,30,57,13,,,,,,0.98340875,,"Scooter Gennett",10339,571697
"César Hernández","PHI","2B",154,153,1349.2,243,378,12,9,3,84,46,40,7,,,,,,0.98104265,,"Cesar Hernandez",10556,514917
"Corey Dickerson","PIT","LF",124,122,1057.1,255,7,1,0,1,0,4,0,1,,,,,,0.99619772,,"Corey Dickerson",10762,572816
"Andrelton Simmons","LAA","SS",145,145,1254.2,227,372,10,6,4,101,44,56,15,,,,,,0.98357964,,"Andrelton Simmons",10847,592743
"Kole Calhoun","LAA","RF",136,129,1141,230,8,4,3,1,0,4,0,0,,,,,,0.98347107,,"Kole Calhoun",11200,594777
"Jonathan Schoop","- - -","2B",116,102,941.1,185,321,15,10,5,78,33,48,6,,,,,,0.97120921,,"Jonathan Schoop",11265,570731
"Whit Merrifield","KCR","2B",108,107,933.2,175,287,6,4,2,65,24,44,4,,,,,,0.98717949,,"Whit Merrifield",11281,593160
"Jesús Aguilar","MIL","1B",132,119,1052,894,86,4,2,2,81,9,2,87,16,,,,,0.99593496,,"Jesus Aguilar",11342,542583
"Yasmani Grandal","LAD","C",135,110,1037.1,1114,47,7,4,3,1,2,2,2,,52,20,9,31,0.99400685,,"Yasmani Grandal",11368,518735
"Odúbel Herrera","PHI","CF",133,128,1145.2,294,2,2,2,0,0,1,0,0,,,,,,0.99328859,,"Odubel Herrera",11476,546318
"Manny Machado","- - -","SS",147,145,1261.1,194,357,12,2,10,68,34,34,6,,,,,,0.97868561,,"Manny Machado",11493,592518
"Yolmer Sánchez","CHW","3B",141,139,1234.2,137,254,13,7,6,22,20,6,4,,,,,,0.96782178,,"Yolmer Sanchez",11602,570560
"Willson Contreras","CHC","C",133,123,1109.2,1013,71,11,1,10,2,7,1,1,,52,27,9,34,0.98995434,,"Willson Contreras",11609,575929
"Nick Castellanos","DET","RF",142,142,1234.1,287,10,3,3,0,0,0,0,0,,,,,,0.99,,"Nick Castellanos",11737,592206
"J.T. Realmuto","MIA","C",112,111,951,826,46,7,1,5,4,3,3,0,,34,21,8,34,0.99203641,,"J.T. Realmuto",11739,592663
"Nick Ahmed","ARI","SS",148,135,1239.2,165,432,9,7,2,92,49,46,3,,,,,,0.98514851,,"Nick Ahmed",12147,605113
"Eddie Rosario","MIN","LF",125,118,1049.1,227,9,8,5,3,0,0,0,0,,,,,,0.96721311,,"Eddie Rosario",12155,592696
"Xander Bogaerts","BOS","SS",136,134,1183.1,163,336,10,4,6,59,32,30,5,,,,,,0.98035363,,"Xander Bogaerts",12161,593428
"Maikel Franco","PHI","3B",117,111,965.2,85,196,15,6,9,18,13,6,1,,,,,,0.94932432,,"Maikel Franco",12179,596748
"Rougned Odor","TEX","2B",127,123,1084.2,218,336,9,4,5,90,37,58,3,,,,,,0.98401421,,"Rougned Odor",12282,596059
"Kevin Pillar","TOR","CF",142,132,1172.1,352,7,6,4,2,0,2,0,0,,,,,,0.98356164,,"Kevin Pillar",12434,607680
"Marcus Semien","OAK","SS",159,158,1423.2,197,459,20,15,5,74,42,31,6,,,,,,0.9704142,,"Marcus Semien",12533,543760
"Eugenio Suárez","CIN","3B",143,140,1218,94,250,19,14,5,17,23,0,1,,,,,,0.9476584,,"Eugenio Suarez",12552,553993
"Trevor Story","COL","SS",156,156,1372.2,197,416,13,6,7,83,47,42,7,,,,,,0.97923323,,"Trevor Story",12564,596115
"James McCann","DET","C",114,112,987.1,847,50,5,3,2,1,7,0,3,,47,27,5,37,0.99445676,,"James McCann",12859,543510
"Anthony Rendon","WSN","3B",136,135,1186,89,222,6,2,4,21,14,8,1,,,,,,0.98107256,,"Anthony Rendon",12861,543685
"Gregory Polanco","PIT","RF",124,122,1071.2,229,8,2,2,0,0,1,0,0,,,,,,0.9916318,,"Gregory Polanco",12907,570256
"Francisco Lindor","CLE","SS",157,157,1386.1,189,383,14,8,6,74,42,31,9,,,,,,0.97610922,,"Francisco Lindor",12916,596019
"Jackie Bradley Jr.","BOS","CF",135,129,1137.1,299,9,5,3,2,0,3,0,0,,,,,,0.98402556,,"Jackie Bradley Jr.",12984,598265
"Josh Bell","PIT","1B",137,135,1181.1,1021,83,6,4,2,80,2,1,88,15,,,,,0.99459459,,"Josh Bell",13145,605137
"Mike Zunino","SEA","C",111,101,921.2,880,43,2,0,2,1,5,0,0,,34,18,10,36,0.99783784,,"Mike Zunino",13265,572287
"Stephen Piscotty","OAK","RF",151,148,1314.2,273,5,3,2,1,0,1,0,0,,,,,,0.98932384,,"Stephen Piscotty",13367,572039
"José Ramírez","CLE","3B",137,137,1210.1,94,205,11,8,2,17,15,4,2,,,,,,0.96451613,,"Jose Ramirez",13510,608070
"José Peraza","CIN","SS",156,152,1329,161,403,22,15,7,78,49,32,5,,,,,,0.96245734,,"Jose Peraza",13593,606299
"Mookie Betts","BOS","RF",120,115,1001,241,4,1,1,0,0,0,0,0,,,,,,0.99593496,,"Mookie Betts",13611,605141
"Ketel Marte","ARI","2B",131,105,989.2,190,299,5,1,4,80,29,52,2,,,,,,0.98987854,,"Ketel Marte",13613,606466
"Jeimer Candelario","DET","3B",140,139,1212,116,241,10,5,4,23,24,0,3,,,,,,0.97275204,,"Jeimer Candelario",13621,600869
"Matt Duffy","TBR","3B",125,121,1063,87,253,13,4,9,19,21,3,1,,,,,,0.9631728,,"Matt Duffy",13836,622110
"Addison Russell","CHC","SS",129,110,1003.2,157,314,17,6,11,65,36,27,3,,,,,,0.96516393,,"Addison Russell",14106,608365
