Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Luis Arraez","MIA",147,574,617,203,160,30,3,10,71,69,35,10,34,4,3,1,18,3,2,0.353658536,"Luis Arraez",18568,650333
"Ronald Acuña Jr.","ATL",159,643,735,217,137,35,4,41,149,106,80,3,84,9,3,0,15,73,14,0.337480559,"Ronald Acuna Jr.",18401,660670
"Freddie Freeman","LAD",161,637,730,211,121,59,2,29,131,102,72,12,121,16,5,0,14,23,1,0.331240188,"Freddie Freeman",5361,518692
"Yandy Díaz","TBR",137,525,600,173,116,35,0,22,95,78,65,0,94,8,2,0,16,0,1,0.329523809,"Yandy Diaz",16578,650490
"Corey Seager","TEX",119,477,536,156,81,42,0,33,88,96,49,9,88,4,6,0,9,2,1,0.327044025,"Corey Seager",13624,608369
"Cody Bellinger","CHC",130,499,556,153,97,29,1,26,95,97,40,3,87,5,12,0,7,20,6,0.306613226,"Cody Bellinger",15998,641355
"Mookie Betts","LAD",152,584,693,179,99,40,1,39,126,107,96,3,107,8,5,0,5,14,3,0.306506849,"Mookie Betts",13611,605141
"Bo Bichette","TOR",135,571,601,175,122,30,3,20,69,73,27,0,115,2,1,0,14,5,3,0.306479859,"Bo Bichette",19612,666182
"Shohei Ohtani","LAA",135,497,599,151,73,26,8,44,102,95,91,21,143,3,3,0,9,20,6,0.303822937,"Shohei Ohtani",19755,660271
"Bryce Harper","PHI",126,457,546,134,83,29,1,21,84,72,80,8,119,5,4,0,10,11,3,0.29321663,"Bryce Harper",11579,547180
"Michael Harris II","ATL",138,505,539,148,94,33,3,18,76,57,25,1,101,5,3,1,8,20,4,0.293069306,"Michael Harris II",25931,671739
"William Contreras","MIL",141,540,611,156,100,38,1,17,86,78,63,2,126,5,2,1,23,6,1,0.288888888,"William Contreras",20503,661388
"Masataka Yoshida","BOS",140,537,580,155,104,33,3,15,71,72,34,0,81,7,2,0,20,8,0,0.288640595,"Masataka Yoshida",31837,807799
"Seiya Suzuki","CHC",138,515,583,147,90,31,6,20,75,74,59,3,130,2,7,0,8,6,7,0.285436893,"Seiya Suzuki",30116,673548
"Xander Bogaerts","SDP",155,596,665,170,118,31,2,19,83,58,56,0,110,7,6,0,21,19,2,0.285234899,"Xander Bogaerts",12161,593428
"Corbin Carroll","ARI",155,565,645,161,96,30,10,25,116,76,57,1,125,13,4,6,7,54,5,0.284955752,"Corbin Carroll",25878,682998
"Kyle Tucker","HOU",157,574,674,163,92,37,5,29,97,112,80,9,92,3,10,0,11,30,5,0.283972125,"Kyle Tucker",18345,663656
"Matt Olson","ATL",162,608,720,172,88,27,3,54,127,139,104,8,167,4,4,0,13,1,0,0.282894736,"Matt Olson",14344,621566
"Nico Hoerner","CHC",150,619,688,175,135,27,4,9,98,68,49,0,83,14,5,1,12,43,7,0.282714054,"Nico Hoerner",21479,663538
"José Ramírez","CLE",156,611,691,172,107,36,5,24,87,80,73,22,73,1,6,0,8,28,6,0.281505728,"Jose Ramirez",13510,608070
"Austin Riley","ATL",159,636,715,179,107,32,3,37,117,97,59,4,172,9,11,0,18,3,1,0.28144654,"Austin Riley",18360,663586
"Bryson Stott","PHI",151,585,640,164,115,32,2,15,78,62,39,1,100,7,8,1,10,31,3,0.28034188,"Bryson Stott",26294,681082
"Ozzie Albies","ATL",148,596,660,167,99,30,5,33,96,109,46,2,107,8,8,0,9,13,1,0.280201342,"Ozzie Albies",16556,645277
"TJ Friedl","CIN",138,488,556,136,88,22,8,18,73,66,47,1,90,10,3,8,0,27,6,0.278688524,"TJ Friedl",19522,670770
"Christian Yelich","MIL",144,550,632,153,99,34,1,19,106,76,78,7,140,3,1,0,15,28,3,0.278181818,"Christian Yelich",11477,592885
"Adley Rutschman","BAL",154,588,687,163,111,31,1,20,84,80,92,6,101,2,5,0,14,1,2,0.277210884,"Adley Rutschman",26288,668939
"Bobby Witt Jr.","KCR",158,641,694,177,108,28,11,30,97,96,40,1,121,4,8,1,11,49,15,0.276131045,"Bobby Witt Jr.",25764,677951
"Marcus Semien","TEX",162,670,753,185,112,40,4,29,122,100,72,1,110,5,5,0,5,14,3,0.276119402,"Marcus Semien",12533,543760
"Justin Turner","BOS",146,558,626,154,100,31,0,23,86,96,51,0,110,11,6,0,10,4,1,0.275985663,"Justin Turner",5235,457759
"Ketel Marte","ARI",150,569,650,157,97,26,9,25,94,82,71,2,109,5,5,0,16,8,2,0.275922671,"Ketel Marte",13613,606466
"Julio Rodríguez","SEA",155,654,714,180,109,37,2,32,102,103,47,6,175,11,2,0,14,37,10,0.275229357,"Julio Rodriguez",23697,677594
"Austin Hays","BAL",144,520,566,143,89,36,2,16,76,67,38,1,141,3,5,0,11,5,1,0.275,"Austin Hays",19363,669720
"Joey Meneses","WSN",154,611,657,168,118,36,1,13,71,89,38,0,130,5,3,0,15,0,0,0.274959083,"Joey Meneses",14366,608841
"Juan Soto","SDP",162,568,708,156,88,32,1,35,97,109,132,11,129,2,5,1,18,12,5,0.274647887,"Juan Soto",20123,665742
"Alec Bohm","PHI",145,558,611,153,102,31,0,20,74,97,42,1,94,5,6,0,23,4,1,0.274193548,"Alec Bohm",21618,664761
"Brandon Nimmo","NYM",152,592,682,162,102,30,6,24,89,68,74,0,146,11,4,1,6,3,3,0.273648648,"Brandon Nimmo",12927,607043
"Marcell Ozuna","ATL",144,530,592,145,75,29,1,40,84,100,57,1,134,3,2,0,9,0,0,0.273584905,"Marcell Ozuna",10324,542303
"Gleyber Torres","NYY",158,596,672,163,108,28,2,25,90,68,67,0,98,3,6,0,19,13,6,0.273489932,"Gleyber Torres",16997,650402
"Whit Merrifield","TOR",145,547,592,149,111,27,0,11,66,67,36,2,101,3,6,0,15,26,10,0.272394881,"Whit Merrifield",11281,593160
"Nick Castellanos","PHI",157,626,671,170,102,37,2,29,79,106,36,0,185,3,6,0,17,11,2,0.271565495,"Nick Castellanos",11737,592206
"Maikel Garcia","KCR",123,464,515,126,98,20,4,4,59,50,38,0,115,2,10,1,9,23,7,0.271551724,"Maikel Garcia",22715,672580
"Spencer Steer","CIN",156,582,665,158,95,37,3,23,74,86,68,0,139,11,4,0,9,15,3,0.271477663,"Spencer Steer",26323,668715
"Ke'Bryan Hayes","PIT",124,494,525,134,81,31,7,15,65,61,28,1,104,0,3,0,11,10,6,0.27125506,"Ke'Bryan Hayes",18577,663647
"Thairo Estrada","SFG",120,495,530,134,92,26,2,14,63,49,22,1,120,11,2,0,10,23,7,0.27070707,"Thairo Estrada",16426,642731
"Rafael Devers","BOS",153,580,656,157,90,34,0,33,90,100,62,10,126,11,3,0,15,5,1,0.270689655,"Rafael Devers",17350,646240
