"id","name","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
641355,"Bellinger, Cody",337,0.37388724035608306,0.6261127596439169,0.2997032640949555,0.2314540059347181,0.09495548961424333,0.3887240356083086,0.3857566765578635,0.22551928783382788,0.17210682492581603,0.16023738872403562,0.04154302670623145,0.21661721068249257,0.22551928783382788,0.18397626112759644
523253,"Forsythe, Logan",257,0.44357976653696496,0.5564202334630349,0.26459143968871596,0.25680933852140075,0.03501945525291829,0.26848249027237353,0.48638132295719844,0.245136186770428,0.16342412451361868,0.23346303501945526,0.04669260700389105,0.10505836575875485,0.2529182879377432,0.19844357976653695
571771,"Hernández, Enrique",221,0.4253393665158371,0.5746606334841629,0.27149321266968324,0.23529411764705882,0.06787330316742081,0.40271493212669685,0.3936651583710407,0.20361990950226244,0.19004524886877827,0.21266968325791855,0.02262443438914027,0.21266968325791857,0.18099547511312217,0.18099547511312217
624577,"Puig, Yasiel",404,0.4900990099009901,0.5099009900990099,0.23514851485148514,0.1905940594059406,0.08415841584158416,0.40594059405940597,0.3564356435643564,0.2376237623762376,0.22772277227722773,0.19306930693069307,0.06930693069306931,0.17821782178217824,0.16336633663366334,0.1683168316831683
621035,"Taylor, Chris",373,0.42359249329758714,0.5764075067024129,0.2386058981233244,0.28150134048257375,0.05630026809651475,0.3324396782841823,0.3941018766756032,0.2734584450402145,0.18230563002680966,0.18230563002680966,0.058981233243967826,0.15013404825737264,0.21179624664879354,0.21447721179624668
400284,"Utley, Chase",255,0.43529411764705883,0.5647058823529412,0.2784313725490196,0.25098039215686274,0.03529411764705882,0.39215686274509803,0.34901960784313724,0.2549019607843137,0.20784313725490197,0.17254901960784313,0.050980392156862744,0.18431372549019606,0.1764705882352941,0.20392156862745098
571976,"Myers, Wil",394,0.3883248730964467,0.6116751269035533,0.25380710659898476,0.2639593908629442,0.09390862944162437,0.38578680203045684,0.40609137055837563,0.20812182741116753,0.1751269035532995,0.1751269035532995,0.03807106598984772,0.21065989847715735,0.23096446700507614,0.1700507614213198
500208,"Solarte, Yangervis",409,0.42053789731051344,0.5794621026894865,0.23471882640586797,0.2273838630806846,0.11735941320293398,0.3643031784841076,0.4083129584352078,0.2273838630806846,0.17359413202933985,0.18581907090464547,0.061124694376528114,0.19070904645476774,0.22249388753056235,0.16625916870415647
605486,"Spangenberg, Cory",319,0.5109717868338558,0.48902821316614425,0.1755485893416928,0.25705329153605017,0.05642633228840126,0.40752351097178685,0.329153605015674,0.2601880877742947,0.27586206896551724,0.1755485893416928,0.05642633228840126,0.1316614420062696,0.1536050156739812,0.20376175548589343
517369,"Pirela, José",244,0.47950819672131145,0.5204918032786885,0.18442622950819673,0.2786885245901639,0.05737704918032787,0.3524590163934426,0.4057377049180328,0.2336065573770492,0.19262295081967212,0.25,0.03278688524590164,0.1598360655737705,0.1557377049180328,0.20081967213114754
641319,"Asuaje, Carlos",237,0.43037974683544306,0.569620253164557,0.1940928270042194,0.2869198312236287,0.08860759493670886,0.41350210970464135,0.3459915611814346,0.23628691983122363,0.22362869198312235,0.1518987341772152,0.05063291139240506,0.189873417721519,0.1940928270042194,0.18565400843881857
608369,"Seager, Corey",411,0.4257907542579075,0.5742092457420924,0.22871046228710462,0.30656934306569344,0.038929440389294405,0.31630170316301703,0.39416058394160586,0.2871046228710462,0.1873479318734793,0.19951338199513383,0.0364963503649635,0.12895377128953772,0.19464720194647203,0.2506082725060827
457759,"Turner, Justin",409,0.3251833740831296,0.6748166259168703,0.33985330073349634,0.28361858190709044,0.05134474327628362,0.3422982885085575,0.3960880195599022,0.2616136919315403,0.15892420537897312,0.1295843520782396,0.03667481662591687,0.18337408312958436,0.2665036674816626,0.22493887530562345
622534,"Margot, Manuel",386,0.4274611398963731,0.572538860103627,0.18134715025906736,0.29015544041450775,0.10103626943005181,0.22538860103626943,0.44559585492227977,0.3290155440414508,0.14766839378238342,0.21761658031088082,0.06217616580310881,0.07772020725388601,0.22797927461139894,0.266839378238342
595978,"Hedges, Austin",269,0.3828996282527881,0.6171003717472119,0.2379182156133829,0.22676579925650558,0.1524163568773234,0.3382899628252788,0.41263940520446096,0.24535315985130113,0.16356877323420074,0.17100371747211895,0.04460966542750929,0.17472118959107805,0.241635687732342,0.20074349442379183
435079,"Kinsler, Ian",465,0.33548387096774196,0.6645161290322582,0.2817204301075269,0.2623655913978495,0.12043010752688173,0.3655913978494624,0.36129032258064514,0.2731182795698925,0.15483870967741936,0.14408602150537633,0.03655913978494624,0.210752688172043,0.2172043010752688,0.23655913978494625
578428,"Iglesias, Jose",402,0.5124378109452736,0.48756218905472637,0.14676616915422885,0.2562189054726368,0.0845771144278607,0.3283582089552239,0.39303482587064675,0.27611940298507465,0.1791044776119403,0.23383084577114427,0.09701492537313433,0.1492537313432836,0.15920398009950248,0.17910447761194032
592206,"Castellanos, Nick",477,0.3752620545073375,0.6247379454926624,0.27044025157232704,0.3249475890985325,0.029350104821802937,0.3480083857442348,0.3920335429769392,0.259958071278826,0.18658280922431866,0.16561844863731656,0.023060796645702306,0.16142557651991615,0.22641509433962265,0.23689727463312366
408234,"Cabrera, Miguel",362,0.40607734806629836,0.5939226519337016,0.23480662983425415,0.32320441988950277,0.03591160220994475,0.27624309392265195,0.39502762430939226,0.3287292817679558,0.17955801104972377,0.17955801104972377,0.04696132596685083,0.09668508287292818,0.21546961325966849,0.281767955801105
