Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"Carlos Santana","- - -","1B",135,134,1152.2,970,103,8,6,2,74,11,1,73,13,,,,,0.99259944,,"Carlos Santana",2396,467793
"Freddie Freeman","LAD","1B",161,161,1378.1,1130,129,1,1,0,122,14,1,123,12,,,,,0.99920635,,"Freddie Freeman",5361,518692
"Martín Maldonado","HOU","C",116,116,1006.2,1040,51,7,2,5,1,2,1,0,,86,14,12,29,0.99362477,,"Martin Maldonado",6887,455117
"Miguel Rojas","LAD","SS",121,108,953.2,143,281,6,3,3,58,28,31,2,,,,,,0.98604651,,"Miguel Rojas",7802,500743
"Paul Goldschmidt","STL","1B",133,133,1153.1,1048,115,2,2,0,117,5,1,119,13,,,,,0.99828326,,"Paul Goldschmidt",9218,502671
"Nolan Arenado","STL","3B",128,128,1095.2,62,264,9,6,3,31,29,2,0,,,,,,0.97313433,,"Nolan Arenado",9777,571448
"Kevin Kiermaier","TOR","CF",127,111,981.1,257,5,3,2,1,0,2,0,0,,,,,,0.98867925,,"Kevin Kiermaier",11038,595281
"Christian Yelich","MIL","LF",122,121,1051,222,0,2,2,0,0,0,0,0,,,,,,0.99107143,,"Christian Yelich",11477,592885
"Michael A. Taylor","MIN","CF",126,110,960.1,289,1,3,3,0,0,0,0,0,,,,,,0.98976109,,"Michael A. Taylor",11489,572191
"Manny Machado","SDP","3B",105,105,919,83,188,7,2,5,29,30,2,2,,,,,,0.97482014,,"Manny Machado",11493,592518
"Elias Díaz","COL","C",126,116,1004.2,807,48,10,2,8,2,4,3,2,,73,22,6,35,0.98843931,,"Elias Diaz",11680,553869
"Nick Castellanos","PHI","RF",148,148,1292.1,254,10,0,0,0,0,4,0,0,,,,,,1,,"Nick Castellanos",11737,592206
"J.T. Realmuto","PHI","C",133,130,1142,1190,33,2,0,2,2,6,1,3,,81,23,6,24,0.99836735,,"J.T. Realmuto",11739,592663
"Max Kepler","MIN","RF",124,110,972.1,220,3,1,1,0,0,0,0,0,,,,,,0.99553571,,"Max Kepler",12144,596146
"Eddie Rosario","ATL","LF",130,122,1057,223,4,4,0,4,0,1,0,0,,,,,,0.98268398,,"Eddie Rosario",12155,592696
"Xander Bogaerts","SDP","SS",146,146,1285.2,167,368,8,6,2,60,35,24,5,,,,,,0.98526703,,"Xander Bogaerts",12161,593428
"Marcus Semien","TEX","2B",162,162,1406.1,270,388,6,3,3,102,38,65,6,,,,,,0.99096386,,"Marcus Semien",12533,543760
"Eugenio Suárez","SEA","3B",159,158,1401.1,115,268,8,7,1,20,20,0,1,,,,,,0.97953964,,"Eugenio Suarez",12552,553993
"George Springer","TOR","RF",131,128,1137.2,260,6,0,0,0,0,1,0,0,,,,,,1,,"George Springer",12856,543807
"Francisco Lindor","NYM","SS",158,158,1365.1,181,396,11,10,1,94,57,37,4,,,,,,0.98129252,,"Francisco Lindor",12916,596019
"Brandon Nimmo","NYM","CF",136,135,1166.2,333,2,4,3,1,0,1,0,0,,,,,,0.98820059,,"Brandon Nimmo",12927,607043
"Javier Báez","DET","SS",130,126,1102.1,153,324,19,9,10,67,40,28,2,,,,,,0.96169355,,"Javier Baez",12979,595879
"Teoscar Hernández","SEA","RF",135,131,1160.1,249,12,3,2,1,0,7,0,0,,,,,,0.98863636,,"Teoscar Hernandez",13066,606192
"Orlando Arcia","ATL","SS",139,136,1210,184,322,12,9,3,69,28,41,0,,,,,,0.97683398,,"Orlando Arcia",13185,606115
"Max Muncy","LAD","3B",124,121,1052,63,206,16,11,5,22,22,0,1,,,,,,0.94385965,,"Max Muncy",13301,571970
"Christian Walker","ARI","1B",152,150,1309.1,1075,77,2,1,1,99,14,1,99,15,,,,,0.9982669,,"Christian Walker",13419,572233
"José Ramírez","CLE","3B",125,125,1105,84,220,14,9,5,12,13,0,3,,,,,,0.95597484,,"Jose Ramirez",13510,608070
"Ketel Marte","ARI","2B",145,139,1210.1,227,355,8,4,4,74,32,45,7,,,,,,0.98644068,,"Ketel Marte",13613,606466
"Jeimer Candelario","- - -","3B",115,115,994,67,205,8,2,6,20,20,0,2,,,,,,0.97142857,,"Jeimer Candelario",13621,600869
"Corey Seager","TEX","SS",112,112,951.2,139,276,8,3,5,62,33,27,9,,,,,,0.98108747,,"Corey Seager",13624,608369
"Carlos Correa","MIN","SS",135,134,1144.1,166,278,6,4,2,51,21,28,7,,,,,,0.98666667,,"Carlos Correa",14162,621043
"Matt Olson","ATL","1B",162,162,1426,1194,97,8,7,1,117,18,0,121,17,,,,,0.99384142,,"Matt Olson",14344,621566
"Ryan McMahon","COL","3B",130,128,1103,95,274,12,4,8,24,25,0,3,,,,,,0.96850394,,"Ryan McMahon",15112,641857
"Tim Anderson","CHW","SS",119,117,1002.2,157,239,14,8,6,54,25,28,5,,,,,,0.96585366,,"Tim Anderson",15172,641313
"Adam Frazier","BAL","2B",130,106,948.2,143,244,5,4,1,53,21,33,3,,,,,,0.9872449,,"Adam Frazier",15223,624428
"Hunter Renfroe","- - -","RF",128,117,1053,227,8,5,3,2,0,3,0,0,,,,,,0.97916667,,"Hunter Renfroe",15464,592669
"J.P. Crawford","SEA","SS",144,144,1260,160,341,14,6,8,60,29,31,2,,,,,,0.97281553,,"J.P. Crawford",15491,641487
"Dominic Smith","WSN","1B",151,140,1244.2,1045,143,7,5,2,122,16,0,129,16,,,,,0.99414226,,"Dominic Smith",15653,642086
"José Abreu","HOU","1B",134,134,1184,1017,67,5,5,0,99,11,1,100,13,,,,,0.99540863,,"Jose Abreu",15676,547989
"Willy Adames","MIL","SS",147,147,1282,159,351,14,4,10,51,34,22,4,,,,,,0.97328244,,"Willy Adames",15986,642715
"J.D. Davis","SFG","3B",116,105,915.2,58,205,9,5,4,11,11,0,3,,,,,,0.96691176,,"J.D. Davis",16219,605204
"Trea Turner","PHI","SS",153,153,1342.1,176,369,23,12,11,53,30,20,10,,,,,,0.95950704,,"Trea Turner",16252,607208
"Matt Chapman","TOR","3B",137,137,1213.2,114,253,12,6,6,33,34,0,1,,,,,,0.96833773,,"Matt Chapman",16505,656305
"Ozzie Albies","ATL","2B",148,148,1314,211,368,8,7,1,75,34,41,5,,,,,,0.98637138,,"Ozzie Albies",16556,645277
"Yandy Díaz","TBR","1B",118,116,986.1,868,69,4,4,0,68,7,1,64,12,,,,,0.9957492,,"Yandy Diaz",16578,650490
"Jonah Heim","TEX","C",124,116,993.1,938,40,2,0,2,2,6,2,0,,58,24,7,31,0.99795918,,"Jonah Heim",16930,641680
"Lane Thomas","WSN","RF",151,148,1292.2,319,16,5,3,2,0,2,0,0,,,,,,0.98529412,,"Lane Thomas",16939,657041
"Gleyber Torres","NYY","2B",145,141,1255.2,234,344,15,9,6,75,27,50,4,,,,,,0.97470489,,"Gleyber Torres",16997,650402
"Alex Verdugo","BOS","RF",140,135,1170,293,12,3,2,1,0,4,0,0,,,,,,0.99025974,,"Alex Verdugo",17027,657077
"Rafael Devers","BOS","3B",151,149,1293,104,247,19,11,8,18,21,1,3,,,,,,0.94864865,,"Rafael Devers",17350,646240
"Myles Straw","CLE","CF",145,137,1234.2,337,6,0,0,0,0,2,0,0,,,,,,1,,"Myles Straw",17620,664702
"Alex Bregman","HOU","3B",160,160,1417.1,109,281,15,4,11,29,29,0,1,,,,,,0.96296296,,"Alex Bregman",17678,608324
"Andrew Benintendi","CHW","LF",147,142,1251.2,271,6,4,3,1,0,1,0,0,,,,,,0.98576512,,"Andrew Benintendi",17901,643217
"Ian Happ","CHC","LF",154,152,1338.1,253,12,3,3,0,0,4,0,0,,,,,,0.98880597,,"Ian Happ",17919,664023
"Cedric Mullins","BAL","CF",110,101,912,255,4,3,3,0,0,3,0,0,,,,,,0.98854962,,"Cedric Mullins",17929,656775
"Ty France","SEA","1B",158,154,1360,1106,104,1,1,0,95,7,0,105,22,,,,,0.99917424,,"Ty France",17982,664034
"Paul DeJong","- - -","SS",110,102,909.2,124,255,5,3,2,44,26,20,1,,,,,,0.98697917,,"Paul DeJong",18015,657557
"Dansby Swanson","CHC","SS",147,147,1279.1,187,382,11,5,6,64,36,28,8,,,,,,0.98103448,,"Dansby Swanson",18314,621020
"Kyle Tucker","HOU","RF",153,152,1323.1,303,8,3,0,2,0,1,0,0,,,,,,0.99044586,,"Kyle Tucker",18345,663656
"Austin Riley","ATL","3B",159,159,1412,95,287,11,7,4,34,35,1,3,,,,,,0.97201018,,"Austin Riley",18360,663586
