Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Shane Bieber","CLE",8,1,0,12,12,77.1,14.198273994409758,2.443965195759057,0.814655065253019,0.2671232876712329,0.91065292,0.48366013,0.152173913,94.30303388228941,1.629310130506038,2.619460271887097,2.0664194633220614,2.0366904841212268,3.149900197982788,"Shane Bieber",19427,669456
"Yu Darvish","CHC",8,3,0,12,12,76,11.013157894736842,1.6578947368421053,0.5921052631578947,0.29508196721311475,0.83823529,0.432432432,0.087719298,96.05058484636872,2.013157894736842,3.0214481692286714,2.2308929995486615,2.8218411238177827,2.9319517612457275,"Yu Darvish",13074,506433
"Jacob deGrom","NYM",4,2,0,12,12,68,13.764705882352942,2.3823529411764706,0.9264705882352942,0.28776978417266186,0.79710145,0.424657534,0.129629629,98.74059890717092,2.3823529411764706,2.7198243863803846,2.2649487271028406,2.457995967041044,2.6021909713745117,"Jacob deGrom",10954,594798
"Trevor Bauer","CIN",5,4,0,11,11,73,12.328768411795044,2.0958906300051576,1.1095891570615541,0.21476510067114093,0.90909091,0.343949044,0.12,93.73488482306985,1.7260275776513063,2.1051713717303397,2.8763507892589284,3.254722448205949,2.5622899532318115,"Trevor Bauer",12703,545333
"Dinelson Lamet","SDP",3,1,0,12,12,69,12.130433441335326,2.608695363728027,0.6521738409320067,0.23448275862068965,0.80357143,0.369127516,0.079365079,97.0333436049884,2.0869562909824215,2.78740851482903,2.481274466323283,3.2998504294613284,2.4591457843780518,"Dinelson Lamet",17186,659275
"Luis Castillo","CIN",4,6,0,12,12,70,11.442857142857143,3.085714285714286,0.6428571428571429,0.32947976878612717,0.7,0.584269662,0.125,97.62898161173634,3.2142857142857144,2.9420040741978304,2.6485621724809922,2.8218660065105983,2.4443323612213135,"Luis Castillo",15689,622491
"Germán Márquez","COL",4,6,0,13,13,81.2,8.044897458141252,2.755101869226456,0.6612244486143495,0.3,0.65539112,0.506122448,0.09375,96.02274472489316,3.7469385421479804,4.214370231832057,3.2771335957140697,3.8331747375484913,2.3201704025268555,"German Marquez",15038,608566
"Zack Greinke","HOU",3,3,0,12,12,67,9,1.208955223880597,0.8059701492537313,0.32105263157894737,0.6851312,0.412371134,0.092307692,88.01946118273543,4.029850746268656,3.755745624132645,2.803359613845598,3.509901570873474,2.1563847064971924,"Zack Greinke",1943,425844
"Dylan Bundy","LAA",6,3,0,11,11,65.2,9.868019540233357,2.3299490581106537,0.6852791347384276,0.27218934911242604,0.69230769,0.405882352,0.081967213,90.07473273026316,3.2893398467444523,3.0468435066950783,2.947764511875583,3.7491631952238467,2.0594019889831543,"Dylan Bundy",12917,605164
"Kenta Maeda","MIN",6,1,0,11,11,66.2,10.799999176025453,1.3499998970031817,1.2149999073028634,0.2080536912751678,0.80213904,0.490445859,0.1875,91.76340031751337,2.6999997940063634,2.748836634979673,2.996419330215453,2.6297821890649513,2.0547993183135986,"Kenta Maeda",18498,628317
"Brandon Woodruff","MIL",3,5,0,13,13,73.2,11.117648594043935,2.1990953262944046,1.0995476631472023,0.26900584795321636,0.79192547,0.494382022,0.140625,96.8470581638756,3.0542990642977843,2.9001916498217826,3.204993977846125,3.2920079637710296,2.0510761737823486,"Brandon Woodruff",16162,605540
"Lucas Giolito","CHW",4,3,0,12,12,72.1,12.069122726634122,3.4838704777912928,0.9953915650832265,0.2549019607843137,0.69908815,0.4125,0.133333333,94.17775982288273,3.4838704777912928,3.037109291449877,3.191419315338135,3.353127623100255,2.034806251525879,"Lucas Giolito",15474,608337
"Framber Valdez","HOU",5,3,0,11,10,70.2,9.679246415104087,2.0377360873903343,0.6367925273094794,0.3118279569892473,0.67532468,0.6,0.135135135,93.87521824692234,3.5660381529330847,3.8187933450592375,2.8517966341064125,2.9416045208379473,2.0118895769119263,"Framber Valdez",17295,664285
"Aaron Nola","PHI",5,5,0,12,12,71.1,12.112150396339944,2.901869365789778,1.1355140996568698,0.2830188679245283,0.72289157,0.497005988,0.195652173,93.0670932112069,3.2803740656754017,3.3489781592779684,3.191419315338135,2.794703753958466,1.9652925729751587,"Aaron Nola",16149,605400
"Marco Gonzales","SEA",7,2,0,11,11,69.2,8.2679437909934,0.9043063521399031,1.033492973874175,0.26288659793814434,0.73129252,0.376237623,0.096385542,88.36125891978347,3.100478921622525,3.823942274315141,3.320605937072407,4.125113928603682,1.9504609107971191,"Marco Gonzales",15467,594835
"Zack Wheeler","PHI",4,2,0,11,11,71,6.718309137230549,2.0281687961450716,0.38028164927720093,0.3062200956937799,0.74592075,0.559241706,0.075,97.10858396398747,2.9154926444585403,3.5820649466699144,3.2195883263957055,3.7566483867425977,1.9345989227294922,"Zack Wheeler",10310,554430
"Hyun Jin Ryu","TOR",5,2,0,12,12,67,9.671641791044776,2.283582089552239,0.8059701492537313,0.3016759776536313,0.8045977,0.51098901,0.117647058,89.9458062267658,2.6865671641791047,3.1330201365868326,3.0123148377261946,3.3159322584298123,1.8950508832931519,"Hyun Jin Ryu",14444,547943
"Kyle Hendricks","CHC",6,5,0,12,12,81.1,7.08196765599283,0.8852459569991038,1.1065574462488796,0.27155172413793105,0.82352941,0.47107438,0.129870129,87.62128507653061,2.8770493602470872,3.147020032810453,3.547976714684996,3.775161462115457,1.8876447677612305,"Kyle Hendricks",12049,543294
"Dallas Keuchel","CHW",6,2,0,11,11,63.1,5.9684215319520275,2.415789667694868,0.28421054914057275,0.25510204081632654,0.81570997,0.528205128,0.046511627,88.54527587890625,1.9894738439840092,4.267375907218294,3.0808929906723566,3.9795685393296423,1.836523175239563,"Dallas Keuchel",9434,572971
"Max Scherzer","WSN",5,4,0,12,12,67.1,12.29703063187028,3.07425765796757,1.336633764333726,0.35502958579881655,0.8,0.329545454,0.142857142,94.86624243951613,3.742574540134433,4.402674590888478,3.45874606820488,3.532702306493806,1.8358960151672363,"Max Scherzer",3137,453286
"Andrew Heaney","LAA",4,3,0,12,12,66.2,9.449997116089747,2.56499921722436,1.214999629211539,0.3016759776536313,0.68627451,0.390374331,0.123287671,,4.45499864044231,4.3984080930891425,3.791419132232722,4.147887495406444,1.4756951332092285,"Andrew Heaney",15423,571760
"Carlos Carrasco","CLE",3,4,0,12,12,68,10.852942394137932,3.573529812703953,1.0588236482085787,0.2919254658385093,0.85164835,0.443113772,0.142857142,93.88221470976254,2.9117650325735913,3.791328593902324,3.5884781834163517,3.647063127267368,1.4658983945846558,"Carlos Carrasco",6632,471911
