"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","H","1B","2B","3B","HR","TB","R","RBI","BB","K","HBP","SB","CS","SF","SH","GDP","GUILLEN"
65992,543807,"George Springer",34,2024,"TOR",145,614,545,120,79,19,3,19,202,74,56,60,115,6,16,1,0,2,17,32.4
56034,516782,"Starling Marte",35,2024,"NYM",93,370,335,90,67,13,3,7,130,46,40,27,81,3,16,1,3,2,10,30.4
66950,592192,"Mark Canha",35,2024,,124,462,393,95,68,20,0,7,136,46,42,51,96,13,7,0,0,5,11,34.8
50106,502054,"Tommy Pham",36,2024,,116,478,440,109,77,20,3,9,162,49,39,35,106,2,7,3,0,1,5,28.6
59275,502110,"J.D. Martinez",36,2024,"NYM",120,495,434,102,61,24,1,16,176,46,69,49,141,6,0,0,0,2,20,52.2
59307,502671,"Paul Goldschmidt",36,2024,"STL",154,654,599,147,91,33,1,22,248,70,65,47,173,2,11,0,0,2,21,41.4
46400,457705,"Andrew McCutchen",37,2024,"PIT",120,515,448,104,65,18,1,20,184,66,50,58,133,7,3,2,0,2,11,45.5
48929,467793,"Carlos Santana",38,2024,"MIN",149,594,521,124,75,26,0,23,219,63,71,65,99,6,4,0,0,2,12,47.6
52804,453568,"Charlie Blackmon",38,2024,"COL",124,499,449,115,74,24,5,12,185,59,52,43,86,6,6,2,0,1,6,39
51991,457759,"Justin Turner",39,2024,,139,539,460,119,84,24,0,11,176,59,55,59,95,13,0,2,0,7,17,30.5
