"bpid","mlbid","Name","Age","Season","Team","G","GS","CG","IP","W","L","SV","BS","HLD","ERA","R","ER","1B","2B","3B","HR","TB","BB","K","HBP","TBF","Pitches"
109622,672710,"Roansy Contreras",22,2022,"PIT",21,18,0,95,5,5,0,0,0,3.79,45,40,40,28,1,13,151,39,86,2,408,1588
111200,668881,"Hunter Greene",22,2022,"CIN",24,24,1,125.7,5,13,0,0,0,4.44,64,62,59,21,0,24,197,48,164,10,531,2200
118309,672282,"Reid Detmers",22,2022,"LAA",25,25,1,129,7,6,0,0,0,3.77,56,54,68,27,2,13,180,46,122,8,539,2180
111112,669022,"MacKenzie Gore",23,2022,"SD",16,13,0,70,4,4,0,0,1,4.5,35,35,48,9,2,7,100,37,72,4,309,1255
131748,669467,"Andre Pallante",23,2022,"STL",47,10,0,108,6,5,0,1,9,3.17,39,38,85,18,1,9,160,40,73,1,457,1753
137960,675911,"Spencer Strider",23,2022,"ATL",31,20,0,131.7,11,5,0,1,2,2.67,42,39,61,17,1,7,126,45,202,3,528,2277
105737,661403,"Emmanuel Clase",24,2022,"CLE",77,0,0,72.7,3,4,42,4,0,1.36,18,11,34,6,0,3,58,10,77,1,271,921
106975,660761,"José Suarez",24,2022,"LAA",22,20,0,109,8,8,0,0,0,3.96,49,48,64,24,1,14,171,33,103,4,462,1782
107172,663474,"Triston McKenzie",24,2022,"CLE",31,30,0,191.3,11,11,0,0,0,2.96,65,63,82,29,2,25,246,44,190,5,741,2807
107559,665795,"Edward Cabrera",24,2022,"MIA",14,14,0,71.7,6,4,0,0,0,3.01,24,24,27,7,0,10,81,33,75,9,291,1215
108822,666120,"Ian Anderson",24,2022,"ATL",22,22,0,111.7,10,6,0,0,0,5,63,62,77,25,1,12,178,54,97,1,493,2005
109108,669060,"Bryse Wilson",24,2022,"PIT",25,20,0,115.7,3,9,0,0,0,5.52,80,71,82,29,1,20,223,32,79,9,509,1825
109128,666129,"Braxton Garrett",24,2022,"MIA",17,17,0,88,3,7,0,0,0,3.58,38,35,57,17,3,9,136,24,90,10,373,1430
109135,666200,"Jesús Luzardo",24,2022,"MIA",18,18,0,100.3,4,7,0,0,0,3.32,40,37,39,18,2,10,121,35,120,2,400,1644
109278,670174,"Josh Winckowski",24,2022,"BOS",15,14,0,70.3,5,7,0,0,0,5.89,47,46,56,14,5,10,139,27,44,2,316,1194
111286,669432,"Trevor Rogers",24,2022,"MIA",23,23,0,107,4,11,0,0,0,5.47,69,65,65,35,1,15,198,45,106,5,477,1938
112434,676879,"Aaron Ashby",24,2022,"MIL",27,19,0,107.3,2,10,1,0,1,4.44,62,53,70,19,2,15,174,47,126,6,475,1878
112439,668933,"Graham Ashcraft",24,2022,"CIN",19,19,0,105,5,6,0,0,0,4.89,61,57,89,19,0,11,171,30,71,8,464,1756
114683,663460,"Kris Bubic",24,2022,"KC",28,27,0,129,3,13,0,0,0,5.58,87,80,107,30,1,18,242,63,110,4,587,2262
122051,680686,"Josiah Gray",24,2022,"WSH",28,28,0,148.7,7,10,0,0,0,5.02,84,83,74,20,4,38,278,66,154,8,649,2597
125609,669923,"George Kirby",24,2022,"SEA",25,25,0,130,8,5,0,0,0,3.39,54,49,97,23,2,13,201,22,133,5,542,2090
126846,666157,"Nick Lodolo",24,2022,"CIN",19,19,0,103.3,4,7,0,0,0,3.66,44,42,59,15,3,13,150,39,131,19,441,1681
127605,666201,"Alek Manoah",24,2022,"TOR",31,31,0,196.7,16,7,0,0,0,2.24,55,49,97,30,1,16,224,51,180,15,786,2949
145443,689225,"Beau Brieske",24,2022,"DET",15,15,0,81.7,3,6,0,0,0,4.19,39,38,48,10,1,14,127,25,54,1,339,1287
101992,628711,"Julio Urías",25,2022,"LAD",31,31,0,175,17,7,0,0,0,2.16,51,42,81,20,3,23,222,41,166,5,689,2621
103054,642545,"Jaime Barria",25,2022,"LAA",35,1,0,79.3,3,3,0,3,5,2.61,29,23,37,12,3,11,114,19,54,3,316,1123
104739,656271,"Brock Burke",25,2022,"TEX",52,0,0,82.3,7,5,0,5,9,1.97,25,18,39,14,1,9,106,24,90,2,328,1330
105007,657277,"Logan Webb",25,2022,"SF",32,32,0,192.3,15,9,0,0,0,2.9,76,62,122,38,3,11,251,49,163,7,787,3006
105936,663559,"Bailey Falter",25,2022,"PHI",20,16,0,84,6,4,0,0,0,3.86,39,36,50,17,2,16,154,17,74,6,349,1294
106195,664299,"Cristian Javier",25,2022,"HOU",30,25,0,148.7,11,9,0,0,1,2.54,44,42,53,18,1,17,160,52,194,6,585,2554
107254,663776,"Patrick Sandoval",25,2022,"LAA",27,27,1,148.7,6,9,0,0,0,2.91,56,48,109,19,3,8,188,60,151,5,638,2455
111196,677651,"Luis Garcia",25,2022,"HOU",28,28,0,157.3,15,8,0,0,0,3.72,70,65,77,27,4,23,235,47,157,1,643,2468
114191,680694,"Kyle Bradish",25,2022,"BAL",23,23,0,117.7,4,7,0,0,0,4.9,68,64,84,18,0,17,188,46,111,7,509,1993
116555,669395,"Dylan Coleman",25,2022,"KC",68,0,0,68,5,2,0,3,16,2.78,26,21,30,12,0,5,74,37,71,6,289,1205
119844,663372,"Ryan Feltner",25,2022,"COL",20,19,0,97.3,4,9,0,0,0,5.83,65,63,64,18,4,16,176,35,84,5,428,1675
121380,669302,"Logan Gilbert",25,2022,"SEA",32,32,0,185.7,13,6,0,0,0,3.2,71,66,107,41,3,19,274,49,174,6,766,3015
123117,669169,"Jonathan Heasley",25,2022,"KC",21,21,0,104,4,10,0,0,0,5.28,67,61,64,22,3,19,193,47,70,6,465,1702
127265,663738,"Daniel Lynch IV",25,2022,"KC",27,27,0,131.7,4,13,0,0,0,5.13,79,75,109,24,1,21,244,52,122,5,600,2435
128501,663556,"Shane McClanahan",25,2022,"TB",28,28,0,166.3,12,8,0,0,0,2.54,52,47,81,16,0,19,189,37,194,3,640,2460
137001,663903,"Brady Singer",25,2022,"KC",27,24,0,153.3,10,5,0,0,0,3.23,58,55,102,19,1,18,215,35,150,11,621,2376
137044,669373,"Tarik Skubal",25,2022,"DET",21,21,0,117.7,7,8,0,0,0,3.52,53,46,65,28,2,9,163,32,117,1,477,1911
101582,624133,"Ranger Suárez",26,2022,"PHI",29,29,0,155.3,10,7,0,0,0,3.65,74,63,93,39,2,15,237,58,129,2,662,2564
102491,641154,"Pablo López",26,2022,"MIA",32,32,0,180,10,10,0,0,0,3.75,78,75,91,39,6,21,271,53,174,8,736,2909
102632,641745,"Brad Keller",26,2022,"KC",35,22,0,139.7,6,14,1,0,1,5.09,86,79,108,24,4,17,236,57,102,2,617,2275
103056,642547,"Freddy Peralta",26,2022,"MIL",18,17,0,78,4,4,0,1,0,3.58,31,31,36,10,2,6,86,27,86,3,317,1353
104002,645261,"Sandy Alcantara",26,2022,"MIA",32,32,6,228.7,14,9,0,0,0,2.28,67,58,120,32,6,16,266,50,207,9,886,3248
104816,656605,"Mitch Keller",26,2022,"PIT",31,29,0,159,5,12,0,0,0,3.91,77,69,118,28,2,14,236,60,138,12,687,2659
104824,656629,"Michael Kopech",26,2022,"CWS",25,25,0,119.3,5,9,0,0,0,3.54,53,47,52,17,1,15,149,57,105,3,494,2006
